t=,0, id=,B00, PRDE,actvstrat=,-0.895017, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.442216, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.609286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.673369, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.266572, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.311876, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.831112, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.530465, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.584192, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.454469, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.227339, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.187482, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.762545, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.015832, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.771929, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.345110, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.724427, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.062558, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.472601, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.556366, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.895017, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.227339, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.895017, actvprof=,2.449410, id=,B01, PRDE,actvstrat=,0.442216, actvprof=,1.647477, id=,B02, PRDE,actvstrat=,-0.609286, actvprof=,1.383870, id=,B03, PRDE,actvstrat=,0.673369, actvprof=,2.121637, id=,B04, PRDE,actvstrat=,0.266572, actvprof=,1.534423, id=,B05, PRDE,actvstrat=,-0.311876, actvprof=,1.251372, id=,B06, PRDE,actvstrat=,0.831112, actvprof=,2.075249, id=,B07, PRDE,actvstrat=,-0.530465, actvprof=,1.251094, id=,B08, PRDE,actvstrat=,0.584192, actvprof=,2.035527, id=,B09, PRDE,actvstrat=,0.454469, actvprof=,1.683032, id=,S00, PRDE,actvstrat=,-0.227339, actvprof=,5.048541, id=,S01, PRDE,actvstrat=,0.187482, actvprof=,7.726282, id=,S02, PRDE,actvstrat=,-0.762545, actvprof=,2.148859, id=,S03, PRDE,actvstrat=,0.015832, actvprof=,7.116846, id=,S04, PRDE,actvstrat=,-0.771929, actvprof=,2.490521, id=,S05, PRDE,actvstrat=,-0.345110, actvprof=,4.359106, id=,S06, PRDE,actvstrat=,-0.724427, actvprof=,3.301065, id=,S07, PRDE,actvstrat=,-0.062558, actvprof=,6.131304, id=,S08, PRDE,actvstrat=,0.472601, actvprof=,8.974875, id=,S09, PRDE,actvstrat=,0.556366, actvprof=,9.579589, best_B_id=,B00, best_B_prof=,2.449410, best_B_strat=,-0.895017, best_S_id=,S09, best_S_prof=,9.579589, best_S_strat=,0.556366, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.533764, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.611018, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.256395, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.747868, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.851326, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.783265, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.915799, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.622480, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.580111, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.125924, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.191872, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.020810, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.125297, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.756831, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.219139, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.957307, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.779158, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.227352, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.769627, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.744553, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.533764, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.191872, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.533764, actvprof=,1.689699, id=,B01, PRDE,actvstrat=,-0.611018, actvprof=,1.729143, id=,B02, PRDE,actvstrat=,0.256395, actvprof=,1.930529, id=,B03, PRDE,actvstrat=,-0.747868, actvprof=,2.575798, id=,B04, PRDE,actvstrat=,0.851326, actvprof=,1.872474, id=,B05, PRDE,actvstrat=,0.783265, actvprof=,2.231358, id=,B06, PRDE,actvstrat=,0.915799, actvprof=,1.486924, id=,B07, PRDE,actvstrat=,0.622480, actvprof=,2.144137, id=,B08, PRDE,actvstrat=,-0.580111, actvprof=,1.869974, id=,B09, PRDE,actvstrat=,0.125924, actvprof=,1.666921, id=,S00, PRDE,actvstrat=,-0.191872, actvprof=,4.465216, id=,S01, PRDE,actvstrat=,0.020810, actvprof=,6.836294, id=,S02, PRDE,actvstrat=,-0.125297, actvprof=,5.016319, id=,S03, PRDE,actvstrat=,-0.756831, actvprof=,2.131359, id=,S04, PRDE,actvstrat=,-0.219139, actvprof=,4.467716, id=,S05, PRDE,actvstrat=,0.957307, actvprof=,10.750406, id=,S06, PRDE,actvstrat=,-0.779158, actvprof=,1.922473, id=,S07, PRDE,actvstrat=,0.227352, actvprof=,7.681004, id=,S08, PRDE,actvstrat=,0.769627, actvprof=,10.692907, id=,S09, PRDE,actvstrat=,0.744553, actvprof=,10.504854, best_B_id=,B03, best_B_prof=,2.575798, best_B_strat=,-0.747868, best_S_id=,S05, best_S_prof=,10.750406, best_S_strat=,0.957307, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.907670, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.158505, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.660961, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.475332, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.390577, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.634631, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.454766, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.876443, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.811700, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.651496, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.967666, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.104158, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.979251, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.493561, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.368137, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.171166, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.817548, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.968252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.105170, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.701655, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.907670, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.967666, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.907670, actvprof=,1.975556, id=,B01, PRDE,actvstrat=,0.158505, actvprof=,1.052500, id=,B02, PRDE,actvstrat=,0.660961, actvprof=,1.330278, id=,B03, PRDE,actvstrat=,0.475332, actvprof=,1.087500, id=,B04, PRDE,actvstrat=,0.390577, actvprof=,1.044444, id=,B05, PRDE,actvstrat=,-0.634631, actvprof=,0.923889, id=,B06, PRDE,actvstrat=,0.454766, actvprof=,1.405556, id=,B07, PRDE,actvstrat=,0.876443, actvprof=,1.360556, id=,B08, PRDE,actvstrat=,-0.811700, actvprof=,1.362500, id=,B09, PRDE,actvstrat=,0.651496, actvprof=,1.404444, id=,S00, PRDE,actvstrat=,0.967666, actvprof=,12.085278, id=,S01, PRDE,actvstrat=,-0.104158, actvprof=,5.318889, id=,S02, PRDE,actvstrat=,-0.979251, actvprof=,0.987500, id=,S03, PRDE,actvstrat=,-0.493561, actvprof=,3.876111, id=,S04, PRDE,actvstrat=,-0.368137, actvprof=,4.287222, id=,S05, PRDE,actvstrat=,0.171166, actvprof=,7.761111, id=,S06, PRDE,actvstrat=,-0.817548, actvprof=,1.723056, id=,S07, PRDE,actvstrat=,0.968252, actvprof=,12.051667, id=,S08, PRDE,actvstrat=,-0.105170, actvprof=,5.377778, id=,S09, PRDE,actvstrat=,-0.701655, actvprof=,2.961944, best_B_id=,B00, best_B_prof=,1.975556, best_B_strat=,-0.907670, best_S_id=,S00, best_S_prof=,12.085278, best_S_strat=,0.967666, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.907670, actvprof=,1.936528, id=,B01, PRDE,actvstrat=,0.158505, actvprof=,0.989167, id=,B02, PRDE,actvstrat=,0.660961, actvprof=,1.394861, id=,B03, PRDE,actvstrat=,0.475332, actvprof=,1.209722, id=,B04, PRDE,actvstrat=,0.390577, actvprof=,1.062222, id=,B05, PRDE,actvstrat=,-0.634631, actvprof=,0.889861, id=,B06, PRDE,actvstrat=,0.454766, actvprof=,1.395417, id=,B07, PRDE,actvstrat=,0.876443, actvprof=,1.346528, id=,B08, PRDE,actvstrat=,-0.811700, actvprof=,1.362083, id=,B09, PRDE,actvstrat=,0.651496, actvprof=,1.456389, id=,S00, PRDE,actvstrat=,0.967666, actvprof=,11.958472, id=,S01, PRDE,actvstrat=,-0.104158, actvprof=,5.629167, id=,S02, PRDE,actvstrat=,-0.979251, actvprof=,0.868333, id=,S03, PRDE,actvstrat=,-0.493561, actvprof=,3.660139, id=,S04, PRDE,actvstrat=,-0.368137, actvprof=,4.409167, id=,S05, PRDE,actvstrat=,0.171166, actvprof=,7.689028, id=,S06, PRDE,actvstrat=,-0.817548, actvprof=,1.701389, id=,S07, PRDE,actvstrat=,0.968252, actvprof=,11.926111, id=,S08, PRDE,actvstrat=,-0.105170, actvprof=,5.581111, id=,S09, PRDE,actvstrat=,-0.701655, actvprof=,3.056528, best_B_id=,B00, best_B_prof=,1.936528, best_B_strat=,-0.907670, best_S_id=,S00, best_S_prof=,11.958472, best_S_strat=,0.967666, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.560036, id=,B01, PRDE,actvstrat=,0.264478, actvprof=,1.991417, id=,B02, PRDE,actvstrat=,0.255780, actvprof=,2.109752, id=,B03, PRDE,actvstrat=,-0.254962, actvprof=,1.830303, id=,B04, PRDE,actvstrat=,-0.216710, actvprof=,1.677246, id=,B05, PRDE,actvstrat=,0.816189, actvprof=,2.271420, id=,B06, PRDE,actvstrat=,-0.380013, actvprof=,1.932805, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.004458, id=,B08, PRDE,actvstrat=,-0.250629, actvprof=,1.889471, id=,B09, PRDE,actvstrat=,0.799624, actvprof=,2.364200, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.170613, id=,S01, PRDE,actvstrat=,0.284229, actvprof=,8.100946, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.978402, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,10.724316, id=,S04, PRDE,actvstrat=,0.188772, actvprof=,7.098710, id=,S05, PRDE,actvstrat=,-0.710736, actvprof=,2.544202, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.855706, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.905707, id=,S08, PRDE,actvstrat=,-0.963106, actvprof=,0.753899, id=,S09, PRDE,actvstrat=,-0.750722, actvprof=,2.393089, best_B_id=,B00, best_B_prof=,2.560036, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,10.905707, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.587657, id=,B01, PRDE,actvstrat=,0.264478, actvprof=,2.103348, id=,B02, PRDE,actvstrat=,0.255780, actvprof=,2.134459, id=,B03, PRDE,actvstrat=,-0.254962, actvprof=,1.877374, id=,B04, PRDE,actvstrat=,-0.216710, actvprof=,1.772929, id=,B05, PRDE,actvstrat=,0.816189, actvprof=,2.224182, id=,B06, PRDE,actvstrat=,-0.380013, actvprof=,1.810429, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.923340, id=,B08, PRDE,actvstrat=,-0.250629, actvprof=,2.056542, id=,B09, PRDE,actvstrat=,0.799624, actvprof=,2.332655, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.484476, id=,S01, PRDE,actvstrat=,0.284229, actvprof=,7.808804, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.893367, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,10.879103, id=,S04, PRDE,actvstrat=,0.188772, actvprof=,7.079355, id=,S05, PRDE,actvstrat=,-0.710736, actvprof=,2.652380, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.759519, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.955632, id=,S08, PRDE,actvstrat=,-0.963106, actvprof=,0.767783, id=,S09, PRDE,actvstrat=,-0.750722, actvprof=,2.486128, best_B_id=,B00, best_B_prof=,2.587657, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,10.955632, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.819553, actvprof=,2.749521, id=,B01, PRDE,actvstrat=,0.253466, actvprof=,2.165893, id=,B02, PRDE,actvstrat=,-0.607623, actvprof=,1.904497, id=,B03, PRDE,actvstrat=,-0.559579, actvprof=,1.885608, id=,B04, PRDE,actvstrat=,-0.621963, actvprof=,2.082558, id=,B05, PRDE,actvstrat=,-0.299999, actvprof=,1.796161, id=,B06, PRDE,actvstrat=,-0.380013, actvprof=,2.090058, id=,B07, PRDE,actvstrat=,-0.353789, actvprof=,1.840607, id=,B08, PRDE,actvstrat=,0.381615, actvprof=,2.461457, id=,B09, PRDE,actvstrat=,-0.831365, actvprof=,2.709242, id=,S00, PRDE,actvstrat=,-0.744669, actvprof=,1.328648, id=,S01, PRDE,actvstrat=,0.307297, actvprof=,6.116559, id=,S02, PRDE,actvstrat=,0.609289, actvprof=,7.127698, id=,S03, PRDE,actvstrat=,0.179619, actvprof=,5.029584, id=,S04, PRDE,actvstrat=,-0.943856, actvprof=,0.556682, id=,S05, PRDE,actvstrat=,0.737719, actvprof=,8.292730, id=,S06, PRDE,actvstrat=,-0.310908, actvprof=,2.450624, id=,S07, PRDE,actvstrat=,-0.465083, actvprof=,2.230895, id=,S08, PRDE,actvstrat=,0.249026, actvprof=,5.507375, id=,S09, PRDE,actvstrat=,-0.750722, actvprof=,1.364205, best_B_id=,B00, best_B_prof=,2.749521, best_B_strat=,-0.819553, best_S_id=,S05, best_S_prof=,8.292730, best_S_strat=,0.737719, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.819553, actvprof=,2.757122, id=,B01, PRDE,actvstrat=,0.253466, actvprof=,2.206975, id=,B02, PRDE,actvstrat=,-0.607623, actvprof=,1.953360, id=,B03, PRDE,actvstrat=,-0.559579, actvprof=,1.774191, id=,B04, PRDE,actvstrat=,-0.621963, actvprof=,1.999750, id=,B05, PRDE,actvstrat=,-0.299999, actvprof=,1.787941, id=,B06, PRDE,actvstrat=,-0.380013, actvprof=,1.939749, id=,B07, PRDE,actvstrat=,-0.353789, actvprof=,1.856276, id=,B08, PRDE,actvstrat=,0.381615, actvprof=,2.453229, id=,B09, PRDE,actvstrat=,-0.831365, actvprof=,2.796289, id=,S00, PRDE,actvstrat=,-0.744669, actvprof=,1.347380, id=,S01, PRDE,actvstrat=,0.307297, actvprof=,5.875220, id=,S02, PRDE,actvstrat=,0.609289, actvprof=,7.343574, id=,S03, PRDE,actvstrat=,0.179619, actvprof=,5.129793, id=,S04, PRDE,actvstrat=,-0.943856, actvprof=,0.594175, id=,S05, PRDE,actvstrat=,0.737719, actvprof=,8.345533, id=,S06, PRDE,actvstrat=,-0.310908, actvprof=,2.457673, id=,S07, PRDE,actvstrat=,-0.465083, actvprof=,2.243364, id=,S08, PRDE,actvstrat=,0.249026, actvprof=,5.593967, id=,S09, PRDE,actvstrat=,-0.750722, actvprof=,1.289740, best_B_id=,B09, best_B_prof=,2.796289, best_B_strat=,-0.831365, best_S_id=,S05, best_S_prof=,8.345533, best_S_strat=,0.737719, 
