t=,1, id=,B00, PRDE,actvstrat=,0.610222, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.284271, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.517217, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.597079, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.393063, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.340937, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.931608, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.806092, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.099588, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.252704, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.700967, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.252061, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.268264, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.425196, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.599495, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.596516, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.333116, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.748576, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.261152, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.445684, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.610222, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.700967, 
t=,3600, id=,B00, PRDE,actvstrat=,0.610222, actvprof=,1.341648, id=,B01, PRDE,actvstrat=,0.284271, actvprof=,1.077207, id=,B02, PRDE,actvstrat=,0.517217, actvprof=,1.386925, id=,B03, PRDE,actvstrat=,0.597079, actvprof=,1.438313, id=,B04, PRDE,actvstrat=,-0.393063, actvprof=,0.779989, id=,B05, PRDE,actvstrat=,0.340937, actvprof=,1.206928, id=,B06, PRDE,actvstrat=,-0.931608, actvprof=,1.833308, id=,B07, PRDE,actvstrat=,0.806092, actvprof=,1.627200, id=,B08, PRDE,actvstrat=,0.099588, actvprof=,1.030541, id=,B09, PRDE,actvstrat=,0.252704, actvprof=,1.150262, id=,S00, PRDE,actvstrat=,-0.700967, actvprof=,3.870780, id=,S01, PRDE,actvstrat=,-0.252061, actvprof=,5.581867, id=,S02, PRDE,actvstrat=,-0.268264, actvprof=,4.908543, id=,S03, PRDE,actvstrat=,-0.425196, actvprof=,5.030486, id=,S04, PRDE,actvstrat=,-0.599495, actvprof=,3.832169, id=,S05, PRDE,actvstrat=,0.596516, actvprof=,10.407355, id=,S06, PRDE,actvstrat=,-0.333116, actvprof=,5.319648, id=,S07, PRDE,actvstrat=,-0.748576, actvprof=,3.051347, id=,S08, PRDE,actvstrat=,-0.261152, actvprof=,5.510757, id=,S09, PRDE,actvstrat=,0.445684, actvprof=,9.813753, best_B_id=,B06, best_B_prof=,1.833308, best_B_strat=,-0.931608, best_S_id=,S05, best_S_prof=,10.407355, best_S_strat=,0.596516, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.449003, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.190914, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.865612, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.624300, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.067792, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.490952, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.758933, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.640300, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.653459, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.795085, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.992863, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.556796, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.035395, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.404631, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.212329, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.887461, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.014155, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.020292, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.107555, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.008169, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.449003, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.992863, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.449003, actvprof=,1.985000, id=,B01, PRDE,actvstrat=,-0.190914, actvprof=,2.090000, id=,B02, PRDE,actvstrat=,0.865612, actvprof=,2.567500, id=,B03, PRDE,actvstrat=,-0.624300, actvprof=,2.196944, id=,B04, PRDE,actvstrat=,0.067792, actvprof=,2.093889, id=,B05, PRDE,actvstrat=,-0.490952, actvprof=,1.950556, id=,B06, PRDE,actvstrat=,-0.758933, actvprof=,2.250833, id=,B07, PRDE,actvstrat=,-0.640300, actvprof=,2.164167, id=,B08, PRDE,actvstrat=,-0.653459, actvprof=,2.113889, id=,B09, PRDE,actvstrat=,-0.795085, actvprof=,2.443889, id=,S00, PRDE,actvstrat=,-0.992863, actvprof=,3.356944, id=,S01, PRDE,actvstrat=,0.556796, actvprof=,7.486667, id=,S02, PRDE,actvstrat=,-0.035395, actvprof=,4.535278, id=,S03, PRDE,actvstrat=,-0.404631, actvprof=,2.881111, id=,S04, PRDE,actvstrat=,-0.212329, actvprof=,3.488611, id=,S05, PRDE,actvstrat=,-0.887461, actvprof=,0.663611, id=,S06, PRDE,actvstrat=,0.014155, actvprof=,5.370000, id=,S07, PRDE,actvstrat=,0.020292, actvprof=,4.878889, id=,S08, PRDE,actvstrat=,0.107555, actvprof=,5.555833, id=,S09, PRDE,actvstrat=,0.008169, actvprof=,5.148611, best_B_id=,B02, best_B_prof=,2.567500, best_B_strat=,0.865612, best_S_id=,S01, best_S_prof=,7.486667, best_S_strat=,0.556796, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.449003, actvprof=,1.898194, id=,B01, PRDE,actvstrat=,-0.190914, actvprof=,2.055278, id=,B02, PRDE,actvstrat=,0.865612, actvprof=,2.552500, id=,B03, PRDE,actvstrat=,-0.624300, actvprof=,2.115139, id=,B04, PRDE,actvstrat=,0.067792, actvprof=,2.041528, id=,B05, PRDE,actvstrat=,-0.490952, actvprof=,1.907639, id=,B06, PRDE,actvstrat=,-0.758933, actvprof=,2.418056, id=,B07, PRDE,actvstrat=,-0.640300, actvprof=,2.033889, id=,B08, PRDE,actvstrat=,-0.653459, actvprof=,2.081250, id=,B09, PRDE,actvstrat=,-0.795085, actvprof=,2.597361, id=,S00, PRDE,actvstrat=,-0.992863, actvprof=,3.447222, id=,S01, PRDE,actvstrat=,0.556796, actvprof=,7.428889, id=,S02, PRDE,actvstrat=,-0.035395, actvprof=,4.699583, id=,S03, PRDE,actvstrat=,-0.404631, actvprof=,3.001111, id=,S04, PRDE,actvstrat=,-0.212329, actvprof=,3.345556, id=,S05, PRDE,actvstrat=,-0.887461, actvprof=,0.532222, id=,S06, PRDE,actvstrat=,0.014155, actvprof=,5.307222, id=,S07, PRDE,actvstrat=,0.020292, actvprof=,5.252500, id=,S08, PRDE,actvstrat=,0.107555, actvprof=,5.666944, id=,S09, PRDE,actvstrat=,0.008169, actvprof=,5.317917, best_B_id=,B09, best_B_prof=,2.597361, best_B_strat=,-0.795085, best_S_id=,S01, best_S_prof=,7.428889, best_S_strat=,0.556796, 
t=,18000, id=,B00, PRDE,actvstrat=,0.500246, actvprof=,3.043376, id=,B01, PRDE,actvstrat=,0.953523, actvprof=,1.822803, id=,B02, PRDE,actvstrat=,-0.314424, actvprof=,2.784483, id=,B03, PRDE,actvstrat=,-0.288717, actvprof=,2.365033, id=,B04, PRDE,actvstrat=,0.800347, actvprof=,2.957263, id=,B05, PRDE,actvstrat=,-0.044784, actvprof=,2.452534, id=,B06, PRDE,actvstrat=,0.673191, actvprof=,3.030320, id=,B07, PRDE,actvstrat=,-0.640300, actvprof=,3.367825, id=,B08, PRDE,actvstrat=,-0.355950, actvprof=,2.631425, id=,B09, PRDE,actvstrat=,0.859585, actvprof=,2.472534, id=,S00, PRDE,actvstrat=,-0.367271, actvprof=,3.293101, id=,S01, PRDE,actvstrat=,0.155160, actvprof=,6.927318, id=,S02, PRDE,actvstrat=,-0.144681, actvprof=,4.937291, id=,S03, PRDE,actvstrat=,0.028550, actvprof=,6.275920, id=,S04, PRDE,actvstrat=,0.620913, actvprof=,8.864012, id=,S05, PRDE,actvstrat=,-0.117322, actvprof=,4.998681, id=,S06, PRDE,actvstrat=,0.875433, actvprof=,10.395422, id=,S07, PRDE,actvstrat=,0.802426, actvprof=,9.932638, id=,S08, PRDE,actvstrat=,0.309282, actvprof=,7.520660, id=,S09, PRDE,actvstrat=,0.431916, actvprof=,7.817609, best_B_id=,B07, best_B_prof=,3.367825, best_B_strat=,-0.640300, best_S_id=,S06, best_S_prof=,10.395422, best_S_strat=,0.875433, 
t=,21600, id=,B00, PRDE,actvstrat=,0.500246, actvprof=,3.016688, id=,B01, PRDE,actvstrat=,0.953523, actvprof=,1.716679, id=,B02, PRDE,actvstrat=,-0.314424, actvprof=,2.783492, id=,B03, PRDE,actvstrat=,-0.288717, actvprof=,2.506406, id=,B04, PRDE,actvstrat=,0.800347, actvprof=,2.885437, id=,B05, PRDE,actvstrat=,-0.044784, actvprof=,2.412239, id=,B06, PRDE,actvstrat=,0.673191, actvprof=,3.046966, id=,B07, PRDE,actvstrat=,-0.640300, actvprof=,3.270995, id=,B08, PRDE,actvstrat=,-0.355950, actvprof=,2.489184, id=,B09, PRDE,actvstrat=,0.859585, actvprof=,2.535295, id=,S00, PRDE,actvstrat=,-0.367271, actvprof=,3.335301, id=,S01, PRDE,actvstrat=,0.155160, actvprof=,6.929354, id=,S02, PRDE,actvstrat=,-0.144681, actvprof=,4.920590, id=,S03, PRDE,actvstrat=,0.028550, actvprof=,6.226293, id=,S04, PRDE,actvstrat=,0.620913, actvprof=,8.942979, id=,S05, PRDE,actvstrat=,-0.117322, actvprof=,4.741005, id=,S06, PRDE,actvstrat=,0.875433, actvprof=,10.295210, id=,S07, PRDE,actvstrat=,0.802426, actvprof=,9.901180, id=,S08, PRDE,actvstrat=,0.309282, actvprof=,7.355329, id=,S09, PRDE,actvstrat=,0.431916, actvprof=,7.990055, best_B_id=,B07, best_B_prof=,3.270995, best_B_strat=,-0.640300, best_S_id=,S06, best_S_prof=,10.295210, best_S_strat=,0.875433, 
t=,25200, id=,B00, PRDE,actvstrat=,0.189263, actvprof=,1.635369, id=,B01, PRDE,actvstrat=,-0.485444, actvprof=,1.234791, id=,B02, PRDE,actvstrat=,-0.887902, actvprof=,2.325407, id=,B03, PRDE,actvstrat=,-0.029915, actvprof=,1.370076, id=,B04, PRDE,actvstrat=,-0.518725, actvprof=,1.319796, id=,B05, PRDE,actvstrat=,-0.726710, actvprof=,1.620368, id=,B06, PRDE,actvstrat=,-0.733197, actvprof=,1.747875, id=,B07, PRDE,actvstrat=,0.894239, actvprof=,1.893994, id=,B08, PRDE,actvstrat=,0.241429, actvprof=,1.599256, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.120451, id=,S00, PRDE,actvstrat=,-0.037909, actvprof=,4.997222, id=,S01, PRDE,actvstrat=,-0.925637, actvprof=,0.428357, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.320573, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.273904, id=,S04, PRDE,actvstrat=,-0.311986, actvprof=,3.457137, id=,S05, PRDE,actvstrat=,-0.259565, actvprof=,3.529085, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.438913, id=,S07, PRDE,actvstrat=,-0.522889, actvprof=,2.958775, id=,S08, PRDE,actvstrat=,-0.688981, actvprof=,2.437635, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.339186, best_B_id=,B09, best_B_prof=,3.120451, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,10.438913, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.189263, actvprof=,1.578238, id=,B01, PRDE,actvstrat=,-0.485444, actvprof=,1.214617, id=,B02, PRDE,actvstrat=,-0.887902, actvprof=,2.316037, id=,B03, PRDE,actvstrat=,-0.029915, actvprof=,1.355593, id=,B04, PRDE,actvstrat=,-0.518725, actvprof=,1.296842, id=,B05, PRDE,actvstrat=,-0.726710, actvprof=,1.497958, id=,B06, PRDE,actvstrat=,-0.733197, actvprof=,1.537682, id=,B07, PRDE,actvstrat=,0.894239, actvprof=,1.832829, id=,B08, PRDE,actvstrat=,0.241429, actvprof=,1.596850, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.002583, id=,S00, PRDE,actvstrat=,-0.037909, actvprof=,5.280980, id=,S01, PRDE,actvstrat=,-0.925637, actvprof=,0.358482, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.387927, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.111253, id=,S04, PRDE,actvstrat=,-0.311986, actvprof=,3.149949, id=,S05, PRDE,actvstrat=,-0.259565, actvprof=,3.409817, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.547376, id=,S07, PRDE,actvstrat=,-0.522889, actvprof=,3.064252, id=,S08, PRDE,actvstrat=,-0.688981, actvprof=,2.562155, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.100419, best_B_id=,B09, best_B_prof=,3.002583, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,10.547376, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.053590, actvprof=,1.935412, id=,B01, PRDE,actvstrat=,0.981511, actvprof=,1.067852, id=,B02, PRDE,actvstrat=,0.149868, actvprof=,2.212931, id=,B03, PRDE,actvstrat=,-0.763983, actvprof=,2.888256, id=,B04, PRDE,actvstrat=,-0.736330, actvprof=,2.719633, id=,B05, PRDE,actvstrat=,0.546881, actvprof=,2.513508, id=,B06, PRDE,actvstrat=,-0.159578, actvprof=,1.778735, id=,B07, PRDE,actvstrat=,0.854979, actvprof=,2.232099, id=,B08, PRDE,actvstrat=,-0.653459, actvprof=,2.235155, id=,B09, PRDE,actvstrat=,-0.150095, actvprof=,1.820404, id=,S00, PRDE,actvstrat=,0.433846, actvprof=,8.148899, id=,S01, PRDE,actvstrat=,-0.369481, actvprof=,3.074380, id=,S02, PRDE,actvstrat=,-0.168784, actvprof=,3.869713, id=,S03, PRDE,actvstrat=,0.584507, actvprof=,8.200847, id=,S04, PRDE,actvstrat=,0.200186, actvprof=,6.305993, id=,S05, PRDE,actvstrat=,-0.735084, actvprof=,1.897632, id=,S06, PRDE,actvstrat=,0.906145, actvprof=,10.286270, id=,S07, PRDE,actvstrat=,0.099420, actvprof=,6.314327, id=,S08, PRDE,actvstrat=,-0.306557, actvprof=,3.138551, id=,S09, PRDE,actvstrat=,0.594337, actvprof=,8.498368, best_B_id=,B03, best_B_prof=,2.888256, best_B_strat=,-0.763983, best_S_id=,S06, best_S_prof=,10.286270, best_S_strat=,0.906145, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.053590, actvprof=,1.989930, id=,B01, PRDE,actvstrat=,0.981511, actvprof=,1.140873, id=,B02, PRDE,actvstrat=,0.149868, actvprof=,2.225355, id=,B03, PRDE,actvstrat=,-0.763983, actvprof=,2.908573, id=,B04, PRDE,actvstrat=,-0.736330, actvprof=,2.757040, id=,B05, PRDE,actvstrat=,0.546881, actvprof=,2.561478, id=,B06, PRDE,actvstrat=,-0.159578, actvprof=,1.849925, id=,B07, PRDE,actvstrat=,0.854979, actvprof=,2.282718, id=,B08, PRDE,actvstrat=,-0.653459, actvprof=,2.404945, id=,B09, PRDE,actvstrat=,-0.150095, actvprof=,1.989791, id=,S00, PRDE,actvstrat=,0.433846, actvprof=,7.828050, id=,S01, PRDE,actvstrat=,-0.369481, actvprof=,3.194972, id=,S02, PRDE,actvstrat=,-0.168784, actvprof=,3.969582, id=,S03, PRDE,actvstrat=,0.584507, actvprof=,8.390430, id=,S04, PRDE,actvstrat=,0.200186, actvprof=,6.488836, id=,S05, PRDE,actvstrat=,-0.735084, actvprof=,2.007986, id=,S06, PRDE,actvstrat=,0.906145, actvprof=,10.281468, id=,S07, PRDE,actvstrat=,0.099420, actvprof=,6.245217, id=,S08, PRDE,actvstrat=,-0.306557, actvprof=,3.291642, id=,S09, PRDE,actvstrat=,0.594337, actvprof=,8.549602, best_B_id=,B03, best_B_prof=,2.908573, best_B_strat=,-0.763983, best_S_id=,S06, best_S_prof=,10.281468, best_S_strat=,0.906145, 
