t=,0, id=,B00, PRDE,actvstrat=,-0.742156, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.808480, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.421024, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.996277, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.364563, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.072525, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.858004, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.108779, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.495471, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.807585, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.323737, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.024352, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.046310, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.548624, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.172926, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.734227, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.518403, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.848387, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.546173, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.506586, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.742156, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.323737, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.742156, actvprof=,2.519167, id=,B01, PRDE,actvstrat=,-0.808480, actvprof=,2.970556, id=,B02, PRDE,actvstrat=,0.421024, actvprof=,2.669167, id=,B03, PRDE,actvstrat=,-0.996277, actvprof=,3.717500, id=,B04, PRDE,actvstrat=,-0.364563, actvprof=,2.136111, id=,B05, PRDE,actvstrat=,0.072525, actvprof=,2.085556, id=,B06, PRDE,actvstrat=,0.858004, actvprof=,2.588889, id=,B07, PRDE,actvstrat=,-0.108779, actvprof=,2.228889, id=,B08, PRDE,actvstrat=,0.495471, actvprof=,2.771389, id=,B09, PRDE,actvstrat=,-0.807585, actvprof=,3.044444, id=,S00, PRDE,actvstrat=,0.323737, actvprof=,7.853611, id=,S01, PRDE,actvstrat=,-0.024352, actvprof=,6.457500, id=,S02, PRDE,actvstrat=,0.046310, actvprof=,6.415833, id=,S03, PRDE,actvstrat=,0.548624, actvprof=,8.663611, id=,S04, PRDE,actvstrat=,0.172926, actvprof=,7.220556, id=,S05, PRDE,actvstrat=,0.734227, actvprof=,9.067778, id=,S06, PRDE,actvstrat=,-0.518403, actvprof=,4.621944, id=,S07, PRDE,actvstrat=,-0.848387, actvprof=,2.258611, id=,S08, PRDE,actvstrat=,-0.546173, actvprof=,4.218333, id=,S09, PRDE,actvstrat=,-0.506586, actvprof=,4.379444, best_B_id=,B03, best_B_prof=,3.717500, best_B_strat=,-0.996277, best_S_id=,S05, best_S_prof=,9.067778, best_S_strat=,0.734227, 
t=,7200, id=,B00, PRDE,actvstrat=,0.143947, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.672365, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.969300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.656448, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.828646, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.471108, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.896442, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.508356, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.013120, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.902034, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.682772, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.441437, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.703453, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.717839, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.407908, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.457027, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.415753, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.351000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.966221, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.821741, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.143947, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.682772, 
t=,10800, id=,B00, PRDE,actvstrat=,0.143947, actvprof=,0.621111, id=,B01, PRDE,actvstrat=,0.672365, actvprof=,1.098056, id=,B02, PRDE,actvstrat=,-0.969300, actvprof=,1.544722, id=,B03, PRDE,actvstrat=,-0.656448, actvprof=,0.356944, id=,B04, PRDE,actvstrat=,0.828646, actvprof=,1.208889, id=,B05, PRDE,actvstrat=,-0.471108, actvprof=,0.352500, id=,B06, PRDE,actvstrat=,-0.896442, actvprof=,0.955000, id=,B07, PRDE,actvstrat=,0.508356, actvprof=,0.853056, id=,B08, PRDE,actvstrat=,0.013120, actvprof=,0.554444, id=,B09, PRDE,actvstrat=,-0.902034, actvprof=,0.968056, id=,S00, PRDE,actvstrat=,-0.682772, actvprof=,4.245556, id=,S01, PRDE,actvstrat=,0.441437, actvprof=,9.809167, id=,S02, PRDE,actvstrat=,-0.703453, actvprof=,3.694167, id=,S03, PRDE,actvstrat=,-0.717839, actvprof=,3.218333, id=,S04, PRDE,actvstrat=,-0.407908, actvprof=,4.386667, id=,S05, PRDE,actvstrat=,-0.457027, actvprof=,4.568056, id=,S06, PRDE,actvstrat=,-0.415753, actvprof=,4.519444, id=,S07, PRDE,actvstrat=,-0.351000, actvprof=,4.846389, id=,S08, PRDE,actvstrat=,-0.966221, actvprof=,0.611111, id=,S09, PRDE,actvstrat=,-0.821741, actvprof=,2.210556, best_B_id=,B02, best_B_prof=,1.544722, best_B_strat=,-0.969300, best_S_id=,S01, best_S_prof=,9.809167, best_S_strat=,0.441437, 
t=,14400, id=,B00, PRDE,actvstrat=,0.143947, actvprof=,0.621944, id=,B01, PRDE,actvstrat=,0.672365, actvprof=,1.041250, id=,B02, PRDE,actvstrat=,-0.969300, actvprof=,1.540000, id=,B03, PRDE,actvstrat=,-0.656448, actvprof=,0.384722, id=,B04, PRDE,actvstrat=,0.828646, actvprof=,1.246667, id=,B05, PRDE,actvstrat=,-0.471108, actvprof=,0.374028, id=,B06, PRDE,actvstrat=,-0.896442, actvprof=,0.966111, id=,B07, PRDE,actvstrat=,0.508356, actvprof=,0.881667, id=,B08, PRDE,actvstrat=,0.013120, actvprof=,0.522778, id=,B09, PRDE,actvstrat=,-0.902034, actvprof=,0.892361, id=,S00, PRDE,actvstrat=,-0.682772, actvprof=,3.979444, id=,S01, PRDE,actvstrat=,0.441437, actvprof=,9.863750, id=,S02, PRDE,actvstrat=,-0.703453, actvprof=,3.657639, id=,S03, PRDE,actvstrat=,-0.717839, actvprof=,3.216111, id=,S04, PRDE,actvstrat=,-0.407908, actvprof=,4.619583, id=,S05, PRDE,actvstrat=,-0.457027, actvprof=,4.462222, id=,S06, PRDE,actvstrat=,-0.415753, actvprof=,4.553194, id=,S07, PRDE,actvstrat=,-0.351000, actvprof=,4.861528, id=,S08, PRDE,actvstrat=,-0.966221, actvprof=,0.722778, id=,S09, PRDE,actvstrat=,-0.821741, actvprof=,2.125556, best_B_id=,B02, best_B_prof=,1.540000, best_B_strat=,-0.969300, best_S_id=,S01, best_S_prof=,9.863750, best_S_strat=,0.441437, 
t=,18000, id=,B00, PRDE,actvstrat=,0.373583, actvprof=,1.467243, id=,B01, PRDE,actvstrat=,-0.171592, actvprof=,1.165850, id=,B02, PRDE,actvstrat=,0.717037, actvprof=,1.936138, id=,B03, PRDE,actvstrat=,0.552380, actvprof=,1.783914, id=,B04, PRDE,actvstrat=,-0.259193, actvprof=,1.235017, id=,B05, PRDE,actvstrat=,-0.785056, actvprof=,1.738357, id=,B06, PRDE,actvstrat=,0.813321, actvprof=,1.950305, id=,B07, PRDE,actvstrat=,-0.442326, actvprof=,1.041403, id=,B08, PRDE,actvstrat=,0.546876, actvprof=,1.743080, id=,B09, PRDE,actvstrat=,-0.178370, actvprof=,1.148627, id=,S00, PRDE,actvstrat=,-0.451333, actvprof=,4.378116, id=,S01, PRDE,actvstrat=,0.469128, actvprof=,9.087348, id=,S02, PRDE,actvstrat=,-0.095031, actvprof=,5.640356, id=,S03, PRDE,actvstrat=,0.033693, actvprof=,6.748427, id=,S04, PRDE,actvstrat=,-0.635401, actvprof=,3.846165, id=,S05, PRDE,actvstrat=,-0.552333, actvprof=,4.031167, id=,S06, PRDE,actvstrat=,0.724846, actvprof=,10.230975, id=,S07, PRDE,actvstrat=,-0.089227, actvprof=,5.898137, id=,S08, PRDE,actvstrat=,-0.931203, actvprof=,0.776677, id=,S09, PRDE,actvstrat=,-0.821741, actvprof=,1.531410, best_B_id=,B06, best_B_prof=,1.950305, best_B_strat=,0.813321, best_S_id=,S06, best_S_prof=,10.230975, best_S_strat=,0.724846, 
t=,21600, id=,B00, PRDE,actvstrat=,0.373583, actvprof=,1.473194, id=,B01, PRDE,actvstrat=,-0.171592, actvprof=,1.061389, id=,B02, PRDE,actvstrat=,0.717037, actvprof=,1.850417, id=,B03, PRDE,actvstrat=,0.552380, actvprof=,1.738472, id=,B04, PRDE,actvstrat=,-0.259193, actvprof=,1.135694, id=,B05, PRDE,actvstrat=,-0.785056, actvprof=,1.654167, id=,B06, PRDE,actvstrat=,0.813321, actvprof=,1.892500, id=,B07, PRDE,actvstrat=,-0.442326, actvprof=,0.984444, id=,B08, PRDE,actvstrat=,0.546876, actvprof=,1.622222, id=,B09, PRDE,actvstrat=,-0.178370, actvprof=,1.089861, id=,S00, PRDE,actvstrat=,-0.451333, actvprof=,4.158333, id=,S01, PRDE,actvstrat=,0.469128, actvprof=,9.114028, id=,S02, PRDE,actvstrat=,-0.095031, actvprof=,5.672778, id=,S03, PRDE,actvstrat=,0.033693, actvprof=,6.717778, id=,S04, PRDE,actvstrat=,-0.635401, actvprof=,3.552778, id=,S05, PRDE,actvstrat=,-0.552333, actvprof=,3.799861, id=,S06, PRDE,actvstrat=,0.724846, actvprof=,10.342778, id=,S07, PRDE,actvstrat=,-0.089227, actvprof=,5.647917, id=,S08, PRDE,actvstrat=,-0.931203, actvprof=,0.711667, id=,S09, PRDE,actvstrat=,-0.821741, actvprof=,1.513056, best_B_id=,B06, best_B_prof=,1.892500, best_B_strat=,0.813321, best_S_id=,S06, best_S_prof=,10.342778, best_S_strat=,0.724846, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.805052, actvprof=,2.342075, id=,B01, PRDE,actvstrat=,0.489129, actvprof=,1.781488, id=,B02, PRDE,actvstrat=,-0.100284, actvprof=,1.634535, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.723651, id=,B04, PRDE,actvstrat=,0.839867, actvprof=,1.755375, id=,B05, PRDE,actvstrat=,-0.497060, actvprof=,1.459803, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.126785, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.795378, id=,B08, PRDE,actvstrat=,0.369338, actvprof=,1.869826, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.665037, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.758320, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.882605, id=,S02, PRDE,actvstrat=,-0.450503, actvprof=,3.848547, id=,S03, PRDE,actvstrat=,0.485543, actvprof=,9.363298, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.092338, id=,S05, PRDE,actvstrat=,0.114770, actvprof=,7.661815, id=,S06, PRDE,actvstrat=,-0.237434, actvprof=,4.332741, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.348019, id=,S08, PRDE,actvstrat=,-0.355935, actvprof=,3.823824, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.806211, best_B_id=,B00, best_B_prof=,2.342075, best_B_strat=,-0.805052, best_S_id=,S04, best_S_prof=,12.092338, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.805052, actvprof=,2.260618, id=,B01, PRDE,actvstrat=,0.489129, actvprof=,1.950054, id=,B02, PRDE,actvstrat=,-0.100284, actvprof=,1.547126, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.745854, id=,B04, PRDE,actvstrat=,0.839867, actvprof=,1.754077, id=,B05, PRDE,actvstrat=,-0.497060, actvprof=,1.513098, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.021167, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.895608, id=,B08, PRDE,actvstrat=,0.369338, actvprof=,1.775327, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.720992, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.802078, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.820467, id=,S02, PRDE,actvstrat=,-0.450503, actvprof=,3.985527, id=,S03, PRDE,actvstrat=,0.485543, actvprof=,9.759438, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.012973, id=,S05, PRDE,actvstrat=,0.114770, actvprof=,7.519237, id=,S06, PRDE,actvstrat=,-0.237434, actvprof=,4.398039, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.482763, id=,S08, PRDE,actvstrat=,-0.355935, actvprof=,3.967749, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.892553, best_B_id=,B00, best_B_prof=,2.260618, best_B_strat=,-0.805052, best_S_id=,S04, best_S_prof=,12.012973, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.169212, actvprof=,1.268977, id=,B01, PRDE,actvstrat=,0.489129, actvprof=,1.862629, id=,B02, PRDE,actvstrat=,0.556231, actvprof=,2.034030, id=,B03, PRDE,actvstrat=,0.315451, actvprof=,1.783735, id=,B04, PRDE,actvstrat=,0.528200, actvprof=,1.985138, id=,B05, PRDE,actvstrat=,-0.082329, actvprof=,1.506216, id=,B06, PRDE,actvstrat=,-0.989466, actvprof=,2.171540, id=,B07, PRDE,actvstrat=,-0.219130, actvprof=,1.543996, id=,B08, PRDE,actvstrat=,0.919653, actvprof=,1.652893, id=,B09, PRDE,actvstrat=,-0.618319, actvprof=,1.742343, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.569762, id=,S01, PRDE,actvstrat=,-0.003770, actvprof=,5.589277, id=,S02, PRDE,actvstrat=,0.112971, actvprof=,6.462949, id=,S03, PRDE,actvstrat=,0.718677, actvprof=,10.042642, id=,S04, PRDE,actvstrat=,0.495563, actvprof=,8.523092, id=,S05, PRDE,actvstrat=,0.957110, actvprof=,11.291617, id=,S06, PRDE,actvstrat=,-0.410546, actvprof=,3.356066, id=,S07, PRDE,actvstrat=,-0.680460, actvprof=,3.024932, id=,S08, PRDE,actvstrat=,-0.707975, actvprof=,2.385443, id=,S09, PRDE,actvstrat=,-0.190720, actvprof=,3.919161, best_B_id=,B06, best_B_prof=,2.171540, best_B_strat=,-0.989466, best_S_id=,S05, best_S_prof=,11.291617, best_S_strat=,0.957110, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.169212, actvprof=,1.401457, id=,B01, PRDE,actvstrat=,0.489129, actvprof=,1.903981, id=,B02, PRDE,actvstrat=,0.556231, actvprof=,2.041349, id=,B03, PRDE,actvstrat=,0.315451, actvprof=,1.852173, id=,B04, PRDE,actvstrat=,0.528200, actvprof=,1.951623, id=,B05, PRDE,actvstrat=,-0.082329, actvprof=,1.510768, id=,B06, PRDE,actvstrat=,-0.989466, actvprof=,2.112325, id=,B07, PRDE,actvstrat=,-0.219130, actvprof=,1.412013, id=,B08, PRDE,actvstrat=,0.919653, actvprof=,1.631190, id=,B09, PRDE,actvstrat=,-0.618319, actvprof=,1.830783, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.467995, id=,S01, PRDE,actvstrat=,-0.003770, actvprof=,5.919593, id=,S02, PRDE,actvstrat=,0.112971, actvprof=,6.342808, id=,S03, PRDE,actvstrat=,0.718677, actvprof=,9.958401, id=,S04, PRDE,actvstrat=,0.495563, actvprof=,8.439021, id=,S05, PRDE,actvstrat=,0.957110, actvprof=,11.189294, id=,S06, PRDE,actvstrat=,-0.410546, actvprof=,3.514893, id=,S07, PRDE,actvstrat=,-0.680460, actvprof=,2.804859, id=,S08, PRDE,actvstrat=,-0.707975, actvprof=,2.548596, id=,S09, PRDE,actvstrat=,-0.190720, actvprof=,4.092838, best_B_id=,B06, best_B_prof=,2.112325, best_B_strat=,-0.989466, best_S_id=,S05, best_S_prof=,11.189294, best_S_strat=,0.957110, 
