t=,1, id=,B00, PRDE,actvstrat=,-0.194623, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.455460, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.387017, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.827424, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.526580, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.043282, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.791139, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.841066, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.588248, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.195493, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.519450, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.805377, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.992614, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.791771, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.731320, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.429428, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.225759, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.393929, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.064333, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.590213, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.194623, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.519450, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.194623, actvprof=,1.934167, id=,B01, PRDE,actvstrat=,-0.455460, actvprof=,2.050000, id=,B02, PRDE,actvstrat=,-0.387017, actvprof=,1.905833, id=,B03, PRDE,actvstrat=,-0.827424, actvprof=,2.815833, id=,B04, PRDE,actvstrat=,-0.526580, actvprof=,1.941944, id=,B05, PRDE,actvstrat=,0.043282, actvprof=,1.971667, id=,B06, PRDE,actvstrat=,0.791139, actvprof=,2.741667, id=,B07, PRDE,actvstrat=,-0.841066, actvprof=,2.833889, id=,B08, PRDE,actvstrat=,0.588248, actvprof=,2.827222, id=,B09, PRDE,actvstrat=,0.195493, actvprof=,1.976667, id=,S00, PRDE,actvstrat=,0.519450, actvprof=,8.324444, id=,S01, PRDE,actvstrat=,-0.805377, actvprof=,2.598889, id=,S02, PRDE,actvstrat=,-0.992614, actvprof=,4.048333, id=,S03, PRDE,actvstrat=,-0.791771, actvprof=,2.379167, id=,S04, PRDE,actvstrat=,-0.731320, actvprof=,3.205278, id=,S05, PRDE,actvstrat=,-0.429428, actvprof=,4.263611, id=,S06, PRDE,actvstrat=,0.225759, actvprof=,6.796389, id=,S07, PRDE,actvstrat=,-0.393929, actvprof=,4.248611, id=,S08, PRDE,actvstrat=,0.064333, actvprof=,6.408611, id=,S09, PRDE,actvstrat=,0.590213, actvprof=,8.416667, best_B_id=,B07, best_B_prof=,2.833889, best_B_strat=,-0.841066, best_S_id=,S09, best_S_prof=,8.416667, best_S_strat=,0.590213, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.723387, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.918697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.174578, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.929055, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.585300, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.613289, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.785686, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.238903, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.896589, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.083239, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.026941, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.633423, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.586162, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.476428, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.492449, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.821027, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.015166, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.689611, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.837419, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.511226, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.723387, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.026941, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.723387, actvprof=,1.326926, id=,B01, PRDE,actvstrat=,0.918697, actvprof=,1.514423, id=,B02, PRDE,actvstrat=,0.174578, actvprof=,1.267205, id=,B03, PRDE,actvstrat=,-0.929055, actvprof=,2.513021, id=,B04, PRDE,actvstrat=,-0.585300, actvprof=,1.208317, id=,B05, PRDE,actvstrat=,0.613289, actvprof=,1.601644, id=,B06, PRDE,actvstrat=,0.785686, actvprof=,1.815530, id=,B07, PRDE,actvstrat=,0.238903, actvprof=,1.354981, id=,B08, PRDE,actvstrat=,-0.896589, actvprof=,2.304135, id=,B09, PRDE,actvstrat=,0.083239, actvprof=,1.141651, id=,S00, PRDE,actvstrat=,0.026941, actvprof=,6.613241, id=,S01, PRDE,actvstrat=,-0.633423, actvprof=,2.828572, id=,S02, PRDE,actvstrat=,0.586162, actvprof=,9.736809, id=,S03, PRDE,actvstrat=,0.476428, actvprof=,8.905710, id=,S04, PRDE,actvstrat=,0.492449, actvprof=,8.463494, id=,S05, PRDE,actvstrat=,-0.821027, actvprof=,1.160817, id=,S06, PRDE,actvstrat=,0.015166, actvprof=,6.678518, id=,S07, PRDE,actvstrat=,0.689611, actvprof=,10.144581, id=,S08, PRDE,actvstrat=,-0.837419, actvprof=,1.119151, id=,S09, PRDE,actvstrat=,-0.511226, actvprof=,3.633561, best_B_id=,B03, best_B_prof=,2.513021, best_B_strat=,-0.929055, best_S_id=,S07, best_S_prof=,10.144581, best_S_strat=,0.689611, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.723387, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.918697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.123813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.038933, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.132412, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.613289, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.785686, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.519343, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.364299, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.586353, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.903558, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.691742, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.726390, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.476428, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.077715, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.429428, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.580666, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.689611, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.050068, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.784188, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.723387, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.903558, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.723387, actvprof=,2.967500, id=,B01, PRDE,actvstrat=,0.918697, actvprof=,1.727778, id=,B02, PRDE,actvstrat=,0.123813, actvprof=,2.133889, id=,B03, PRDE,actvstrat=,0.038933, actvprof=,1.982222, id=,B04, PRDE,actvstrat=,0.132412, actvprof=,2.416667, id=,B05, PRDE,actvstrat=,0.613289, actvprof=,2.625278, id=,B06, PRDE,actvstrat=,0.785686, actvprof=,2.467222, id=,B07, PRDE,actvstrat=,0.519343, actvprof=,2.703333, id=,B08, PRDE,actvstrat=,0.364299, actvprof=,2.541667, id=,B09, PRDE,actvstrat=,0.586353, actvprof=,2.717778, id=,S00, PRDE,actvstrat=,0.903558, actvprof=,10.623611, id=,S01, PRDE,actvstrat=,0.691742, actvprof=,9.720833, id=,S02, PRDE,actvstrat=,-0.726390, actvprof=,1.996667, id=,S03, PRDE,actvstrat=,0.476428, actvprof=,8.282778, id=,S04, PRDE,actvstrat=,-0.077715, actvprof=,4.890833, id=,S05, PRDE,actvstrat=,-0.429428, actvprof=,3.176944, id=,S06, PRDE,actvstrat=,0.580666, actvprof=,9.159167, id=,S07, PRDE,actvstrat=,0.689611, actvprof=,9.539444, id=,S08, PRDE,actvstrat=,-0.050068, actvprof=,6.111944, id=,S09, PRDE,actvstrat=,0.784188, actvprof=,10.481111, best_B_id=,B00, best_B_prof=,2.967500, best_B_strat=,-0.723387, best_S_id=,S00, best_S_prof=,10.623611, best_S_strat=,0.903558, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.723387, actvprof=,3.038194, id=,B01, PRDE,actvstrat=,0.918697, actvprof=,1.720000, id=,B02, PRDE,actvstrat=,0.123813, actvprof=,2.201250, id=,B03, PRDE,actvstrat=,0.038933, actvprof=,2.054306, id=,B04, PRDE,actvstrat=,0.132412, actvprof=,2.365139, id=,B05, PRDE,actvstrat=,0.613289, actvprof=,2.669028, id=,B06, PRDE,actvstrat=,0.785686, actvprof=,2.439028, id=,B07, PRDE,actvstrat=,0.519343, actvprof=,2.721806, id=,B08, PRDE,actvstrat=,0.364299, actvprof=,2.516250, id=,B09, PRDE,actvstrat=,0.586353, actvprof=,2.688472, id=,S00, PRDE,actvstrat=,0.903558, actvprof=,10.561250, id=,S01, PRDE,actvstrat=,0.691742, actvprof=,9.655972, id=,S02, PRDE,actvstrat=,-0.726390, actvprof=,2.106250, id=,S03, PRDE,actvstrat=,0.476428, actvprof=,8.210694, id=,S04, PRDE,actvstrat=,-0.077715, actvprof=,4.917917, id=,S05, PRDE,actvstrat=,-0.429428, actvprof=,3.357083, id=,S06, PRDE,actvstrat=,0.580666, actvprof=,9.042500, id=,S07, PRDE,actvstrat=,0.689611, actvprof=,9.612500, id=,S08, PRDE,actvstrat=,-0.050068, actvprof=,5.738889, id=,S09, PRDE,actvstrat=,0.784188, actvprof=,10.472361, best_B_id=,B00, best_B_prof=,3.038194, best_B_strat=,-0.723387, best_S_id=,S00, best_S_prof=,10.561250, best_S_strat=,0.903558, 
t=,25200, id=,B00, PRDE,actvstrat=,0.159583, actvprof=,2.652574, id=,B01, PRDE,actvstrat=,-0.737163, actvprof=,3.263146, id=,B02, PRDE,actvstrat=,-0.445164, actvprof=,2.404789, id=,B03, PRDE,actvstrat=,-0.768580, actvprof=,3.319259, id=,B04, PRDE,actvstrat=,0.095457, actvprof=,2.460624, id=,B05, PRDE,actvstrat=,0.009160, actvprof=,2.315620, id=,B06, PRDE,actvstrat=,0.424566, actvprof=,3.076197, id=,B07, PRDE,actvstrat=,0.031994, actvprof=,2.498958, id=,B08, PRDE,actvstrat=,0.334312, actvprof=,2.852024, id=,B09, PRDE,actvstrat=,0.083239, actvprof=,2.547293, id=,S00, PRDE,actvstrat=,0.026941, actvprof=,5.107364, id=,S01, PRDE,actvstrat=,-0.633423, actvprof=,2.148671, id=,S02, PRDE,actvstrat=,0.586162, actvprof=,8.077447, id=,S03, PRDE,actvstrat=,0.435028, actvprof=,6.728520, id=,S04, PRDE,actvstrat=,-0.392110, actvprof=,2.520070, id=,S05, PRDE,actvstrat=,0.406955, actvprof=,6.579627, id=,S06, PRDE,actvstrat=,0.515624, actvprof=,7.409928, id=,S07, PRDE,actvstrat=,0.778012, actvprof=,9.024695, id=,S08, PRDE,actvstrat=,-0.466049, actvprof=,2.515903, id=,S09, PRDE,actvstrat=,0.112578, actvprof=,5.366260, best_B_id=,B03, best_B_prof=,3.319259, best_B_strat=,-0.768580, best_S_id=,S07, best_S_prof=,9.024695, best_S_strat=,0.778012, 
t=,28800, id=,B00, PRDE,actvstrat=,0.159583, actvprof=,2.550174, id=,B01, PRDE,actvstrat=,-0.737163, actvprof=,3.100738, id=,B02, PRDE,actvstrat=,-0.445164, actvprof=,2.383089, id=,B03, PRDE,actvstrat=,-0.768580, actvprof=,3.431298, id=,B04, PRDE,actvstrat=,0.095457, actvprof=,2.453645, id=,B05, PRDE,actvstrat=,0.009160, actvprof=,2.378366, id=,B06, PRDE,actvstrat=,0.424566, actvprof=,2.915179, id=,B07, PRDE,actvstrat=,0.031994, actvprof=,2.416145, id=,B08, PRDE,actvstrat=,0.334312, actvprof=,2.756149, id=,B09, PRDE,actvstrat=,0.083239, actvprof=,2.461701, id=,S00, PRDE,actvstrat=,0.026941, actvprof=,4.998403, id=,S01, PRDE,actvstrat=,-0.633423, actvprof=,2.181836, id=,S02, PRDE,actvstrat=,0.586162, actvprof=,7.918860, id=,S03, PRDE,actvstrat=,0.435028, actvprof=,6.845928, id=,S04, PRDE,actvstrat=,-0.392110, actvprof=,2.505590, id=,S05, PRDE,actvstrat=,0.406955, actvprof=,6.886901, id=,S06, PRDE,actvstrat=,0.515624, actvprof=,7.315796, id=,S07, PRDE,actvstrat=,0.778012, actvprof=,8.934152, id=,S08, PRDE,actvstrat=,-0.466049, actvprof=,2.464201, id=,S09, PRDE,actvstrat=,0.112578, actvprof=,5.391880, best_B_id=,B03, best_B_prof=,3.431298, best_B_strat=,-0.768580, best_S_id=,S07, best_S_prof=,8.934152, best_S_strat=,0.778012, 
t=,32400, id=,B00, PRDE,actvstrat=,0.204907, actvprof=,2.404411, id=,B01, PRDE,actvstrat=,0.345063, actvprof=,3.005236, id=,B02, PRDE,actvstrat=,0.174578, actvprof=,2.761351, id=,B03, PRDE,actvstrat=,0.121177, actvprof=,2.326634, id=,B04, PRDE,actvstrat=,0.095457, actvprof=,2.297468, id=,B05, PRDE,actvstrat=,-0.832722, actvprof=,3.883002, id=,B06, PRDE,actvstrat=,-0.106607, actvprof=,2.393300, id=,B07, PRDE,actvstrat=,0.031994, actvprof=,2.295246, id=,B08, PRDE,actvstrat=,0.334312, actvprof=,2.953570, id=,B09, PRDE,actvstrat=,0.083239, actvprof=,2.382189, id=,S00, PRDE,actvstrat=,0.026941, actvprof=,5.326593, id=,S01, PRDE,actvstrat=,0.376308, actvprof=,7.146290, id=,S02, PRDE,actvstrat=,0.586162, actvprof=,7.962389, id=,S03, PRDE,actvstrat=,0.435028, actvprof=,7.529340, id=,S04, PRDE,actvstrat=,-0.872818, actvprof=,0.512215, id=,S05, PRDE,actvstrat=,0.907985, actvprof=,9.732643, id=,S06, PRDE,actvstrat=,0.515624, actvprof=,7.492396, id=,S07, PRDE,actvstrat=,-0.531317, actvprof=,2.605519, id=,S08, PRDE,actvstrat=,-0.050068, actvprof=,4.953542, id=,S09, PRDE,actvstrat=,0.112578, actvprof=,5.546590, best_B_id=,B05, best_B_prof=,3.883002, best_B_strat=,-0.832722, best_S_id=,S05, best_S_prof=,9.732643, best_S_strat=,0.907985, 
t=,36000, id=,B00, PRDE,actvstrat=,0.204907, actvprof=,2.384633, id=,B01, PRDE,actvstrat=,0.345063, actvprof=,2.894783, id=,B02, PRDE,actvstrat=,0.174578, actvprof=,2.680195, id=,B03, PRDE,actvstrat=,0.121177, actvprof=,2.416161, id=,B04, PRDE,actvstrat=,0.095457, actvprof=,2.290187, id=,B05, PRDE,actvstrat=,-0.832722, actvprof=,3.658826, id=,B06, PRDE,actvstrat=,-0.106607, actvprof=,2.348938, id=,B07, PRDE,actvstrat=,0.031994, actvprof=,2.243658, id=,B08, PRDE,actvstrat=,0.334312, actvprof=,2.832698, id=,B09, PRDE,actvstrat=,0.083239, actvprof=,2.412828, id=,S00, PRDE,actvstrat=,0.026941, actvprof=,5.453725, id=,S01, PRDE,actvstrat=,0.376308, actvprof=,6.927228, id=,S02, PRDE,actvstrat=,0.586162, actvprof=,8.101558, id=,S03, PRDE,actvstrat=,0.435028, actvprof=,7.294735, id=,S04, PRDE,actvstrat=,-0.872818, actvprof=,0.624735, id=,S05, PRDE,actvstrat=,0.907985, actvprof=,9.821732, id=,S06, PRDE,actvstrat=,0.515624, actvprof=,7.570991, id=,S07, PRDE,actvstrat=,-0.531317, actvprof=,2.682834, id=,S08, PRDE,actvstrat=,-0.050068, actvprof=,4.719959, id=,S09, PRDE,actvstrat=,0.112578, actvprof=,5.685813, best_B_id=,B05, best_B_prof=,3.658826, best_B_strat=,-0.832722, best_S_id=,S05, best_S_prof=,9.821732, best_S_strat=,0.907985, 
