t=,1, id=,B00, PRDE,actvstrat=,-0.373409, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.450921, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.170279, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.388937, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.042801, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.552263, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.293316, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.373879, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.380500, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.291092, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.563378, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.578310, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.226929, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.034665, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.453952, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.340590, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.239796, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.958322, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.589535, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.062803, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.373409, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.563378, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.373409, actvprof=,2.528889, id=,B01, PRDE,actvstrat=,0.450921, actvprof=,2.994444, id=,B02, PRDE,actvstrat=,0.170279, actvprof=,2.684722, id=,B03, PRDE,actvstrat=,0.388937, actvprof=,3.215278, id=,B04, PRDE,actvstrat=,-0.042801, actvprof=,2.834167, id=,B05, PRDE,actvstrat=,-0.552263, actvprof=,3.153333, id=,B06, PRDE,actvstrat=,-0.293316, actvprof=,2.610000, id=,B07, PRDE,actvstrat=,0.373879, actvprof=,3.020833, id=,B08, PRDE,actvstrat=,0.380500, actvprof=,3.165833, id=,B09, PRDE,actvstrat=,0.291092, actvprof=,2.891667, id=,S00, PRDE,actvstrat=,-0.563378, actvprof=,3.317778, id=,S01, PRDE,actvstrat=,0.578310, actvprof=,8.065278, id=,S02, PRDE,actvstrat=,0.226929, actvprof=,6.856944, id=,S03, PRDE,actvstrat=,0.034665, actvprof=,5.658889, id=,S04, PRDE,actvstrat=,-0.453952, actvprof=,3.251944, id=,S05, PRDE,actvstrat=,0.340590, actvprof=,7.486389, id=,S06, PRDE,actvstrat=,0.239796, actvprof=,6.607222, id=,S07, PRDE,actvstrat=,0.958322, actvprof=,9.068333, id=,S08, PRDE,actvstrat=,-0.589535, actvprof=,3.332778, id=,S09, PRDE,actvstrat=,-0.062803, actvprof=,4.699722, best_B_id=,B03, best_B_prof=,3.215278, best_B_strat=,0.388937, best_S_id=,S07, best_S_prof=,9.068333, best_S_strat=,0.958322, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.041329, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.607408, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.693017, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.548401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.237991, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.262408, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.545170, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.833636, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.658358, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.277435, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.146198, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.194742, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.401915, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.167822, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.931062, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.885646, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.036912, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.190026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.682767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.933669, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.041329, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.146198, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.041329, actvprof=,1.649977, id=,B01, PRDE,actvstrat=,0.607408, actvprof=,1.973861, id=,B02, PRDE,actvstrat=,0.693017, actvprof=,2.153303, id=,B03, PRDE,actvstrat=,-0.548401, actvprof=,1.610811, id=,B04, PRDE,actvstrat=,-0.237991, actvprof=,1.306093, id=,B05, PRDE,actvstrat=,0.262408, actvprof=,1.863863, id=,B06, PRDE,actvstrat=,-0.545170, actvprof=,1.447480, id=,B07, PRDE,actvstrat=,0.833636, actvprof=,1.931918, id=,B08, PRDE,actvstrat=,0.658358, actvprof=,1.995250, id=,B09, PRDE,actvstrat=,-0.277435, actvprof=,1.463313, id=,S00, PRDE,actvstrat=,-0.146198, actvprof=,4.787156, id=,S01, PRDE,actvstrat=,-0.194742, actvprof=,4.521048, id=,S02, PRDE,actvstrat=,-0.401915, actvprof=,3.591895, id=,S03, PRDE,actvstrat=,0.167822, actvprof=,7.082679, id=,S04, PRDE,actvstrat=,0.931062, actvprof=,10.965125, id=,S05, PRDE,actvstrat=,0.885646, actvprof=,10.883738, id=,S06, PRDE,actvstrat=,-0.036912, actvprof=,6.045472, id=,S07, PRDE,actvstrat=,-0.190026, actvprof=,4.218830, id=,S08, PRDE,actvstrat=,-0.682767, actvprof=,2.439966, id=,S09, PRDE,actvstrat=,-0.933669, actvprof=,0.711657, best_B_id=,B02, best_B_prof=,2.153303, best_B_strat=,0.693017, best_S_id=,S04, best_S_prof=,10.965125, best_S_strat=,0.931062, 
t=,14400, id=,B00, PRDE,actvstrat=,0.198218, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.491726, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.239478, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.648780, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.635907, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.325641, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.018996, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.936137, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.658358, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.998738, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.729780, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.435519, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.969771, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.085736, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.931062, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.839349, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.364107, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.509364, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.096464, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.155441, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.198218, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.729780, 
t=,18000, id=,B00, PRDE,actvstrat=,0.198218, actvprof=,2.016944, id=,B01, PRDE,actvstrat=,0.491726, actvprof=,2.575833, id=,B02, PRDE,actvstrat=,-0.239478, actvprof=,1.891389, id=,B03, PRDE,actvstrat=,0.648780, actvprof=,2.615000, id=,B04, PRDE,actvstrat=,-0.635907, actvprof=,2.699167, id=,B05, PRDE,actvstrat=,-0.325641, actvprof=,2.114444, id=,B06, PRDE,actvstrat=,-0.018996, actvprof=,2.103056, id=,B07, PRDE,actvstrat=,0.936137, actvprof=,1.610278, id=,B08, PRDE,actvstrat=,0.658358, actvprof=,2.434722, id=,B09, PRDE,actvstrat=,-0.998738, actvprof=,2.947222, id=,S00, PRDE,actvstrat=,-0.729780, actvprof=,2.056667, id=,S01, PRDE,actvstrat=,-0.435519, actvprof=,3.335833, id=,S02, PRDE,actvstrat=,0.969771, actvprof=,10.579444, id=,S03, PRDE,actvstrat=,-0.085736, actvprof=,4.961389, id=,S04, PRDE,actvstrat=,0.931062, actvprof=,10.773889, id=,S05, PRDE,actvstrat=,0.839349, actvprof=,10.550556, id=,S06, PRDE,actvstrat=,0.364107, actvprof=,7.596944, id=,S07, PRDE,actvstrat=,-0.509364, actvprof=,2.653056, id=,S08, PRDE,actvstrat=,0.096464, actvprof=,6.646389, id=,S09, PRDE,actvstrat=,0.155441, actvprof=,6.748889, best_B_id=,B09, best_B_prof=,2.947222, best_B_strat=,-0.998738, best_S_id=,S04, best_S_prof=,10.773889, best_S_strat=,0.931062, 
t=,21600, id=,B00, PRDE,actvstrat=,0.198218, actvprof=,2.185417, id=,B01, PRDE,actvstrat=,0.491726, actvprof=,2.605694, id=,B02, PRDE,actvstrat=,-0.239478, actvprof=,2.003889, id=,B03, PRDE,actvstrat=,0.648780, actvprof=,2.629444, id=,B04, PRDE,actvstrat=,-0.635907, actvprof=,2.716250, id=,B05, PRDE,actvstrat=,-0.325641, actvprof=,2.092778, id=,B06, PRDE,actvstrat=,-0.018996, actvprof=,2.163472, id=,B07, PRDE,actvstrat=,0.936137, actvprof=,1.574722, id=,B08, PRDE,actvstrat=,0.658358, actvprof=,2.651528, id=,B09, PRDE,actvstrat=,-0.998738, actvprof=,2.968333, id=,S00, PRDE,actvstrat=,-0.729780, actvprof=,2.088194, id=,S01, PRDE,actvstrat=,-0.435519, actvprof=,3.114861, id=,S02, PRDE,actvstrat=,0.969771, actvprof=,10.276111, id=,S03, PRDE,actvstrat=,-0.085736, actvprof=,4.922639, id=,S04, PRDE,actvstrat=,0.931062, actvprof=,10.724722, id=,S05, PRDE,actvstrat=,0.839349, actvprof=,10.414167, id=,S06, PRDE,actvstrat=,0.364107, actvprof=,7.574167, id=,S07, PRDE,actvstrat=,-0.509364, actvprof=,2.974167, id=,S08, PRDE,actvstrat=,0.096464, actvprof=,6.612361, id=,S09, PRDE,actvstrat=,0.155441, actvprof=,6.507083, best_B_id=,B09, best_B_prof=,2.968333, best_B_strat=,-0.998738, best_S_id=,S04, best_S_prof=,10.724722, best_S_strat=,0.931062, 
t=,25200, id=,B00, PRDE,actvstrat=,0.712354, actvprof=,1.412261, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.446124, id=,B02, PRDE,actvstrat=,-0.324975, actvprof=,0.965582, id=,B03, PRDE,actvstrat=,0.772508, actvprof=,1.470041, id=,B04, PRDE,actvstrat=,0.768297, actvprof=,1.561432, id=,B05, PRDE,actvstrat=,0.726195, actvprof=,1.517264, id=,B06, PRDE,actvstrat=,-0.075956, actvprof=,0.933915, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.344732, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.573627, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.891969, id=,S00, PRDE,actvstrat=,0.738218, actvprof=,12.246451, id=,S01, PRDE,actvstrat=,-0.665571, actvprof=,3.424540, id=,S02, PRDE,actvstrat=,-0.672000, actvprof=,4.244007, id=,S03, PRDE,actvstrat=,0.419279, actvprof=,9.707214, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.975916, id=,S05, PRDE,actvstrat=,0.821235, actvprof=,13.054529, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.855690, id=,S07, PRDE,actvstrat=,0.033221, actvprof=,7.744937, id=,S08, PRDE,actvstrat=,0.306375, actvprof=,9.084419, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.570127, best_B_id=,B04, best_B_prof=,1.561432, best_B_strat=,0.768297, best_S_id=,S05, best_S_prof=,13.054529, best_S_strat=,0.821235, 
t=,28800, id=,B00, PRDE,actvstrat=,0.712354, actvprof=,1.488066, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.491531, id=,B02, PRDE,actvstrat=,-0.324975, actvprof=,1.110702, id=,B03, PRDE,actvstrat=,0.772508, actvprof=,1.574872, id=,B04, PRDE,actvstrat=,0.768297, actvprof=,1.604039, id=,B05, PRDE,actvstrat=,0.726195, actvprof=,1.511122, id=,B06, PRDE,actvstrat=,-0.075956, actvprof=,1.085841, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.422086, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.538615, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.064035, id=,S00, PRDE,actvstrat=,0.738218, actvprof=,12.323558, id=,S01, PRDE,actvstrat=,-0.665571, actvprof=,3.475441, id=,S02, PRDE,actvstrat=,-0.672000, actvprof=,4.008639, id=,S03, PRDE,actvstrat=,0.419279, actvprof=,9.664928, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.846617, id=,S05, PRDE,actvstrat=,0.821235, actvprof=,12.788978, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.008507, id=,S07, PRDE,actvstrat=,0.033221, actvprof=,7.701026, id=,S08, PRDE,actvstrat=,0.306375, actvprof=,8.929229, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.096147, best_B_id=,B04, best_B_prof=,1.604039, best_B_strat=,0.768297, best_S_id=,S04, best_S_prof=,12.846617, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.712354, actvprof=,1.999500, id=,B01, PRDE,actvstrat=,0.491726, actvprof=,1.862552, id=,B02, PRDE,actvstrat=,0.693017, actvprof=,2.016167, id=,B03, PRDE,actvstrat=,0.772508, actvprof=,2.047279, id=,B04, PRDE,actvstrat=,-0.924980, actvprof=,2.607572, id=,B05, PRDE,actvstrat=,0.262408, actvprof=,1.740048, id=,B06, PRDE,actvstrat=,0.469721, actvprof=,1.856996, id=,B07, PRDE,actvstrat=,-0.056079, actvprof=,1.391150, id=,B08, PRDE,actvstrat=,-0.640162, actvprof=,1.768382, id=,B09, PRDE,actvstrat=,-0.998738, actvprof=,2.615906, id=,S00, PRDE,actvstrat=,0.738218, actvprof=,10.218617, id=,S01, PRDE,actvstrat=,-0.964317, actvprof=,1.127254, id=,S02, PRDE,actvstrat=,-0.217241, actvprof=,4.148171, id=,S03, PRDE,actvstrat=,0.419279, actvprof=,8.551626, id=,S04, PRDE,actvstrat=,-0.762999, actvprof=,1.980333, id=,S05, PRDE,actvstrat=,0.885646, actvprof=,11.211145, id=,S06, PRDE,actvstrat=,0.628272, actvprof=,9.618878, id=,S07, PRDE,actvstrat=,0.852377, actvprof=,11.149754, id=,S08, PRDE,actvstrat=,-0.714250, actvprof=,2.557293, id=,S09, PRDE,actvstrat=,0.404151, actvprof=,8.178283, best_B_id=,B09, best_B_prof=,2.615906, best_B_strat=,-0.998738, best_S_id=,S05, best_S_prof=,11.211145, best_S_strat=,0.885646, 
t=,36000, id=,B00, PRDE,actvstrat=,0.712354, actvprof=,2.093794, id=,B01, PRDE,actvstrat=,0.491726, actvprof=,1.734064, id=,B02, PRDE,actvstrat=,0.693017, actvprof=,2.005181, id=,B03, PRDE,actvstrat=,0.772508, actvprof=,2.069904, id=,B04, PRDE,actvstrat=,-0.924980, actvprof=,2.596026, id=,B05, PRDE,actvstrat=,0.262408, actvprof=,1.725869, id=,B06, PRDE,actvstrat=,0.469721, actvprof=,1.910318, id=,B07, PRDE,actvstrat=,-0.056079, actvprof=,1.391140, id=,B08, PRDE,actvstrat=,-0.640162, actvprof=,1.645312, id=,B09, PRDE,actvstrat=,-0.998738, actvprof=,2.575887, id=,S00, PRDE,actvstrat=,0.738218, actvprof=,10.276047, id=,S01, PRDE,actvstrat=,-0.964317, actvprof=,1.048772, id=,S02, PRDE,actvstrat=,-0.217241, actvprof=,4.006195, id=,S03, PRDE,actvstrat=,0.419279, actvprof=,8.431426, id=,S04, PRDE,actvstrat=,-0.762999, actvprof=,2.034626, id=,S05, PRDE,actvstrat=,0.885646, actvprof=,11.238429, id=,S06, PRDE,actvstrat=,0.628272, actvprof=,9.491587, id=,S07, PRDE,actvstrat=,0.852377, actvprof=,11.140371, id=,S08, PRDE,actvstrat=,-0.714250, actvprof=,2.496858, id=,S09, PRDE,actvstrat=,0.404151, actvprof=,8.034473, best_B_id=,B04, best_B_prof=,2.596026, best_B_strat=,-0.924980, best_S_id=,S05, best_S_prof=,11.238429, best_S_strat=,0.885646, 
