t=,0, id=,B00, PRDE,actvstrat=,-0.106783, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.744665, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.126105, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.707210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.978079, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.688211, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.744647, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.262479, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.280573, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.603239, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.357618, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.981331, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.006873, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.087630, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.494050, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.286202, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.562225, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.218064, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.257197, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.416933, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.106783, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.357618, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.106783, actvprof=,1.487778, id=,B01, PRDE,actvstrat=,-0.744665, actvprof=,1.905833, id=,B02, PRDE,actvstrat=,0.126105, actvprof=,1.713056, id=,B03, PRDE,actvstrat=,-0.707210, actvprof=,1.756667, id=,B04, PRDE,actvstrat=,0.978079, actvprof=,1.211944, id=,B05, PRDE,actvstrat=,0.688211, actvprof=,2.202222, id=,B06, PRDE,actvstrat=,-0.744647, actvprof=,1.745833, id=,B07, PRDE,actvstrat=,-0.262479, actvprof=,1.348333, id=,B08, PRDE,actvstrat=,0.280573, actvprof=,1.972222, id=,B09, PRDE,actvstrat=,0.603239, actvprof=,2.113056, id=,S00, PRDE,actvstrat=,-0.357618, actvprof=,4.325000, id=,S01, PRDE,actvstrat=,-0.981331, actvprof=,2.668056, id=,S02, PRDE,actvstrat=,0.006873, actvprof=,6.575833, id=,S03, PRDE,actvstrat=,0.087630, actvprof=,7.157500, id=,S04, PRDE,actvstrat=,-0.494050, actvprof=,4.258333, id=,S05, PRDE,actvstrat=,-0.286202, actvprof=,4.462500, id=,S06, PRDE,actvstrat=,-0.562225, actvprof=,4.162778, id=,S07, PRDE,actvstrat=,0.218064, actvprof=,7.958333, id=,S08, PRDE,actvstrat=,0.257197, actvprof=,8.084722, id=,S09, PRDE,actvstrat=,-0.416933, actvprof=,4.134444, best_B_id=,B05, best_B_prof=,2.202222, best_B_strat=,0.688211, best_S_id=,S08, best_S_prof=,8.084722, best_S_strat=,0.257197, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.301876, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.840045, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.009904, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841493, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.828154, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.618514, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.252532, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.631929, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.047226, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.576336, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.819710, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.775805, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.561399, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.657149, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.198903, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.539868, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.415201, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.025102, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.938613, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.031509, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.301876, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.819710, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.301876, actvprof=,0.704990, id=,B01, PRDE,actvstrat=,-0.840045, actvprof=,1.409703, id=,B02, PRDE,actvstrat=,-0.009904, actvprof=,0.891099, id=,B03, PRDE,actvstrat=,-0.841493, actvprof=,1.305260, id=,B04, PRDE,actvstrat=,0.828154, actvprof=,1.580256, id=,B05, PRDE,actvstrat=,-0.618514, actvprof=,0.758323, id=,B06, PRDE,actvstrat=,-0.252532, actvprof=,0.745823, id=,B07, PRDE,actvstrat=,0.631929, actvprof=,1.567756, id=,B08, PRDE,actvstrat=,0.047226, actvprof=,0.926654, id=,B09, PRDE,actvstrat=,0.576336, actvprof=,1.420258, id=,S00, PRDE,actvstrat=,-0.819710, actvprof=,1.504146, id=,S01, PRDE,actvstrat=,-0.775805, actvprof=,1.781920, id=,S02, PRDE,actvstrat=,-0.561399, actvprof=,3.020514, id=,S03, PRDE,actvstrat=,0.657149, actvprof=,9.754587, id=,S04, PRDE,actvstrat=,0.198903, actvprof=,7.322398, id=,S05, PRDE,actvstrat=,-0.539868, actvprof=,3.451341, id=,S06, PRDE,actvstrat=,-0.415201, actvprof=,3.200789, id=,S07, PRDE,actvstrat=,-0.025102, actvprof=,5.829363, id=,S08, PRDE,actvstrat=,-0.938613, actvprof=,0.391661, id=,S09, PRDE,actvstrat=,-0.031509, actvprof=,5.810197, best_B_id=,B04, best_B_prof=,1.580256, best_B_strat=,0.828154, best_S_id=,S03, best_S_prof=,9.754587, best_S_strat=,0.657149, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.301876, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.156678, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.266161, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.810355, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.566194, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.184666, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.252532, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.631929, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.314043, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.258894, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.357618, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.775805, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.036627, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.932299, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.210541, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.222204, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.141887, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.147253, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.257197, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.381532, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.301876, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.357618, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.301876, actvprof=,1.903003, id=,B01, PRDE,actvstrat=,0.156678, actvprof=,2.241604, id=,B02, PRDE,actvstrat=,-0.266161, actvprof=,1.712452, id=,B03, PRDE,actvstrat=,0.810355, actvprof=,2.442988, id=,B04, PRDE,actvstrat=,-0.566194, actvprof=,2.244938, id=,B05, PRDE,actvstrat=,0.184666, actvprof=,1.936335, id=,B06, PRDE,actvstrat=,-0.252532, actvprof=,1.936613, id=,B07, PRDE,actvstrat=,0.631929, actvprof=,2.749924, id=,B08, PRDE,actvstrat=,-0.314043, actvprof=,1.830505, id=,B09, PRDE,actvstrat=,-0.258894, actvprof=,1.897725, id=,S00, PRDE,actvstrat=,-0.357618, actvprof=,2.904642, id=,S01, PRDE,actvstrat=,-0.775805, actvprof=,1.300797, id=,S02, PRDE,actvstrat=,-0.036627, actvprof=,5.164857, id=,S03, PRDE,actvstrat=,0.932299, actvprof=,9.738063, id=,S04, PRDE,actvstrat=,0.210541, actvprof=,6.378712, id=,S05, PRDE,actvstrat=,-0.222204, actvprof=,3.386850, id=,S06, PRDE,actvstrat=,0.141887, actvprof=,6.059832, id=,S07, PRDE,actvstrat=,0.147253, actvprof=,6.163440, id=,S08, PRDE,actvstrat=,0.257197, actvprof=,6.475653, id=,S09, PRDE,actvstrat=,-0.381532, actvprof=,2.751312, best_B_id=,B07, best_B_prof=,2.749924, best_B_strat=,0.631929, best_S_id=,S03, best_S_prof=,9.738063, best_S_strat=,0.932299, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.301876, actvprof=,1.913472, id=,B01, PRDE,actvstrat=,0.156678, actvprof=,2.172917, id=,B02, PRDE,actvstrat=,-0.266161, actvprof=,1.807778, id=,B03, PRDE,actvstrat=,0.810355, actvprof=,2.381944, id=,B04, PRDE,actvstrat=,-0.566194, actvprof=,2.266806, id=,B05, PRDE,actvstrat=,0.184666, actvprof=,2.010694, id=,B06, PRDE,actvstrat=,-0.252532, actvprof=,1.939306, id=,B07, PRDE,actvstrat=,0.631929, actvprof=,2.701667, id=,B08, PRDE,actvstrat=,-0.314043, actvprof=,1.793889, id=,B09, PRDE,actvstrat=,-0.258894, actvprof=,1.888194, id=,S00, PRDE,actvstrat=,-0.357618, actvprof=,2.985556, id=,S01, PRDE,actvstrat=,-0.775805, actvprof=,1.546111, id=,S02, PRDE,actvstrat=,-0.036627, actvprof=,5.140694, id=,S03, PRDE,actvstrat=,0.932299, actvprof=,9.821250, id=,S04, PRDE,actvstrat=,0.210541, actvprof=,6.261528, id=,S05, PRDE,actvstrat=,-0.222204, actvprof=,3.276389, id=,S06, PRDE,actvstrat=,0.141887, actvprof=,5.830139, id=,S07, PRDE,actvstrat=,0.147253, actvprof=,6.022778, id=,S08, PRDE,actvstrat=,0.257197, actvprof=,6.317778, id=,S09, PRDE,actvstrat=,-0.381532, actvprof=,2.765556, best_B_id=,B07, best_B_prof=,2.701667, best_B_strat=,0.631929, best_S_id=,S03, best_S_prof=,9.821250, best_S_strat=,0.932299, 
t=,25200, id=,B00, PRDE,actvstrat=,0.210172, actvprof=,0.692232, id=,B01, PRDE,actvstrat=,-0.840045, actvprof=,1.237517, id=,B02, PRDE,actvstrat=,0.403414, actvprof=,1.097515, id=,B03, PRDE,actvstrat=,-0.841493, actvprof=,1.272518, id=,B04, PRDE,actvstrat=,0.609118, actvprof=,1.214184, id=,B05, PRDE,actvstrat=,0.114851, actvprof=,0.789455, id=,B06, PRDE,actvstrat=,0.664330, actvprof=,1.083348, id=,B07, PRDE,actvstrat=,-0.761661, actvprof=,0.868068, id=,B08, PRDE,actvstrat=,0.992922, actvprof=,0.436395, id=,B09, PRDE,actvstrat=,0.576336, actvprof=,1.189183, id=,S00, PRDE,actvstrat=,-0.058642, actvprof=,5.931749, id=,S01, PRDE,actvstrat=,-0.995525, actvprof=,1.958361, id=,S02, PRDE,actvstrat=,-0.549438, actvprof=,3.901165, id=,S03, PRDE,actvstrat=,0.366433, actvprof=,8.754566, id=,S04, PRDE,actvstrat=,0.021256, actvprof=,7.030098, id=,S05, PRDE,actvstrat=,-0.904432, actvprof=,0.505563, id=,S06, PRDE,actvstrat=,-0.900644, actvprof=,0.652509, id=,S07, PRDE,actvstrat=,0.604210, actvprof=,10.341810, id=,S08, PRDE,actvstrat=,-0.259705, actvprof=,4.679509, id=,S09, PRDE,actvstrat=,-0.039500, actvprof=,6.787316, best_B_id=,B03, best_B_prof=,1.272518, best_B_strat=,-0.841493, best_S_id=,S07, best_S_prof=,10.341810, best_S_strat=,0.604210, 
t=,28800, id=,B00, PRDE,actvstrat=,0.210172, actvprof=,0.742505, id=,B01, PRDE,actvstrat=,-0.840045, actvprof=,1.184869, id=,B02, PRDE,actvstrat=,0.403414, actvprof=,0.998479, id=,B03, PRDE,actvstrat=,-0.841493, actvprof=,1.259731, id=,B04, PRDE,actvstrat=,0.609118, actvprof=,1.180564, id=,B05, PRDE,actvstrat=,0.114851, actvprof=,0.729727, id=,B06, PRDE,actvstrat=,0.664330, actvprof=,1.127786, id=,B07, PRDE,actvstrat=,-0.761661, actvprof=,0.872506, id=,B08, PRDE,actvstrat=,0.992922, actvprof=,0.465559, id=,B09, PRDE,actvstrat=,0.576336, actvprof=,1.123619, id=,S00, PRDE,actvstrat=,-0.058642, actvprof=,6.249766, id=,S01, PRDE,actvstrat=,-0.995525, actvprof=,2.029736, id=,S02, PRDE,actvstrat=,-0.549438, actvprof=,3.856138, id=,S03, PRDE,actvstrat=,0.366433, actvprof=,8.864784, id=,S04, PRDE,actvstrat=,0.021256, actvprof=,6.975326, id=,S05, PRDE,actvstrat=,-0.904432, actvprof=,0.591532, id=,S06, PRDE,actvstrat=,-0.900644, actvprof=,0.599171, id=,S07, PRDE,actvstrat=,0.604210, actvprof=,10.125070, id=,S08, PRDE,actvstrat=,-0.259705, actvprof=,4.527670, id=,S09, PRDE,actvstrat=,-0.039500, actvprof=,6.562546, best_B_id=,B03, best_B_prof=,1.259731, best_B_strat=,-0.841493, best_S_id=,S07, best_S_prof=,10.125070, best_S_strat=,0.604210, 
t=,32400, id=,B00, PRDE,actvstrat=,0.497524, actvprof=,2.383955, id=,B01, PRDE,actvstrat=,-0.724203, actvprof=,2.644796, id=,B02, PRDE,actvstrat=,-0.753944, actvprof=,2.654518, id=,B03, PRDE,actvstrat=,-0.766287, actvprof=,2.759243, id=,B04, PRDE,actvstrat=,0.828154, actvprof=,2.299786, id=,B05, PRDE,actvstrat=,0.114851, actvprof=,1.940609, id=,B06, PRDE,actvstrat=,-0.249266, actvprof=,1.933665, id=,B07, PRDE,actvstrat=,0.282499, actvprof=,2.168671, id=,B08, PRDE,actvstrat=,0.047226, actvprof=,1.847551, id=,B09, PRDE,actvstrat=,0.840832, actvprof=,2.309231, id=,S00, PRDE,actvstrat=,-0.058642, actvprof=,5.144865, id=,S01, PRDE,actvstrat=,-0.537332, actvprof=,2.612850, id=,S02, PRDE,actvstrat=,0.089155, actvprof=,6.012389, id=,S03, PRDE,actvstrat=,0.657149, actvprof=,8.962471, id=,S04, PRDE,actvstrat=,0.021256, actvprof=,6.082947, id=,S05, PRDE,actvstrat=,-0.341963, actvprof=,3.501208, id=,S06, PRDE,actvstrat=,0.321644, actvprof=,7.006028, id=,S07, PRDE,actvstrat=,-0.668826, actvprof=,2.330898, id=,S08, PRDE,actvstrat=,0.795433, actvprof=,9.863052, id=,S09, PRDE,actvstrat=,0.853448, actvprof=,10.054724, best_B_id=,B03, best_B_prof=,2.759243, best_B_strat=,-0.766287, best_S_id=,S09, best_S_prof=,10.054724, best_S_strat=,0.853448, 
t=,36000, id=,B00, PRDE,actvstrat=,0.497524, actvprof=,2.362239, id=,B01, PRDE,actvstrat=,-0.724203, actvprof=,2.515712, id=,B02, PRDE,actvstrat=,-0.753944, actvprof=,2.776825, id=,B03, PRDE,actvstrat=,-0.766287, actvprof=,2.837381, id=,B04, PRDE,actvstrat=,0.828154, actvprof=,2.281405, id=,B05, PRDE,actvstrat=,0.114851, actvprof=,1.896124, id=,B06, PRDE,actvstrat=,-0.249266, actvprof=,1.946402, id=,B07, PRDE,actvstrat=,0.282499, actvprof=,2.120570, id=,B08, PRDE,actvstrat=,0.047226, actvprof=,1.840152, id=,B09, PRDE,actvstrat=,0.840832, actvprof=,2.224460, id=,S00, PRDE,actvstrat=,-0.058642, actvprof=,5.149341, id=,S01, PRDE,actvstrat=,-0.537332, actvprof=,2.730991, id=,S02, PRDE,actvstrat=,0.089155, actvprof=,6.035736, id=,S03, PRDE,actvstrat=,0.657149, actvprof=,9.183119, id=,S04, PRDE,actvstrat=,0.021256, actvprof=,6.036709, id=,S05, PRDE,actvstrat=,-0.341963, actvprof=,3.390996, id=,S06, PRDE,actvstrat=,0.321644, actvprof=,6.793381, id=,S07, PRDE,actvstrat=,-0.668826, actvprof=,2.476962, id=,S08, PRDE,actvstrat=,0.795433, actvprof=,9.869096, id=,S09, PRDE,actvstrat=,0.853448, actvprof=,10.066320, best_B_id=,B03, best_B_prof=,2.837381, best_B_strat=,-0.766287, best_S_id=,S09, best_S_prof=,10.066320, best_S_strat=,0.853448, 
