t=,1, id=,B00, PRDE,actvstrat=,0.162304, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.366294, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.496158, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.059261, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.925130, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.037881, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.430865, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.212564, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.650656, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.311469, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.538980, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.228385, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.940996, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.806086, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.188763, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.775167, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.362790, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.656275, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.921099, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.276210, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.162304, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.538980, 
t=,3600, id=,B00, PRDE,actvstrat=,0.162304, actvprof=,2.925000, id=,B01, PRDE,actvstrat=,0.366294, actvprof=,3.250000, id=,B02, PRDE,actvstrat=,-0.496158, actvprof=,2.790278, id=,B03, PRDE,actvstrat=,-0.059261, actvprof=,2.848889, id=,B04, PRDE,actvstrat=,-0.925130, actvprof=,3.912778, id=,B05, PRDE,actvstrat=,0.037881, actvprof=,2.657500, id=,B06, PRDE,actvstrat=,0.430865, actvprof=,3.148889, id=,B07, PRDE,actvstrat=,-0.212564, actvprof=,2.768333, id=,B08, PRDE,actvstrat=,-0.650656, actvprof=,3.376389, id=,B09, PRDE,actvstrat=,0.311469, actvprof=,3.020278, id=,S00, PRDE,actvstrat=,-0.538980, actvprof=,2.438611, id=,S01, PRDE,actvstrat=,0.228385, actvprof=,5.892778, id=,S02, PRDE,actvstrat=,-0.940996, actvprof=,1.093056, id=,S03, PRDE,actvstrat=,0.806086, actvprof=,9.016667, id=,S04, PRDE,actvstrat=,-0.188763, actvprof=,3.029722, id=,S05, PRDE,actvstrat=,0.775167, actvprof=,8.716389, id=,S06, PRDE,actvstrat=,0.362790, actvprof=,6.514444, id=,S07, PRDE,actvstrat=,0.656275, actvprof=,8.011111, id=,S08, PRDE,actvstrat=,0.921099, actvprof=,9.048056, id=,S09, PRDE,actvstrat=,-0.276210, actvprof=,2.940833, best_B_id=,B04, best_B_prof=,3.912778, best_B_strat=,-0.925130, best_S_id=,S08, best_S_prof=,9.048056, best_S_strat=,0.921099, 
t=,7200, id=,B00, PRDE,actvstrat=,0.505120, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.053025, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147574, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.585451, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.892306, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.570064, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.146939, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.963251, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.104035, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.856375, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.344868, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.952826, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.901641, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.376437, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.580223, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.009505, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.799595, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.868963, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.130380, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.473597, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.505120, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.344868, 
t=,10800, id=,B00, PRDE,actvstrat=,0.505120, actvprof=,2.945711, id=,B01, PRDE,actvstrat=,0.053025, actvprof=,2.451842, id=,B02, PRDE,actvstrat=,-0.147574, actvprof=,2.258517, id=,B03, PRDE,actvstrat=,-0.585451, actvprof=,2.489618, id=,B04, PRDE,actvstrat=,-0.892306, actvprof=,3.584017, id=,B05, PRDE,actvstrat=,-0.570064, actvprof=,2.484896, id=,B06, PRDE,actvstrat=,-0.146939, actvprof=,2.227963, id=,B07, PRDE,actvstrat=,-0.963251, actvprof=,4.054553, id=,B08, PRDE,actvstrat=,-0.104035, actvprof=,2.391289, id=,B09, PRDE,actvstrat=,-0.856375, actvprof=,3.392914, id=,S00, PRDE,actvstrat=,-0.344868, actvprof=,2.848215, id=,S01, PRDE,actvstrat=,0.952826, actvprof=,8.912962, id=,S02, PRDE,actvstrat=,0.901641, actvprof=,9.334889, id=,S03, PRDE,actvstrat=,-0.376437, actvprof=,2.112134, id=,S04, PRDE,actvstrat=,-0.580223, actvprof=,2.022138, id=,S05, PRDE,actvstrat=,-0.009505, actvprof=,4.461481, id=,S06, PRDE,actvstrat=,-0.799595, actvprof=,1.213283, id=,S07, PRDE,actvstrat=,0.868963, actvprof=,9.122120, id=,S08, PRDE,actvstrat=,-0.130380, actvprof=,3.552908, id=,S09, PRDE,actvstrat=,0.473597, actvprof=,6.846381, best_B_id=,B07, best_B_prof=,4.054553, best_B_strat=,-0.963251, best_S_id=,S02, best_S_prof=,9.334889, best_S_strat=,0.901641, 
t=,14400, id=,B00, PRDE,actvstrat=,0.028147, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.923200, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.611612, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.193472, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.655000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.030705, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.414753, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.095985, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.225375, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.217955, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.751342, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.541070, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.389253, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.379334, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.985648, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.008704, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.812096, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.451122, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.005107, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.247524, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.028147, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.751342, 
t=,18000, id=,B00, PRDE,actvstrat=,0.028147, actvprof=,2.526702, id=,B01, PRDE,actvstrat=,-0.923200, actvprof=,3.880609, id=,B02, PRDE,actvstrat=,-0.611612, actvprof=,3.279212, id=,B03, PRDE,actvstrat=,0.193472, actvprof=,2.781983, id=,B04, PRDE,actvstrat=,0.655000, actvprof=,2.897262, id=,B05, PRDE,actvstrat=,0.030705, actvprof=,2.671982, id=,B06, PRDE,actvstrat=,0.414753, actvprof=,3.078654, id=,B07, PRDE,actvstrat=,-0.095985, actvprof=,2.588369, id=,B08, PRDE,actvstrat=,0.225375, actvprof=,2.644481, id=,B09, PRDE,actvstrat=,0.217955, actvprof=,2.692815, id=,S00, PRDE,actvstrat=,-0.751342, actvprof=,1.721135, id=,S01, PRDE,actvstrat=,-0.541070, actvprof=,2.546146, id=,S02, PRDE,actvstrat=,0.389253, actvprof=,7.046765, id=,S03, PRDE,actvstrat=,0.379334, actvprof=,7.129821, id=,S04, PRDE,actvstrat=,0.985648, actvprof=,9.370686, id=,S05, PRDE,actvstrat=,-0.008704, actvprof=,5.287851, id=,S06, PRDE,actvstrat=,0.812096, actvprof=,9.375408, id=,S07, PRDE,actvstrat=,0.451122, actvprof=,7.591217, id=,S08, PRDE,actvstrat=,0.005107, actvprof=,5.538132, id=,S09, PRDE,actvstrat=,0.247524, actvprof=,6.396478, best_B_id=,B01, best_B_prof=,3.880609, best_B_strat=,-0.923200, best_S_id=,S06, best_S_prof=,9.375408, best_S_strat=,0.812096, 
t=,21600, id=,B00, PRDE,actvstrat=,0.028147, actvprof=,2.495990, id=,B01, PRDE,actvstrat=,-0.923200, actvprof=,3.955444, id=,B02, PRDE,actvstrat=,-0.611612, actvprof=,3.167939, id=,B03, PRDE,actvstrat=,0.193472, actvprof=,2.806547, id=,B04, PRDE,actvstrat=,0.655000, actvprof=,2.956826, id=,B05, PRDE,actvstrat=,0.030705, actvprof=,2.644879, id=,B06, PRDE,actvstrat=,0.414753, actvprof=,2.961826, id=,B07, PRDE,actvstrat=,-0.095985, actvprof=,2.620852, id=,B08, PRDE,actvstrat=,0.225375, actvprof=,2.773908, id=,B09, PRDE,actvstrat=,0.217955, actvprof=,2.733908, id=,S00, PRDE,actvstrat=,-0.751342, actvprof=,1.676401, id=,S01, PRDE,actvstrat=,-0.541070, actvprof=,2.610574, id=,S02, PRDE,actvstrat=,0.389253, actvprof=,7.038938, id=,S03, PRDE,actvstrat=,0.379334, actvprof=,7.118244, id=,S04, PRDE,actvstrat=,0.985648, actvprof=,9.238259, id=,S05, PRDE,actvstrat=,-0.008704, actvprof=,4.989896, id=,S06, PRDE,actvstrat=,0.812096, actvprof=,9.470205, id=,S07, PRDE,actvstrat=,0.451122, actvprof=,7.628803, id=,S08, PRDE,actvstrat=,0.005107, actvprof=,5.350870, id=,S09, PRDE,actvstrat=,0.247524, actvprof=,6.326988, best_B_id=,B01, best_B_prof=,3.955444, best_B_strat=,-0.923200, best_S_id=,S06, best_S_prof=,9.470205, best_S_strat=,0.812096, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.162035, id=,B01, PRDE,actvstrat=,0.373054, actvprof=,2.158145, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.115324, id=,B03, PRDE,actvstrat=,0.939765, actvprof=,1.384224, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.241482, id=,B05, PRDE,actvstrat=,-0.444225, actvprof=,2.113421, id=,B06, PRDE,actvstrat=,-0.817038, actvprof=,2.471214, id=,B07, PRDE,actvstrat=,0.487942, actvprof=,2.107866, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.938650, id=,B09, PRDE,actvstrat=,-0.650362, actvprof=,2.243705, id=,S00, PRDE,actvstrat=,0.732987, actvprof=,10.781560, id=,S01, PRDE,actvstrat=,0.690050, actvprof=,10.689334, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.701599, id=,S03, PRDE,actvstrat=,-0.705221, actvprof=,2.996792, id=,S04, PRDE,actvstrat=,0.877405, actvprof=,11.754379, id=,S05, PRDE,actvstrat=,0.763895, actvprof=,10.966846, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.677653, id=,S07, PRDE,actvstrat=,-0.624012, actvprof=,3.298471, id=,S08, PRDE,actvstrat=,-0.434524, actvprof=,3.689598, id=,S09, PRDE,actvstrat=,0.401742, actvprof=,8.778421, best_B_id=,B06, best_B_prof=,2.471214, best_B_strat=,-0.817038, best_S_id=,S04, best_S_prof=,11.754379, best_S_strat=,0.877405, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.158532, id=,B01, PRDE,actvstrat=,0.373054, actvprof=,2.172560, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.137670, id=,B03, PRDE,actvstrat=,0.939765, actvprof=,1.472263, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.163671, id=,B05, PRDE,actvstrat=,-0.444225, actvprof=,1.957415, id=,B06, PRDE,actvstrat=,-0.817038, actvprof=,2.576599, id=,B07, PRDE,actvstrat=,0.487942, actvprof=,2.077002, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.016139, id=,B09, PRDE,actvstrat=,-0.650362, actvprof=,2.267563, id=,S00, PRDE,actvstrat=,0.732987, actvprof=,11.021139, id=,S01, PRDE,actvstrat=,0.690050, actvprof=,10.783772, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.582961, id=,S03, PRDE,actvstrat=,-0.705221, actvprof=,3.028695, id=,S04, PRDE,actvstrat=,0.877405, actvprof=,11.580877, id=,S05, PRDE,actvstrat=,0.763895, actvprof=,11.086280, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.761216, id=,S07, PRDE,actvstrat=,-0.624012, actvprof=,3.256618, id=,S08, PRDE,actvstrat=,-0.434524, actvprof=,3.558016, id=,S09, PRDE,actvstrat=,0.401742, actvprof=,8.843718, best_B_id=,B06, best_B_prof=,2.576599, best_B_strat=,-0.817038, best_S_id=,S02, best_S_prof=,11.582961, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.989457, id=,B01, PRDE,actvstrat=,0.053025, actvprof=,1.593766, id=,B02, PRDE,actvstrat=,-0.929110, actvprof=,2.893337, id=,B03, PRDE,actvstrat=,0.629538, actvprof=,2.268832, id=,B04, PRDE,actvstrat=,0.893217, actvprof=,1.854903, id=,B05, PRDE,actvstrat=,-0.570064, actvprof=,1.837123, id=,B06, PRDE,actvstrat=,-0.504213, actvprof=,1.767672, id=,B07, PRDE,actvstrat=,0.487942, actvprof=,2.079924, id=,B08, PRDE,actvstrat=,0.724891, actvprof=,2.265776, id=,B09, PRDE,actvstrat=,-0.856375, actvprof=,2.578306, id=,S00, PRDE,actvstrat=,0.042283, actvprof=,6.302835, id=,S01, PRDE,actvstrat=,0.690050, actvprof=,9.555373, id=,S02, PRDE,actvstrat=,0.901641, actvprof=,10.846610, id=,S03, PRDE,actvstrat=,-0.509796, actvprof=,3.080855, id=,S04, PRDE,actvstrat=,0.877405, actvprof=,10.529357, id=,S05, PRDE,actvstrat=,-0.998102, actvprof=,3.541455, id=,S06, PRDE,actvstrat=,-0.474995, actvprof=,3.380329, id=,S07, PRDE,actvstrat=,0.451122, actvprof=,8.162738, id=,S08, PRDE,actvstrat=,-0.491157, actvprof=,3.013071, id=,S09, PRDE,actvstrat=,0.527042, actvprof=,8.355812, best_B_id=,B00, best_B_prof=,2.989457, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.846610, best_S_strat=,0.901641, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.910558, id=,B01, PRDE,actvstrat=,0.053025, actvprof=,1.724389, id=,B02, PRDE,actvstrat=,-0.929110, actvprof=,2.769162, id=,B03, PRDE,actvstrat=,0.629538, actvprof=,2.302751, id=,B04, PRDE,actvstrat=,0.893217, actvprof=,1.894259, id=,B05, PRDE,actvstrat=,-0.570064, actvprof=,1.784115, id=,B06, PRDE,actvstrat=,-0.504213, actvprof=,1.698138, id=,B07, PRDE,actvstrat=,0.487942, actvprof=,2.104547, id=,B08, PRDE,actvstrat=,0.724891, actvprof=,2.319002, id=,B09, PRDE,actvstrat=,-0.856375, actvprof=,2.452897, id=,S00, PRDE,actvstrat=,0.042283, actvprof=,6.144604, id=,S01, PRDE,actvstrat=,0.690050, actvprof=,9.625468, id=,S02, PRDE,actvstrat=,0.901641, actvprof=,10.856083, id=,S03, PRDE,actvstrat=,-0.509796, actvprof=,2.949032, id=,S04, PRDE,actvstrat=,0.877405, actvprof=,10.742606, id=,S05, PRDE,actvstrat=,-0.998102, actvprof=,3.576841, id=,S06, PRDE,actvstrat=,-0.474995, actvprof=,3.237102, id=,S07, PRDE,actvstrat=,0.451122, actvprof=,8.099977, id=,S08, PRDE,actvstrat=,-0.491157, actvprof=,3.114596, id=,S09, PRDE,actvstrat=,0.527042, actvprof=,8.553749, best_B_id=,B00, best_B_prof=,2.910558, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.856083, best_S_strat=,0.901641, 
