t=,0, id=,B00, PRDE,actvstrat=,0.553728, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.218463, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.658589, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.394862, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.427038, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.586545, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.105640, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.155878, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.150762, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.643475, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.539230, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.969366, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.781158, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.311308, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.224902, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.121105, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.487594, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.204271, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.281869, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.728242, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.553728, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.539230, 
t=,3600, id=,B00, PRDE,actvstrat=,0.553728, actvprof=,2.956389, id=,B01, PRDE,actvstrat=,-0.218463, actvprof=,2.286667, id=,B02, PRDE,actvstrat=,-0.658589, actvprof=,3.052500, id=,B03, PRDE,actvstrat=,-0.394862, actvprof=,2.419722, id=,B04, PRDE,actvstrat=,0.427038, actvprof=,2.798611, id=,B05, PRDE,actvstrat=,-0.586545, actvprof=,2.891389, id=,B06, PRDE,actvstrat=,-0.105640, actvprof=,2.389167, id=,B07, PRDE,actvstrat=,-0.155878, actvprof=,2.510556, id=,B08, PRDE,actvstrat=,-0.150762, actvprof=,2.444167, id=,B09, PRDE,actvstrat=,0.643475, actvprof=,3.058333, id=,S00, PRDE,actvstrat=,0.539230, actvprof=,7.435000, id=,S01, PRDE,actvstrat=,0.969366, actvprof=,8.928056, id=,S02, PRDE,actvstrat=,0.781158, actvprof=,8.963611, id=,S03, PRDE,actvstrat=,0.311308, actvprof=,6.656111, id=,S04, PRDE,actvstrat=,-0.224902, actvprof=,3.666389, id=,S05, PRDE,actvstrat=,-0.121105, actvprof=,4.303333, id=,S06, PRDE,actvstrat=,-0.487594, actvprof=,2.967222, id=,S07, PRDE,actvstrat=,-0.204271, actvprof=,3.791111, id=,S08, PRDE,actvstrat=,-0.281869, actvprof=,3.475278, id=,S09, PRDE,actvstrat=,-0.728242, actvprof=,1.917500, best_B_id=,B09, best_B_prof=,3.058333, best_B_strat=,0.643475, best_S_id=,S02, best_S_prof=,8.963611, best_S_strat=,0.781158, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.053219, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.429657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.996794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.363380, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.484509, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.449486, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.332554, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.253094, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.462288, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.781344, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.672449, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.423298, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.854261, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.392559, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.998744, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.003667, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.144159, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.988550, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.877203, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.340058, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.053219, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.672449, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.053219, actvprof=,1.872752, id=,B01, PRDE,actvstrat=,-0.429657, actvprof=,1.577756, id=,B02, PRDE,actvstrat=,-0.996794, actvprof=,3.308287, id=,B03, PRDE,actvstrat=,0.363380, actvprof=,2.318301, id=,B04, PRDE,actvstrat=,0.484509, actvprof=,2.268302, id=,B05, PRDE,actvstrat=,0.449486, actvprof=,2.396911, id=,B06, PRDE,actvstrat=,-0.332554, actvprof=,1.706365, id=,B07, PRDE,actvstrat=,-0.253094, actvprof=,1.826919, id=,B08, PRDE,actvstrat=,0.462288, actvprof=,2.199969, id=,B09, PRDE,actvstrat=,-0.781344, actvprof=,2.252191, id=,S00, PRDE,actvstrat=,0.672449, actvprof=,8.608769, id=,S01, PRDE,actvstrat=,0.423298, actvprof=,7.313510, id=,S02, PRDE,actvstrat=,-0.854261, actvprof=,0.860821, id=,S03, PRDE,actvstrat=,-0.392559, actvprof=,2.958570, id=,S04, PRDE,actvstrat=,-0.998744, actvprof=,5.675199, id=,S05, PRDE,actvstrat=,-0.003667, actvprof=,5.127707, id=,S06, PRDE,actvstrat=,0.144159, actvprof=,6.294357, id=,S07, PRDE,actvstrat=,-0.988550, actvprof=,2.397744, id=,S08, PRDE,actvstrat=,0.877203, actvprof=,9.952362, id=,S09, PRDE,actvstrat=,-0.340058, actvprof=,3.015514, best_B_id=,B02, best_B_prof=,3.308287, best_B_strat=,-0.996794, best_S_id=,S08, best_S_prof=,9.952362, best_S_strat=,0.877203, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.527162, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.429657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.882689, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.192168, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.484509, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.449486, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.136756, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.362975, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.355929, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.781344, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.229083, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.423298, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.781158, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.422203, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.864225, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.800094, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.144159, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.625305, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.950449, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.821133, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.527162, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.229083, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.527162, actvprof=,2.284135, id=,B01, PRDE,actvstrat=,-0.429657, actvprof=,2.189970, id=,B02, PRDE,actvstrat=,-0.882689, actvprof=,3.631616, id=,B03, PRDE,actvstrat=,0.192168, actvprof=,2.545798, id=,B04, PRDE,actvstrat=,0.484509, actvprof=,2.682185, id=,B05, PRDE,actvstrat=,0.449486, actvprof=,2.818016, id=,B06, PRDE,actvstrat=,-0.136756, actvprof=,2.314412, id=,B07, PRDE,actvstrat=,-0.362975, actvprof=,1.959139, id=,B08, PRDE,actvstrat=,-0.355929, actvprof=,2.235247, id=,B09, PRDE,actvstrat=,-0.781344, actvprof=,3.204678, id=,S00, PRDE,actvstrat=,-0.229083, actvprof=,2.654130, id=,S01, PRDE,actvstrat=,0.423298, actvprof=,6.564353, id=,S02, PRDE,actvstrat=,0.781158, actvprof=,8.922098, id=,S03, PRDE,actvstrat=,-0.422203, actvprof=,2.457744, id=,S04, PRDE,actvstrat=,0.864225, actvprof=,9.220705, id=,S05, PRDE,actvstrat=,-0.800094, actvprof=,1.102207, id=,S06, PRDE,actvstrat=,0.144159, actvprof=,5.513535, id=,S07, PRDE,actvstrat=,-0.625305, actvprof=,2.012472, id=,S08, PRDE,actvstrat=,0.950449, actvprof=,9.186261, id=,S09, PRDE,actvstrat=,-0.821133, actvprof=,0.678046, best_B_id=,B02, best_B_prof=,3.631616, best_B_strat=,-0.882689, best_S_id=,S04, best_S_prof=,9.220705, best_S_strat=,0.864225, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.893506, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.387352, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.823726, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.250078, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.468559, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.781574, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.438124, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.499401, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.568077, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.672890, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.085650, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.593172, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.893506, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.468559, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.893506, actvprof=,0.945278, id=,B01, PRDE,actvstrat=,0.387352, actvprof=,0.783333, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.849444, id=,B03, PRDE,actvstrat=,-0.823726, actvprof=,0.744167, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.956389, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.478333, id=,B06, PRDE,actvstrat=,0.250078, actvprof=,0.727778, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.573889, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.918889, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.967222, id=,S00, PRDE,actvstrat=,0.468559, actvprof=,10.299444, id=,S01, PRDE,actvstrat=,-0.781574, actvprof=,2.626944, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.904722, id=,S03, PRDE,actvstrat=,0.438124, actvprof=,10.129167, id=,S04, PRDE,actvstrat=,-0.499401, actvprof=,4.423889, id=,S05, PRDE,actvstrat=,-0.568077, actvprof=,4.172500, id=,S06, PRDE,actvstrat=,0.672890, actvprof=,11.946389, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,13.339722, id=,S08, PRDE,actvstrat=,-0.085650, actvprof=,6.020556, id=,S09, PRDE,actvstrat=,0.593172, actvprof=,10.903056, best_B_id=,B09, best_B_prof=,0.967222, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,13.339722, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.893506, actvprof=,0.902639, id=,B01, PRDE,actvstrat=,0.387352, actvprof=,0.854028, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.927222, id=,B03, PRDE,actvstrat=,-0.823726, actvprof=,0.829028, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.974444, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.493333, id=,B06, PRDE,actvstrat=,0.250078, actvprof=,0.787361, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.551667, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.956111, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.027500, id=,S00, PRDE,actvstrat=,0.468559, actvprof=,10.316111, id=,S01, PRDE,actvstrat=,-0.781574, actvprof=,2.523472, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.803611, id=,S03, PRDE,actvstrat=,0.438124, actvprof=,10.129167, id=,S04, PRDE,actvstrat=,-0.499401, actvprof=,4.420278, id=,S05, PRDE,actvstrat=,-0.568077, actvprof=,4.074028, id=,S06, PRDE,actvstrat=,0.672890, actvprof=,12.024583, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,13.385000, id=,S08, PRDE,actvstrat=,-0.085650, actvprof=,6.412500, id=,S09, PRDE,actvstrat=,0.593172, actvprof=,10.985694, best_B_id=,B09, best_B_prof=,1.027500, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,13.385000, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.859633, actvprof=,1.830329, id=,B01, PRDE,actvstrat=,0.766183, actvprof=,1.694769, id=,B02, PRDE,actvstrat=,0.494846, actvprof=,1.331148, id=,B03, PRDE,actvstrat=,0.951931, actvprof=,1.007250, id=,B04, PRDE,actvstrat=,-0.579042, actvprof=,0.884747, id=,B05, PRDE,actvstrat=,-0.684203, actvprof=,0.947804, id=,B06, PRDE,actvstrat=,-0.797952, actvprof=,1.383372, id=,B07, PRDE,actvstrat=,-0.362975, actvprof=,0.865302, id=,B08, PRDE,actvstrat=,0.730553, actvprof=,1.781438, id=,B09, PRDE,actvstrat=,0.377301, actvprof=,1.222256, id=,S00, PRDE,actvstrat=,-0.660738, actvprof=,3.145921, id=,S01, PRDE,actvstrat=,-0.590113, actvprof=,3.166477, id=,S02, PRDE,actvstrat=,0.781158, actvprof=,10.896969, id=,S03, PRDE,actvstrat=,0.438124, actvprof=,8.460513, id=,S04, PRDE,actvstrat=,-0.545475, actvprof=,3.017028, id=,S05, PRDE,actvstrat=,-0.140026, actvprof=,4.817356, id=,S06, PRDE,actvstrat=,-0.616684, actvprof=,3.266480, id=,S07, PRDE,actvstrat=,0.336626, actvprof=,8.306897, id=,S08, PRDE,actvstrat=,-0.127411, actvprof=,5.205700, id=,S09, PRDE,actvstrat=,-0.340058, actvprof=,3.770105, best_B_id=,B00, best_B_prof=,1.830329, best_B_strat=,-0.859633, best_S_id=,S02, best_S_prof=,10.896969, best_S_strat=,0.781158, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.859633, actvprof=,1.762247, id=,B01, PRDE,actvstrat=,0.766183, actvprof=,1.645856, id=,B02, PRDE,actvstrat=,0.494846, actvprof=,1.334880, id=,B03, PRDE,actvstrat=,0.951931, actvprof=,1.000153, id=,B04, PRDE,actvstrat=,-0.579042, actvprof=,0.861540, id=,B05, PRDE,actvstrat=,-0.684203, actvprof=,0.980569, id=,B06, PRDE,actvstrat=,-0.797952, actvprof=,1.416547, id=,B07, PRDE,actvstrat=,-0.362975, actvprof=,0.851123, id=,B08, PRDE,actvstrat=,0.730553, actvprof=,1.713635, id=,B09, PRDE,actvstrat=,0.377301, actvprof=,1.211822, id=,S00, PRDE,actvstrat=,-0.660738, actvprof=,3.059209, id=,S01, PRDE,actvstrat=,-0.590113, actvprof=,3.256295, id=,S02, PRDE,actvstrat=,0.781158, actvprof=,10.960569, id=,S03, PRDE,actvstrat=,0.438124, actvprof=,8.523313, id=,S04, PRDE,actvstrat=,-0.545475, actvprof=,3.069348, id=,S05, PRDE,actvstrat=,-0.140026, actvprof=,4.774233, id=,S06, PRDE,actvstrat=,-0.616684, actvprof=,3.105321, id=,S07, PRDE,actvstrat=,0.336626, actvprof=,8.266087, id=,S08, PRDE,actvstrat=,-0.127411, actvprof=,5.209656, id=,S09, PRDE,actvstrat=,-0.340058, actvprof=,3.776302, best_B_id=,B00, best_B_prof=,1.762247, best_B_strat=,-0.859633, best_S_id=,S02, best_S_prof=,10.960569, best_S_strat=,0.781158, 
