t=,0, id=,B00, PRDE,actvstrat=,0.428244, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.941258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.280631, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.196528, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.742669, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.118709, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.090450, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.955196, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.679951, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.388514, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.794552, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.874208, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.663011, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.056964, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.326781, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.778396, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.648266, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.529850, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.203698, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.707236, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.428244, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.794552, 
t=,3600, id=,B00, PRDE,actvstrat=,0.428244, actvprof=,2.325278, id=,B01, PRDE,actvstrat=,0.941258, actvprof=,1.737778, id=,B02, PRDE,actvstrat=,-0.280631, actvprof=,1.932222, id=,B03, PRDE,actvstrat=,-0.196528, actvprof=,1.797500, id=,B04, PRDE,actvstrat=,0.742669, actvprof=,2.676944, id=,B05, PRDE,actvstrat=,0.118709, actvprof=,1.979167, id=,B06, PRDE,actvstrat=,-0.090450, actvprof=,1.836944, id=,B07, PRDE,actvstrat=,-0.955196, actvprof=,2.960278, id=,B08, PRDE,actvstrat=,-0.679951, actvprof=,2.197222, id=,B09, PRDE,actvstrat=,-0.388514, actvprof=,1.842778, id=,S00, PRDE,actvstrat=,-0.794552, actvprof=,2.563333, id=,S01, PRDE,actvstrat=,-0.874208, actvprof=,1.341667, id=,S02, PRDE,actvstrat=,0.663011, actvprof=,9.436944, id=,S03, PRDE,actvstrat=,-0.056964, actvprof=,5.631111, id=,S04, PRDE,actvstrat=,0.326781, actvprof=,7.686944, id=,S05, PRDE,actvstrat=,-0.778396, actvprof=,2.463889, id=,S06, PRDE,actvstrat=,0.648266, actvprof=,9.552500, id=,S07, PRDE,actvstrat=,-0.529850, actvprof=,3.934722, id=,S08, PRDE,actvstrat=,-0.203698, actvprof=,4.760556, id=,S09, PRDE,actvstrat=,0.707236, actvprof=,9.720000, best_B_id=,B07, best_B_prof=,2.960278, best_B_strat=,-0.955196, best_S_id=,S09, best_S_prof=,9.720000, best_S_strat=,0.707236, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.654865, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.908157, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.804836, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.297594, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.854776, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.365023, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.250477, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.710068, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.736073, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.138247, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.190266, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.207757, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.556898, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.051407, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.025292, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.204457, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.763718, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.801417, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.011539, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.088580, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.654865, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.190266, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.654865, actvprof=,2.718371, id=,B01, PRDE,actvstrat=,0.908157, actvprof=,2.280032, id=,B02, PRDE,actvstrat=,0.804836, actvprof=,2.870318, id=,B03, PRDE,actvstrat=,0.297594, actvprof=,2.542535, id=,B04, PRDE,actvstrat=,-0.854776, actvprof=,3.497549, id=,B05, PRDE,actvstrat=,0.365023, actvprof=,2.655315, id=,B06, PRDE,actvstrat=,0.250477, actvprof=,2.595036, id=,B07, PRDE,actvstrat=,-0.710068, actvprof=,2.980319, id=,B08, PRDE,actvstrat=,-0.736073, actvprof=,2.856151, id=,B09, PRDE,actvstrat=,-0.138247, actvprof=,2.265031, id=,S00, PRDE,actvstrat=,0.190266, actvprof=,6.302865, id=,S01, PRDE,actvstrat=,-0.207757, actvprof=,3.990889, id=,S02, PRDE,actvstrat=,0.556898, actvprof=,7.920110, id=,S03, PRDE,actvstrat=,0.051407, actvprof=,6.098140, id=,S04, PRDE,actvstrat=,-0.025292, actvprof=,5.469520, id=,S05, PRDE,actvstrat=,-0.204457, actvprof=,3.672829, id=,S06, PRDE,actvstrat=,0.763718, actvprof=,9.365408, id=,S07, PRDE,actvstrat=,0.801417, actvprof=,9.454020, id=,S08, PRDE,actvstrat=,0.011539, actvprof=,6.038695, id=,S09, PRDE,actvstrat=,-0.088580, actvprof=,4.250337, best_B_id=,B04, best_B_prof=,3.497549, best_B_strat=,-0.854776, best_S_id=,S07, best_S_prof=,9.454020, best_S_strat=,0.801417, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.654865, actvprof=,2.543091, id=,B01, PRDE,actvstrat=,0.908157, actvprof=,2.212253, id=,B02, PRDE,actvstrat=,0.804836, actvprof=,2.818650, id=,B03, PRDE,actvstrat=,0.297594, actvprof=,2.554480, id=,B04, PRDE,actvstrat=,-0.854776, actvprof=,3.567827, id=,B05, PRDE,actvstrat=,0.365023, actvprof=,2.698371, id=,B06, PRDE,actvstrat=,0.250477, actvprof=,2.566147, id=,B07, PRDE,actvstrat=,-0.710068, actvprof=,2.943513, id=,B08, PRDE,actvstrat=,-0.736073, actvprof=,2.799622, id=,B09, PRDE,actvstrat=,-0.138247, actvprof=,2.243642, id=,S00, PRDE,actvstrat=,0.190266, actvprof=,6.400367, id=,S01, PRDE,actvstrat=,-0.207757, actvprof=,3.823248, id=,S02, PRDE,actvstrat=,0.556898, actvprof=,8.053029, id=,S03, PRDE,actvstrat=,0.051407, actvprof=,5.938555, id=,S04, PRDE,actvstrat=,-0.025292, actvprof=,5.409381, id=,S05, PRDE,actvstrat=,-0.204457, actvprof=,3.813664, id=,S06, PRDE,actvstrat=,0.763718, actvprof=,9.437770, id=,S07, PRDE,actvstrat=,0.801417, actvprof=,9.589994, id=,S08, PRDE,actvstrat=,0.011539, actvprof=,6.078973, id=,S09, PRDE,actvstrat=,-0.088580, actvprof=,4.408672, best_B_id=,B04, best_B_prof=,3.567827, best_B_strat=,-0.854776, best_S_id=,S07, best_S_prof=,9.589994, best_S_strat=,0.801417, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.713501, actvprof=,2.676741, id=,B01, PRDE,actvstrat=,-0.340723, actvprof=,2.054779, id=,B02, PRDE,actvstrat=,-0.708430, actvprof=,2.522570, id=,B03, PRDE,actvstrat=,-0.617707, actvprof=,2.349787, id=,B04, PRDE,actvstrat=,-0.854776, actvprof=,3.288702, id=,B05, PRDE,actvstrat=,0.466086, actvprof=,2.620906, id=,B06, PRDE,actvstrat=,0.691466, actvprof=,2.772299, id=,B07, PRDE,actvstrat=,-0.179372, actvprof=,2.235062, id=,B08, PRDE,actvstrat=,0.929390, actvprof=,1.913386, id=,B09, PRDE,actvstrat=,-0.138247, actvprof=,2.168949, id=,S00, PRDE,actvstrat=,0.105071, actvprof=,5.925998, id=,S01, PRDE,actvstrat=,0.125801, actvprof=,5.847940, id=,S02, PRDE,actvstrat=,0.645843, actvprof=,8.533848, id=,S03, PRDE,actvstrat=,0.225204, actvprof=,6.278230, id=,S04, PRDE,actvstrat=,-0.424813, actvprof=,3.087308, id=,S05, PRDE,actvstrat=,-0.737816, actvprof=,2.382844, id=,S06, PRDE,actvstrat=,-0.213952, actvprof=,3.524265, id=,S07, PRDE,actvstrat=,0.478326, actvprof=,7.485486, id=,S08, PRDE,actvstrat=,0.091274, actvprof=,5.855440, id=,S09, PRDE,actvstrat=,0.311860, actvprof=,7.233256, best_B_id=,B04, best_B_prof=,3.288702, best_B_strat=,-0.854776, best_S_id=,S02, best_S_prof=,8.533848, best_S_strat=,0.645843, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.713501, actvprof=,2.630610, id=,B01, PRDE,actvstrat=,-0.340723, actvprof=,1.989625, id=,B02, PRDE,actvstrat=,-0.708430, actvprof=,2.616582, id=,B03, PRDE,actvstrat=,-0.617707, actvprof=,2.360883, id=,B04, PRDE,actvstrat=,-0.854776, actvprof=,3.289791, id=,B05, PRDE,actvstrat=,0.466086, actvprof=,2.714779, id=,B06, PRDE,actvstrat=,0.691466, actvprof=,2.819087, id=,B07, PRDE,actvstrat=,-0.179372, actvprof=,2.244352, id=,B08, PRDE,actvstrat=,0.929390, actvprof=,1.864067, id=,B09, PRDE,actvstrat=,-0.138247, actvprof=,2.082404, id=,S00, PRDE,actvstrat=,0.105071, actvprof=,5.843594, id=,S01, PRDE,actvstrat=,0.125801, actvprof=,5.816232, id=,S02, PRDE,actvstrat=,0.645843, actvprof=,8.514900, id=,S03, PRDE,actvstrat=,0.225204, actvprof=,6.333326, id=,S04, PRDE,actvstrat=,-0.424813, actvprof=,3.123815, id=,S05, PRDE,actvstrat=,-0.737816, actvprof=,2.031848, id=,S06, PRDE,actvstrat=,-0.213952, actvprof=,3.686049, id=,S07, PRDE,actvstrat=,0.478326, actvprof=,7.532518, id=,S08, PRDE,actvstrat=,0.091274, actvprof=,5.956374, id=,S09, PRDE,actvstrat=,0.311860, actvprof=,7.084175, best_B_id=,B04, best_B_prof=,3.289791, best_B_strat=,-0.854776, best_S_id=,S02, best_S_prof=,8.514900, best_S_strat=,0.645843, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.258772, actvprof=,4.452006, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.234212, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.336977, id=,B03, PRDE,actvstrat=,0.930232, actvprof=,2.698093, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,3.488660, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.101974, id=,B06, PRDE,actvstrat=,0.438687, actvprof=,4.561174, id=,B07, PRDE,actvstrat=,0.535339, actvprof=,4.905624, id=,B08, PRDE,actvstrat=,-0.638878, actvprof=,5.254240, id=,B09, PRDE,actvstrat=,-0.125702, actvprof=,4.698399, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.017070, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.156794, id=,S02, PRDE,actvstrat=,0.592315, actvprof=,8.932346, id=,S03, PRDE,actvstrat=,0.428158, actvprof=,7.758997, id=,S04, PRDE,actvstrat=,-0.461533, actvprof=,3.070043, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.150405, id=,S06, PRDE,actvstrat=,0.392944, actvprof=,7.577327, id=,S07, PRDE,actvstrat=,0.792454, actvprof=,9.580689, id=,S08, PRDE,actvstrat=,-0.073310, actvprof=,4.419784, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.317907, best_B_id=,B08, best_B_prof=,5.254240, best_B_strat=,-0.638878, best_S_id=,S07, best_S_prof=,9.580689, best_S_strat=,0.792454, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.258772, actvprof=,4.608461, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.329398, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.374927, id=,B03, PRDE,actvstrat=,0.930232, actvprof=,2.817023, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,3.516487, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.285202, id=,B06, PRDE,actvstrat=,0.438687, actvprof=,4.676658, id=,B07, PRDE,actvstrat=,0.535339, actvprof=,4.843607, id=,B08, PRDE,actvstrat=,-0.638878, actvprof=,5.362510, id=,B09, PRDE,actvstrat=,-0.125702, actvprof=,4.548460, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.144421, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.093169, id=,S02, PRDE,actvstrat=,0.592315, actvprof=,8.676630, id=,S03, PRDE,actvstrat=,0.428158, actvprof=,7.769244, id=,S04, PRDE,actvstrat=,-0.461533, actvprof=,3.006611, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,8.923998, id=,S06, PRDE,actvstrat=,0.392944, actvprof=,7.566599, id=,S07, PRDE,actvstrat=,0.792454, actvprof=,9.545821, id=,S08, PRDE,actvstrat=,-0.073310, actvprof=,4.720964, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.226367, best_B_id=,B08, best_B_prof=,5.362510, best_B_strat=,-0.638878, best_S_id=,S07, best_S_prof=,9.545821, best_S_strat=,0.792454, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.654865, actvprof=,5.629636, id=,B01, PRDE,actvstrat=,0.620131, actvprof=,4.669556, id=,B02, PRDE,actvstrat=,-0.877687, actvprof=,5.869100, id=,B03, PRDE,actvstrat=,0.367977, actvprof=,4.965969, id=,B04, PRDE,actvstrat=,-0.369325, actvprof=,4.895964, id=,B05, PRDE,actvstrat=,0.326735, actvprof=,4.424535, id=,B06, PRDE,actvstrat=,0.250477, actvprof=,4.523710, id=,B07, PRDE,actvstrat=,-0.710068, actvprof=,5.825485, id=,B08, PRDE,actvstrat=,-0.517814, actvprof=,4.804289, id=,B09, PRDE,actvstrat=,0.097929, actvprof=,4.480929, id=,S00, PRDE,actvstrat=,0.532464, actvprof=,6.071617, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.206989, id=,S02, PRDE,actvstrat=,0.719037, actvprof=,7.123927, id=,S03, PRDE,actvstrat=,0.941434, actvprof=,7.913715, id=,S04, PRDE,actvstrat=,-0.025292, actvprof=,3.695308, id=,S05, PRDE,actvstrat=,-0.501927, actvprof=,2.109898, id=,S06, PRDE,actvstrat=,0.328475, actvprof=,5.186266, id=,S07, PRDE,actvstrat=,0.989935, actvprof=,7.229491, id=,S08, PRDE,actvstrat=,0.465552, actvprof=,6.399700, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,7.360891, best_B_id=,B02, best_B_prof=,5.869100, best_B_strat=,-0.877687, best_S_id=,S03, best_S_prof=,7.913715, best_S_strat=,0.941434, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.654865, actvprof=,5.308101, id=,B01, PRDE,actvstrat=,0.620131, actvprof=,4.773777, id=,B02, PRDE,actvstrat=,-0.877687, actvprof=,6.004792, id=,B03, PRDE,actvstrat=,0.367977, actvprof=,4.967117, id=,B04, PRDE,actvstrat=,-0.369325, actvprof=,4.872669, id=,B05, PRDE,actvstrat=,0.326735, actvprof=,4.610577, id=,B06, PRDE,actvstrat=,0.250477, actvprof=,4.667245, id=,B07, PRDE,actvstrat=,-0.710068, actvprof=,5.810618, id=,B08, PRDE,actvstrat=,-0.517814, actvprof=,4.968645, id=,B09, PRDE,actvstrat=,0.097929, actvprof=,4.530435, id=,S00, PRDE,actvstrat=,0.532464, actvprof=,6.097017, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.260113, id=,S02, PRDE,actvstrat=,0.719037, actvprof=,7.165110, id=,S03, PRDE,actvstrat=,0.941434, actvprof=,7.771242, id=,S04, PRDE,actvstrat=,-0.025292, actvprof=,3.771381, id=,S05, PRDE,actvstrat=,-0.501927, actvprof=,1.891038, id=,S06, PRDE,actvstrat=,0.328475, actvprof=,5.341991, id=,S07, PRDE,actvstrat=,0.989935, actvprof=,7.343727, id=,S08, PRDE,actvstrat=,0.465552, actvprof=,6.275635, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,7.350394, best_B_id=,B02, best_B_prof=,6.004792, best_B_strat=,-0.877687, best_S_id=,S03, best_S_prof=,7.771242, best_S_strat=,0.941434, 
