t=,1, id=,B00, PRDE,actvstrat=,0.819735, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.417539, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.689123, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.120449, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.111426, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.331037, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.943510, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.142912, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.166484, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.707833, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.948500, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.697971, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.989907, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.951637, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.841705, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.284261, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.298934, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.005065, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.946384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.790980, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.819735, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.948500, 
t=,3600, id=,B00, PRDE,actvstrat=,0.819735, actvprof=,3.232598, id=,B01, PRDE,actvstrat=,-0.417539, actvprof=,3.261208, id=,B02, PRDE,actvstrat=,-0.689123, actvprof=,4.377535, id=,B03, PRDE,actvstrat=,0.120449, actvprof=,3.253708, id=,B04, PRDE,actvstrat=,0.111426, actvprof=,3.480918, id=,B05, PRDE,actvstrat=,0.331037, actvprof=,3.676185, id=,B06, PRDE,actvstrat=,0.943510, actvprof=,2.083773, id=,B07, PRDE,actvstrat=,-0.142912, actvprof=,3.502861, id=,B08, PRDE,actvstrat=,-0.166484, actvprof=,3.182323, id=,B09, PRDE,actvstrat=,0.707833, actvprof=,3.752847, id=,S00, PRDE,actvstrat=,0.948500, actvprof=,9.372535, id=,S01, PRDE,actvstrat=,0.697971, actvprof=,8.970613, id=,S02, PRDE,actvstrat=,-0.989907, actvprof=,2.235709, id=,S03, PRDE,actvstrat=,0.951637, actvprof=,9.140603, id=,S04, PRDE,actvstrat=,0.841705, actvprof=,9.891673, id=,S05, PRDE,actvstrat=,-0.284261, actvprof=,2.989834, id=,S06, PRDE,actvstrat=,0.298934, actvprof=,6.555747, id=,S07, PRDE,actvstrat=,0.005065, actvprof=,5.536915, id=,S08, PRDE,actvstrat=,0.946384, actvprof=,9.754458, id=,S09, PRDE,actvstrat=,-0.790980, actvprof=,1.542414, best_B_id=,B02, best_B_prof=,4.377535, best_B_strat=,-0.689123, best_S_id=,S04, best_S_prof=,9.891673, best_S_strat=,0.841705, 
t=,7200, id=,B00, PRDE,actvstrat=,0.952865, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.317176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.381602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.600080, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.196235, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.068590, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.159154, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.485439, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.467529, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.382892, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.177163, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.408616, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.572153, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.800153, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.416180, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.767857, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.869495, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.944461, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.092918, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.826482, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.952865, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.177163, 
t=,10800, id=,B00, PRDE,actvstrat=,0.952865, actvprof=,1.973861, id=,B01, PRDE,actvstrat=,-0.317176, actvprof=,3.468841, id=,B02, PRDE,actvstrat=,0.381602, actvprof=,3.600506, id=,B03, PRDE,actvstrat=,0.600080, actvprof=,3.866335, id=,B04, PRDE,actvstrat=,-0.196235, actvprof=,3.272455, id=,B05, PRDE,actvstrat=,-0.068590, actvprof=,3.361620, id=,B06, PRDE,actvstrat=,0.159154, actvprof=,3.237733, id=,B07, PRDE,actvstrat=,0.485439, actvprof=,3.841613, id=,B08, PRDE,actvstrat=,0.467529, actvprof=,3.809669, id=,B09, PRDE,actvstrat=,0.382892, actvprof=,3.733837, id=,S00, PRDE,actvstrat=,0.177163, actvprof=,6.086304, id=,S01, PRDE,actvstrat=,0.408616, actvprof=,6.984625, id=,S02, PRDE,actvstrat=,0.572153, actvprof=,7.810447, id=,S03, PRDE,actvstrat=,0.800153, actvprof=,9.312648, id=,S04, PRDE,actvstrat=,0.416180, actvprof=,7.154901, id=,S05, PRDE,actvstrat=,0.767857, actvprof=,9.383203, id=,S06, PRDE,actvstrat=,0.869495, actvprof=,9.426536, id=,S07, PRDE,actvstrat=,0.944461, actvprof=,9.367925, id=,S08, PRDE,actvstrat=,-0.092918, actvprof=,4.288274, id=,S09, PRDE,actvstrat=,-0.826482, actvprof=,1.306093, best_B_id=,B03, best_B_prof=,3.866335, best_B_strat=,0.600080, best_S_id=,S06, best_S_prof=,9.426536, best_S_strat=,0.869495, 
t=,14400, id=,B00, PRDE,actvstrat=,0.775871, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.952390, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.189527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.598484, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.534789, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.288114, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.582964, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.485439, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.167653, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.076011, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.479847, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.844340, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.136911, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.718212, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.406898, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.303443, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.676801, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.676457, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.729966, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.257041, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.775871, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.479847, 
t=,18000, id=,B00, PRDE,actvstrat=,0.775871, actvprof=,2.381389, id=,B01, PRDE,actvstrat=,-0.952390, actvprof=,2.873056, id=,B02, PRDE,actvstrat=,-0.189527, actvprof=,1.832778, id=,B03, PRDE,actvstrat=,0.598484, actvprof=,2.321389, id=,B04, PRDE,actvstrat=,0.534789, actvprof=,2.190000, id=,B05, PRDE,actvstrat=,0.288114, actvprof=,2.100000, id=,B06, PRDE,actvstrat=,-0.582964, actvprof=,1.963333, id=,B07, PRDE,actvstrat=,0.485439, actvprof=,2.194167, id=,B08, PRDE,actvstrat=,-0.167653, actvprof=,1.786667, id=,B09, PRDE,actvstrat=,-0.076011, actvprof=,1.800833, id=,S00, PRDE,actvstrat=,-0.479847, actvprof=,2.800556, id=,S01, PRDE,actvstrat=,-0.844340, actvprof=,0.916667, id=,S02, PRDE,actvstrat=,-0.136911, actvprof=,4.476944, id=,S03, PRDE,actvstrat=,-0.718212, actvprof=,2.028056, id=,S04, PRDE,actvstrat=,0.406898, actvprof=,7.630278, id=,S05, PRDE,actvstrat=,0.303443, actvprof=,7.458889, id=,S06, PRDE,actvstrat=,0.676801, actvprof=,9.635000, id=,S07, PRDE,actvstrat=,0.676457, actvprof=,9.328333, id=,S08, PRDE,actvstrat=,0.729966, actvprof=,9.676389, id=,S09, PRDE,actvstrat=,0.257041, actvprof=,6.849722, best_B_id=,B01, best_B_prof=,2.873056, best_B_strat=,-0.952390, best_S_id=,S08, best_S_prof=,9.676389, best_S_strat=,0.729966, 
t=,21600, id=,B00, PRDE,actvstrat=,0.775871, actvprof=,2.393211, id=,B01, PRDE,actvstrat=,-0.952390, actvprof=,2.831686, id=,B02, PRDE,actvstrat=,-0.189527, actvprof=,1.758901, id=,B03, PRDE,actvstrat=,0.598484, actvprof=,2.251405, id=,B04, PRDE,actvstrat=,0.534789, actvprof=,2.221960, id=,B05, PRDE,actvstrat=,0.288114, actvprof=,2.090848, id=,B06, PRDE,actvstrat=,-0.582964, actvprof=,1.993764, id=,B07, PRDE,actvstrat=,0.485439, actvprof=,2.182376, id=,B08, PRDE,actvstrat=,-0.167653, actvprof=,1.737929, id=,B09, PRDE,actvstrat=,-0.076011, actvprof=,1.708762, id=,S00, PRDE,actvstrat=,-0.479847, actvprof=,2.906131, id=,S01, PRDE,actvstrat=,-0.844340, actvprof=,0.902506, id=,S02, PRDE,actvstrat=,-0.136911, actvprof=,4.231418, id=,S03, PRDE,actvstrat=,-0.718212, actvprof=,2.135987, id=,S04, PRDE,actvstrat=,0.406898, actvprof=,7.751304, id=,S05, PRDE,actvstrat=,0.303443, actvprof=,7.144077, id=,S06, PRDE,actvstrat=,0.676801, actvprof=,9.587011, id=,S07, PRDE,actvstrat=,0.676457, actvprof=,9.232564, id=,S08, PRDE,actvstrat=,0.729966, actvprof=,9.745207, id=,S09, PRDE,actvstrat=,0.257041, actvprof=,6.815742, best_B_id=,B01, best_B_prof=,2.831686, best_B_strat=,-0.952390, best_S_id=,S08, best_S_prof=,9.745207, best_S_strat=,0.729966, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.330343, id=,B01, PRDE,actvstrat=,-0.246149, actvprof=,0.830301, id=,B02, PRDE,actvstrat=,0.195186, actvprof=,1.258924, id=,B03, PRDE,actvstrat=,-0.991732, actvprof=,1.906997, id=,B04, PRDE,actvstrat=,0.350819, actvprof=,1.548376, id=,B05, PRDE,actvstrat=,0.047143, actvprof=,0.985583, id=,B06, PRDE,actvstrat=,-0.629816, actvprof=,1.186144, id=,B07, PRDE,actvstrat=,-0.794124, actvprof=,1.471708, id=,B08, PRDE,actvstrat=,0.873535, actvprof=,1.601156, id=,B09, PRDE,actvstrat=,-0.018237, actvprof=,1.111975, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.458652, id=,S01, PRDE,actvstrat=,-0.735542, actvprof=,2.282286, id=,S02, PRDE,actvstrat=,-0.667168, actvprof=,2.728131, id=,S03, PRDE,actvstrat=,-0.287091, actvprof=,3.745660, id=,S04, PRDE,actvstrat=,-0.543415, actvprof=,3.237590, id=,S05, PRDE,actvstrat=,-0.547221, actvprof=,3.043140, id=,S06, PRDE,actvstrat=,0.886586, actvprof=,11.441707, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,3.889830, id=,S08, PRDE,actvstrat=,0.426630, actvprof=,8.602461, id=,S09, PRDE,actvstrat=,-0.646250, actvprof=,2.607572, best_B_id=,B00, best_B_prof=,2.330343, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.458652, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.247809, id=,B01, PRDE,actvstrat=,-0.246149, actvprof=,1.021820, id=,B02, PRDE,actvstrat=,0.195186, actvprof=,1.182378, id=,B03, PRDE,actvstrat=,-0.991732, actvprof=,1.875998, id=,B04, PRDE,actvstrat=,0.350819, actvprof=,1.439742, id=,B05, PRDE,actvstrat=,0.047143, actvprof=,1.067098, id=,B06, PRDE,actvstrat=,-0.629816, actvprof=,1.104738, id=,B07, PRDE,actvstrat=,-0.794124, actvprof=,1.494604, id=,B08, PRDE,actvstrat=,0.873535, actvprof=,1.647523, id=,B09, PRDE,actvstrat=,-0.018237, actvprof=,1.121127, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.544327, id=,S01, PRDE,actvstrat=,-0.735542, actvprof=,2.406839, id=,S02, PRDE,actvstrat=,-0.667168, actvprof=,2.695454, id=,S03, PRDE,actvstrat=,-0.287091, actvprof=,3.639078, id=,S04, PRDE,actvstrat=,-0.543415, actvprof=,3.150599, id=,S05, PRDE,actvstrat=,-0.547221, actvprof=,2.967541, id=,S06, PRDE,actvstrat=,0.886586, actvprof=,11.344185, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.022973, id=,S08, PRDE,actvstrat=,0.426630, actvprof=,8.353588, id=,S09, PRDE,actvstrat=,-0.646250, actvprof=,2.806845, best_B_id=,B00, best_B_prof=,2.247809, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.544327, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.645838, actvprof=,2.989013, id=,B01, PRDE,actvstrat=,-0.317176, actvprof=,2.549273, id=,B02, PRDE,actvstrat=,-0.378432, actvprof=,2.367876, id=,B03, PRDE,actvstrat=,-0.903864, actvprof=,4.056280, id=,B04, PRDE,actvstrat=,-0.429194, actvprof=,2.577052, id=,B05, PRDE,actvstrat=,0.924478, actvprof=,2.086198, id=,B06, PRDE,actvstrat=,0.431353, actvprof=,2.989847, id=,B07, PRDE,actvstrat=,0.156353, actvprof=,2.755115, id=,B08, PRDE,actvstrat=,-0.055648, actvprof=,2.368988, id=,B09, PRDE,actvstrat=,-0.800665, actvprof=,3.777657, id=,S00, PRDE,actvstrat=,-0.474061, actvprof=,2.323986, id=,S01, PRDE,actvstrat=,0.408616, actvprof=,6.934733, id=,S02, PRDE,actvstrat=,0.967246, actvprof=,9.602622, id=,S03, PRDE,actvstrat=,0.800153, actvprof=,8.834813, id=,S04, PRDE,actvstrat=,-0.362028, actvprof=,2.863730, id=,S05, PRDE,actvstrat=,-0.117424, actvprof=,4.121561, id=,S06, PRDE,actvstrat=,0.263135, actvprof=,6.323875, id=,S07, PRDE,actvstrat=,-0.373919, actvprof=,2.642610, id=,S08, PRDE,actvstrat=,0.426630, actvprof=,6.720002, id=,S09, PRDE,actvstrat=,0.873090, actvprof=,9.718460, best_B_id=,B03, best_B_prof=,4.056280, best_B_strat=,-0.903864, best_S_id=,S09, best_S_prof=,9.718460, best_S_strat=,0.873090, 
t=,36000, id=,B00, PRDE,actvstrat=,0.645838, actvprof=,3.099114, id=,B01, PRDE,actvstrat=,-0.317176, actvprof=,2.487152, id=,B02, PRDE,actvstrat=,-0.378432, actvprof=,2.382427, id=,B03, PRDE,actvstrat=,-0.903864, actvprof=,3.902608, id=,B04, PRDE,actvstrat=,-0.429194, actvprof=,2.693964, id=,B05, PRDE,actvstrat=,0.924478, actvprof=,2.113531, id=,B06, PRDE,actvstrat=,0.431353, actvprof=,3.023695, id=,B07, PRDE,actvstrat=,0.156353, actvprof=,2.699797, id=,B08, PRDE,actvstrat=,-0.055648, actvprof=,2.419234, id=,B09, PRDE,actvstrat=,-0.800665, actvprof=,3.728159, id=,S00, PRDE,actvstrat=,-0.474061, actvprof=,2.443957, id=,S01, PRDE,actvstrat=,0.408616, actvprof=,7.067141, id=,S02, PRDE,actvstrat=,0.967246, actvprof=,9.619434, id=,S03, PRDE,actvstrat=,0.800153, actvprof=,9.127059, id=,S04, PRDE,actvstrat=,-0.362028, actvprof=,2.721048, id=,S05, PRDE,actvstrat=,-0.117424, actvprof=,3.924276, id=,S06, PRDE,actvstrat=,0.263135, actvprof=,6.230590, id=,S07, PRDE,actvstrat=,-0.373919, actvprof=,2.609656, id=,S08, PRDE,actvstrat=,0.426630, actvprof=,6.843940, id=,S09, PRDE,actvstrat=,0.873090, actvprof=,9.643462, best_B_id=,B03, best_B_prof=,3.902608, best_B_strat=,-0.903864, best_S_id=,S09, best_S_prof=,9.643462, best_S_strat=,0.873090, 
