t=,0, id=,B00, PRDE,actvstrat=,-0.600291, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.050724, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.970785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.932244, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.953312, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.372925, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.595821, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.426984, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.239525, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.986904, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.400996, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.957493, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.905314, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.018427, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.401931, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.207888, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.856089, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.214841, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.711819, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.698297, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.600291, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.400996, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.600291, actvprof=,1.983333, id=,B01, PRDE,actvstrat=,-0.050724, actvprof=,2.028611, id=,B02, PRDE,actvstrat=,-0.970785, actvprof=,3.488333, id=,B03, PRDE,actvstrat=,-0.932244, actvprof=,2.846667, id=,B04, PRDE,actvstrat=,-0.953312, actvprof=,3.116111, id=,B05, PRDE,actvstrat=,0.372925, actvprof=,2.555833, id=,B06, PRDE,actvstrat=,-0.595821, actvprof=,1.977500, id=,B07, PRDE,actvstrat=,-0.426984, actvprof=,1.886111, id=,B08, PRDE,actvstrat=,0.239525, actvprof=,2.314722, id=,B09, PRDE,actvstrat=,-0.986904, actvprof=,3.888889, id=,S00, PRDE,actvstrat=,-0.400996, actvprof=,3.460000, id=,S01, PRDE,actvstrat=,-0.957493, actvprof=,1.618333, id=,S02, PRDE,actvstrat=,0.905314, actvprof=,9.609444, id=,S03, PRDE,actvstrat=,0.018427, actvprof=,6.187500, id=,S04, PRDE,actvstrat=,-0.401931, actvprof=,4.081111, id=,S05, PRDE,actvstrat=,-0.207888, actvprof=,4.314722, id=,S06, PRDE,actvstrat=,0.856089, actvprof=,9.433333, id=,S07, PRDE,actvstrat=,0.214841, actvprof=,6.541667, id=,S08, PRDE,actvstrat=,-0.711819, actvprof=,3.230556, id=,S09, PRDE,actvstrat=,-0.698297, actvprof=,3.303889, best_B_id=,B09, best_B_prof=,3.888889, best_B_strat=,-0.986904, best_S_id=,S02, best_S_prof=,9.609444, best_S_strat=,0.905314, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.669505, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.724257, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.501787, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.739273, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.859292, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.746577, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.305035, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.383837, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.451078, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.593074, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.357700, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.346822, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.241989, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.402569, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.812871, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.235507, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.242218, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.618696, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.152017, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.779066, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.669505, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.357700, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.669505, actvprof=,2.197747, id=,B01, PRDE,actvstrat=,0.724257, actvprof=,2.203303, id=,B02, PRDE,actvstrat=,0.501787, actvprof=,2.020250, id=,B03, PRDE,actvstrat=,-0.739273, actvprof=,2.273024, id=,B04, PRDE,actvstrat=,0.859292, actvprof=,2.102471, id=,B05, PRDE,actvstrat=,-0.746577, actvprof=,2.103860, id=,B06, PRDE,actvstrat=,-0.305035, actvprof=,1.554701, id=,B07, PRDE,actvstrat=,0.383837, actvprof=,1.904140, id=,B08, PRDE,actvstrat=,-0.451078, actvprof=,1.631088, id=,B09, PRDE,actvstrat=,0.593074, actvprof=,2.127748, id=,S00, PRDE,actvstrat=,0.357700, actvprof=,7.513785, id=,S01, PRDE,actvstrat=,0.346822, actvprof=,7.368509, id=,S02, PRDE,actvstrat=,-0.241989, actvprof=,3.274677, id=,S03, PRDE,actvstrat=,0.402569, actvprof=,7.490174, id=,S04, PRDE,actvstrat=,-0.812871, actvprof=,1.351092, id=,S05, PRDE,actvstrat=,0.235507, actvprof=,6.864905, id=,S06, PRDE,actvstrat=,0.242218, actvprof=,6.879349, id=,S07, PRDE,actvstrat=,0.618696, actvprof=,8.955987, id=,S08, PRDE,actvstrat=,0.152017, actvprof=,6.390467, id=,S09, PRDE,actvstrat=,-0.779066, actvprof=,1.880529, best_B_id=,B03, best_B_prof=,2.273024, best_B_strat=,-0.739273, best_S_id=,S07, best_S_prof=,8.955987, best_S_strat=,0.618696, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.669505, actvprof=,2.044028, id=,B01, PRDE,actvstrat=,0.724257, actvprof=,2.237917, id=,B02, PRDE,actvstrat=,0.501787, actvprof=,2.002639, id=,B03, PRDE,actvstrat=,-0.739273, actvprof=,2.280278, id=,B04, PRDE,actvstrat=,0.859292, actvprof=,1.989861, id=,B05, PRDE,actvstrat=,-0.746577, actvprof=,2.166806, id=,B06, PRDE,actvstrat=,-0.305035, actvprof=,1.503889, id=,B07, PRDE,actvstrat=,0.383837, actvprof=,1.966111, id=,B08, PRDE,actvstrat=,-0.451078, actvprof=,1.591944, id=,B09, PRDE,actvstrat=,0.593074, actvprof=,2.220000, id=,S00, PRDE,actvstrat=,0.357700, actvprof=,7.487500, id=,S01, PRDE,actvstrat=,0.346822, actvprof=,7.298750, id=,S02, PRDE,actvstrat=,-0.241989, actvprof=,3.509583, id=,S03, PRDE,actvstrat=,0.402569, actvprof=,7.700000, id=,S04, PRDE,actvstrat=,-0.812871, actvprof=,1.209167, id=,S05, PRDE,actvstrat=,0.235507, actvprof=,6.780972, id=,S06, PRDE,actvstrat=,0.242218, actvprof=,7.138611, id=,S07, PRDE,actvstrat=,0.618696, actvprof=,8.839444, id=,S08, PRDE,actvstrat=,0.152017, actvprof=,6.621944, id=,S09, PRDE,actvstrat=,-0.779066, actvprof=,1.577222, best_B_id=,B03, best_B_prof=,2.280278, best_B_strat=,-0.739273, best_S_id=,S07, best_S_prof=,8.839444, best_S_strat=,0.618696, 
t=,18000, id=,B00, PRDE,actvstrat=,0.588361, actvprof=,2.138889, id=,B01, PRDE,actvstrat=,-0.233214, actvprof=,1.171667, id=,B02, PRDE,actvstrat=,-0.938829, actvprof=,2.653333, id=,B03, PRDE,actvstrat=,-0.538844, actvprof=,1.530000, id=,B04, PRDE,actvstrat=,0.768682, actvprof=,2.160833, id=,B05, PRDE,actvstrat=,0.859898, actvprof=,1.909167, id=,B06, PRDE,actvstrat=,-0.305035, actvprof=,1.391111, id=,B07, PRDE,actvstrat=,0.736156, actvprof=,2.092222, id=,B08, PRDE,actvstrat=,-0.192111, actvprof=,1.281667, id=,B09, PRDE,actvstrat=,-0.862370, actvprof=,2.392500, id=,S00, PRDE,actvstrat=,0.464216, actvprof=,8.255833, id=,S01, PRDE,actvstrat=,-0.526995, actvprof=,3.350556, id=,S02, PRDE,actvstrat=,0.961509, actvprof=,11.007500, id=,S03, PRDE,actvstrat=,-0.561942, actvprof=,3.059444, id=,S04, PRDE,actvstrat=,-0.401931, actvprof=,3.533056, id=,S05, PRDE,actvstrat=,0.943972, actvprof=,10.768611, id=,S06, PRDE,actvstrat=,-0.493773, actvprof=,3.102778, id=,S07, PRDE,actvstrat=,0.028833, actvprof=,6.591944, id=,S08, PRDE,actvstrat=,-0.807911, actvprof=,1.394444, id=,S09, PRDE,actvstrat=,0.345798, actvprof=,7.770000, best_B_id=,B02, best_B_prof=,2.653333, best_B_strat=,-0.938829, best_S_id=,S02, best_S_prof=,11.007500, best_S_strat=,0.961509, 
t=,21600, id=,B00, PRDE,actvstrat=,0.588361, actvprof=,1.995431, id=,B01, PRDE,actvstrat=,-0.233214, actvprof=,1.160147, id=,B02, PRDE,actvstrat=,-0.938829, actvprof=,2.714324, id=,B03, PRDE,actvstrat=,-0.538844, actvprof=,1.483621, id=,B04, PRDE,actvstrat=,0.768682, actvprof=,2.074737, id=,B05, PRDE,actvstrat=,0.859898, actvprof=,1.827235, id=,B06, PRDE,actvstrat=,-0.305035, actvprof=,1.346954, id=,B07, PRDE,actvstrat=,0.736156, actvprof=,1.988903, id=,B08, PRDE,actvstrat=,-0.192111, actvprof=,1.236259, id=,B09, PRDE,actvstrat=,-0.862370, actvprof=,2.355711, id=,S00, PRDE,actvstrat=,0.464216, actvprof=,8.374503, id=,S01, PRDE,actvstrat=,-0.526995, actvprof=,3.371968, id=,S02, PRDE,actvstrat=,0.961509, actvprof=,11.027160, id=,S03, PRDE,actvstrat=,-0.561942, actvprof=,3.162661, id=,S04, PRDE,actvstrat=,-0.401931, actvprof=,3.544052, id=,S05, PRDE,actvstrat=,0.943972, actvprof=,11.034938, id=,S06, PRDE,actvstrat=,-0.493773, actvprof=,3.146272, id=,S07, PRDE,actvstrat=,0.028833, actvprof=,6.314211, id=,S08, PRDE,actvstrat=,-0.807911, actvprof=,1.334454, id=,S09, PRDE,actvstrat=,0.345798, actvprof=,7.762554, best_B_id=,B02, best_B_prof=,2.714324, best_B_strat=,-0.938829, best_S_id=,S05, best_S_prof=,11.034938, best_S_strat=,0.943972, 
t=,25200, id=,B00, PRDE,actvstrat=,0.355211, actvprof=,1.716413, id=,B01, PRDE,actvstrat=,-0.716087, actvprof=,2.219197, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.948069, id=,B03, PRDE,actvstrat=,-0.191381, actvprof=,1.471132, id=,B04, PRDE,actvstrat=,0.056074, actvprof=,1.638078, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.689468, id=,B06, PRDE,actvstrat=,-0.236482, actvprof=,1.410853, id=,B07, PRDE,actvstrat=,0.965786, actvprof=,1.171683, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.891693, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.953347, id=,S00, PRDE,actvstrat=,-0.541348, actvprof=,3.955055, id=,S01, PRDE,actvstrat=,-0.901304, actvprof=,0.912513, id=,S02, PRDE,actvstrat=,0.560220, actvprof=,10.266531, id=,S03, PRDE,actvstrat=,0.606628, actvprof=,10.065418, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.399519, id=,S05, PRDE,actvstrat=,0.408927, actvprof=,8.637342, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.967111, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.363130, id=,S08, PRDE,actvstrat=,0.000887, actvprof=,7.182322, id=,S09, PRDE,actvstrat=,0.582559, actvprof=,10.120141, best_B_id=,B01, best_B_prof=,2.219197, best_B_strat=,-0.716087, best_S_id=,S06, best_S_prof=,11.967111, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.355211, actvprof=,1.723079, id=,B01, PRDE,actvstrat=,-0.716087, actvprof=,2.137113, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.948208, id=,B03, PRDE,actvstrat=,-0.191381, actvprof=,1.474465, id=,B04, PRDE,actvstrat=,0.056074, actvprof=,1.542105, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.709746, id=,B06, PRDE,actvstrat=,-0.236482, actvprof=,1.490993, id=,B07, PRDE,actvstrat=,0.965786, actvprof=,1.190989, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.867665, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.927791, id=,S00, PRDE,actvstrat=,-0.541348, actvprof=,4.105751, id=,S01, PRDE,actvstrat=,-0.901304, actvprof=,0.939041, id=,S02, PRDE,actvstrat=,0.560220, actvprof=,10.055001, id=,S03, PRDE,actvstrat=,0.606628, actvprof=,10.092918, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.368686, id=,S05, PRDE,actvstrat=,0.408927, actvprof=,8.642203, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.793358, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.403408, id=,S08, PRDE,actvstrat=,0.000887, actvprof=,7.191072, id=,S09, PRDE,actvstrat=,0.582559, actvprof=,10.275420, best_B_id=,B01, best_B_prof=,2.137113, best_B_strat=,-0.716087, best_S_id=,S06, best_S_prof=,11.793358, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.137336, actvprof=,1.830884, id=,B01, PRDE,actvstrat=,0.922383, actvprof=,1.548099, id=,B02, PRDE,actvstrat=,-0.711632, actvprof=,2.024223, id=,B03, PRDE,actvstrat=,-0.055636, actvprof=,1.457263, id=,B04, PRDE,actvstrat=,0.471256, actvprof=,2.111725, id=,B05, PRDE,actvstrat=,-0.692647, actvprof=,1.941998, id=,B06, PRDE,actvstrat=,0.197055, actvprof=,1.706159, id=,B07, PRDE,actvstrat=,-0.834332, actvprof=,2.735909, id=,B08, PRDE,actvstrat=,-0.657010, actvprof=,1.816717, id=,B09, PRDE,actvstrat=,0.488401, actvprof=,1.898108, id=,S00, PRDE,actvstrat=,-0.140246, actvprof=,4.286786, id=,S01, PRDE,actvstrat=,0.969279, actvprof=,10.849190, id=,S02, PRDE,actvstrat=,0.052690, actvprof=,5.962388, id=,S03, PRDE,actvstrat=,0.040489, actvprof=,5.965721, id=,S04, PRDE,actvstrat=,-0.116390, actvprof=,4.015667, id=,S05, PRDE,actvstrat=,-0.511350, actvprof=,3.302036, id=,S06, PRDE,actvstrat=,0.242218, actvprof=,7.106586, id=,S07, PRDE,actvstrat=,-0.395831, actvprof=,2.593405, id=,S08, PRDE,actvstrat=,0.000887, actvprof=,5.717659, id=,S09, PRDE,actvstrat=,-0.031627, actvprof=,5.531543, best_B_id=,B07, best_B_prof=,2.735909, best_B_strat=,-0.834332, best_S_id=,S01, best_S_prof=,10.849190, best_S_strat=,0.969279, 
t=,36000, id=,B00, PRDE,actvstrat=,0.137336, actvprof=,1.735036, id=,B01, PRDE,actvstrat=,0.922383, actvprof=,1.576838, id=,B02, PRDE,actvstrat=,-0.711632, actvprof=,2.062265, id=,B03, PRDE,actvstrat=,-0.055636, actvprof=,1.474614, id=,B04, PRDE,actvstrat=,0.471256, actvprof=,2.178656, id=,B05, PRDE,actvstrat=,-0.692647, actvprof=,1.922957, id=,B06, PRDE,actvstrat=,0.197055, actvprof=,1.654201, id=,B07, PRDE,actvstrat=,-0.834332, actvprof=,2.722835, id=,B08, PRDE,actvstrat=,-0.657010, actvprof=,1.864622, id=,B09, PRDE,actvstrat=,0.488401, actvprof=,2.011847, id=,S00, PRDE,actvstrat=,-0.140246, actvprof=,4.410925, id=,S01, PRDE,actvstrat=,0.969279, actvprof=,10.712168, id=,S02, PRDE,actvstrat=,0.052690, actvprof=,5.950402, id=,S03, PRDE,actvstrat=,0.040489, actvprof=,5.824010, id=,S04, PRDE,actvstrat=,-0.116390, actvprof=,4.251477, id=,S05, PRDE,actvstrat=,-0.511350, actvprof=,2.991729, id=,S06, PRDE,actvstrat=,0.242218, actvprof=,6.942089, id=,S07, PRDE,actvstrat=,-0.395831, actvprof=,2.791586, id=,S08, PRDE,actvstrat=,0.000887, actvprof=,5.963319, id=,S09, PRDE,actvstrat=,-0.031627, actvprof=,5.382195, best_B_id=,B07, best_B_prof=,2.722835, best_B_strat=,-0.834332, best_S_id=,S01, best_S_prof=,10.712168, best_S_strat=,0.969279, 
