t=,0, id=,B00, PRDE,actvstrat=,-0.058025, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.081446, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.845194, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.285117, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.663747, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321886, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.981966, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.917967, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.585580, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.428553, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.932264, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.236729, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.327851, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.530254, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.563025, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.187208, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.019838, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.949901, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.670351, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.335996, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.058025, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.932264, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.058025, actvprof=,1.660556, id=,B01, PRDE,actvstrat=,0.081446, actvprof=,1.667222, id=,B02, PRDE,actvstrat=,0.845194, actvprof=,2.120000, id=,B03, PRDE,actvstrat=,-0.285117, actvprof=,1.701944, id=,B04, PRDE,actvstrat=,-0.663747, actvprof=,2.200833, id=,B05, PRDE,actvstrat=,0.321886, actvprof=,2.029444, id=,B06, PRDE,actvstrat=,0.981966, actvprof=,0.805278, id=,B07, PRDE,actvstrat=,-0.917967, actvprof=,2.811111, id=,B08, PRDE,actvstrat=,-0.585580, actvprof=,2.085000, id=,B09, PRDE,actvstrat=,0.428553, actvprof=,2.118056, id=,S00, PRDE,actvstrat=,-0.932264, actvprof=,0.950278, id=,S01, PRDE,actvstrat=,-0.236729, actvprof=,4.073889, id=,S02, PRDE,actvstrat=,-0.327851, actvprof=,3.580278, id=,S03, PRDE,actvstrat=,-0.530254, actvprof=,3.176944, id=,S04, PRDE,actvstrat=,0.563025, actvprof=,9.184722, id=,S05, PRDE,actvstrat=,-0.187208, actvprof=,4.228611, id=,S06, PRDE,actvstrat=,0.019838, actvprof=,6.849444, id=,S07, PRDE,actvstrat=,0.949901, actvprof=,10.743889, id=,S08, PRDE,actvstrat=,0.670351, actvprof=,9.765556, id=,S09, PRDE,actvstrat=,0.335996, actvprof=,8.202500, best_B_id=,B07, best_B_prof=,2.811111, best_B_strat=,-0.917967, best_S_id=,S07, best_S_prof=,10.743889, best_S_strat=,0.949901, 
t=,7200, id=,B00, PRDE,actvstrat=,0.374727, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.571298, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.699413, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.119435, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.999170, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.714933, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.680304, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.500847, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.519088, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.880450, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.767780, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.455715, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.289558, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.097378, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.166284, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.938243, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.918651, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.378532, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.643671, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.886070, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.374727, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.767780, 
t=,10800, id=,B00, PRDE,actvstrat=,0.374727, actvprof=,3.284258, id=,B01, PRDE,actvstrat=,-0.571298, actvprof=,2.767021, id=,B02, PRDE,actvstrat=,-0.699413, actvprof=,3.340926, id=,B03, PRDE,actvstrat=,-0.119435, actvprof=,2.579794, id=,B04, PRDE,actvstrat=,-0.999170, actvprof=,4.768466, id=,B05, PRDE,actvstrat=,-0.714933, actvprof=,3.310648, id=,B06, PRDE,actvstrat=,0.680304, actvprof=,3.179811, id=,B07, PRDE,actvstrat=,-0.500847, actvprof=,2.626462, id=,B08, PRDE,actvstrat=,-0.519088, actvprof=,3.042862, id=,B09, PRDE,actvstrat=,-0.880450, actvprof=,3.806772, id=,S00, PRDE,actvstrat=,0.767780, actvprof=,8.185505, id=,S01, PRDE,actvstrat=,0.455715, actvprof=,6.410178, id=,S02, PRDE,actvstrat=,0.289558, actvprof=,5.522653, id=,S03, PRDE,actvstrat=,-0.097378, actvprof=,3.292869, id=,S04, PRDE,actvstrat=,-0.166284, actvprof=,2.726187, id=,S05, PRDE,actvstrat=,-0.938243, actvprof=,0.854746, id=,S06, PRDE,actvstrat=,0.918651, actvprof=,8.899969, id=,S07, PRDE,actvstrat=,-0.378532, actvprof=,2.339509, id=,S08, PRDE,actvstrat=,0.643671, actvprof=,7.294647, id=,S09, PRDE,actvstrat=,0.886070, actvprof=,8.680241, best_B_id=,B04, best_B_prof=,4.768466, best_B_strat=,-0.999170, best_S_id=,S06, best_S_prof=,8.899969, best_S_strat=,0.918651, 
t=,14400, id=,B00, PRDE,actvstrat=,0.374727, actvprof=,3.167566, id=,B01, PRDE,actvstrat=,-0.571298, actvprof=,2.820753, id=,B02, PRDE,actvstrat=,-0.699413, actvprof=,3.223956, id=,B03, PRDE,actvstrat=,-0.119435, actvprof=,2.762835, id=,B04, PRDE,actvstrat=,-0.999170, actvprof=,4.718015, id=,B05, PRDE,actvstrat=,-0.714933, actvprof=,3.281874, id=,B06, PRDE,actvstrat=,0.680304, actvprof=,3.325625, id=,B07, PRDE,actvstrat=,-0.500847, actvprof=,2.512275, id=,B08, PRDE,actvstrat=,-0.519088, actvprof=,2.972423, id=,B09, PRDE,actvstrat=,-0.880450, actvprof=,3.932999, id=,S00, PRDE,actvstrat=,0.767780, actvprof=,8.133642, id=,S01, PRDE,actvstrat=,0.455715, actvprof=,6.349577, id=,S02, PRDE,actvstrat=,0.289558, actvprof=,5.513309, id=,S03, PRDE,actvstrat=,-0.097378, actvprof=,3.254790, id=,S04, PRDE,actvstrat=,-0.166284, actvprof=,2.766169, id=,S05, PRDE,actvstrat=,-0.938243, actvprof=,0.888907, id=,S06, PRDE,actvstrat=,0.918651, actvprof=,8.767960, id=,S07, PRDE,actvstrat=,-0.378532, actvprof=,2.113238, id=,S08, PRDE,actvstrat=,0.643671, actvprof=,7.221678, id=,S09, PRDE,actvstrat=,0.886070, actvprof=,8.651986, best_B_id=,B04, best_B_prof=,4.718015, best_B_strat=,-0.999170, best_S_id=,S06, best_S_prof=,8.767960, best_S_strat=,0.918651, 
t=,18000, id=,B00, PRDE,actvstrat=,0.397638, actvprof=,1.791211, id=,B01, PRDE,actvstrat=,-0.571298, actvprof=,1.698983, id=,B02, PRDE,actvstrat=,0.105329, actvprof=,1.751208, id=,B03, PRDE,actvstrat=,-0.971761, actvprof=,2.767654, id=,B04, PRDE,actvstrat=,0.088832, actvprof=,1.554809, id=,B05, PRDE,actvstrat=,0.027345, actvprof=,1.480916, id=,B06, PRDE,actvstrat=,0.427026, actvprof=,1.945108, id=,B07, PRDE,actvstrat=,0.335080, actvprof=,1.756209, id=,B08, PRDE,actvstrat=,-0.426923, actvprof=,1.711206, id=,B09, PRDE,actvstrat=,-0.934131, actvprof=,2.731263, id=,S00, PRDE,actvstrat=,-0.647313, actvprof=,2.748208, id=,S01, PRDE,actvstrat=,0.486492, actvprof=,7.905161, id=,S02, PRDE,actvstrat=,0.388927, actvprof=,7.669037, id=,S03, PRDE,actvstrat=,0.217684, actvprof=,6.738985, id=,S04, PRDE,actvstrat=,0.563025, actvprof=,8.928552, id=,S05, PRDE,actvstrat=,0.023143, actvprof=,5.645869, id=,S06, PRDE,actvstrat=,-0.468052, actvprof=,2.977665, id=,S07, PRDE,actvstrat=,0.949901, actvprof=,10.418079, id=,S08, PRDE,actvstrat=,-0.910882, actvprof=,0.303072, id=,S09, PRDE,actvstrat=,-0.941568, actvprof=,0.636424, best_B_id=,B03, best_B_prof=,2.767654, best_B_strat=,-0.971761, best_S_id=,S07, best_S_prof=,10.418079, best_S_strat=,0.949901, 
t=,21600, id=,B00, PRDE,actvstrat=,0.397638, actvprof=,1.846162, id=,B01, PRDE,actvstrat=,-0.571298, actvprof=,1.647685, id=,B02, PRDE,actvstrat=,0.105329, actvprof=,1.674213, id=,B03, PRDE,actvstrat=,-0.971761, actvprof=,2.747021, id=,B04, PRDE,actvstrat=,0.088832, actvprof=,1.536432, id=,B05, PRDE,actvstrat=,0.027345, actvprof=,1.482819, id=,B06, PRDE,actvstrat=,0.427026, actvprof=,1.972694, id=,B07, PRDE,actvstrat=,0.335080, actvprof=,1.799078, id=,B08, PRDE,actvstrat=,-0.426923, actvprof=,1.580183, id=,B09, PRDE,actvstrat=,-0.934131, actvprof=,2.667019, id=,S00, PRDE,actvstrat=,-0.647313, actvprof=,2.575072, id=,S01, PRDE,actvstrat=,0.486492, actvprof=,7.972444, id=,S02, PRDE,actvstrat=,0.388927, actvprof=,7.565627, id=,S03, PRDE,actvstrat=,0.217684, actvprof=,6.839079, id=,S04, PRDE,actvstrat=,0.563025, actvprof=,8.757882, id=,S05, PRDE,actvstrat=,0.023143, actvprof=,5.868219, id=,S06, PRDE,actvstrat=,-0.468052, actvprof=,3.037584, id=,S07, PRDE,actvstrat=,0.949901, actvprof=,10.695297, id=,S08, PRDE,actvstrat=,-0.910882, actvprof=,0.301536, id=,S09, PRDE,actvstrat=,-0.941568, actvprof=,0.647101, best_B_id=,B03, best_B_prof=,2.747021, best_B_strat=,-0.971761, best_S_id=,S07, best_S_prof=,10.695297, best_S_strat=,0.949901, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.338856, actvprof=,3.373705, id=,B01, PRDE,actvstrat=,0.247549, actvprof=,3.458985, id=,B02, PRDE,actvstrat=,0.766109, actvprof=,3.029806, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.517014, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.738104, id=,B05, PRDE,actvstrat=,-0.863151, actvprof=,3.440373, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.612267, id=,B07, PRDE,actvstrat=,0.996449, actvprof=,1.831162, id=,B08, PRDE,actvstrat=,0.315054, actvprof=,3.375649, id=,B09, PRDE,actvstrat=,-0.414100, actvprof=,3.216200, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.556238, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.638740, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.721131, id=,S03, PRDE,actvstrat=,0.347014, actvprof=,8.008556, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.240118, id=,S05, PRDE,actvstrat=,0.460484, actvprof=,8.493847, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.647240, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.413345, id=,S08, PRDE,actvstrat=,-0.299276, actvprof=,3.856496, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,10.456124, best_B_id=,B01, best_B_prof=,3.458985, best_B_strat=,0.247549, best_S_id=,S02, best_S_prof=,10.721131, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.338856, actvprof=,3.229534, id=,B01, PRDE,actvstrat=,0.247549, actvprof=,3.264535, id=,B02, PRDE,actvstrat=,0.766109, actvprof=,3.100642, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.613684, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.643935, id=,B05, PRDE,actvstrat=,-0.863151, actvprof=,3.522598, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.496708, id=,B07, PRDE,actvstrat=,0.996449, actvprof=,1.664491, id=,B08, PRDE,actvstrat=,0.315054, actvprof=,3.218839, id=,B09, PRDE,actvstrat=,-0.414100, actvprof=,3.257174, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.614156, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.680130, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.650018, id=,S03, PRDE,actvstrat=,0.347014, actvprof=,8.033834, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.395261, id=,S05, PRDE,actvstrat=,0.460484, actvprof=,8.399678, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.710575, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.588211, id=,S08, PRDE,actvstrat=,-0.299276, actvprof=,4.163310, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,10.588905, best_B_id=,B05, best_B_prof=,3.522598, best_B_strat=,-0.863151, best_S_id=,S06, best_S_prof=,10.710575, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.864655, actvprof=,1.580475, id=,B01, PRDE,actvstrat=,-0.463821, actvprof=,1.275159, id=,B02, PRDE,actvstrat=,-0.927638, actvprof=,2.352238, id=,B03, PRDE,actvstrat=,-0.029272, actvprof=,1.195149, id=,B04, PRDE,actvstrat=,0.426407, actvprof=,1.608257, id=,B05, PRDE,actvstrat=,0.773349, actvprof=,1.790502, id=,B06, PRDE,actvstrat=,0.732228, actvprof=,1.796891, id=,B07, PRDE,actvstrat=,0.053277, actvprof=,1.360170, id=,B08, PRDE,actvstrat=,0.467509, actvprof=,1.495465, id=,B09, PRDE,actvstrat=,-0.336203, actvprof=,1.070689, id=,S00, PRDE,actvstrat=,-0.771931, actvprof=,2.099707, id=,S01, PRDE,actvstrat=,-0.594341, actvprof=,3.461266, id=,S02, PRDE,actvstrat=,0.289558, actvprof=,7.656790, id=,S03, PRDE,actvstrat=,-0.097378, actvprof=,4.819769, id=,S04, PRDE,actvstrat=,0.961173, actvprof=,11.656457, id=,S05, PRDE,actvstrat=,0.677383, actvprof=,10.613549, id=,S06, PRDE,actvstrat=,-0.678367, actvprof=,2.769235, id=,S07, PRDE,actvstrat=,-0.182684, actvprof=,4.556681, id=,S08, PRDE,actvstrat=,0.430535, actvprof=,8.425220, id=,S09, PRDE,actvstrat=,-0.159584, actvprof=,4.692531, best_B_id=,B02, best_B_prof=,2.352238, best_B_strat=,-0.927638, best_S_id=,S04, best_S_prof=,11.656457, best_S_strat=,0.961173, 
t=,36000, id=,B00, PRDE,actvstrat=,0.864655, actvprof=,1.631491, id=,B01, PRDE,actvstrat=,-0.463821, actvprof=,1.143821, id=,B02, PRDE,actvstrat=,-0.927638, actvprof=,2.349591, id=,B03, PRDE,actvstrat=,-0.029272, actvprof=,1.197575, id=,B04, PRDE,actvstrat=,0.426407, actvprof=,1.552597, id=,B05, PRDE,actvstrat=,0.773349, actvprof=,1.780806, id=,B06, PRDE,actvstrat=,0.732228, actvprof=,1.760943, id=,B07, PRDE,actvstrat=,0.053277, actvprof=,1.319388, id=,B08, PRDE,actvstrat=,0.467509, actvprof=,1.507316, id=,B09, PRDE,actvstrat=,-0.336203, actvprof=,1.036593, id=,S00, PRDE,actvstrat=,-0.771931, actvprof=,2.171664, id=,S01, PRDE,actvstrat=,-0.594341, actvprof=,3.256454, id=,S02, PRDE,actvstrat=,0.289558, actvprof=,7.766319, id=,S03, PRDE,actvstrat=,-0.097378, actvprof=,4.953782, id=,S04, PRDE,actvstrat=,0.961173, actvprof=,11.585446, id=,S05, PRDE,actvstrat=,0.677383, actvprof=,10.460515, id=,S06, PRDE,actvstrat=,-0.678367, actvprof=,2.746561, id=,S07, PRDE,actvstrat=,-0.182684, actvprof=,4.463890, id=,S08, PRDE,actvstrat=,0.430535, actvprof=,8.474280, id=,S09, PRDE,actvstrat=,-0.159584, actvprof=,4.534589, best_B_id=,B02, best_B_prof=,2.349591, best_B_strat=,-0.927638, best_S_id=,S04, best_S_prof=,11.585446, best_S_strat=,0.961173, 
