t=,0, id=,B00, PRDE,actvstrat=,0.218587, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.847176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.891854, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.274842, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.415946, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.109406, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.044030, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.682783, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.077266, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.401940, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.546506, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.806410, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.916178, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.170529, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.852249, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.875910, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.143214, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.405331, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.578148, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.285161, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.218587, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.546506, 
t=,3600, id=,B00, PRDE,actvstrat=,0.218587, actvprof=,2.661352, id=,B01, PRDE,actvstrat=,0.847176, actvprof=,2.675518, id=,B02, PRDE,actvstrat=,0.891854, actvprof=,2.150526, id=,B03, PRDE,actvstrat=,-0.274842, actvprof=,2.281357, id=,B04, PRDE,actvstrat=,-0.415946, actvprof=,2.215525, id=,B05, PRDE,actvstrat=,-0.109406, actvprof=,2.501910, id=,B06, PRDE,actvstrat=,0.044030, actvprof=,2.147470, id=,B07, PRDE,actvstrat=,-0.682783, actvprof=,3.256344, id=,B08, PRDE,actvstrat=,-0.077266, actvprof=,2.689407, id=,B09, PRDE,actvstrat=,-0.401940, actvprof=,2.446633, id=,S00, PRDE,actvstrat=,-0.546506, actvprof=,3.672727, id=,S01, PRDE,actvstrat=,-0.806410, actvprof=,2.156637, id=,S02, PRDE,actvstrat=,0.916178, actvprof=,9.812086, id=,S03, PRDE,actvstrat=,0.170529, actvprof=,6.580186, id=,S04, PRDE,actvstrat=,0.852249, actvprof=,9.792086, id=,S05, PRDE,actvstrat=,-0.875910, actvprof=,1.410536, id=,S06, PRDE,actvstrat=,0.143214, actvprof=,6.773795, id=,S07, PRDE,actvstrat=,-0.405331, actvprof=,3.789670, id=,S08, PRDE,actvstrat=,0.578148, actvprof=,8.314607, id=,S09, PRDE,actvstrat=,-0.285161, actvprof=,4.159387, best_B_id=,B07, best_B_prof=,3.256344, best_B_strat=,-0.682783, best_S_id=,S02, best_S_prof=,9.812086, best_S_strat=,0.916178, 
t=,7200, id=,B00, PRDE,actvstrat=,0.934112, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.485697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074389, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.830711, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.858652, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.847651, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.449570, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.844963, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.019471, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.229111, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.957515, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.570940, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.279944, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.309027, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.166691, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.573742, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.573524, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.298114, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.987979, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.636553, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.934112, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.957515, 
t=,10800, id=,B00, PRDE,actvstrat=,0.934112, actvprof=,1.570855, id=,B01, PRDE,actvstrat=,0.485697, actvprof=,2.321143, id=,B02, PRDE,actvstrat=,-0.074389, actvprof=,1.878637, id=,B03, PRDE,actvstrat=,0.830711, actvprof=,2.317810, id=,B04, PRDE,actvstrat=,-0.858652, actvprof=,2.967541, id=,B05, PRDE,actvstrat=,-0.847651, actvprof=,2.990597, id=,B06, PRDE,actvstrat=,0.449570, actvprof=,2.241698, id=,B07, PRDE,actvstrat=,-0.844963, actvprof=,2.708093, id=,B08, PRDE,actvstrat=,-0.019471, actvprof=,1.893360, id=,B09, PRDE,actvstrat=,-0.229111, actvprof=,1.773358, id=,S00, PRDE,actvstrat=,0.957515, actvprof=,10.701815, id=,S01, PRDE,actvstrat=,-0.570940, actvprof=,2.737260, id=,S02, PRDE,actvstrat=,0.279944, actvprof=,7.001208, id=,S03, PRDE,actvstrat=,-0.309027, actvprof=,3.682551, id=,S04, PRDE,actvstrat=,-0.166691, actvprof=,4.096446, id=,S05, PRDE,actvstrat=,0.573742, actvprof=,8.807900, id=,S06, PRDE,actvstrat=,-0.573524, actvprof=,3.463381, id=,S07, PRDE,actvstrat=,-0.298114, actvprof=,3.728941, id=,S08, PRDE,actvstrat=,0.987979, actvprof=,10.441534, id=,S09, PRDE,actvstrat=,0.636553, actvprof=,9.388186, best_B_id=,B05, best_B_prof=,2.990597, best_B_strat=,-0.847651, best_S_id=,S00, best_S_prof=,10.701815, best_S_strat=,0.957515, 
t=,14400, id=,B00, PRDE,actvstrat=,0.934112, actvprof=,1.501955, id=,B01, PRDE,actvstrat=,0.485697, actvprof=,2.319738, id=,B02, PRDE,actvstrat=,-0.074389, actvprof=,1.865569, id=,B03, PRDE,actvstrat=,0.830711, actvprof=,2.202238, id=,B04, PRDE,actvstrat=,-0.858652, actvprof=,3.053216, id=,B05, PRDE,actvstrat=,-0.847651, actvprof=,3.036132, id=,B06, PRDE,actvstrat=,0.449570, actvprof=,2.307377, id=,B07, PRDE,actvstrat=,-0.844963, actvprof=,2.878909, id=,B08, PRDE,actvstrat=,-0.019471, actvprof=,1.784596, id=,B09, PRDE,actvstrat=,-0.229111, actvprof=,1.755984, id=,S00, PRDE,actvstrat=,0.957515, actvprof=,10.488545, id=,S01, PRDE,actvstrat=,-0.570940, actvprof=,2.884326, id=,S02, PRDE,actvstrat=,0.279944, actvprof=,7.179772, id=,S03, PRDE,actvstrat=,-0.309027, actvprof=,3.745443, id=,S04, PRDE,actvstrat=,-0.166691, actvprof=,4.081001, id=,S05, PRDE,actvstrat=,0.573742, actvprof=,8.724505, id=,S06, PRDE,actvstrat=,-0.573524, actvprof=,3.183355, id=,S07, PRDE,actvstrat=,-0.298114, actvprof=,3.706692, id=,S08, PRDE,actvstrat=,0.987979, actvprof=,10.511323, id=,S09, PRDE,actvstrat=,0.636553, actvprof=,9.145480, best_B_id=,B04, best_B_prof=,3.053216, best_B_strat=,-0.858652, best_S_id=,S08, best_S_prof=,10.511323, best_S_strat=,0.987979, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.533396, actvprof=,1.610022, id=,B01, PRDE,actvstrat=,0.608299, actvprof=,2.087807, id=,B02, PRDE,actvstrat=,-0.074389, actvprof=,1.576966, id=,B03, PRDE,actvstrat=,0.983034, actvprof=,0.891123, id=,B04, PRDE,actvstrat=,-0.468003, actvprof=,1.600578, id=,B05, PRDE,actvstrat=,-0.940731, actvprof=,2.700871, id=,B06, PRDE,actvstrat=,-0.307100, actvprof=,1.477521, id=,B07, PRDE,actvstrat=,0.711225, actvprof=,1.989194, id=,B08, PRDE,actvstrat=,0.811863, actvprof=,2.153363, id=,B09, PRDE,actvstrat=,-0.424632, actvprof=,1.522521, id=,S00, PRDE,actvstrat=,0.957515, actvprof=,11.047931, id=,S01, PRDE,actvstrat=,-0.432821, actvprof=,4.037556, id=,S02, PRDE,actvstrat=,-0.192973, actvprof=,4.408395, id=,S03, PRDE,actvstrat=,0.462827, actvprof=,8.995680, id=,S04, PRDE,actvstrat=,0.009757, actvprof=,6.438145, id=,S05, PRDE,actvstrat=,-0.496388, actvprof=,3.801997, id=,S06, PRDE,actvstrat=,-0.488578, actvprof=,3.290323, id=,S07, PRDE,actvstrat=,-0.098487, actvprof=,4.995625, id=,S08, PRDE,actvstrat=,0.821566, actvprof=,10.857651, id=,S09, PRDE,actvstrat=,-0.541108, actvprof=,3.406714, best_B_id=,B05, best_B_prof=,2.700871, best_B_strat=,-0.940731, best_S_id=,S00, best_S_prof=,11.047931, best_S_strat=,0.957515, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.533396, actvprof=,1.647245, id=,B01, PRDE,actvstrat=,0.608299, actvprof=,2.081001, id=,B02, PRDE,actvstrat=,-0.074389, actvprof=,1.507243, id=,B03, PRDE,actvstrat=,0.983034, actvprof=,0.851401, id=,B04, PRDE,actvstrat=,-0.468003, actvprof=,1.576411, id=,B05, PRDE,actvstrat=,-0.940731, actvprof=,2.626703, id=,B06, PRDE,actvstrat=,-0.307100, actvprof=,1.484048, id=,B07, PRDE,actvstrat=,0.711225, actvprof=,2.144891, id=,B08, PRDE,actvstrat=,0.811863, actvprof=,2.036001, id=,B09, PRDE,actvstrat=,-0.424632, actvprof=,1.455298, id=,S00, PRDE,actvstrat=,0.957515, actvprof=,11.149877, id=,S01, PRDE,actvstrat=,-0.432821, actvprof=,3.825331, id=,S02, PRDE,actvstrat=,-0.192973, actvprof=,4.451451, id=,S03, PRDE,actvstrat=,0.462827, actvprof=,8.856929, id=,S04, PRDE,actvstrat=,0.009757, actvprof=,6.494535, id=,S05, PRDE,actvstrat=,-0.496388, actvprof=,3.596022, id=,S06, PRDE,actvstrat=,-0.488578, actvprof=,3.511577, id=,S07, PRDE,actvstrat=,-0.098487, actvprof=,5.087710, id=,S08, PRDE,actvstrat=,0.821566, actvprof=,10.953763, id=,S09, PRDE,actvstrat=,-0.541108, actvprof=,3.185878, best_B_id=,B05, best_B_prof=,2.626703, best_B_strat=,-0.940731, best_S_id=,S00, best_S_prof=,11.149877, best_S_strat=,0.957515, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.529272, id=,B01, PRDE,actvstrat=,-0.045242, actvprof=,1.550898, id=,B02, PRDE,actvstrat=,0.717651, actvprof=,2.339542, id=,B03, PRDE,actvstrat=,0.535514, actvprof=,2.042307, id=,B04, PRDE,actvstrat=,0.293868, actvprof=,1.850077, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.926983, id=,B06, PRDE,actvstrat=,0.141580, actvprof=,1.650624, id=,B07, PRDE,actvstrat=,-0.544369, actvprof=,1.672570, id=,B08, PRDE,actvstrat=,-0.682086, actvprof=,1.752017, id=,B09, PRDE,actvstrat=,-0.142395, actvprof=,1.432004, id=,S00, PRDE,actvstrat=,-0.714492, actvprof=,2.717058, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.040766, id=,S02, PRDE,actvstrat=,0.441775, actvprof=,8.181452, id=,S03, PRDE,actvstrat=,0.596901, actvprof=,9.454283, id=,S04, PRDE,actvstrat=,-0.472674, actvprof=,3.212078, id=,S05, PRDE,actvstrat=,0.294093, actvprof=,7.398919, id=,S06, PRDE,actvstrat=,-0.098707, actvprof=,5.111880, id=,S07, PRDE,actvstrat=,0.710246, actvprof=,10.114588, id=,S08, PRDE,actvstrat=,-0.378925, actvprof=,3.954887, id=,S09, PRDE,actvstrat=,-0.085322, actvprof=,4.848813, best_B_id=,B00, best_B_prof=,2.529272, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,10.114588, best_S_strat=,0.710246, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.411856, id=,B01, PRDE,actvstrat=,-0.045242, actvprof=,1.639340, id=,B02, PRDE,actvstrat=,0.717651, actvprof=,2.198379, id=,B03, PRDE,actvstrat=,0.535514, actvprof=,2.056154, id=,B04, PRDE,actvstrat=,0.293868, actvprof=,1.856844, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.968492, id=,B06, PRDE,actvstrat=,0.141580, actvprof=,1.575172, id=,B07, PRDE,actvstrat=,-0.544369, actvprof=,1.581977, id=,B08, PRDE,actvstrat=,-0.682086, actvprof=,1.849761, id=,B09, PRDE,actvstrat=,-0.142395, actvprof=,1.407252, id=,S00, PRDE,actvstrat=,-0.714492, actvprof=,2.744918, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.963159, id=,S02, PRDE,actvstrat=,0.441775, actvprof=,8.116280, id=,S03, PRDE,actvstrat=,0.596901, actvprof=,9.466586, id=,S04, PRDE,actvstrat=,-0.472674, actvprof=,3.352709, id=,S05, PRDE,actvstrat=,0.294093, actvprof=,7.451127, id=,S06, PRDE,actvstrat=,-0.098707, actvprof=,5.275110, id=,S07, PRDE,actvstrat=,0.710246, actvprof=,10.033265, id=,S08, PRDE,actvstrat=,-0.378925, actvprof=,3.862025, id=,S09, PRDE,actvstrat=,-0.085322, actvprof=,4.935658, best_B_id=,B00, best_B_prof=,2.411856, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,10.033265, best_S_strat=,0.710246, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.276484, id=,B01, PRDE,actvstrat=,0.862354, actvprof=,1.800075, id=,B02, PRDE,actvstrat=,-0.370342, actvprof=,0.981430, id=,B03, PRDE,actvstrat=,0.434602, actvprof=,1.932581, id=,B04, PRDE,actvstrat=,0.057879, actvprof=,1.267553, id=,B05, PRDE,actvstrat=,0.598848, actvprof=,1.953970, id=,B06, PRDE,actvstrat=,0.428016, actvprof=,1.611178, id=,B07, PRDE,actvstrat=,-0.544369, actvprof=,1.218940, id=,B08, PRDE,actvstrat=,-0.019471, actvprof=,1.240885, id=,B09, PRDE,actvstrat=,0.076175, actvprof=,1.312277, id=,S00, PRDE,actvstrat=,-0.021835, actvprof=,6.402767, id=,S01, PRDE,actvstrat=,-0.039469, actvprof=,5.878300, id=,S02, PRDE,actvstrat=,-0.702522, actvprof=,2.550106, id=,S03, PRDE,actvstrat=,0.500166, actvprof=,8.693418, id=,S04, PRDE,actvstrat=,-0.945925, actvprof=,0.709474, id=,S05, PRDE,actvstrat=,-0.805024, actvprof=,1.418115, id=,S06, PRDE,actvstrat=,0.119631, actvprof=,6.987513, id=,S07, PRDE,actvstrat=,0.710246, actvprof=,10.096810, id=,S08, PRDE,actvstrat=,-0.387685, actvprof=,3.870717, id=,S09, PRDE,actvstrat=,0.557679, actvprof=,9.200383, best_B_id=,B00, best_B_prof=,2.276484, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,10.096810, best_S_strat=,0.710246, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.190200, id=,B01, PRDE,actvstrat=,0.862354, actvprof=,1.738659, id=,B02, PRDE,actvstrat=,-0.370342, actvprof=,0.967249, id=,B03, PRDE,actvstrat=,0.434602, actvprof=,1.776994, id=,B04, PRDE,actvstrat=,0.057879, actvprof=,1.282397, id=,B05, PRDE,actvstrat=,0.598848, actvprof=,1.862274, id=,B06, PRDE,actvstrat=,0.428016, actvprof=,1.608517, id=,B07, PRDE,actvstrat=,-0.544369, actvprof=,1.315314, id=,B08, PRDE,actvstrat=,-0.019471, actvprof=,1.206700, id=,B09, PRDE,actvstrat=,0.076175, actvprof=,1.355315, id=,S00, PRDE,actvstrat=,-0.021835, actvprof=,6.282952, id=,S01, PRDE,actvstrat=,-0.039469, actvprof=,6.019612, id=,S02, PRDE,actvstrat=,-0.702522, actvprof=,2.527292, id=,S03, PRDE,actvstrat=,0.500166, actvprof=,8.749965, id=,S04, PRDE,actvstrat=,-0.945925, actvprof=,0.775160, id=,S05, PRDE,actvstrat=,-0.805024, actvprof=,1.495875, id=,S06, PRDE,actvstrat=,0.119631, actvprof=,6.924637, id=,S07, PRDE,actvstrat=,0.710246, actvprof=,10.136809, id=,S08, PRDE,actvstrat=,-0.387685, actvprof=,3.758438, id=,S09, PRDE,actvstrat=,0.557679, actvprof=,9.194283, best_B_id=,B00, best_B_prof=,2.190200, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,10.136809, best_S_strat=,0.710246, 
