B00, 100
B00, Trade, 4319203.543, 61, S08, B00, 1
B00, Trade, 4319214.093, 62, S03, B00, 1
B00, Trade, 4319220.393, 60, B00, S02, 1
B00, Trade, 4319222.743, 71, S06, B00, 1
B00, Trade, 4319233.543, 62, B00, S06, 1
B00, Trade, 4319235.043, 140, B00, S00, 1
B00, Trade, 4319239.393, 140, B00, S07, 1
B00, Trade, 4319244.193, 130, B00, S09, 1
B00, Trade, 4319249.193, 140, B00, S00, 1
B00, Trade, 4319265.993, 61, B00, S07, 1
B00, Trade, 4319274.393, 61, S03, B00, 1
B00, Trade, 4319277.143, 63, S08, B00, 1
B00, Trade, 4319284.393, 63, B00, S04, 1
B00, Trade, 4319293.693, 64, B00, S00, 1
B00, Trade, 4319302.293, 60, S03, B00, 1
B00, Trade, 4319306.743, 61, B00, S05, 1
B00, Trade, 4319310.643, 61, S06, B00, 1
B00, Trade, 4319320.193, 63, S04, B00, 1
B00, Trade, 4319331.143, 67, B00, S04, 1
B00, Trade, 4319336.293, 78, B00, S04, 1
B00, Trade, 4319352.193, 64, S03, B00, 1
B00, Trade, 4319358.693, 62, B00, S02, 1
B00, Trade, 4319360.143, 67, B00, S06, 1
B00, Trade, 4319366.993, 63, S07, B00, 1
B00, Trade, 4319373.143, 60, S07, B00, 1
B00, Trade, 4319376.643, 93, B00, S07, 1
B00, Trade, 4319396.693, 61, S04, B00, 1
B00, Trade, 4319401.393, 62, S07, B00, 1
B00, Trade, 4319413.593, 63, B00, S00, 1
B00, Trade, 4319421.993, 62, S09, B00, 1
B00, Trade, 4319431.143, 60, S06, B00, 1
B00, Trade, 4319437.643, 61, S08, B00, 1
B00, Trade, 4319449.143, 67, S05, B00, 1
B00, Trade, 4319457.743, 61, S00, B00, 1
B00, Trade, 4319460.393, 66, B00, S08, 1
B00, Trade, 4319471.543, 63, B00, S03, 1
B00, Trade, 4319480.393, 60, S02, B00, 1
B00, Trade, 4319491.943, 60, S01, B00, 1
B00, Trade, 4319496.643, 71, B00, S07, 1
B00, Trade, 4319505.443, 64, B00, S02, 1
B00, Trade, 4319516.843, 61, B00, S06, 1
B00, Trade, 4319519.393, 139, B00, S07, 1
B00, Trade, 4319533.843, 138, B00, S00, 1
B00, Trade, 4319539.843, 62, S02, B00, 1
B00, Trade, 4319545.443, 62, S00, B00, 1
B00, Trade, 4319553.743, 62, S02, B00, 1
B00, Trade, 4319567.043, 65, B00, S02, 1
B00, Trade, 4319572.943, 60, S01, B00, 1
B00, Trade, 4319585.093, 60, B00, S02, 1
B00, Trade, 4319594.993, 63, B00, S04, 1
B00, Trade, 4319599.143, 63, S05, B00, 1
B00, Trade, 4319612.543, 65, B00, S05, 1
B00, Trade, 4319616.243, 74, S01, B00, 1
B00, Trade, 4319626.243, 62, B00, S05, 1
B00, Trade, 4319632.293, 140, B00, S05, 1
B00, Trade, 4319643.943, 60, S05, B00, 1
B00, Trade, 4319647.293, 61, S02, B00, 1
B00, Trade, 4319654.293, 60, S02, B00, 1
B00, Trade, 4319659.643, 61, B00, S07, 1
B00, Trade, 4319671.543, 62, S05, B00, 1
B00, Trade, 4319682.093, 63, S01, B00, 1
B00, Trade, 4319693.993, 60, B00, S07, 1
B00, Trade, 4319695.093, 63, S01, B00, 1
B00, Trade, 4319706.193, 62, S06, B00, 1
B00, Trade, 4319715.143, 66, B00, S02, 1
B00, Trade, 4319723.493, 66, B00, S08, 1
B00, Trade, 4319730.593, 138, B00, S08, 1
B00, Trade, 4319735.493, 140, B00, S02, 1
B00, Trade, 4319739.793, 140, B00, S04, 1
B00, Trade, 4319742.943, 140, B00, S02, 1
B00, Trade, 4319747.543, 62, S04, B00, 1
B00, Trade, 4319752.893, 90, B00, S02, 1
B00, Trade, 4319758.493, 63, S03, B00, 1
B00, Trade, 4319771.693, 64, B00, S00, 1
B00, Trade, 4319779.743, 61, B00, S08, 1
B00, Trade, 4319788.793, 60, S01, B00, 1
B00, Trade, 4319809.643, 63, B00, S02, 1
B00, Trade, 4319817.943, 62, S08, B00, 1
B00, Trade, 4319819.343, 63, S07, B00, 1
B00, Trade, 4319838.143, 61, S05, B00, 1
B00, Trade, 4319839.243, 62, B00, S08, 1
B00, Trade, 4319849.993, 64, S08, B00, 1
B00, Trade, 4319859.393, 61, B00, S02, 1
B00, Trade, 4319867.193, 60, S00, B00, 1
B00, Trade, 4319868.693, 61, S01, B00, 1
B00, Trade, 4319880.293, 61, B00, S06, 1
B00, Trade, 4319884.993, 60, S01, B00, 1
B00, Trade, 4319889.493, 63, B00, S05, 1
B00, Trade, 4319898.943, 62, B00, S01, 1
B00, Trade, 4319907.693, 60, S07, B00, 1
B00, Trade, 4319916.943, 62, S08, B00, 1
B00, Trade, 4319928.843, 69, B00, S06, 1
B00, Trade, 4319937.293, 61, B00, S06, 1
B00, Trade, 4319946.693, 60, S03, B00, 1
B00, Trade, 4319949.943, 67, B00, S02, 1
B00, Trade, 4319959.543, 64, S08, B00, 1
B00, Trade, 4319972.643, 64, S03, B00, 1
B00, Trade, 4319982.393, 61, B00, S07, 1
B00, Trade, 4319994.943, 62, B00, S02, 1
B00, Trade, 4319995.743, 60, S05, B00, 1
B01, 100
B01, Trade, 4319423.393, 62, S06, B01, 1
B01, Trade, 4319428.843, 62, S04, B01, 1
B01, Trade, 4319433.393, 63, S01, B01, 1
B01, Trade, 4319436.993, 61, S03, B01, 1
B01, Trade, 4319444.693, 60, S01, B01, 1
B01, Trade, 4319449.693, 68, S03, B01, 1
B01, Trade, 4319453.243, 60, S08, B01, 1
B01, Trade, 4319460.443, 73, S05, B01, 1
B01, Trade, 4319465.193, 61, S05, B01, 1
B01, Trade, 4319473.093, 61, S07, B01, 1
B01, Trade, 4319479.843, 60, S07, B01, 1
B01, Trade, 4319483.043, 60, S03, B01, 1
B01, Trade, 4319488.693, 60, S08, B01, 1
B01, Trade, 4319492.843, 60, S05, B01, 1
B01, Trade, 4319500.643, 60, S08, B01, 1
B01, Trade, 4319504.493, 61, S07, B01, 1
B01, Trade, 4319508.343, 62, S06, B01, 1
B01, Trade, 4319513.943, 60, S08, B01, 1
B01, Trade, 4319520.293, 95, B01, S02, 1
B01, Trade, 4319522.543, 61, S04, B01, 1
B01, Trade, 4319534.793, 89, B01, S03, 1
B01, Trade, 4319540.293, 66, S01, B01, 1
B01, Trade, 4319542.543, 61, S05, B01, 1
B01, Trade, 4319550.643, 64, S05, B01, 1
B01, Trade, 4319554.093, 65, S06, B01, 1
B01, Trade, 4319563.043, 62, S07, B01, 1
B01, Trade, 4319570.393, 68, S04, B01, 1
B01, Trade, 4319576.593, 64, S00, B01, 1
B01, Trade, 4319578.593, 62, S02, B01, 1
B01, Trade, 4319584.093, 62, S05, B01, 1
B01, Trade, 4319591.793, 62, S07, B01, 1
B01, Trade, 4319599.443, 71, S02, B01, 1
B01, Trade, 4319602.993, 60, S08, B01, 1
B01, Trade, 4319604.243, 60, S01, B01, 1
B01, Trade, 4319614.093, 67, S04, B01, 1
B01, Trade, 4319620.243, 60, S06, B01, 1
B01, Trade, 4319626.593, 63, S00, B01, 1
B01, Trade, 4319634.393, 62, S01, B01, 1
B01, Trade, 4319642.293, 61, S07, B01, 1
B01, Trade, 4319650.443, 60, S07, B01, 1
B01, Trade, 4319655.243, 63, S06, B01, 1
B01, Trade, 4319663.243, 75, S01, B01, 1
B01, Trade, 4319668.793, 60, S02, B01, 1
B01, Trade, 4319670.593, 60, S03, B01, 1
B01, Trade, 4319680.693, 64, S03, B01, 1
B01, Trade, 4319688.843, 60, S08, B01, 1
B01, Trade, 4319690.893, 60, S00, B01, 1
B01, Trade, 4319697.593, 65, S05, B01, 1
B01, Trade, 4319706.293, 62, S04, B01, 1
B01, Trade, 4319709.043, 60, S07, B01, 1
B01, Trade, 4319710.593, 63, S06, B01, 1
B01, Trade, 4319720.493, 60, S01, B01, 1
B01, Trade, 4319724.793, 77, S04, B01, 1
B01, Trade, 4319745.993, 62, S07, B01, 1
B01, Trade, 4319747.193, 61, S08, B01, 1
B01, Trade, 4319755.393, 64, S07, B01, 1
B01, Trade, 4319762.493, 77, B01, S02, 1
B01, Trade, 4319764.143, 69, S00, B01, 1
B01, Trade, 4319768.793, 60, S03, B01, 1
B01, Trade, 4319772.293, 65, S04, B01, 1
B01, Trade, 4319778.643, 62, S03, B01, 1
B01, Trade, 4319786.643, 63, S07, B01, 1
B01, Trade, 4319791.193, 114, B01, S06, 1
B01, Trade, 4319793.493, 65, S00, B01, 1
B01, Trade, 4319801.043, 75, S05, B01, 1
B01, Trade, 4319804.843, 60, S00, B01, 1
B01, Trade, 4319811.293, 63, S01, B01, 1
B01, Trade, 4319814.493, 60, S07, B01, 1
B01, Trade, 4319819.843, 60, S05, B01, 1
B01, Trade, 4319825.943, 60, S06, B01, 1
B01, Trade, 4319832.143, 60, S03, B01, 1
B01, Trade, 4319837.643, 60, S01, B01, 1
B01, Trade, 4319840.043, 65, S04, B01, 1
B01, Trade, 4319845.443, 60, S00, B01, 1
B01, Trade, 4319855.643, 60, S08, B01, 1
B01, Trade, 4319858.893, 62, S07, B01, 1
B01, Trade, 4319868.343, 60, S05, B01, 1
B01, Trade, 4319872.293, 74, B01, S06, 1
B01, Trade, 4319877.193, 60, S05, B01, 1
B01, Trade, 4319880.693, 64, S00, B01, 1
B01, Trade, 4319886.493, 61, S08, B01, 1
B01, Trade, 4319893.793, 60, S08, B01, 1
B01, Trade, 4319898.193, 62, S04, B01, 1
B01, Trade, 4319903.593, 63, S08, B01, 1
B01, Trade, 4319904.943, 60, S01, B01, 1
B01, Trade, 4319915.393, 61, S04, B01, 1
B01, Trade, 4319917.243, 75, S05, B01, 1
B01, Trade, 4319922.443, 60, S01, B01, 1
B01, Trade, 4319925.693, 62, S00, B01, 1
B01, Trade, 4319936.393, 60, S01, B01, 1
B01, Trade, 4319938.293, 64, S09, B01, 1
