t=,0, id=,B00, PRDE,actvstrat=,0.340611, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.504979, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.823863, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.352778, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.055296, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.576272, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.049166, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.918029, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.506611, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.153447, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.477004, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.981380, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.827908, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.704891, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.522710, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.784686, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.756470, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.609773, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.145104, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.004200, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.340611, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.477004, 
t=,3600, id=,B00, PRDE,actvstrat=,0.340611, actvprof=,1.579722, id=,B01, PRDE,actvstrat=,0.504979, actvprof=,1.908889, id=,B02, PRDE,actvstrat=,-0.823863, actvprof=,2.018333, id=,B03, PRDE,actvstrat=,0.352778, actvprof=,1.625000, id=,B04, PRDE,actvstrat=,-0.055296, actvprof=,1.093333, id=,B05, PRDE,actvstrat=,-0.576272, actvprof=,1.406944, id=,B06, PRDE,actvstrat=,0.049166, actvprof=,1.283889, id=,B07, PRDE,actvstrat=,0.918029, actvprof=,1.407500, id=,B08, PRDE,actvstrat=,0.506611, actvprof=,1.763333, id=,B09, PRDE,actvstrat=,-0.153447, actvprof=,1.210556, id=,S00, PRDE,actvstrat=,0.477004, actvprof=,8.632500, id=,S01, PRDE,actvstrat=,-0.981380, actvprof=,1.715556, id=,S02, PRDE,actvstrat=,0.827908, actvprof=,10.878056, id=,S03, PRDE,actvstrat=,-0.704891, actvprof=,2.655833, id=,S04, PRDE,actvstrat=,-0.522710, actvprof=,3.718611, id=,S05, PRDE,actvstrat=,-0.784686, actvprof=,1.989444, id=,S06, PRDE,actvstrat=,-0.756470, actvprof=,2.350556, id=,S07, PRDE,actvstrat=,0.609773, actvprof=,9.773333, id=,S08, PRDE,actvstrat=,-0.145104, actvprof=,4.500000, id=,S09, PRDE,actvstrat=,0.004200, actvprof=,6.666389, best_B_id=,B02, best_B_prof=,2.018333, best_B_strat=,-0.823863, best_S_id=,S02, best_S_prof=,10.878056, best_S_strat=,0.827908, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.884852, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.366722, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.092913, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.590469, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.754343, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.864916, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.937984, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.517208, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.629138, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.345918, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.749318, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.939882, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.657493, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.414262, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.288118, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.440920, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.614302, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.689510, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.671347, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.909630, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.884852, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.749318, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.884852, actvprof=,2.088524, id=,B01, PRDE,actvstrat=,-0.366722, actvprof=,0.860797, id=,B02, PRDE,actvstrat=,0.092913, actvprof=,0.933017, id=,B03, PRDE,actvstrat=,0.590469, actvprof=,1.356610, id=,B04, PRDE,actvstrat=,0.754343, actvprof=,1.613266, id=,B05, PRDE,actvstrat=,0.864916, actvprof=,1.421607, id=,B06, PRDE,actvstrat=,0.937984, actvprof=,1.089121, id=,B07, PRDE,actvstrat=,0.517208, actvprof=,1.507715, id=,B08, PRDE,actvstrat=,0.629138, actvprof=,1.412997, id=,B09, PRDE,actvstrat=,0.345918, actvprof=,1.454662, id=,S00, PRDE,actvstrat=,0.749318, actvprof=,11.624516, id=,S01, PRDE,actvstrat=,0.939882, actvprof=,12.045609, id=,S02, PRDE,actvstrat=,0.657493, actvprof=,10.997597, id=,S03, PRDE,actvstrat=,0.414262, actvprof=,9.706818, id=,S04, PRDE,actvstrat=,-0.288118, actvprof=,5.126453, id=,S05, PRDE,actvstrat=,0.440920, actvprof=,9.303223, id=,S06, PRDE,actvstrat=,-0.614302, actvprof=,3.082649, id=,S07, PRDE,actvstrat=,-0.689510, actvprof=,2.890713, id=,S08, PRDE,actvstrat=,-0.671347, actvprof=,2.985987, id=,S09, PRDE,actvstrat=,-0.909630, actvprof=,0.316931, best_B_id=,B00, best_B_prof=,2.088524, best_B_strat=,-0.884852, best_S_id=,S01, best_S_prof=,12.045609, best_S_strat=,0.939882, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.520196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.528816, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.431517, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.575306, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.558129, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.864916, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.878316, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.930979, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.848205, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.846350, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.365369, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.928664, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.735048, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.872213, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.324458, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.679665, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.194859, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.609773, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.337709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.680842, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.520196, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.365369, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.520196, actvprof=,0.660278, id=,B01, PRDE,actvstrat=,-0.528816, actvprof=,0.733056, id=,B02, PRDE,actvstrat=,-0.431517, actvprof=,0.656389, id=,B03, PRDE,actvstrat=,0.575306, actvprof=,1.213611, id=,B04, PRDE,actvstrat=,-0.558129, actvprof=,0.653889, id=,B05, PRDE,actvstrat=,0.864916, actvprof=,1.419722, id=,B06, PRDE,actvstrat=,0.878316, actvprof=,1.323889, id=,B07, PRDE,actvstrat=,0.930979, actvprof=,1.086944, id=,B08, PRDE,actvstrat=,-0.848205, actvprof=,1.399167, id=,B09, PRDE,actvstrat=,-0.846350, actvprof=,1.347778, id=,S00, PRDE,actvstrat=,-0.365369, actvprof=,4.511944, id=,S01, PRDE,actvstrat=,-0.928664, actvprof=,0.398056, id=,S02, PRDE,actvstrat=,-0.735048, actvprof=,3.071389, id=,S03, PRDE,actvstrat=,-0.872213, actvprof=,0.499722, id=,S04, PRDE,actvstrat=,-0.324458, actvprof=,4.412500, id=,S05, PRDE,actvstrat=,0.679665, actvprof=,10.804722, id=,S06, PRDE,actvstrat=,-0.194859, actvprof=,5.162222, id=,S07, PRDE,actvstrat=,0.609773, actvprof=,10.136389, id=,S08, PRDE,actvstrat=,0.337709, actvprof=,8.829167, id=,S09, PRDE,actvstrat=,-0.680842, actvprof=,3.568056, best_B_id=,B05, best_B_prof=,1.419722, best_B_strat=,0.864916, best_S_id=,S05, best_S_prof=,10.804722, best_S_strat=,0.679665, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.520196, actvprof=,0.558889, id=,B01, PRDE,actvstrat=,-0.528816, actvprof=,0.680833, id=,B02, PRDE,actvstrat=,-0.431517, actvprof=,0.695000, id=,B03, PRDE,actvstrat=,0.575306, actvprof=,1.195417, id=,B04, PRDE,actvstrat=,-0.558129, actvprof=,0.663472, id=,B05, PRDE,actvstrat=,0.864916, actvprof=,1.452222, id=,B06, PRDE,actvstrat=,0.878316, actvprof=,1.290972, id=,B07, PRDE,actvstrat=,0.930979, actvprof=,1.082222, id=,B08, PRDE,actvstrat=,-0.848205, actvprof=,1.323889, id=,B09, PRDE,actvstrat=,-0.846350, actvprof=,1.334722, id=,S00, PRDE,actvstrat=,-0.365369, actvprof=,4.382361, id=,S01, PRDE,actvstrat=,-0.928664, actvprof=,0.388611, id=,S02, PRDE,actvstrat=,-0.735048, actvprof=,3.025694, id=,S03, PRDE,actvstrat=,-0.872213, actvprof=,0.513750, id=,S04, PRDE,actvstrat=,-0.324458, actvprof=,4.458056, id=,S05, PRDE,actvstrat=,0.679665, actvprof=,10.848472, id=,S06, PRDE,actvstrat=,-0.194859, actvprof=,4.837500, id=,S07, PRDE,actvstrat=,0.609773, actvprof=,10.050694, id=,S08, PRDE,actvstrat=,0.337709, actvprof=,8.724167, id=,S09, PRDE,actvstrat=,-0.680842, actvprof=,3.570833, best_B_id=,B05, best_B_prof=,1.452222, best_B_strat=,0.864916, best_S_id=,S05, best_S_prof=,10.848472, best_S_strat=,0.679665, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,2.395734, id=,B01, PRDE,actvstrat=,0.754039, actvprof=,3.523742, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.393275, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.649376, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,2.465453, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.510729, id=,B06, PRDE,actvstrat=,0.119871, actvprof=,3.521798, id=,B07, PRDE,actvstrat=,0.772641, actvprof=,3.759010, id=,B08, PRDE,actvstrat=,-0.983606, actvprof=,1.302446, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.632988, id=,S00, PRDE,actvstrat=,0.013202, actvprof=,6.838604, id=,S01, PRDE,actvstrat=,0.803301, actvprof=,11.425913, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.170090, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.342861, id=,S04, PRDE,actvstrat=,-0.227243, actvprof=,4.460647, id=,S05, PRDE,actvstrat=,0.231218, actvprof=,8.110773, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.076205, id=,S07, PRDE,actvstrat=,0.657449, actvprof=,10.472619, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.290363, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.074914, best_B_id=,B07, best_B_prof=,3.759010, best_B_strat=,0.772641, best_S_id=,S01, best_S_prof=,11.425913, best_S_strat=,0.803301, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,2.398489, id=,B01, PRDE,actvstrat=,0.754039, actvprof=,3.614747, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.396676, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.626261, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,2.457656, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.592796, id=,B06, PRDE,actvstrat=,0.119871, actvprof=,3.455302, id=,B07, PRDE,actvstrat=,0.772641, actvprof=,3.781276, id=,B08, PRDE,actvstrat=,-0.983606, actvprof=,1.287787, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.517094, id=,S00, PRDE,actvstrat=,0.013202, actvprof=,7.020465, id=,S01, PRDE,actvstrat=,0.803301, actvprof=,11.380912, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.100633, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.076188, id=,S04, PRDE,actvstrat=,-0.227243, actvprof=,4.407253, id=,S05, PRDE,actvstrat=,0.231218, actvprof=,7.987833, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.270495, id=,S07, PRDE,actvstrat=,0.657449, actvprof=,10.440073, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.197439, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,1.958069, best_B_id=,B07, best_B_prof=,3.781276, best_B_strat=,0.772641, best_S_id=,S01, best_S_prof=,11.380912, best_S_strat=,0.803301, 
t=,32400, id=,B00, PRDE,actvstrat=,0.594572, actvprof=,1.561710, id=,B01, PRDE,actvstrat=,0.244744, actvprof=,1.124753, id=,B02, PRDE,actvstrat=,0.680416, actvprof=,1.545876, id=,B03, PRDE,actvstrat=,0.807815, actvprof=,1.409206, id=,B04, PRDE,actvstrat=,0.612704, actvprof=,1.412539, id=,B05, PRDE,actvstrat=,0.831613, actvprof=,1.457540, id=,B06, PRDE,actvstrat=,0.613942, actvprof=,1.526709, id=,B07, PRDE,actvstrat=,-0.506577, actvprof=,0.980305, id=,B08, PRDE,actvstrat=,-0.983606, actvprof=,1.608934, id=,B09, PRDE,actvstrat=,-0.750327, actvprof=,1.346982, id=,S00, PRDE,actvstrat=,0.022380, actvprof=,7.244923, id=,S01, PRDE,actvstrat=,-0.277984, actvprof=,4.353176, id=,S02, PRDE,actvstrat=,0.080307, actvprof=,7.186589, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,12.168116, id=,S04, PRDE,actvstrat=,-0.699502, actvprof=,3.037862, id=,S05, PRDE,actvstrat=,-0.140278, actvprof=,4.916803, id=,S06, PRDE,actvstrat=,-0.752214, actvprof=,2.455902, id=,S07, PRDE,actvstrat=,0.617308, actvprof=,10.204728, id=,S08, PRDE,actvstrat=,-0.439824, actvprof=,3.701214, id=,S09, PRDE,actvstrat=,0.651907, actvprof=,11.002806, best_B_id=,B08, best_B_prof=,1.608934, best_B_strat=,-0.983606, best_S_id=,S03, best_S_prof=,12.168116, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.594572, actvprof=,1.452391, id=,B01, PRDE,actvstrat=,0.244744, actvprof=,1.015716, id=,B02, PRDE,actvstrat=,0.680416, actvprof=,1.497531, id=,B03, PRDE,actvstrat=,0.807815, actvprof=,1.433085, id=,B04, PRDE,actvstrat=,0.612704, actvprof=,1.432669, id=,B05, PRDE,actvstrat=,0.831613, actvprof=,1.476281, id=,B06, PRDE,actvstrat=,0.613942, actvprof=,1.478225, id=,B07, PRDE,actvstrat=,-0.506577, actvprof=,0.956409, id=,B08, PRDE,actvstrat=,-0.983606, actvprof=,1.594478, id=,B09, PRDE,actvstrat=,-0.750327, actvprof=,1.468364, id=,S00, PRDE,actvstrat=,0.022380, actvprof=,7.365292, id=,S01, PRDE,actvstrat=,-0.277984, actvprof=,4.213977, id=,S02, PRDE,actvstrat=,0.080307, actvprof=,7.080981, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,12.301367, id=,S04, PRDE,actvstrat=,-0.699502, actvprof=,2.904644, id=,S05, PRDE,actvstrat=,-0.140278, actvprof=,5.027605, id=,S06, PRDE,actvstrat=,-0.752214, actvprof=,2.391578, id=,S07, PRDE,actvstrat=,0.617308, actvprof=,10.296603, id=,S08, PRDE,actvstrat=,-0.439824, actvprof=,3.792579, id=,S09, PRDE,actvstrat=,0.651907, actvprof=,10.933006, best_B_id=,B08, best_B_prof=,1.594478, best_B_strat=,-0.983606, best_S_id=,S03, best_S_prof=,12.301367, best_S_strat=,1.000000, 
