t=,0, id=,B00, PRDE,actvstrat=,0.538986, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.441636, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.146291, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.400179, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.899710, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.925290, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.479454, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.809038, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.512104, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.345464, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.801414, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.005006, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.139502, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.601537, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.820390, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.464967, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.246821, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.550086, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.696607, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.101741, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.538986, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.801414, 
t=,3600, id=,B00, PRDE,actvstrat=,0.538986, actvprof=,1.652222, id=,B01, PRDE,actvstrat=,0.441636, actvprof=,1.613889, id=,B02, PRDE,actvstrat=,0.146291, actvprof=,1.324167, id=,B03, PRDE,actvstrat=,-0.400179, actvprof=,1.113056, id=,B04, PRDE,actvstrat=,0.899710, actvprof=,1.486944, id=,B05, PRDE,actvstrat=,0.925290, actvprof=,1.275000, id=,B06, PRDE,actvstrat=,-0.479454, actvprof=,1.232778, id=,B07, PRDE,actvstrat=,0.809038, actvprof=,1.838889, id=,B08, PRDE,actvstrat=,-0.512104, actvprof=,1.334167, id=,B09, PRDE,actvstrat=,0.345464, actvprof=,1.490278, id=,S00, PRDE,actvstrat=,0.801414, actvprof=,11.476389, id=,S01, PRDE,actvstrat=,0.005006, actvprof=,7.367222, id=,S02, PRDE,actvstrat=,0.139502, actvprof=,7.581111, id=,S03, PRDE,actvstrat=,-0.601537, actvprof=,4.433333, id=,S04, PRDE,actvstrat=,-0.820390, actvprof=,2.123056, id=,S05, PRDE,actvstrat=,-0.464967, actvprof=,4.630833, id=,S06, PRDE,actvstrat=,0.246821, actvprof=,8.567222, id=,S07, PRDE,actvstrat=,-0.550086, actvprof=,4.442778, id=,S08, PRDE,actvstrat=,-0.696607, actvprof=,3.744167, id=,S09, PRDE,actvstrat=,-0.101741, actvprof=,5.916944, best_B_id=,B07, best_B_prof=,1.838889, best_B_strat=,0.809038, best_S_id=,S00, best_S_prof=,11.476389, best_S_strat=,0.801414, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.790993, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.558409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.797010, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.852266, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.326104, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.665089, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.327772, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.452777, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.733709, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.703908, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.328021, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.818054, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.519924, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.648181, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.689669, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.053666, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.343909, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.642118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.945117, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.167824, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.790993, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.328021, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.790993, actvprof=,2.428577, id=,B01, PRDE,actvstrat=,-0.558409, actvprof=,1.738309, id=,B02, PRDE,actvstrat=,0.797010, actvprof=,2.241913, id=,B03, PRDE,actvstrat=,-0.852266, actvprof=,2.534409, id=,B04, PRDE,actvstrat=,0.326104, actvprof=,1.777198, id=,B05, PRDE,actvstrat=,0.665089, actvprof=,2.270246, id=,B06, PRDE,actvstrat=,-0.327772, actvprof=,1.407480, id=,B07, PRDE,actvstrat=,0.452777, actvprof=,2.103304, id=,B08, PRDE,actvstrat=,0.733709, actvprof=,2.081360, id=,B09, PRDE,actvstrat=,0.703908, actvprof=,2.110526, id=,S00, PRDE,actvstrat=,0.328021, actvprof=,7.601561, id=,S01, PRDE,actvstrat=,0.818054, actvprof=,10.669296, id=,S02, PRDE,actvstrat=,-0.519924, actvprof=,3.022180, id=,S03, PRDE,actvstrat=,0.648181, actvprof=,9.226816, id=,S04, PRDE,actvstrat=,0.689669, actvprof=,9.787086, id=,S05, PRDE,actvstrat=,-0.053666, actvprof=,5.446035, id=,S06, PRDE,actvstrat=,0.343909, actvprof=,7.603506, id=,S07, PRDE,actvstrat=,-0.642118, actvprof=,2.985236, id=,S08, PRDE,actvstrat=,-0.945117, actvprof=,0.963598, id=,S09, PRDE,actvstrat=,0.167824, actvprof=,6.866849, best_B_id=,B03, best_B_prof=,2.534409, best_B_strat=,-0.852266, best_S_id=,S01, best_S_prof=,10.669296, best_S_strat=,0.818054, 
t=,14400, id=,B00, PRDE,actvstrat=,0.999776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.177672, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.887726, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.419472, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.229703, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.414969, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.252927, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.219699, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.311169, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.979235, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.130262, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.160115, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.957814, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.664975, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.288564, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.113027, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.656313, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.642118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.861009, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.540290, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.999776, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.130262, 
t=,18000, id=,B00, PRDE,actvstrat=,0.999776, actvprof=,1.003903, id=,B01, PRDE,actvstrat=,-0.177672, actvprof=,2.177808, id=,B02, PRDE,actvstrat=,-0.887726, actvprof=,3.224489, id=,B03, PRDE,actvstrat=,-0.419472, actvprof=,2.113085, id=,B04, PRDE,actvstrat=,0.229703, actvprof=,2.535313, id=,B05, PRDE,actvstrat=,0.414969, actvprof=,2.378922, id=,B06, PRDE,actvstrat=,0.252927, actvprof=,2.470868, id=,B07, PRDE,actvstrat=,0.219699, actvprof=,2.377255, id=,B08, PRDE,actvstrat=,-0.311169, actvprof=,1.983639, id=,B09, PRDE,actvstrat=,0.979235, actvprof=,0.999181, id=,S00, PRDE,actvstrat=,0.130262, actvprof=,6.641203, id=,S01, PRDE,actvstrat=,-0.160115, actvprof=,4.364505, id=,S02, PRDE,actvstrat=,0.957814, actvprof=,10.447367, id=,S03, PRDE,actvstrat=,0.664975, actvprof=,9.456798, id=,S04, PRDE,actvstrat=,-0.288564, actvprof=,3.853665, id=,S05, PRDE,actvstrat=,-0.113027, actvprof=,4.915902, id=,S06, PRDE,actvstrat=,0.656313, actvprof=,9.292074, id=,S07, PRDE,actvstrat=,-0.642118, actvprof=,2.636703, id=,S08, PRDE,actvstrat=,0.861009, actvprof=,10.448478, id=,S09, PRDE,actvstrat=,-0.540290, actvprof=,3.124488, best_B_id=,B02, best_B_prof=,3.224489, best_B_strat=,-0.887726, best_S_id=,S08, best_S_prof=,10.448478, best_S_strat=,0.861009, 
t=,21600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.585632, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.686709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.996654, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.051112, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.528239, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.882332, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.785871, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.886589, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.860989, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.068764, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.600728, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.680560, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.026390, id=,B01, PRDE,actvstrat=,0.585632, actvprof=,0.035279, id=,B02, PRDE,actvstrat=,0.686709, actvprof=,0.071670, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.039724, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.053891, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.025557, id=,B06, PRDE,actvstrat=,0.996654, actvprof=,0.024445, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.033613, id=,B08, PRDE,actvstrat=,-0.051112, actvprof=,0.061669, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.020834, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,2.231760, id=,S01, PRDE,actvstrat=,-0.528239, actvprof=,5.301054, id=,S02, PRDE,actvstrat=,-0.882332, actvprof=,1.018376, id=,S03, PRDE,actvstrat=,-0.785871, actvprof=,2.852619, id=,S04, PRDE,actvstrat=,0.886589, actvprof=,14.758115, id=,S05, PRDE,actvstrat=,-0.860989, actvprof=,1.437560, id=,S06, PRDE,actvstrat=,-0.068764, actvprof=,7.458922, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,14.867286, id=,S08, PRDE,actvstrat=,0.600728, actvprof=,12.738586, id=,S09, PRDE,actvstrat=,-0.680560, actvprof=,4.412128, best_B_id=,B02, best_B_prof=,0.071670, best_B_strat=,0.686709, best_S_id=,S07, best_S_prof=,14.867286, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.033195, id=,B01, PRDE,actvstrat=,0.585632, actvprof=,0.049168, id=,B02, PRDE,actvstrat=,0.686709, actvprof=,0.071251, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.036806, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.042640, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.032362, id=,B06, PRDE,actvstrat=,0.996654, actvprof=,0.036529, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.048890, id=,B08, PRDE,actvstrat=,-0.051112, actvprof=,0.055973, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.021806, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,2.139350, id=,S01, PRDE,actvstrat=,-0.528239, actvprof=,5.317472, id=,S02, PRDE,actvstrat=,-0.882332, actvprof=,1.012243, id=,S03, PRDE,actvstrat=,-0.785871, actvprof=,3.166872, id=,S04, PRDE,actvstrat=,0.886589, actvprof=,14.603915, id=,S05, PRDE,actvstrat=,-0.860989, actvprof=,1.324611, id=,S06, PRDE,actvstrat=,-0.068764, actvprof=,7.568769, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,14.896144, id=,S08, PRDE,actvstrat=,0.600728, actvprof=,12.874157, id=,S09, PRDE,actvstrat=,-0.680560, actvprof=,4.291478, best_B_id=,B02, best_B_prof=,0.071251, best_B_strat=,0.686709, best_S_id=,S07, best_S_prof=,14.896144, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.878331, actvprof=,1.872882, id=,B01, PRDE,actvstrat=,0.938631, actvprof=,1.375910, id=,B02, PRDE,actvstrat=,-0.466313, actvprof=,1.776210, id=,B03, PRDE,actvstrat=,-0.104294, actvprof=,1.551197, id=,B04, PRDE,actvstrat=,0.819058, actvprof=,2.012334, id=,B05, PRDE,actvstrat=,0.955660, actvprof=,1.091450, id=,B06, PRDE,actvstrat=,-0.236928, actvprof=,1.825101, id=,B07, PRDE,actvstrat=,-0.332466, actvprof=,1.809545, id=,B08, PRDE,actvstrat=,0.973932, actvprof=,1.008389, id=,B09, PRDE,actvstrat=,-0.798301, actvprof=,2.608756, id=,S00, PRDE,actvstrat=,0.303274, actvprof=,8.153231, id=,S01, PRDE,actvstrat=,0.323005, actvprof=,8.557698, id=,S02, PRDE,actvstrat=,0.696331, actvprof=,10.374743, id=,S03, PRDE,actvstrat=,-0.564566, actvprof=,3.596311, id=,S04, PRDE,actvstrat=,0.363412, actvprof=,8.671037, id=,S05, PRDE,actvstrat=,0.582780, actvprof=,9.649981, id=,S06, PRDE,actvstrat=,0.918416, actvprof=,11.780377, id=,S07, PRDE,actvstrat=,-0.705810, actvprof=,3.021557, id=,S08, PRDE,actvstrat=,-0.693835, actvprof=,2.764598, id=,S09, PRDE,actvstrat=,0.075178, actvprof=,7.792655, best_B_id=,B09, best_B_prof=,2.608756, best_B_strat=,-0.798301, best_S_id=,S06, best_S_prof=,11.780377, best_S_strat=,0.918416, 
t=,36000, id=,B00, PRDE,actvstrat=,0.878331, actvprof=,1.870746, id=,B01, PRDE,actvstrat=,0.938631, actvprof=,1.348787, id=,B02, PRDE,actvstrat=,-0.466313, actvprof=,1.789216, id=,B03, PRDE,actvstrat=,-0.104294, actvprof=,1.522681, id=,B04, PRDE,actvstrat=,0.819058, actvprof=,1.991444, id=,B05, PRDE,actvstrat=,0.955660, actvprof=,1.099475, id=,B06, PRDE,actvstrat=,-0.236928, actvprof=,1.683519, id=,B07, PRDE,actvstrat=,-0.332466, actvprof=,1.712825, id=,B08, PRDE,actvstrat=,0.973932, actvprof=,0.942804, id=,B09, PRDE,actvstrat=,-0.798301, actvprof=,2.637295, id=,S00, PRDE,actvstrat=,0.303274, actvprof=,8.130781, id=,S01, PRDE,actvstrat=,0.323005, actvprof=,8.359954, id=,S02, PRDE,actvstrat=,0.696331, actvprof=,10.723215, id=,S03, PRDE,actvstrat=,-0.564566, actvprof=,3.624962, id=,S04, PRDE,actvstrat=,0.363412, actvprof=,8.724548, id=,S05, PRDE,actvstrat=,0.582780, actvprof=,9.727492, id=,S06, PRDE,actvstrat=,0.918416, actvprof=,11.760466, id=,S07, PRDE,actvstrat=,-0.705810, actvprof=,3.008972, id=,S08, PRDE,actvstrat=,-0.693835, actvprof=,2.724798, id=,S09, PRDE,actvstrat=,0.075178, actvprof=,7.507431, best_B_id=,B09, best_B_prof=,2.637295, best_B_strat=,-0.798301, best_S_id=,S06, best_S_prof=,11.760466, best_S_strat=,0.918416, 
