t=,1, id=,B00, PRDE,actvstrat=,-0.969709, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.650438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.067163, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.558230, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.230472, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.668472, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.145572, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.667322, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.521056, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.258634, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.453778, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.698688, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.125191, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.616773, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.401954, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.919507, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.212586, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.798614, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.583444, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.918874, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.969709, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.453778, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.969709, actvprof=,3.215556, id=,B01, PRDE,actvstrat=,0.650438, actvprof=,2.960833, id=,B02, PRDE,actvstrat=,0.067163, actvprof=,2.153611, id=,B03, PRDE,actvstrat=,0.558230, actvprof=,2.878333, id=,B04, PRDE,actvstrat=,-0.230472, actvprof=,2.273889, id=,B05, PRDE,actvstrat=,-0.668472, actvprof=,3.046389, id=,B06, PRDE,actvstrat=,-0.145572, actvprof=,2.538333, id=,B07, PRDE,actvstrat=,0.667322, actvprof=,2.802222, id=,B08, PRDE,actvstrat=,0.521056, actvprof=,2.736389, id=,B09, PRDE,actvstrat=,-0.258634, actvprof=,2.060556, id=,S00, PRDE,actvstrat=,-0.453778, actvprof=,3.292222, id=,S01, PRDE,actvstrat=,-0.698688, actvprof=,2.771389, id=,S02, PRDE,actvstrat=,0.125191, actvprof=,6.442222, id=,S03, PRDE,actvstrat=,0.616773, actvprof=,8.790833, id=,S04, PRDE,actvstrat=,-0.401954, actvprof=,3.600000, id=,S05, PRDE,actvstrat=,0.919507, actvprof=,9.697500, id=,S06, PRDE,actvstrat=,0.212586, actvprof=,6.847778, id=,S07, PRDE,actvstrat=,-0.798614, actvprof=,1.771111, id=,S08, PRDE,actvstrat=,0.583444, actvprof=,8.557222, id=,S09, PRDE,actvstrat=,0.918874, actvprof=,9.896944, best_B_id=,B00, best_B_prof=,3.215556, best_B_strat=,-0.969709, best_S_id=,S09, best_S_prof=,9.896944, best_S_strat=,0.918874, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.377949, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.746756, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.985319, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.019018, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.575119, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.805247, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.618083, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.562390, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.120792, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.590182, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.393969, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.174483, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.476270, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.916169, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.770545, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.829103, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.089238, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.934051, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.535423, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754349, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.377949, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.393969, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.377949, actvprof=,1.936084, id=,B01, PRDE,actvstrat=,0.746756, actvprof=,2.536631, id=,B02, PRDE,actvstrat=,0.985319, actvprof=,0.895543, id=,B03, PRDE,actvstrat=,-0.019018, actvprof=,1.912196, id=,B04, PRDE,actvstrat=,0.575119, actvprof=,2.560520, id=,B05, PRDE,actvstrat=,0.805247, actvprof=,2.325801, id=,B06, PRDE,actvstrat=,-0.618083, actvprof=,2.535798, id=,B07, PRDE,actvstrat=,0.562390, actvprof=,2.314690, id=,B08, PRDE,actvstrat=,-0.120792, actvprof=,1.999417, id=,B09, PRDE,actvstrat=,0.590182, actvprof=,2.488854, id=,S00, PRDE,actvstrat=,-0.393969, actvprof=,3.393286, id=,S01, PRDE,actvstrat=,-0.174483, actvprof=,4.074388, id=,S02, PRDE,actvstrat=,-0.476270, actvprof=,3.245233, id=,S03, PRDE,actvstrat=,-0.916169, actvprof=,0.816933, id=,S04, PRDE,actvstrat=,0.770545, actvprof=,10.552631, id=,S05, PRDE,actvstrat=,0.829103, actvprof=,10.732351, id=,S06, PRDE,actvstrat=,0.089238, actvprof=,6.776295, id=,S07, PRDE,actvstrat=,0.934051, actvprof=,10.951237, id=,S08, PRDE,actvstrat=,0.535423, actvprof=,9.112373, id=,S09, PRDE,actvstrat=,0.754349, actvprof=,10.549576, best_B_id=,B04, best_B_prof=,2.560520, best_B_strat=,0.575119, best_S_id=,S07, best_S_prof=,10.951237, best_S_strat=,0.934051, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.597236, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.807412, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.304999, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.019018, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.010359, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.760438, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.241104, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.562052, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.120792, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.519043, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.226881, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.443401, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.413247, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.086917, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.331668, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.542979, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.077850, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.447455, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.473251, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.643991, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.597236, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.226881, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.597236, actvprof=,1.546176, id=,B01, PRDE,actvstrat=,0.807412, actvprof=,2.102588, id=,B02, PRDE,actvstrat=,-0.304999, actvprof=,1.304777, id=,B03, PRDE,actvstrat=,-0.019018, actvprof=,1.442005, id=,B04, PRDE,actvstrat=,-0.010359, actvprof=,1.391725, id=,B05, PRDE,actvstrat=,-0.760438, actvprof=,2.130644, id=,B06, PRDE,actvstrat=,-0.241104, actvprof=,1.303110, id=,B07, PRDE,actvstrat=,0.562052, actvprof=,1.961748, id=,B08, PRDE,actvstrat=,-0.120792, actvprof=,1.521452, id=,B09, PRDE,actvstrat=,0.519043, actvprof=,2.221204, id=,S00, PRDE,actvstrat=,-0.226881, actvprof=,3.291248, id=,S01, PRDE,actvstrat=,0.443401, actvprof=,7.286970, id=,S02, PRDE,actvstrat=,-0.413247, actvprof=,3.285415, id=,S03, PRDE,actvstrat=,-0.086917, actvprof=,4.376571, id=,S04, PRDE,actvstrat=,-0.331668, actvprof=,3.072072, id=,S05, PRDE,actvstrat=,-0.542979, actvprof=,3.026515, id=,S06, PRDE,actvstrat=,-0.077850, actvprof=,4.717697, id=,S07, PRDE,actvstrat=,0.447455, actvprof=,8.058114, id=,S08, PRDE,actvstrat=,0.473251, actvprof=,7.867828, id=,S09, PRDE,actvstrat=,-0.643991, actvprof=,2.805950, best_B_id=,B09, best_B_prof=,2.221204, best_B_strat=,0.519043, best_S_id=,S07, best_S_prof=,8.058114, best_S_strat=,0.447455, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.597236, actvprof=,1.519337, id=,B01, PRDE,actvstrat=,0.807412, actvprof=,2.109766, id=,B02, PRDE,actvstrat=,-0.304999, actvprof=,1.257526, id=,B03, PRDE,actvstrat=,-0.019018, actvprof=,1.471420, id=,B04, PRDE,actvstrat=,-0.010359, actvprof=,1.445586, id=,B05, PRDE,actvstrat=,-0.760438, actvprof=,2.079766, id=,B06, PRDE,actvstrat=,-0.241104, actvprof=,1.319889, id=,B07, PRDE,actvstrat=,0.562052, actvprof=,1.922818, id=,B08, PRDE,actvstrat=,-0.120792, actvprof=,1.523643, id=,B09, PRDE,actvstrat=,0.519043, actvprof=,2.094905, id=,S00, PRDE,actvstrat=,-0.226881, actvprof=,3.422016, id=,S01, PRDE,actvstrat=,0.443401, actvprof=,7.473072, id=,S02, PRDE,actvstrat=,-0.413247, actvprof=,3.194650, id=,S03, PRDE,actvstrat=,-0.086917, actvprof=,4.501066, id=,S04, PRDE,actvstrat=,-0.331668, actvprof=,3.068258, id=,S05, PRDE,actvstrat=,-0.542979, actvprof=,2.919366, id=,S06, PRDE,actvstrat=,-0.077850, actvprof=,4.718293, id=,S07, PRDE,actvstrat=,0.447455, actvprof=,7.840024, id=,S08, PRDE,actvstrat=,0.473251, actvprof=,7.933915, id=,S09, PRDE,actvstrat=,-0.643991, actvprof=,2.574915, best_B_id=,B01, best_B_prof=,2.109766, best_B_strat=,0.807412, best_S_id=,S08, best_S_prof=,7.933915, best_S_strat=,0.473251, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.503479, id=,B01, PRDE,actvstrat=,-0.283296, actvprof=,4.404628, id=,B02, PRDE,actvstrat=,-0.906142, actvprof=,3.464589, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,3.180133, id=,B04, PRDE,actvstrat=,0.133397, actvprof=,4.136283, id=,B05, PRDE,actvstrat=,0.423614, actvprof=,4.790200, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.385974, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.307082, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.140131, id=,B09, PRDE,actvstrat=,0.648851, actvprof=,4.549356, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.552620, id=,S01, PRDE,actvstrat=,0.063685, actvprof=,5.553009, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.486229, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.484562, id=,S04, PRDE,actvstrat=,0.033539, actvprof=,5.522452, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.078739, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.371252, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,9.560954, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,3.149298, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.561232, best_B_id=,B05, best_B_prof=,4.790200, best_B_strat=,0.423614, best_S_id=,S09, best_S_prof=,9.561232, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.401158, id=,B01, PRDE,actvstrat=,-0.283296, actvprof=,4.412978, id=,B02, PRDE,actvstrat=,-0.906142, actvprof=,3.602133, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,3.213378, id=,B04, PRDE,actvstrat=,0.133397, actvprof=,4.254920, id=,B05, PRDE,actvstrat=,0.423614, actvprof=,4.701732, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.363797, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.149488, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.036153, id=,B09, PRDE,actvstrat=,0.648851, actvprof=,4.613397, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.534160, id=,S01, PRDE,actvstrat=,0.063685, actvprof=,5.694385, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.719718, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.594994, id=,S04, PRDE,actvstrat=,0.033539, actvprof=,5.671884, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.091293, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.263656, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,9.643051, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,3.123654, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.537771, best_B_id=,B05, best_B_prof=,4.701732, best_B_strat=,0.423614, best_S_id=,S02, best_S_prof=,9.719718, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.808055, actvprof=,1.857881, id=,B01, PRDE,actvstrat=,0.682136, actvprof=,1.930663, id=,B02, PRDE,actvstrat=,0.513295, actvprof=,1.660648, id=,B03, PRDE,actvstrat=,-0.404629, actvprof=,1.056448, id=,B04, PRDE,actvstrat=,-0.567709, actvprof=,1.345908, id=,B05, PRDE,actvstrat=,0.778289, actvprof=,1.830657, id=,B06, PRDE,actvstrat=,-0.124200, actvprof=,0.980054, id=,B07, PRDE,actvstrat=,0.879472, actvprof=,1.621201, id=,B08, PRDE,actvstrat=,-0.907714, actvprof=,2.234013, id=,B09, PRDE,actvstrat=,0.127307, actvprof=,1.232013, id=,S00, PRDE,actvstrat=,0.169219, actvprof=,6.975110, id=,S01, PRDE,actvstrat=,0.102885, actvprof=,6.867882, id=,S02, PRDE,actvstrat=,-0.999094, actvprof=,5.279460, id=,S03, PRDE,actvstrat=,-0.091251, actvprof=,5.126396, id=,S04, PRDE,actvstrat=,-0.117651, actvprof=,4.514973, id=,S05, PRDE,actvstrat=,0.349243, actvprof=,8.125174, id=,S06, PRDE,actvstrat=,0.380237, actvprof=,8.438524, id=,S07, PRDE,actvstrat=,0.752961, actvprof=,10.650314, id=,S08, PRDE,actvstrat=,-0.186402, actvprof=,4.421357, id=,S09, PRDE,actvstrat=,-0.723700, actvprof=,2.389022, best_B_id=,B08, best_B_prof=,2.234013, best_B_strat=,-0.907714, best_S_id=,S07, best_S_prof=,10.650314, best_S_strat=,0.752961, 
t=,36000, id=,B00, PRDE,actvstrat=,0.808055, actvprof=,1.838132, id=,B01, PRDE,actvstrat=,0.682136, actvprof=,1.965499, id=,B02, PRDE,actvstrat=,0.513295, actvprof=,1.691737, id=,B03, PRDE,actvstrat=,-0.404629, actvprof=,1.155743, id=,B04, PRDE,actvstrat=,-0.567709, actvprof=,1.207967, id=,B05, PRDE,actvstrat=,0.778289, actvprof=,1.798825, id=,B06, PRDE,actvstrat=,-0.124200, actvprof=,1.100879, id=,B07, PRDE,actvstrat=,0.879472, actvprof=,1.638540, id=,B08, PRDE,actvstrat=,-0.907714, actvprof=,2.199397, id=,B09, PRDE,actvstrat=,0.127307, actvprof=,1.300332, id=,S00, PRDE,actvstrat=,0.169219, actvprof=,7.281137, id=,S01, PRDE,actvstrat=,0.102885, actvprof=,6.898899, id=,S02, PRDE,actvstrat=,-0.999094, actvprof=,4.900899, id=,S03, PRDE,actvstrat=,-0.091251, actvprof=,5.237163, id=,S04, PRDE,actvstrat=,-0.117651, actvprof=,4.686862, id=,S05, PRDE,actvstrat=,0.349243, actvprof=,8.055058, id=,S06, PRDE,actvstrat=,0.380237, actvprof=,8.365487, id=,S07, PRDE,actvstrat=,0.752961, actvprof=,10.638638, id=,S08, PRDE,actvstrat=,-0.186402, actvprof=,4.342681, id=,S09, PRDE,actvstrat=,-0.723700, actvprof=,2.699418, best_B_id=,B08, best_B_prof=,2.199397, best_B_strat=,-0.907714, best_S_id=,S07, best_S_prof=,10.638638, best_S_strat=,0.752961, 
