t=,1, id=,B00, PRDE,actvstrat=,-0.868763, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.052568, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.015991, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.570670, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.423846, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.516888, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.609522, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.772449, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.540117, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.770456, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.257438, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.736247, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.763851, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.170015, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.093372, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.146886, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.547936, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.024687, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.168076, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.137509, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.868763, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.257438, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.868763, actvprof=,3.673005, id=,B01, PRDE,actvstrat=,0.052568, actvprof=,2.506076, id=,B02, PRDE,actvstrat=,0.015991, actvprof=,2.450244, id=,B03, PRDE,actvstrat=,-0.570670, actvprof=,2.467744, id=,B04, PRDE,actvstrat=,0.423846, actvprof=,2.894126, id=,B05, PRDE,actvstrat=,-0.516888, actvprof=,2.687740, id=,B06, PRDE,actvstrat=,-0.609522, actvprof=,2.808572, id=,B07, PRDE,actvstrat=,0.772449, actvprof=,2.864405, id=,B08, PRDE,actvstrat=,0.540117, actvprof=,2.948015, id=,B09, PRDE,actvstrat=,-0.770456, actvprof=,3.252455, id=,S00, PRDE,actvstrat=,-0.257438, actvprof=,4.363828, id=,S01, PRDE,actvstrat=,0.736247, actvprof=,8.740156, id=,S02, PRDE,actvstrat=,-0.763851, actvprof=,3.029958, id=,S03, PRDE,actvstrat=,0.170015, actvprof=,7.042958, id=,S04, PRDE,actvstrat=,0.093372, actvprof=,6.339634, id=,S05, PRDE,actvstrat=,-0.146886, actvprof=,4.953542, id=,S06, PRDE,actvstrat=,-0.547936, actvprof=,4.284385, id=,S07, PRDE,actvstrat=,0.024687, actvprof=,6.121859, id=,S08, PRDE,actvstrat=,0.168076, actvprof=,7.259344, id=,S09, PRDE,actvstrat=,0.137509, actvprof=,6.999625, best_B_id=,B00, best_B_prof=,3.673005, best_B_strat=,-0.868763, best_S_id=,S01, best_S_prof=,8.740156, best_S_strat=,0.736247, 
t=,7200, id=,B00, PRDE,actvstrat=,0.916585, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.264402, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.406164, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.046035, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.590680, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.204836, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.813383, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.263509, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.546369, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.929925, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.481530, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.559999, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.402990, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.229537, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.858503, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.102456, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.155528, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.096504, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.432696, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.008229, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.916585, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.481530, 
t=,10800, id=,B00, PRDE,actvstrat=,0.916585, actvprof=,1.742548, id=,B01, PRDE,actvstrat=,-0.264402, actvprof=,1.929220, id=,B02, PRDE,actvstrat=,0.406164, actvprof=,2.608684, id=,B03, PRDE,actvstrat=,0.046035, actvprof=,1.992555, id=,B04, PRDE,actvstrat=,0.590680, actvprof=,2.553960, id=,B05, PRDE,actvstrat=,-0.204836, actvprof=,2.026167, id=,B06, PRDE,actvstrat=,0.813383, actvprof=,2.495903, id=,B07, PRDE,actvstrat=,0.263509, actvprof=,2.378122, id=,B08, PRDE,actvstrat=,-0.546369, actvprof=,2.350621, id=,B09, PRDE,actvstrat=,0.929925, actvprof=,1.651435, id=,S00, PRDE,actvstrat=,0.481530, actvprof=,8.615795, id=,S01, PRDE,actvstrat=,-0.559999, actvprof=,3.896219, id=,S02, PRDE,actvstrat=,0.402990, actvprof=,8.548571, id=,S03, PRDE,actvstrat=,-0.229537, actvprof=,4.682630, id=,S04, PRDE,actvstrat=,0.858503, actvprof=,10.953082, id=,S05, PRDE,actvstrat=,-0.102456, actvprof=,5.304314, id=,S06, PRDE,actvstrat=,0.155528, actvprof=,7.521876, id=,S07, PRDE,actvstrat=,-0.096504, actvprof=,5.416262, id=,S08, PRDE,actvstrat=,0.432696, actvprof=,8.804689, id=,S09, PRDE,actvstrat=,0.008229, actvprof=,7.152143, best_B_id=,B02, best_B_prof=,2.608684, best_B_strat=,0.406164, best_S_id=,S04, best_S_prof=,10.953082, best_S_strat=,0.858503, 
t=,14400, id=,B00, PRDE,actvstrat=,0.916585, actvprof=,1.664051, id=,B01, PRDE,actvstrat=,-0.264402, actvprof=,1.806831, id=,B02, PRDE,actvstrat=,0.406164, actvprof=,2.425728, id=,B03, PRDE,actvstrat=,0.046035, actvprof=,1.918638, id=,B04, PRDE,actvstrat=,0.590680, actvprof=,2.419339, id=,B05, PRDE,actvstrat=,-0.204836, actvprof=,1.869332, id=,B06, PRDE,actvstrat=,0.813383, actvprof=,2.416978, id=,B07, PRDE,actvstrat=,0.263509, actvprof=,2.254892, id=,B08, PRDE,actvstrat=,-0.546369, actvprof=,2.284060, id=,B09, PRDE,actvstrat=,0.929925, actvprof=,1.628495, id=,S00, PRDE,actvstrat=,0.481530, actvprof=,8.643314, id=,S01, PRDE,actvstrat=,-0.559999, actvprof=,3.802136, id=,S02, PRDE,actvstrat=,0.402990, actvprof=,8.295115, id=,S03, PRDE,actvstrat=,-0.229537, actvprof=,4.578119, id=,S04, PRDE,actvstrat=,0.858503, actvprof=,10.898762, id=,S05, PRDE,actvstrat=,-0.102456, actvprof=,5.358269, id=,S06, PRDE,actvstrat=,0.155528, actvprof=,7.274962, id=,S07, PRDE,actvstrat=,-0.096504, actvprof=,5.526049, id=,S08, PRDE,actvstrat=,0.432696, actvprof=,8.655537, id=,S09, PRDE,actvstrat=,0.008229, actvprof=,6.891762, best_B_id=,B02, best_B_prof=,2.425728, best_B_strat=,0.406164, best_S_id=,S04, best_S_prof=,10.898762, best_S_strat=,0.858503, 
t=,18000, id=,B00, PRDE,actvstrat=,0.255784, actvprof=,3.166521, id=,B01, PRDE,actvstrat=,-0.113222, actvprof=,2.887065, id=,B02, PRDE,actvstrat=,0.649849, actvprof=,3.352640, id=,B03, PRDE,actvstrat=,0.046035, actvprof=,2.917899, id=,B04, PRDE,actvstrat=,-0.517819, actvprof=,3.250969, id=,B05, PRDE,actvstrat=,-0.265358, actvprof=,2.930678, id=,B06, PRDE,actvstrat=,-0.704965, actvprof=,4.249622, id=,B07, PRDE,actvstrat=,0.325651, actvprof=,3.102351, id=,B08, PRDE,actvstrat=,-0.072812, actvprof=,3.239024, id=,B09, PRDE,actvstrat=,0.929925, actvprof=,1.955081, id=,S00, PRDE,actvstrat=,0.977017, actvprof=,8.962040, id=,S01, PRDE,actvstrat=,-0.211489, actvprof=,3.562093, id=,S02, PRDE,actvstrat=,-0.010221, actvprof=,5.288276, id=,S03, PRDE,actvstrat=,0.062276, actvprof=,5.656625, id=,S04, PRDE,actvstrat=,0.121285, actvprof=,6.075809, id=,S05, PRDE,actvstrat=,-0.102456, actvprof=,4.070447, id=,S06, PRDE,actvstrat=,0.982358, actvprof=,8.998986, id=,S07, PRDE,actvstrat=,0.305590, actvprof=,6.806395, id=,S08, PRDE,actvstrat=,0.940641, actvprof=,9.172049, id=,S09, PRDE,actvstrat=,-0.946967, actvprof=,1.270331, best_B_id=,B06, best_B_prof=,4.249622, best_B_strat=,-0.704965, best_S_id=,S08, best_S_prof=,9.172049, best_S_strat=,0.940641, 
t=,21600, id=,B00, PRDE,actvstrat=,0.255784, actvprof=,3.124093, id=,B01, PRDE,actvstrat=,-0.113222, actvprof=,2.848254, id=,B02, PRDE,actvstrat=,0.649849, actvprof=,3.390071, id=,B03, PRDE,actvstrat=,0.046035, actvprof=,2.906172, id=,B04, PRDE,actvstrat=,-0.517819, actvprof=,3.243123, id=,B05, PRDE,actvstrat=,-0.265358, actvprof=,2.891449, id=,B06, PRDE,actvstrat=,-0.704965, actvprof=,4.226060, id=,B07, PRDE,actvstrat=,0.325651, actvprof=,3.139232, id=,B08, PRDE,actvstrat=,-0.072812, actvprof=,3.120898, id=,B09, PRDE,actvstrat=,0.929925, actvprof=,1.953513, id=,S00, PRDE,actvstrat=,0.977017, actvprof=,9.072828, id=,S01, PRDE,actvstrat=,-0.211489, actvprof=,3.576186, id=,S02, PRDE,actvstrat=,-0.010221, actvprof=,5.491226, id=,S03, PRDE,actvstrat=,0.062276, actvprof=,5.821927, id=,S04, PRDE,actvstrat=,0.121285, actvprof=,5.946791, id=,S05, PRDE,actvstrat=,-0.102456, actvprof=,4.164392, id=,S06, PRDE,actvstrat=,0.982358, actvprof=,9.149635, id=,S07, PRDE,actvstrat=,0.305590, actvprof=,6.603471, id=,S08, PRDE,actvstrat=,0.940641, actvprof=,9.450614, id=,S09, PRDE,actvstrat=,-0.946967, actvprof=,1.281971, best_B_id=,B06, best_B_prof=,4.226060, best_B_strat=,-0.704965, best_S_id=,S08, best_S_prof=,9.450614, best_S_strat=,0.940641, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,3.823215, id=,B01, PRDE,actvstrat=,-0.980880, actvprof=,4.099337, id=,B02, PRDE,actvstrat=,-0.276549, actvprof=,6.034140, id=,B03, PRDE,actvstrat=,-0.109107, actvprof=,5.811631, id=,B04, PRDE,actvstrat=,-0.163081, actvprof=,5.382446, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.611025, id=,B06, PRDE,actvstrat=,-0.302841, actvprof=,5.664125, id=,B07, PRDE,actvstrat=,0.733936, actvprof=,5.879689, id=,B08, PRDE,actvstrat=,0.638211, actvprof=,5.798019, id=,B09, PRDE,actvstrat=,-0.240369, actvprof=,5.724405, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.858064, id=,S01, PRDE,actvstrat=,-0.584042, actvprof=,1.990361, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.204745, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.504035, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,7.081684, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.482923, id=,S06, PRDE,actvstrat=,0.616526, actvprof=,6.720836, id=,S07, PRDE,actvstrat=,0.675704, actvprof=,6.764171, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,7.282803, id=,S09, PRDE,actvstrat=,0.604381, actvprof=,6.420268, best_B_id=,B02, best_B_prof=,6.034140, best_B_strat=,-0.276549, best_S_id=,S08, best_S_prof=,7.282803, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,3.566324, id=,B01, PRDE,actvstrat=,-0.980880, actvprof=,3.975916, id=,B02, PRDE,actvstrat=,-0.276549, actvprof=,5.572755, id=,B03, PRDE,actvstrat=,-0.109107, actvprof=,5.308722, id=,B04, PRDE,actvstrat=,-0.163081, actvprof=,5.303722, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.726348, id=,B06, PRDE,actvstrat=,-0.302841, actvprof=,5.550116, id=,B07, PRDE,actvstrat=,0.733936, actvprof=,5.603311, id=,B08, PRDE,actvstrat=,0.638211, actvprof=,5.620117, id=,B09, PRDE,actvstrat=,-0.240369, actvprof=,5.460947, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.233762, id=,S01, PRDE,actvstrat=,-0.584042, actvprof=,1.997264, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.447933, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.749245, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,7.564463, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.578269, id=,S06, PRDE,actvstrat=,0.616526, actvprof=,6.725835, id=,S07, PRDE,actvstrat=,0.675704, actvprof=,7.050980, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,7.415432, id=,S09, PRDE,actvstrat=,0.604381, actvprof=,6.450829, best_B_id=,B08, best_B_prof=,5.620117, best_B_strat=,0.638211, best_S_id=,S04, best_S_prof=,7.564463, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.176097, actvprof=,0.994805, id=,B01, PRDE,actvstrat=,-0.325936, actvprof=,0.573381, id=,B02, PRDE,actvstrat=,0.736206, actvprof=,1.532350, id=,B03, PRDE,actvstrat=,0.597368, actvprof=,1.247604, id=,B04, PRDE,actvstrat=,-0.083530, actvprof=,0.867294, id=,B05, PRDE,actvstrat=,0.054684, actvprof=,0.863961, id=,B06, PRDE,actvstrat=,0.029392, actvprof=,0.835070, id=,B07, PRDE,actvstrat=,0.280484, actvprof=,1.045087, id=,B08, PRDE,actvstrat=,0.703686, actvprof=,1.471789, id=,B09, PRDE,actvstrat=,-0.861497, actvprof=,1.467067, id=,S00, PRDE,actvstrat=,-0.842060, actvprof=,1.051477, id=,S01, PRDE,actvstrat=,0.485877, actvprof=,9.238825, id=,S02, PRDE,actvstrat=,-0.349138, actvprof=,3.329722, id=,S03, PRDE,actvstrat=,-0.451655, actvprof=,3.505292, id=,S04, PRDE,actvstrat=,-0.186863, actvprof=,4.181460, id=,S05, PRDE,actvstrat=,-0.293767, actvprof=,3.755313, id=,S06, PRDE,actvstrat=,0.224933, actvprof=,7.334500, id=,S07, PRDE,actvstrat=,-0.096504, actvprof=,5.457121, id=,S08, PRDE,actvstrat=,-0.132244, actvprof=,4.612607, id=,S09, PRDE,actvstrat=,-0.502969, actvprof=,3.262216, best_B_id=,B02, best_B_prof=,1.532350, best_B_strat=,0.736206, best_S_id=,S01, best_S_prof=,9.238825, best_S_strat=,0.485877, 
t=,36000, id=,B00, PRDE,actvstrat=,0.176097, actvprof=,0.959068, id=,B01, PRDE,actvstrat=,-0.325936, actvprof=,0.619887, id=,B02, PRDE,actvstrat=,0.736206, actvprof=,1.502840, id=,B03, PRDE,actvstrat=,0.597368, actvprof=,1.275331, id=,B04, PRDE,actvstrat=,-0.083530, actvprof=,0.786005, id=,B05, PRDE,actvstrat=,0.054684, actvprof=,0.884204, id=,B06, PRDE,actvstrat=,0.029392, actvprof=,0.875870, id=,B07, PRDE,actvstrat=,0.280484, actvprof=,1.013098, id=,B08, PRDE,actvstrat=,0.703686, actvprof=,1.457977, id=,B09, PRDE,actvstrat=,-0.861497, actvprof=,1.542981, id=,S00, PRDE,actvstrat=,-0.842060, actvprof=,0.931844, id=,S01, PRDE,actvstrat=,0.485877, actvprof=,9.232746, id=,S02, PRDE,actvstrat=,-0.349138, actvprof=,3.430560, id=,S03, PRDE,actvstrat=,-0.451655, actvprof=,3.460005, id=,S04, PRDE,actvstrat=,-0.186863, actvprof=,4.334347, id=,S05, PRDE,actvstrat=,-0.293767, actvprof=,3.913635, id=,S06, PRDE,actvstrat=,0.224933, actvprof=,7.668931, id=,S07, PRDE,actvstrat=,-0.096504, actvprof=,5.363696, id=,S08, PRDE,actvstrat=,-0.132244, actvprof=,4.551162, id=,S09, PRDE,actvstrat=,-0.502969, actvprof=,3.409309, best_B_id=,B09, best_B_prof=,1.542981, best_B_strat=,-0.861497, best_S_id=,S01, best_S_prof=,9.232746, best_S_strat=,0.485877, 
