t=,1, id=,B00, PRDE,actvstrat=,0.625623, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.095058, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.977895, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.958638, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.836302, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.286759, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.667214, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.943949, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.716371, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.113393, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.701385, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.985177, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.628713, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.402157, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.412947, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.343916, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.759289, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.346635, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.402900, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.944533, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.625623, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.701385, 
t=,3600, id=,B00, PRDE,actvstrat=,0.625623, actvprof=,1.454960, id=,B01, PRDE,actvstrat=,-0.095058, actvprof=,0.917752, id=,B02, PRDE,actvstrat=,0.977895, actvprof=,0.663870, id=,B03, PRDE,actvstrat=,-0.958638, actvprof=,1.849671, id=,B04, PRDE,actvstrat=,0.836302, actvprof=,1.590789, id=,B05, PRDE,actvstrat=,-0.286759, actvprof=,0.872754, id=,B06, PRDE,actvstrat=,0.667214, actvprof=,1.503292, id=,B07, PRDE,actvstrat=,-0.943949, actvprof=,1.806339, id=,B08, PRDE,actvstrat=,0.716371, actvprof=,1.469681, id=,B09, PRDE,actvstrat=,-0.113393, actvprof=,1.012472, id=,S00, PRDE,actvstrat=,0.701385, actvprof=,11.063859, id=,S01, PRDE,actvstrat=,-0.985177, actvprof=,1.370240, id=,S02, PRDE,actvstrat=,0.628713, actvprof=,10.138052, id=,S03, PRDE,actvstrat=,0.402157, actvprof=,9.236688, id=,S04, PRDE,actvstrat=,0.412947, actvprof=,9.134746, id=,S05, PRDE,actvstrat=,0.343916, actvprof=,8.733091, id=,S06, PRDE,actvstrat=,-0.759289, actvprof=,2.831310, id=,S07, PRDE,actvstrat=,0.346635, actvprof=,8.937530, id=,S08, PRDE,actvstrat=,-0.402900, actvprof=,4.122385, id=,S09, PRDE,actvstrat=,-0.944533, actvprof=,0.421655, best_B_id=,B03, best_B_prof=,1.849671, best_B_strat=,-0.958638, best_S_id=,S00, best_S_prof=,11.063859, best_S_strat=,0.701385, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.091118, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.484378, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.430714, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.569502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.391176, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.672474, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.442483, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.577116, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.451172, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.677951, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.389040, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.382679, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.912093, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.601990, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.264749, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.457181, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.498738, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.997981, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.672037, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.993422, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.091118, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.389040, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.091118, actvprof=,1.878863, id=,B01, PRDE,actvstrat=,0.484378, actvprof=,2.416078, id=,B02, PRDE,actvstrat=,-0.430714, actvprof=,2.085804, id=,B03, PRDE,actvstrat=,0.569502, actvprof=,2.604130, id=,B04, PRDE,actvstrat=,0.391176, actvprof=,2.523854, id=,B05, PRDE,actvstrat=,0.672474, actvprof=,2.677185, id=,B06, PRDE,actvstrat=,0.442483, actvprof=,2.615797, id=,B07, PRDE,actvstrat=,-0.577116, actvprof=,2.344967, id=,B08, PRDE,actvstrat=,-0.451172, actvprof=,1.914140, id=,B09, PRDE,actvstrat=,-0.677951, actvprof=,2.367745, id=,S00, PRDE,actvstrat=,-0.389040, actvprof=,2.614686, id=,S01, PRDE,actvstrat=,0.382679, actvprof=,6.810739, id=,S02, PRDE,actvstrat=,0.912093, actvprof=,10.074305, id=,S03, PRDE,actvstrat=,-0.601990, actvprof=,2.499132, id=,S04, PRDE,actvstrat=,0.264749, actvprof=,6.696574, id=,S05, PRDE,actvstrat=,-0.457181, actvprof=,2.688852, id=,S06, PRDE,actvstrat=,0.498738, actvprof=,7.550451, id=,S07, PRDE,actvstrat=,-0.997981, actvprof=,4.512993, id=,S08, PRDE,actvstrat=,0.672037, actvprof=,8.624047, id=,S09, PRDE,actvstrat=,-0.993422, actvprof=,3.298565, best_B_id=,B05, best_B_prof=,2.677185, best_B_strat=,0.672474, best_S_id=,S02, best_S_prof=,10.074305, best_S_strat=,0.912093, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.091118, actvprof=,1.975014, id=,B01, PRDE,actvstrat=,0.484378, actvprof=,2.553768, id=,B02, PRDE,actvstrat=,-0.430714, actvprof=,2.054181, id=,B03, PRDE,actvstrat=,0.569502, actvprof=,2.620852, id=,B04, PRDE,actvstrat=,0.391176, actvprof=,2.542518, id=,B05, PRDE,actvstrat=,0.672474, actvprof=,2.538629, id=,B06, PRDE,actvstrat=,0.442483, actvprof=,2.535712, id=,B07, PRDE,actvstrat=,-0.577116, actvprof=,2.309322, id=,B08, PRDE,actvstrat=,-0.451172, actvprof=,1.885430, id=,B09, PRDE,actvstrat=,-0.677951, actvprof=,2.384183, id=,S00, PRDE,actvstrat=,-0.389040, actvprof=,2.821131, id=,S01, PRDE,actvstrat=,0.382679, actvprof=,7.015465, id=,S02, PRDE,actvstrat=,0.912093, actvprof=,9.891180, id=,S03, PRDE,actvstrat=,-0.601990, actvprof=,2.554879, id=,S04, PRDE,actvstrat=,0.264749, actvprof=,6.531295, id=,S05, PRDE,actvstrat=,-0.457181, actvprof=,2.671130, id=,S06, PRDE,actvstrat=,0.498738, actvprof=,7.727970, id=,S07, PRDE,actvstrat=,-0.997981, actvprof=,4.467531, id=,S08, PRDE,actvstrat=,0.672037, actvprof=,8.671727, id=,S09, PRDE,actvstrat=,-0.993422, actvprof=,3.370857, best_B_id=,B03, best_B_prof=,2.620852, best_B_strat=,0.569502, best_S_id=,S02, best_S_prof=,9.891180, best_S_strat=,0.912093, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.890036, actvprof=,2.608370, id=,B01, PRDE,actvstrat=,0.097459, actvprof=,1.394464, id=,B02, PRDE,actvstrat=,-0.369007, actvprof=,1.130293, id=,B03, PRDE,actvstrat=,0.945316, actvprof=,1.416131, id=,B04, PRDE,actvstrat=,0.391176, actvprof=,1.667523, id=,B05, PRDE,actvstrat=,0.672474, actvprof=,2.085029, id=,B06, PRDE,actvstrat=,0.874201, actvprof=,1.940027, id=,B07, PRDE,actvstrat=,-0.577116, actvprof=,1.476687, id=,B08, PRDE,actvstrat=,-0.517632, actvprof=,1.264740, id=,B09, PRDE,actvstrat=,-0.677951, actvprof=,1.580022, id=,S00, PRDE,actvstrat=,-0.277239, actvprof=,4.147002, id=,S01, PRDE,actvstrat=,0.851351, actvprof=,10.617925, id=,S02, PRDE,actvstrat=,-0.204957, actvprof=,3.763108, id=,S03, PRDE,actvstrat=,0.162111, actvprof=,6.770927, id=,S04, PRDE,actvstrat=,-0.052627, actvprof=,5.618411, id=,S05, PRDE,actvstrat=,-0.670998, actvprof=,2.691982, id=,S06, PRDE,actvstrat=,0.498738, actvprof=,8.612897, id=,S07, PRDE,actvstrat=,-0.340311, actvprof=,3.563661, id=,S08, PRDE,actvstrat=,0.302122, actvprof=,7.717607, id=,S09, PRDE,actvstrat=,-0.993681, actvprof=,2.934207, best_B_id=,B00, best_B_prof=,2.608370, best_B_strat=,-0.890036, best_S_id=,S01, best_S_prof=,10.617925, best_S_strat=,0.851351, 
t=,21600, id=,B00, PRDE,actvstrat=,0.827942, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.381790, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.731587, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369392, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.548288, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.112379, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.004739, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.121669, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.441418, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.088671, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.391825, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.481243, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.856680, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.033307, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.177435, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.440958, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.092062, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.827942, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,0.827942, actvprof=,2.590699, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.787544, id=,B02, PRDE,actvstrat=,-0.381790, actvprof=,2.500972, id=,B03, PRDE,actvstrat=,0.731587, actvprof=,2.750431, id=,B04, PRDE,actvstrat=,-0.369392, actvprof=,2.681816, id=,B05, PRDE,actvstrat=,-0.548288, actvprof=,2.912106, id=,B06, PRDE,actvstrat=,0.112379, actvprof=,2.510139, id=,B07, PRDE,actvstrat=,-0.004739, actvprof=,2.438747, id=,B08, PRDE,actvstrat=,-0.121669, actvprof=,2.255403, id=,B09, PRDE,actvstrat=,-0.441418, actvprof=,2.390411, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.978054, id=,S01, PRDE,actvstrat=,0.088671, actvprof=,5.732818, id=,S02, PRDE,actvstrat=,-0.391825, actvprof=,3.088505, id=,S03, PRDE,actvstrat=,0.481243, actvprof=,8.516862, id=,S04, PRDE,actvstrat=,-0.856680, actvprof=,0.845047, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.051392, id=,S06, PRDE,actvstrat=,0.033307, actvprof=,6.032280, id=,S07, PRDE,actvstrat=,-0.177435, actvprof=,3.988277, id=,S08, PRDE,actvstrat=,0.440958, actvprof=,7.927940, id=,S09, PRDE,actvstrat=,-0.092062, actvprof=,4.491916, best_B_id=,B05, best_B_prof=,2.912106, best_B_strat=,-0.548288, best_S_id=,S05, best_S_prof=,10.051392, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.827942, actvprof=,2.479374, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.862524, id=,B02, PRDE,actvstrat=,-0.381790, actvprof=,2.508820, id=,B03, PRDE,actvstrat=,0.731587, actvprof=,2.689102, id=,B04, PRDE,actvstrat=,-0.369392, actvprof=,2.649796, id=,B05, PRDE,actvstrat=,-0.548288, actvprof=,2.947582, id=,B06, PRDE,actvstrat=,0.112379, actvprof=,2.330481, id=,B07, PRDE,actvstrat=,-0.004739, actvprof=,2.402845, id=,B08, PRDE,actvstrat=,-0.121669, actvprof=,2.418539, id=,B09, PRDE,actvstrat=,-0.441418, actvprof=,2.540765, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.797217, id=,S01, PRDE,actvstrat=,0.088671, actvprof=,5.773494, id=,S02, PRDE,actvstrat=,-0.391825, actvprof=,3.156615, id=,S03, PRDE,actvstrat=,0.481243, actvprof=,8.308425, id=,S04, PRDE,actvstrat=,-0.856680, actvprof=,0.878219, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.868052, id=,S06, PRDE,actvstrat=,0.033307, actvprof=,6.103364, id=,S07, PRDE,actvstrat=,-0.177435, actvprof=,3.953026, id=,S08, PRDE,actvstrat=,0.440958, actvprof=,8.095503, id=,S09, PRDE,actvstrat=,-0.092062, actvprof=,4.694158, best_B_id=,B05, best_B_prof=,2.947582, best_B_strat=,-0.548288, best_S_id=,S05, best_S_prof=,9.868052, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.827942, actvprof=,2.019641, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.746184, id=,B02, PRDE,actvstrat=,0.381863, actvprof=,1.961024, id=,B03, PRDE,actvstrat=,0.731587, actvprof=,2.203270, id=,B04, PRDE,actvstrat=,0.886013, actvprof=,1.928243, id=,B05, PRDE,actvstrat=,-0.195496, actvprof=,1.641548, id=,B06, PRDE,actvstrat=,0.965133, actvprof=,1.055936, id=,B07, PRDE,actvstrat=,-0.062055, actvprof=,1.695165, id=,B08, PRDE,actvstrat=,-0.121669, actvprof=,1.872960, id=,B09, PRDE,actvstrat=,-0.025302, actvprof=,1.723223, id=,S00, PRDE,actvstrat=,0.212016, actvprof=,8.289695, id=,S01, PRDE,actvstrat=,0.088671, actvprof=,7.104857, id=,S02, PRDE,actvstrat=,0.912093, actvprof=,11.576959, id=,S03, PRDE,actvstrat=,0.547752, actvprof=,9.774284, id=,S04, PRDE,actvstrat=,0.728449, actvprof=,11.224702, id=,S05, PRDE,actvstrat=,-0.996488, actvprof=,2.891670, id=,S06, PRDE,actvstrat=,-0.480216, actvprof=,4.024558, id=,S07, PRDE,actvstrat=,-0.804267, actvprof=,1.898796, id=,S08, PRDE,actvstrat=,0.971845, actvprof=,11.645577, id=,S09, PRDE,actvstrat=,-0.322329, actvprof=,3.885933, best_B_id=,B03, best_B_prof=,2.203270, best_B_strat=,0.731587, best_S_id=,S08, best_S_prof=,11.645577, best_S_strat=,0.971845, 
t=,36000, id=,B00, PRDE,actvstrat=,0.827942, actvprof=,2.078434, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.779066, id=,B02, PRDE,actvstrat=,0.381863, actvprof=,1.998986, id=,B03, PRDE,actvstrat=,0.731587, actvprof=,2.205802, id=,B04, PRDE,actvstrat=,0.886013, actvprof=,1.819811, id=,B05, PRDE,actvstrat=,-0.195496, actvprof=,1.594383, id=,B06, PRDE,actvstrat=,0.965133, actvprof=,1.054496, id=,B07, PRDE,actvstrat=,-0.062055, actvprof=,1.748002, id=,B08, PRDE,actvstrat=,-0.121669, actvprof=,1.784392, id=,B09, PRDE,actvstrat=,-0.025302, actvprof=,1.727584, id=,S00, PRDE,actvstrat=,0.212016, actvprof=,8.125534, id=,S01, PRDE,actvstrat=,0.088671, actvprof=,7.177710, id=,S02, PRDE,actvstrat=,0.912093, actvprof=,11.712514, id=,S03, PRDE,actvstrat=,0.547752, actvprof=,9.949789, id=,S04, PRDE,actvstrat=,0.728449, actvprof=,11.269992, id=,S05, PRDE,actvstrat=,-0.996488, actvprof=,2.952505, id=,S06, PRDE,actvstrat=,-0.480216, actvprof=,3.884078, id=,S07, PRDE,actvstrat=,-0.804267, actvprof=,1.795921, id=,S08, PRDE,actvstrat=,0.971845, actvprof=,11.801824, id=,S09, PRDE,actvstrat=,-0.322329, actvprof=,3.965748, best_B_id=,B03, best_B_prof=,2.205802, best_B_strat=,0.731587, best_S_id=,S08, best_S_prof=,11.801824, best_S_strat=,0.971845, 
