t=,3600, id=,B00, PRDE,actvstrat=,0.844917, actvprof=,2.596667, id=,B01, PRDE,actvstrat=,-0.423947, actvprof=,2.586944, id=,B02, PRDE,actvstrat=,-0.617410, actvprof=,2.618889, id=,B03, PRDE,actvstrat=,0.730938, actvprof=,3.270278, id=,B04, PRDE,actvstrat=,-0.764394, actvprof=,3.354167, id=,B05, PRDE,actvstrat=,-0.014455, actvprof=,2.113056, id=,B06, PRDE,actvstrat=,-0.642179, actvprof=,2.923056, id=,B07, PRDE,actvstrat=,-0.881390, actvprof=,3.643056, id=,B08, PRDE,actvstrat=,0.401078, actvprof=,2.768056, id=,B09, PRDE,actvstrat=,-0.661990, actvprof=,2.906667, id=,S00, PRDE,actvstrat=,-0.833793, actvprof=,1.066667, id=,S01, PRDE,actvstrat=,-0.602025, actvprof=,2.715000, id=,S02, PRDE,actvstrat=,-0.235461, actvprof=,3.777500, id=,S03, PRDE,actvstrat=,0.315202, actvprof=,6.476389, id=,S04, PRDE,actvstrat=,0.664441, actvprof=,8.426389, id=,S05, PRDE,actvstrat=,0.957333, actvprof=,9.504722, id=,S06, PRDE,actvstrat=,0.020081, actvprof=,5.182778, id=,S07, PRDE,actvstrat=,0.470338, actvprof=,7.594167, id=,S08, PRDE,actvstrat=,0.934128, actvprof=,9.306944, id=,S09, PRDE,actvstrat=,-0.567794, actvprof=,2.968611, best_B_id=,B07, best_B_prof=,3.643056, best_B_strat=,-0.881390, best_S_id=,S05, best_S_prof=,9.504722, best_S_strat=,0.957333, 
t=,7200, id=,B00, PRDE,actvstrat=,0.798133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.885713, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.934458, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.093580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.299701, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.650465, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.166368, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.084309, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.121809, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.858952, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.232664, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.561954, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.181457, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.493339, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.894128, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.394673, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.823286, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.680412, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.010921, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.732735, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.798133, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.232664, 
t=,10800, id=,B00, PRDE,actvstrat=,0.798133, actvprof=,1.947974, id=,B01, PRDE,actvstrat=,0.885713, actvprof=,1.667431, id=,B02, PRDE,actvstrat=,0.934458, actvprof=,1.393553, id=,B03, PRDE,actvstrat=,-0.093580, actvprof=,1.725484, id=,B04, PRDE,actvstrat=,0.299701, actvprof=,1.888255, id=,B05, PRDE,actvstrat=,-0.650465, actvprof=,1.887977, id=,B06, PRDE,actvstrat=,0.166368, actvprof=,1.692985, id=,B07, PRDE,actvstrat=,0.084309, actvprof=,1.663820, id=,B08, PRDE,actvstrat=,0.121809, actvprof=,1.623543, id=,B09, PRDE,actvstrat=,0.858952, actvprof=,1.839368, id=,S00, PRDE,actvstrat=,-0.232664, actvprof=,4.317876, id=,S01, PRDE,actvstrat=,-0.561954, actvprof=,3.662625, id=,S02, PRDE,actvstrat=,0.181457, actvprof=,7.555519, id=,S03, PRDE,actvstrat=,0.493339, actvprof=,9.377387, id=,S04, PRDE,actvstrat=,0.894128, actvprof=,11.336194, id=,S05, PRDE,actvstrat=,-0.394673, actvprof=,3.626238, id=,S06, PRDE,actvstrat=,-0.823286, actvprof=,1.522437, id=,S07, PRDE,actvstrat=,0.680412, actvprof=,10.643445, id=,S08, PRDE,actvstrat=,0.010921, actvprof=,6.844159, id=,S09, PRDE,actvstrat=,0.732735, actvprof=,10.980098, best_B_id=,B00, best_B_prof=,1.947974, best_B_strat=,0.798133, best_S_id=,S04, best_S_prof=,11.336194, best_S_strat=,0.894128, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.308501, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.603428, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.706907, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.056491, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.566550, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.635392, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.824443, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.027067, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.121809, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.853839, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.143348, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.016724, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.803263, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.062750, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.139344, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.957333, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.020081, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.499158, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.918517, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.433766, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.308501, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.143348, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.308501, actvprof=,1.431905, id=,B01, PRDE,actvstrat=,-0.603428, actvprof=,1.933835, id=,B02, PRDE,actvstrat=,-0.706907, actvprof=,2.251604, id=,B03, PRDE,actvstrat=,-0.056491, actvprof=,1.546624, id=,B04, PRDE,actvstrat=,-0.566550, actvprof=,1.765507, id=,B05, PRDE,actvstrat=,0.635392, actvprof=,2.350212, id=,B06, PRDE,actvstrat=,0.824443, actvprof=,2.254937, id=,B07, PRDE,actvstrat=,-0.027067, actvprof=,1.541068, id=,B08, PRDE,actvstrat=,0.121809, actvprof=,1.696064, id=,B09, PRDE,actvstrat=,0.853839, actvprof=,2.072165, id=,S00, PRDE,actvstrat=,-0.143348, actvprof=,4.418211, id=,S01, PRDE,actvstrat=,0.016724, actvprof=,5.649843, id=,S02, PRDE,actvstrat=,0.803263, actvprof=,10.383878, id=,S03, PRDE,actvstrat=,0.062750, actvprof=,6.376212, id=,S04, PRDE,actvstrat=,-0.139344, actvprof=,4.011000, id=,S05, PRDE,actvstrat=,0.957333, actvprof=,10.921919, id=,S06, PRDE,actvstrat=,0.020081, actvprof=,6.344546, id=,S07, PRDE,actvstrat=,-0.499158, actvprof=,2.971306, id=,S08, PRDE,actvstrat=,-0.918517, actvprof=,0.471376, id=,S09, PRDE,actvstrat=,-0.433766, actvprof=,3.094636, best_B_id=,B05, best_B_prof=,2.350212, best_B_strat=,0.635392, best_S_id=,S05, best_S_prof=,10.921919, best_S_strat=,0.957333, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.308501, actvprof=,1.574444, id=,B01, PRDE,actvstrat=,-0.603428, actvprof=,1.867917, id=,B02, PRDE,actvstrat=,-0.706907, actvprof=,2.349722, id=,B03, PRDE,actvstrat=,-0.056491, actvprof=,1.642222, id=,B04, PRDE,actvstrat=,-0.566550, actvprof=,1.789028, id=,B05, PRDE,actvstrat=,0.635392, actvprof=,2.330000, id=,B06, PRDE,actvstrat=,0.824443, actvprof=,2.151806, id=,B07, PRDE,actvstrat=,-0.027067, actvprof=,1.636806, id=,B08, PRDE,actvstrat=,0.121809, actvprof=,1.688472, id=,B09, PRDE,actvstrat=,0.853839, actvprof=,2.113889, id=,S00, PRDE,actvstrat=,-0.143348, actvprof=,4.482361, id=,S01, PRDE,actvstrat=,0.016724, actvprof=,5.930833, id=,S02, PRDE,actvstrat=,0.803263, actvprof=,10.363333, id=,S03, PRDE,actvstrat=,0.062750, actvprof=,6.425556, id=,S04, PRDE,actvstrat=,-0.139344, actvprof=,4.271528, id=,S05, PRDE,actvstrat=,0.957333, actvprof=,10.703333, id=,S06, PRDE,actvstrat=,0.020081, actvprof=,6.248056, id=,S07, PRDE,actvstrat=,-0.499158, actvprof=,2.931806, id=,S08, PRDE,actvstrat=,-0.918517, actvprof=,0.577500, id=,S09, PRDE,actvstrat=,-0.433766, actvprof=,3.021389, best_B_id=,B02, best_B_prof=,2.349722, best_B_strat=,-0.706907, best_S_id=,S05, best_S_prof=,10.703333, best_S_strat=,0.957333, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.335656, actvprof=,1.705556, id=,B01, PRDE,actvstrat=,-0.090242, actvprof=,1.721389, id=,B02, PRDE,actvstrat=,0.016212, actvprof=,1.760833, id=,B03, PRDE,actvstrat=,0.036196, actvprof=,2.058333, id=,B04, PRDE,actvstrat=,-0.491003, actvprof=,1.750556, id=,B05, PRDE,actvstrat=,-0.826562, actvprof=,2.845833, id=,B06, PRDE,actvstrat=,0.031457, actvprof=,1.816667, id=,B07, PRDE,actvstrat=,-0.702174, actvprof=,2.215000, id=,B08, PRDE,actvstrat=,0.364261, actvprof=,2.325278, id=,B09, PRDE,actvstrat=,0.333853, actvprof=,2.328889, id=,S00, PRDE,actvstrat=,-0.857906, actvprof=,0.531944, id=,S01, PRDE,actvstrat=,-0.573094, actvprof=,2.228333, id=,S02, PRDE,actvstrat=,0.212641, actvprof=,6.256944, id=,S03, PRDE,actvstrat=,-0.328004, actvprof=,3.049444, id=,S04, PRDE,actvstrat=,0.963537, actvprof=,9.681389, id=,S05, PRDE,actvstrat=,-0.020651, actvprof=,4.991389, id=,S06, PRDE,actvstrat=,0.337979, actvprof=,6.796944, id=,S07, PRDE,actvstrat=,0.041474, actvprof=,5.167500, id=,S08, PRDE,actvstrat=,-0.311486, actvprof=,3.061389, id=,S09, PRDE,actvstrat=,-0.062158, actvprof=,4.573056, best_B_id=,B05, best_B_prof=,2.845833, best_B_strat=,-0.826562, best_S_id=,S04, best_S_prof=,9.681389, best_S_strat=,0.963537, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.335656, actvprof=,1.718750, id=,B01, PRDE,actvstrat=,-0.090242, actvprof=,1.842083, id=,B02, PRDE,actvstrat=,0.016212, actvprof=,1.776806, id=,B03, PRDE,actvstrat=,0.036196, actvprof=,2.065417, id=,B04, PRDE,actvstrat=,-0.491003, actvprof=,1.803472, id=,B05, PRDE,actvstrat=,-0.826562, actvprof=,2.932778, id=,B06, PRDE,actvstrat=,0.031457, actvprof=,1.811528, id=,B07, PRDE,actvstrat=,-0.702174, actvprof=,2.384028, id=,B08, PRDE,actvstrat=,0.364261, actvprof=,2.293750, id=,B09, PRDE,actvstrat=,0.333853, actvprof=,2.216667, id=,S00, PRDE,actvstrat=,-0.857906, actvprof=,0.599722, id=,S01, PRDE,actvstrat=,-0.573094, actvprof=,2.431944, id=,S02, PRDE,actvstrat=,0.212641, actvprof=,6.277639, id=,S03, PRDE,actvstrat=,-0.328004, actvprof=,2.995833, id=,S04, PRDE,actvstrat=,0.963537, actvprof=,9.700833, id=,S05, PRDE,actvstrat=,-0.020651, actvprof=,5.192917, id=,S06, PRDE,actvstrat=,0.337979, actvprof=,6.634722, id=,S07, PRDE,actvstrat=,0.041474, actvprof=,4.947778, id=,S08, PRDE,actvstrat=,-0.311486, actvprof=,3.039028, id=,S09, PRDE,actvstrat=,-0.062158, actvprof=,4.545417, best_B_id=,B05, best_B_prof=,2.932778, best_B_strat=,-0.826562, best_S_id=,S04, best_S_prof=,9.700833, best_S_strat=,0.963537, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.335656, actvprof=,1.707778, id=,B01, PRDE,actvstrat=,0.885713, actvprof=,2.072222, id=,B02, PRDE,actvstrat=,-0.286707, actvprof=,1.752778, id=,B03, PRDE,actvstrat=,-0.093580, actvprof=,1.713333, id=,B04, PRDE,actvstrat=,-0.946171, actvprof=,2.938889, id=,B05, PRDE,actvstrat=,-0.650465, actvprof=,2.036944, id=,B06, PRDE,actvstrat=,-0.972130, actvprof=,2.870833, id=,B07, PRDE,actvstrat=,-0.702174, actvprof=,2.562500, id=,B08, PRDE,actvstrat=,-0.313231, actvprof=,1.587778, id=,B09, PRDE,actvstrat=,0.858952, actvprof=,2.124167, id=,S00, PRDE,actvstrat=,-0.143348, actvprof=,4.147222, id=,S01, PRDE,actvstrat=,-0.719118, actvprof=,1.977222, id=,S02, PRDE,actvstrat=,0.181457, actvprof=,6.709444, id=,S03, PRDE,actvstrat=,0.062750, actvprof=,5.664444, id=,S04, PRDE,actvstrat=,0.214599, actvprof=,6.362778, id=,S05, PRDE,actvstrat=,0.038609, actvprof=,5.586389, id=,S06, PRDE,actvstrat=,0.456792, actvprof=,8.001944, id=,S07, PRDE,actvstrat=,0.392793, actvprof=,7.450833, id=,S08, PRDE,actvstrat=,0.084334, actvprof=,5.521389, id=,S09, PRDE,actvstrat=,-0.062158, actvprof=,4.633333, best_B_id=,B04, best_B_prof=,2.938889, best_B_strat=,-0.946171, best_S_id=,S06, best_S_prof=,8.001944, best_S_strat=,0.456792, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.335656, actvprof=,1.773080, id=,B01, PRDE,actvstrat=,0.885713, actvprof=,2.020306, id=,B02, PRDE,actvstrat=,-0.286707, actvprof=,1.731552, id=,B03, PRDE,actvstrat=,-0.093580, actvprof=,1.819192, id=,B04, PRDE,actvstrat=,-0.946171, actvprof=,2.872540, id=,B05, PRDE,actvstrat=,-0.650465, actvprof=,1.993361, id=,B06, PRDE,actvstrat=,-0.972130, actvprof=,2.885596, id=,B07, PRDE,actvstrat=,-0.702174, actvprof=,2.386561, id=,B08, PRDE,actvstrat=,-0.313231, actvprof=,1.707385, id=,B09, PRDE,actvstrat=,0.858952, actvprof=,2.153363, id=,S00, PRDE,actvstrat=,-0.143348, actvprof=,4.068668, id=,S01, PRDE,actvstrat=,-0.719118, actvprof=,2.120446, id=,S02, PRDE,actvstrat=,0.181457, actvprof=,6.620509, id=,S03, PRDE,actvstrat=,0.062750, actvprof=,5.877026, id=,S04, PRDE,actvstrat=,0.214599, actvprof=,6.432173, id=,S05, PRDE,actvstrat=,0.038609, actvprof=,5.559799, id=,S06, PRDE,actvstrat=,0.456792, actvprof=,7.643856, id=,S07, PRDE,actvstrat=,0.392793, actvprof=,7.401908, id=,S08, PRDE,actvstrat=,0.084334, actvprof=,5.819803, id=,S09, PRDE,actvstrat=,-0.062158, actvprof=,4.725066, best_B_id=,B06, best_B_prof=,2.885596, best_B_strat=,-0.972130, best_S_id=,S06, best_S_prof=,7.643856, best_S_strat=,0.456792, 
t=,39600, id=,B00, PRDE,actvstrat=,0.918498, actvprof=,2.484548, id=,B01, PRDE,actvstrat=,0.584683, actvprof=,4.241566, id=,B02, PRDE,actvstrat=,0.323071, actvprof=,4.232121, id=,B03, PRDE,actvstrat=,-0.266140, actvprof=,4.037113, id=,B04, PRDE,actvstrat=,0.438588, actvprof=,4.231287, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.380460, id=,B06, PRDE,actvstrat=,0.348528, actvprof=,4.298235, id=,B07, PRDE,actvstrat=,-0.915247, actvprof=,4.478798, id=,B08, PRDE,actvstrat=,-0.363709, actvprof=,3.901829, id=,B09, PRDE,actvstrat=,-0.122560, actvprof=,3.767101, id=,S00, PRDE,actvstrat=,0.237837, actvprof=,6.022473, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.235899, id=,S02, PRDE,actvstrat=,0.465986, actvprof=,6.813339, id=,S03, PRDE,actvstrat=,-0.654374, actvprof=,1.984249, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.432296, id=,S05, PRDE,actvstrat=,0.881530, actvprof=,9.067322, id=,S06, PRDE,actvstrat=,0.482014, actvprof=,7.250024, id=,S07, PRDE,actvstrat=,0.690710, actvprof=,8.527578, id=,S08, PRDE,actvstrat=,-0.669787, actvprof=,2.223148, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,8.795089, best_B_id=,B07, best_B_prof=,4.478798, best_B_strat=,-0.915247, best_S_id=,S05, best_S_prof=,9.067322, best_S_strat=,0.881530, 
