t=,0, id=,B00, PRDE,actvstrat=,-0.697088, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.075162, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.750062, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.618547, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.066733, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.643402, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.361339, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.304459, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.271143, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.677164, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.273614, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.375208, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.188315, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.817994, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.762741, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.334863, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.995442, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.815869, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.019549, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.353279, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.697088, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.273614, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.697088, actvprof=,3.921667, id=,B01, PRDE,actvstrat=,0.075162, actvprof=,3.291111, id=,B02, PRDE,actvstrat=,0.750062, actvprof=,3.361389, id=,B03, PRDE,actvstrat=,-0.618547, actvprof=,3.729722, id=,B04, PRDE,actvstrat=,0.066733, actvprof=,2.938056, id=,B05, PRDE,actvstrat=,-0.643402, actvprof=,3.903056, id=,B06, PRDE,actvstrat=,0.361339, actvprof=,3.681944, id=,B07, PRDE,actvstrat=,-0.304459, actvprof=,3.198611, id=,B08, PRDE,actvstrat=,0.271143, actvprof=,3.320000, id=,B09, PRDE,actvstrat=,0.677164, actvprof=,3.486111, id=,S00, PRDE,actvstrat=,0.273614, actvprof=,6.062222, id=,S01, PRDE,actvstrat=,0.375208, actvprof=,7.171111, id=,S02, PRDE,actvstrat=,-0.188315, actvprof=,3.435556, id=,S03, PRDE,actvstrat=,-0.817994, actvprof=,1.304444, id=,S04, PRDE,actvstrat=,0.762741, actvprof=,8.538333, id=,S05, PRDE,actvstrat=,0.334863, actvprof=,6.500833, id=,S06, PRDE,actvstrat=,0.995442, actvprof=,8.576111, id=,S07, PRDE,actvstrat=,0.815869, actvprof=,8.925000, id=,S08, PRDE,actvstrat=,-0.019549, actvprof=,4.999444, id=,S09, PRDE,actvstrat=,0.353279, actvprof=,6.588611, best_B_id=,B00, best_B_prof=,3.921667, best_B_strat=,-0.697088, best_S_id=,S07, best_S_prof=,8.925000, best_S_strat=,0.815869, 
t=,7200, id=,B00, PRDE,actvstrat=,0.294085, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.587111, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.854258, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.424752, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.468172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.556376, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.157536, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.692810, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.903147, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.127330, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.928688, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.702701, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.898119, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.294983, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.983893, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.219792, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.853750, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.472188, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.365733, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.266353, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.294085, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.928688, 
t=,10800, id=,B00, PRDE,actvstrat=,0.294085, actvprof=,2.975709, id=,B01, PRDE,actvstrat=,-0.587111, actvprof=,2.977098, id=,B02, PRDE,actvstrat=,-0.854258, actvprof=,4.122328, id=,B03, PRDE,actvstrat=,-0.424752, actvprof=,2.791273, id=,B04, PRDE,actvstrat=,0.468172, actvprof=,3.412080, id=,B05, PRDE,actvstrat=,-0.556376, actvprof=,3.014041, id=,B06, PRDE,actvstrat=,-0.157536, actvprof=,2.808216, id=,B07, PRDE,actvstrat=,-0.692810, actvprof=,3.182645, id=,B08, PRDE,actvstrat=,-0.903147, actvprof=,4.355930, id=,B09, PRDE,actvstrat=,-0.127330, actvprof=,2.687666, id=,S00, PRDE,actvstrat=,0.928688, actvprof=,8.768246, id=,S01, PRDE,actvstrat=,0.702701, actvprof=,7.670236, id=,S02, PRDE,actvstrat=,0.898119, actvprof=,8.597975, id=,S03, PRDE,actvstrat=,-0.294983, actvprof=,2.183242, id=,S04, PRDE,actvstrat=,-0.983893, actvprof=,2.002139, id=,S05, PRDE,actvstrat=,-0.219792, actvprof=,2.408789, id=,S06, PRDE,actvstrat=,0.853750, actvprof=,8.391595, id=,S07, PRDE,actvstrat=,-0.472188, actvprof=,1.979084, id=,S08, PRDE,actvstrat=,-0.365733, actvprof=,2.133522, id=,S09, PRDE,actvstrat=,0.266353, actvprof=,5.356999, best_B_id=,B08, best_B_prof=,4.355930, best_B_strat=,-0.903147, best_S_id=,S00, best_S_prof=,8.768246, best_S_strat=,0.928688, 
t=,14400, id=,B00, PRDE,actvstrat=,0.886481, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.133546, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.727357, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.424752, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.971192, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.556376, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.289803, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.692810, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.305065, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.352175, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.768914, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.633885, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.309400, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.294983, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.622878, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.250517, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.771173, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.797457, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.463833, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.548164, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.886481, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.768914, 
t=,18000, id=,B00, PRDE,actvstrat=,0.886481, actvprof=,1.748358, id=,B01, PRDE,actvstrat=,-0.133546, actvprof=,1.436409, id=,B02, PRDE,actvstrat=,-0.727357, actvprof=,1.635023, id=,B03, PRDE,actvstrat=,-0.424752, actvprof=,1.224461, id=,B04, PRDE,actvstrat=,0.971192, actvprof=,1.028348, id=,B05, PRDE,actvstrat=,-0.556376, actvprof=,1.338907, id=,B06, PRDE,actvstrat=,-0.289803, actvprof=,1.225295, id=,B07, PRDE,actvstrat=,-0.692810, actvprof=,1.505854, id=,B08, PRDE,actvstrat=,-0.305065, actvprof=,1.285018, id=,B09, PRDE,actvstrat=,0.352175, actvprof=,1.646967, id=,S00, PRDE,actvstrat=,-0.768914, actvprof=,1.622245, id=,S01, PRDE,actvstrat=,-0.633885, actvprof=,2.582814, id=,S02, PRDE,actvstrat=,-0.309400, actvprof=,3.794775, id=,S03, PRDE,actvstrat=,-0.294983, actvprof=,3.600606, id=,S04, PRDE,actvstrat=,-0.622878, actvprof=,3.310324, id=,S05, PRDE,actvstrat=,-0.250517, actvprof=,3.995889, id=,S06, PRDE,actvstrat=,0.771173, actvprof=,10.452090, id=,S07, PRDE,actvstrat=,-0.797457, actvprof=,1.765302, id=,S08, PRDE,actvstrat=,0.463833, actvprof=,8.286504, id=,S09, PRDE,actvstrat=,0.548164, actvprof=,9.049015, best_B_id=,B00, best_B_prof=,1.748358, best_B_strat=,0.886481, best_S_id=,S06, best_S_prof=,10.452090, best_S_strat=,0.771173, 
t=,21600, id=,B00, PRDE,actvstrat=,0.886481, actvprof=,1.773762, id=,B01, PRDE,actvstrat=,-0.133546, actvprof=,1.284037, id=,B02, PRDE,actvstrat=,-0.727357, actvprof=,1.701401, id=,B03, PRDE,actvstrat=,-0.424752, actvprof=,1.157369, id=,B04, PRDE,actvstrat=,0.971192, actvprof=,1.016257, id=,B05, PRDE,actvstrat=,-0.556376, actvprof=,1.323898, id=,B06, PRDE,actvstrat=,-0.289803, actvprof=,1.250425, id=,B07, PRDE,actvstrat=,-0.692810, actvprof=,1.574872, id=,B08, PRDE,actvstrat=,-0.305065, actvprof=,1.244592, id=,B09, PRDE,actvstrat=,0.352175, actvprof=,1.670567, id=,S00, PRDE,actvstrat=,-0.768914, actvprof=,1.655845, id=,S01, PRDE,actvstrat=,-0.633885, actvprof=,2.881409, id=,S02, PRDE,actvstrat=,-0.309400, actvprof=,3.744193, id=,S03, PRDE,actvstrat=,-0.294983, actvprof=,3.633914, id=,S04, PRDE,actvstrat=,-0.622878, actvprof=,3.005854, id=,S05, PRDE,actvstrat=,-0.250517, actvprof=,3.863777, id=,S06, PRDE,actvstrat=,0.771173, actvprof=,10.444100, id=,S07, PRDE,actvstrat=,-0.797457, actvprof=,1.575150, id=,S08, PRDE,actvstrat=,0.463833, actvprof=,8.155612, id=,S09, PRDE,actvstrat=,0.548164, actvprof=,9.010063, best_B_id=,B00, best_B_prof=,1.773762, best_B_strat=,0.886481, best_S_id=,S06, best_S_prof=,10.444100, best_S_strat=,0.771173, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.752552, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.683107, id=,B02, PRDE,actvstrat=,-0.164979, actvprof=,2.594203, id=,B03, PRDE,actvstrat=,0.884869, actvprof=,2.788650, id=,B04, PRDE,actvstrat=,-0.289030, actvprof=,2.364200, id=,B05, PRDE,actvstrat=,0.672499, actvprof=,3.353380, id=,B06, PRDE,actvstrat=,0.392394, actvprof=,3.199767, id=,B07, PRDE,actvstrat=,-0.488407, actvprof=,2.421423, id=,B08, PRDE,actvstrat=,-0.218824, actvprof=,2.530035, id=,B09, PRDE,actvstrat=,-0.752203, actvprof=,2.911429, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.179794, id=,S01, PRDE,actvstrat=,-0.323991, actvprof=,2.772816, id=,S02, PRDE,actvstrat=,0.329112, actvprof=,5.964527, id=,S03, PRDE,actvstrat=,0.090779, actvprof=,5.016736, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.397575, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.226739, id=,S06, PRDE,actvstrat=,0.554721, actvprof=,7.134821, id=,S07, PRDE,actvstrat=,0.843644, actvprof=,9.328185, id=,S08, PRDE,actvstrat=,0.094450, actvprof=,5.217850, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.096793, best_B_id=,B00, best_B_prof=,3.752552, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,9.328185, best_S_strat=,0.843644, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.804914, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.791997, id=,B02, PRDE,actvstrat=,-0.164979, actvprof=,2.583786, id=,B03, PRDE,actvstrat=,0.884869, actvprof=,2.946569, id=,B04, PRDE,actvstrat=,-0.289030, actvprof=,2.540869, id=,B05, PRDE,actvstrat=,0.672499, actvprof=,3.228239, id=,B06, PRDE,actvstrat=,0.392394, actvprof=,3.198378, id=,B07, PRDE,actvstrat=,-0.488407, actvprof=,2.341144, id=,B08, PRDE,actvstrat=,-0.218824, actvprof=,2.617814, id=,B09, PRDE,actvstrat=,-0.752203, actvprof=,2.952541, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.387436, id=,S01, PRDE,actvstrat=,-0.323991, actvprof=,2.729205, id=,S02, PRDE,actvstrat=,0.329112, actvprof=,5.931193, id=,S03, PRDE,actvstrat=,0.090779, actvprof=,4.786316, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.259379, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.477159, id=,S06, PRDE,actvstrat=,0.554721, actvprof=,7.094682, id=,S07, PRDE,actvstrat=,0.843644, actvprof=,9.078321, id=,S08, PRDE,actvstrat=,0.094450, actvprof=,5.092154, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,9.136932, best_B_id=,B00, best_B_prof=,3.804914, best_B_strat=,-1.000000, best_S_id=,S09, best_S_prof=,9.136932, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.256707, actvprof=,3.445096, id=,B01, PRDE,actvstrat=,-0.587111, actvprof=,3.687602, id=,B02, PRDE,actvstrat=,-0.834664, actvprof=,4.350954, id=,B03, PRDE,actvstrat=,-0.158342, actvprof=,3.377038, id=,B04, PRDE,actvstrat=,0.291153, actvprof=,3.380649, id=,B05, PRDE,actvstrat=,0.227238, actvprof=,3.265646, id=,B06, PRDE,actvstrat=,-0.862443, actvprof=,4.502347, id=,B07, PRDE,actvstrat=,-0.488407, actvprof=,3.396483, id=,B08, PRDE,actvstrat=,0.000065, actvprof=,3.170921, id=,B09, PRDE,actvstrat=,-0.127330, actvprof=,3.106753, id=,S00, PRDE,actvstrat=,0.302860, actvprof=,5.273480, id=,S01, PRDE,actvstrat=,0.696074, actvprof=,7.558543, id=,S02, PRDE,actvstrat=,0.879938, actvprof=,8.218839, id=,S03, PRDE,actvstrat=,-0.027594, actvprof=,4.177060, id=,S04, PRDE,actvstrat=,0.086029, actvprof=,4.480402, id=,S05, PRDE,actvstrat=,-0.271877, actvprof=,2.422290, id=,S06, PRDE,actvstrat=,-0.957406, actvprof=,1.284758, id=,S07, PRDE,actvstrat=,0.843644, actvprof=,8.648851, id=,S08, PRDE,actvstrat=,-0.019549, actvprof=,4.084280, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,8.259396, best_B_id=,B06, best_B_prof=,4.502347, best_B_strat=,-0.862443, best_S_id=,S07, best_S_prof=,8.648851, best_S_strat=,0.843644, 
t=,36000, id=,B00, PRDE,actvstrat=,0.256707, actvprof=,3.527271, id=,B01, PRDE,actvstrat=,-0.587111, actvprof=,3.734219, id=,B02, PRDE,actvstrat=,-0.834664, actvprof=,4.606314, id=,B03, PRDE,actvstrat=,-0.158342, actvprof=,3.260879, id=,B04, PRDE,actvstrat=,0.291153, actvprof=,3.379214, id=,B05, PRDE,actvstrat=,0.227238, actvprof=,3.369491, id=,B06, PRDE,actvstrat=,-0.862443, actvprof=,4.627009, id=,B07, PRDE,actvstrat=,-0.488407, actvprof=,3.382964, id=,B08, PRDE,actvstrat=,0.000065, actvprof=,3.164211, id=,B09, PRDE,actvstrat=,-0.127330, actvprof=,3.171433, id=,S00, PRDE,actvstrat=,0.302860, actvprof=,5.407714, id=,S01, PRDE,actvstrat=,0.696074, actvprof=,7.495521, id=,S02, PRDE,actvstrat=,0.879938, actvprof=,8.429006, id=,S03, PRDE,actvstrat=,-0.027594, actvprof=,4.010750, id=,S04, PRDE,actvstrat=,0.086029, actvprof=,4.382005, id=,S05, PRDE,actvstrat=,-0.271877, actvprof=,2.262115, id=,S06, PRDE,actvstrat=,-0.957406, actvprof=,1.405575, id=,S07, PRDE,actvstrat=,0.843644, actvprof=,8.481090, id=,S08, PRDE,actvstrat=,-0.019549, actvprof=,4.055612, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,8.282198, best_B_id=,B06, best_B_prof=,4.627009, best_B_strat=,-0.862443, best_S_id=,S07, best_S_prof=,8.481090, best_S_strat=,0.843644, 
