t=,0, id=,B00, PRDE,actvstrat=,0.558560, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.304796, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.748554, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.549986, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.648963, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.656101, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.314973, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.625979, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.155260, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.185959, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.005714, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.793926, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.036420, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.514228, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.920606, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.044570, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.306163, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.446814, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.438762, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.071294, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.558560, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.005714, 
t=,3600, id=,B00, PRDE,actvstrat=,0.558560, actvprof=,2.609444, id=,B01, PRDE,actvstrat=,0.304796, actvprof=,2.563611, id=,B02, PRDE,actvstrat=,0.748554, actvprof=,2.411944, id=,B03, PRDE,actvstrat=,-0.549986, actvprof=,2.727500, id=,B04, PRDE,actvstrat=,0.648963, actvprof=,2.575556, id=,B05, PRDE,actvstrat=,0.656101, actvprof=,2.610278, id=,B06, PRDE,actvstrat=,0.314973, actvprof=,2.725556, id=,B07, PRDE,actvstrat=,0.625979, actvprof=,3.025556, id=,B08, PRDE,actvstrat=,0.155260, actvprof=,2.205833, id=,B09, PRDE,actvstrat=,0.185959, actvprof=,2.391111, id=,S00, PRDE,actvstrat=,-0.005714, actvprof=,6.606389, id=,S01, PRDE,actvstrat=,0.793926, actvprof=,10.321111, id=,S02, PRDE,actvstrat=,0.036420, actvprof=,6.971389, id=,S03, PRDE,actvstrat=,0.514228, actvprof=,8.997778, id=,S04, PRDE,actvstrat=,0.920606, actvprof=,10.508611, id=,S05, PRDE,actvstrat=,-0.044570, actvprof=,5.815000, id=,S06, PRDE,actvstrat=,0.306163, actvprof=,7.982222, id=,S07, PRDE,actvstrat=,-0.446814, actvprof=,4.090833, id=,S08, PRDE,actvstrat=,-0.438762, actvprof=,4.331944, id=,S09, PRDE,actvstrat=,0.071294, actvprof=,6.928333, best_B_id=,B07, best_B_prof=,3.025556, best_B_strat=,0.625979, best_S_id=,S04, best_S_prof=,10.508611, best_S_strat=,0.920606, 
t=,7200, id=,B00, PRDE,actvstrat=,0.533926, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.064867, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.537254, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.107006, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.804337, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.108084, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.513291, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.719158, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.094832, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.908848, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.951409, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.766556, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.928527, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.473350, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.299878, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.560117, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.647446, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.000543, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.271687, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.139840, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.533926, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.951409, 
t=,10800, id=,B00, PRDE,actvstrat=,0.533926, actvprof=,1.985611, id=,B01, PRDE,actvstrat=,-0.064867, actvprof=,1.517264, id=,B02, PRDE,actvstrat=,0.537254, actvprof=,2.112281, id=,B03, PRDE,actvstrat=,-0.107006, actvprof=,1.541432, id=,B04, PRDE,actvstrat=,0.804337, actvprof=,2.043946, id=,B05, PRDE,actvstrat=,-0.108084, actvprof=,1.394483, id=,B06, PRDE,actvstrat=,-0.513291, actvprof=,1.538932, id=,B07, PRDE,actvstrat=,-0.719158, actvprof=,2.164505, id=,B08, PRDE,actvstrat=,-0.094832, actvprof=,1.664213, id=,B09, PRDE,actvstrat=,-0.908848, actvprof=,2.965638, id=,S00, PRDE,actvstrat=,-0.951409, actvprof=,0.856690, id=,S01, PRDE,actvstrat=,-0.766556, actvprof=,1.868107, id=,S02, PRDE,actvstrat=,0.928527, actvprof=,10.747799, id=,S03, PRDE,actvstrat=,0.473350, actvprof=,8.604683, id=,S04, PRDE,actvstrat=,-0.299878, actvprof=,3.538432, id=,S05, PRDE,actvstrat=,0.560117, actvprof=,8.088558, id=,S06, PRDE,actvstrat=,-0.647446, actvprof=,2.448679, id=,S07, PRDE,actvstrat=,-0.000543, actvprof=,5.524320, id=,S08, PRDE,actvstrat=,-0.271687, actvprof=,3.212589, id=,S09, PRDE,actvstrat=,0.139840, actvprof=,6.717131, best_B_id=,B09, best_B_prof=,2.965638, best_B_strat=,-0.908848, best_S_id=,S02, best_S_prof=,10.747799, best_S_strat=,0.928527, 
t=,14400, id=,B00, PRDE,actvstrat=,0.533926, actvprof=,2.033362, id=,B01, PRDE,actvstrat=,-0.064867, actvprof=,1.609328, id=,B02, PRDE,actvstrat=,0.537254, actvprof=,2.138085, id=,B03, PRDE,actvstrat=,-0.107006, actvprof=,1.570300, id=,B04, PRDE,actvstrat=,0.804337, actvprof=,2.119474, id=,B05, PRDE,actvstrat=,-0.108084, actvprof=,1.476271, id=,B06, PRDE,actvstrat=,-0.513291, actvprof=,1.528355, id=,B07, PRDE,actvstrat=,-0.719158, actvprof=,2.179752, id=,B08, PRDE,actvstrat=,-0.094832, actvprof=,1.582105, id=,B09, PRDE,actvstrat=,-0.908848, actvprof=,2.880596, id=,S00, PRDE,actvstrat=,-0.951409, actvprof=,0.797511, id=,S01, PRDE,actvstrat=,-0.766556, actvprof=,1.854470, id=,S02, PRDE,actvstrat=,0.928527, actvprof=,10.493479, id=,S03, PRDE,actvstrat=,0.473350, actvprof=,8.160391, id=,S04, PRDE,actvstrat=,-0.299878, actvprof=,3.326157, id=,S05, PRDE,actvstrat=,0.560117, actvprof=,8.139002, id=,S06, PRDE,actvstrat=,-0.647446, actvprof=,2.492951, id=,S07, PRDE,actvstrat=,-0.000543, actvprof=,5.463965, id=,S08, PRDE,actvstrat=,-0.271687, actvprof=,3.475882, id=,S09, PRDE,actvstrat=,0.139840, actvprof=,6.523979, best_B_id=,B09, best_B_prof=,2.880596, best_B_strat=,-0.908848, best_S_id=,S02, best_S_prof=,10.493479, best_S_strat=,0.928527, 
t=,18000, id=,B00, PRDE,actvstrat=,0.179364, actvprof=,2.425901, id=,B01, PRDE,actvstrat=,-0.733735, actvprof=,2.978972, id=,B02, PRDE,actvstrat=,0.722199, actvprof=,2.900358, id=,B03, PRDE,actvstrat=,-0.509871, actvprof=,2.509236, id=,B04, PRDE,actvstrat=,0.271098, actvprof=,2.796467, id=,B05, PRDE,actvstrat=,-0.108084, actvprof=,2.602017, id=,B06, PRDE,actvstrat=,0.092164, actvprof=,2.380344, id=,B07, PRDE,actvstrat=,-0.843671, actvprof=,3.412873, id=,B08, PRDE,actvstrat=,-0.682359, actvprof=,2.908136, id=,B09, PRDE,actvstrat=,-0.908848, actvprof=,4.031779, id=,S00, PRDE,actvstrat=,0.714735, actvprof=,8.281897, id=,S01, PRDE,actvstrat=,-0.718715, actvprof=,1.766160, id=,S02, PRDE,actvstrat=,0.928527, actvprof=,9.261924, id=,S03, PRDE,actvstrat=,0.269545, actvprof=,6.081280, id=,S04, PRDE,actvstrat=,-0.679557, actvprof=,1.790883, id=,S05, PRDE,actvstrat=,0.411317, actvprof=,6.684908, id=,S06, PRDE,actvstrat=,0.178350, actvprof=,5.647379, id=,S07, PRDE,actvstrat=,0.859056, actvprof=,9.159977, id=,S08, PRDE,actvstrat=,-0.066539, actvprof=,3.958721, id=,S09, PRDE,actvstrat=,-0.529095, actvprof=,2.489791, best_B_id=,B09, best_B_prof=,4.031779, best_B_strat=,-0.908848, best_S_id=,S02, best_S_prof=,9.261924, best_S_strat=,0.928527, 
t=,21600, id=,B00, PRDE,actvstrat=,0.179364, actvprof=,2.457395, id=,B01, PRDE,actvstrat=,-0.733735, actvprof=,3.043098, id=,B02, PRDE,actvstrat=,0.722199, actvprof=,2.896985, id=,B03, PRDE,actvstrat=,-0.509871, actvprof=,2.335727, id=,B04, PRDE,actvstrat=,0.271098, actvprof=,2.753233, id=,B05, PRDE,actvstrat=,-0.108084, actvprof=,2.433923, id=,B06, PRDE,actvstrat=,0.092164, actvprof=,2.361838, id=,B07, PRDE,actvstrat=,-0.843671, actvprof=,3.460465, id=,B08, PRDE,actvstrat=,-0.682359, actvprof=,2.799622, id=,B09, PRDE,actvstrat=,-0.908848, actvprof=,3.981028, id=,S00, PRDE,actvstrat=,0.714735, actvprof=,8.194003, id=,S01, PRDE,actvstrat=,-0.718715, actvprof=,1.763358, id=,S02, PRDE,actvstrat=,0.928527, actvprof=,9.393880, id=,S03, PRDE,actvstrat=,0.269545, actvprof=,6.022445, id=,S04, PRDE,actvstrat=,-0.679557, actvprof=,1.739330, id=,S05, PRDE,actvstrat=,0.411317, actvprof=,6.590786, id=,S06, PRDE,actvstrat=,0.178350, actvprof=,5.374936, id=,S07, PRDE,actvstrat=,0.859056, actvprof=,9.310268, id=,S08, PRDE,actvstrat=,-0.066539, actvprof=,4.218670, id=,S09, PRDE,actvstrat=,-0.529095, actvprof=,2.359061, best_B_id=,B09, best_B_prof=,3.981028, best_B_strat=,-0.908848, best_S_id=,S02, best_S_prof=,9.393880, best_S_strat=,0.928527, 
t=,25200, id=,B00, PRDE,actvstrat=,0.621555, actvprof=,0.117510, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.079729, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.065283, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.073895, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.082785, id=,B05, PRDE,actvstrat=,-0.444621, actvprof=,0.014723, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.047782, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.043893, id=,B08, PRDE,actvstrat=,0.571413, actvprof=,0.068895, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.066672, id=,S00, PRDE,actvstrat=,-0.680841, actvprof=,4.640387, id=,S01, PRDE,actvstrat=,-0.370006, actvprof=,5.656860, id=,S02, PRDE,actvstrat=,0.873622, actvprof=,14.585382, id=,S03, PRDE,actvstrat=,-0.467732, actvprof=,5.688530, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,7.445343, id=,S05, PRDE,actvstrat=,-0.366698, actvprof=,4.569270, id=,S06, PRDE,actvstrat=,-0.504591, actvprof=,5.647971, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.102536, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.480346, id=,S09, PRDE,actvstrat=,-0.903438, actvprof=,0.772009, best_B_id=,B00, best_B_prof=,0.117510, best_B_strat=,0.621555, best_S_id=,S02, best_S_prof=,14.585382, best_S_strat=,0.873622, 
t=,28800, id=,B00, PRDE,actvstrat=,0.621555, actvprof=,0.085698, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.053613, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.046113, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.055836, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.073614, id=,B05, PRDE,actvstrat=,-0.444621, actvprof=,0.011806, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.032501, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.042780, id=,B08, PRDE,actvstrat=,0.571413, actvprof=,0.052641, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.061530, id=,S00, PRDE,actvstrat=,-0.680841, actvprof=,4.589913, id=,S01, PRDE,actvstrat=,-0.370006, actvprof=,5.547731, id=,S02, PRDE,actvstrat=,0.873622, actvprof=,14.483659, id=,S03, PRDE,actvstrat=,-0.467732, actvprof=,5.385502, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,7.371974, id=,S05, PRDE,actvstrat=,-0.366698, actvprof=,5.031321, id=,S06, PRDE,actvstrat=,-0.504591, actvprof=,5.735933, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.146131, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.297665, id=,S09, PRDE,actvstrat=,-0.903438, actvprof=,0.796700, best_B_id=,B00, best_B_prof=,0.085698, best_B_strat=,0.621555, best_S_id=,S02, best_S_prof=,14.483659, best_S_strat=,0.873622, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.435748, actvprof=,1.488478, id=,B01, PRDE,actvstrat=,0.950654, actvprof=,1.325129, id=,B02, PRDE,actvstrat=,-0.063918, actvprof=,1.727668, id=,B03, PRDE,actvstrat=,0.210356, actvprof=,2.088259, id=,B04, PRDE,actvstrat=,0.271098, actvprof=,2.035198, id=,B05, PRDE,actvstrat=,0.748608, actvprof=,2.368008, id=,B06, PRDE,actvstrat=,0.452247, actvprof=,2.344395, id=,B07, PRDE,actvstrat=,-0.719158, actvprof=,2.507744, id=,B08, PRDE,actvstrat=,0.256814, actvprof=,1.987138, id=,B09, PRDE,actvstrat=,-0.908848, actvprof=,2.857222, id=,S00, PRDE,actvstrat=,-0.005714, actvprof=,5.996972, id=,S01, PRDE,actvstrat=,0.107129, actvprof=,6.195325, id=,S02, PRDE,actvstrat=,0.150644, actvprof=,6.598419, id=,S03, PRDE,actvstrat=,-0.333775, actvprof=,3.663690, id=,S04, PRDE,actvstrat=,-0.980239, actvprof=,1.589599, id=,S05, PRDE,actvstrat=,0.830985, actvprof=,10.280444, id=,S06, PRDE,actvstrat=,-0.527588, actvprof=,2.945564, id=,S07, PRDE,actvstrat=,0.963264, actvprof=,10.578251, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.122998, id=,S09, PRDE,actvstrat=,0.641834, actvprof=,9.663162, best_B_id=,B09, best_B_prof=,2.857222, best_B_strat=,-0.908848, best_S_id=,S07, best_S_prof=,10.578251, best_S_strat=,0.963264, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.435748, actvprof=,1.556593, id=,B01, PRDE,actvstrat=,0.950654, actvprof=,1.413948, id=,B02, PRDE,actvstrat=,-0.063918, actvprof=,1.664653, id=,B03, PRDE,actvstrat=,0.210356, actvprof=,2.050363, id=,B04, PRDE,actvstrat=,0.271098, actvprof=,2.107866, id=,B05, PRDE,actvstrat=,0.748608, actvprof=,2.457880, id=,B06, PRDE,actvstrat=,0.452247, actvprof=,2.348431, id=,B07, PRDE,actvstrat=,-0.719158, actvprof=,2.460936, id=,B08, PRDE,actvstrat=,0.256814, actvprof=,1.992583, id=,B09, PRDE,actvstrat=,-0.908848, actvprof=,2.901926, id=,S00, PRDE,actvstrat=,-0.005714, actvprof=,5.661208, id=,S01, PRDE,actvstrat=,0.107129, actvprof=,6.259289, id=,S02, PRDE,actvstrat=,0.150644, actvprof=,6.469020, id=,S03, PRDE,actvstrat=,-0.333775, actvprof=,3.377919, id=,S04, PRDE,actvstrat=,-0.980239, actvprof=,1.679376, id=,S05, PRDE,actvstrat=,0.830985, actvprof=,10.389461, id=,S06, PRDE,actvstrat=,-0.527588, actvprof=,3.048044, id=,S07, PRDE,actvstrat=,0.963264, actvprof=,10.664750, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.045210, id=,S09, PRDE,actvstrat=,0.641834, actvprof=,9.498451, best_B_id=,B09, best_B_prof=,2.901926, best_B_strat=,-0.908848, best_S_id=,S07, best_S_prof=,10.664750, best_S_strat=,0.963264, 
