t=,0, id=,B00, PRDE,actvstrat=,-0.684994, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.932953, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.888139, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.583423, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.691981, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.736526, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.007107, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.487942, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.331015, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.847717, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.615588, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.918497, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.270593, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.571344, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.833925, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.061505, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.647908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.421486, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.205405, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083758, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.684994, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.615588, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.684994, actvprof=,1.828333, id=,B01, PRDE,actvstrat=,-0.932953, actvprof=,2.933889, id=,B02, PRDE,actvstrat=,0.888139, actvprof=,1.765278, id=,B03, PRDE,actvstrat=,0.583423, actvprof=,2.283333, id=,B04, PRDE,actvstrat=,-0.691981, actvprof=,1.737222, id=,B05, PRDE,actvstrat=,-0.736526, actvprof=,1.800278, id=,B06, PRDE,actvstrat=,-0.007107, actvprof=,1.611667, id=,B07, PRDE,actvstrat=,0.487942, actvprof=,1.997778, id=,B08, PRDE,actvstrat=,-0.331015, actvprof=,1.376111, id=,B09, PRDE,actvstrat=,0.847717, actvprof=,2.251389, id=,S00, PRDE,actvstrat=,0.615588, actvprof=,9.474167, id=,S01, PRDE,actvstrat=,-0.918497, actvprof=,1.153056, id=,S02, PRDE,actvstrat=,-0.270593, actvprof=,4.731389, id=,S03, PRDE,actvstrat=,-0.571344, actvprof=,3.776111, id=,S04, PRDE,actvstrat=,-0.833925, actvprof=,1.741667, id=,S05, PRDE,actvstrat=,0.061505, actvprof=,6.777778, id=,S06, PRDE,actvstrat=,0.647908, actvprof=,9.675278, id=,S07, PRDE,actvstrat=,0.421486, actvprof=,8.241389, id=,S08, PRDE,actvstrat=,0.205405, actvprof=,7.387500, id=,S09, PRDE,actvstrat=,0.083758, actvprof=,7.011944, best_B_id=,B01, best_B_prof=,2.933889, best_B_strat=,-0.932953, best_S_id=,S06, best_S_prof=,9.675278, best_S_strat=,0.647908, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.913712, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.793326, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.607458, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.859133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.831261, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.253509, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.684549, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.602034, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.141017, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.614937, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.970719, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.061500, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.762154, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.730885, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.761885, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.982379, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.181334, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.288235, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.802485, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.293305, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.913712, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.970719, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.913712, actvprof=,2.295801, id=,B01, PRDE,actvstrat=,-0.793326, actvprof=,1.631088, id=,B02, PRDE,actvstrat=,0.607458, actvprof=,1.907474, id=,B03, PRDE,actvstrat=,0.859133, actvprof=,1.843863, id=,B04, PRDE,actvstrat=,-0.831261, actvprof=,1.846363, id=,B05, PRDE,actvstrat=,-0.253509, actvprof=,1.027764, id=,B06, PRDE,actvstrat=,0.684549, actvprof=,1.879696, id=,B07, PRDE,actvstrat=,-0.602034, actvprof=,1.183317, id=,B08, PRDE,actvstrat=,0.141017, actvprof=,1.508312, id=,B09, PRDE,actvstrat=,0.614937, actvprof=,1.796919, id=,S00, PRDE,actvstrat=,-0.970719, actvprof=,1.232205, id=,S01, PRDE,actvstrat=,0.061500, actvprof=,6.359356, id=,S02, PRDE,actvstrat=,0.762154, actvprof=,10.524854, id=,S03, PRDE,actvstrat=,0.730885, actvprof=,10.202081, id=,S04, PRDE,actvstrat=,-0.761885, actvprof=,2.592742, id=,S05, PRDE,actvstrat=,-0.982379, actvprof=,2.022194, id=,S06, PRDE,actvstrat=,-0.181334, actvprof=,4.634380, id=,S07, PRDE,actvstrat=,-0.288235, actvprof=,3.919390, id=,S08, PRDE,actvstrat=,0.802485, actvprof=,10.776795, id=,S09, PRDE,actvstrat=,-0.293305, actvprof=,3.636616, best_B_id=,B00, best_B_prof=,2.295801, best_B_strat=,-0.913712, best_S_id=,S08, best_S_prof=,10.776795, best_S_strat=,0.802485, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.291359, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.620248, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.148314, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.107955, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.074216, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.759758, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.684549, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.884104, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.937504, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.903689, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.615588, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.061500, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.663912, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.240759, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.057230, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.702978, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.427874, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.916176, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.118695, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.634629, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.291359, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.615588, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.291359, actvprof=,0.993056, id=,B01, PRDE,actvstrat=,0.620248, actvprof=,1.656944, id=,B02, PRDE,actvstrat=,-0.148314, actvprof=,0.923611, id=,B03, PRDE,actvstrat=,-0.107955, actvprof=,0.976389, id=,B04, PRDE,actvstrat=,-0.074216, actvprof=,1.248889, id=,B05, PRDE,actvstrat=,-0.759758, actvprof=,1.646389, id=,B06, PRDE,actvstrat=,0.684549, actvprof=,1.745000, id=,B07, PRDE,actvstrat=,-0.884104, actvprof=,2.230000, id=,B08, PRDE,actvstrat=,0.937504, actvprof=,1.220833, id=,B09, PRDE,actvstrat=,0.903689, actvprof=,1.600278, id=,S00, PRDE,actvstrat=,0.615588, actvprof=,9.994444, id=,S01, PRDE,actvstrat=,0.061500, actvprof=,6.422222, id=,S02, PRDE,actvstrat=,-0.663912, actvprof=,3.005278, id=,S03, PRDE,actvstrat=,0.240759, actvprof=,7.459722, id=,S04, PRDE,actvstrat=,0.057230, actvprof=,7.083611, id=,S05, PRDE,actvstrat=,-0.702978, actvprof=,2.980000, id=,S06, PRDE,actvstrat=,0.427874, actvprof=,8.585556, id=,S07, PRDE,actvstrat=,-0.916176, actvprof=,0.551111, id=,S08, PRDE,actvstrat=,0.118695, actvprof=,7.325278, id=,S09, PRDE,actvstrat=,-0.634629, actvprof=,2.973611, best_B_id=,B07, best_B_prof=,2.230000, best_B_strat=,-0.884104, best_S_id=,S00, best_S_prof=,9.994444, best_S_strat=,0.615588, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.291359, actvprof=,0.935000, id=,B01, PRDE,actvstrat=,0.620248, actvprof=,1.608333, id=,B02, PRDE,actvstrat=,-0.148314, actvprof=,0.961250, id=,B03, PRDE,actvstrat=,-0.107955, actvprof=,0.931528, id=,B04, PRDE,actvstrat=,-0.074216, actvprof=,1.181250, id=,B05, PRDE,actvstrat=,-0.759758, actvprof=,1.616528, id=,B06, PRDE,actvstrat=,0.684549, actvprof=,1.756944, id=,B07, PRDE,actvstrat=,-0.884104, actvprof=,2.227222, id=,B08, PRDE,actvstrat=,0.937504, actvprof=,1.206528, id=,B09, PRDE,actvstrat=,0.903689, actvprof=,1.455417, id=,S00, PRDE,actvstrat=,0.615588, actvprof=,9.749722, id=,S01, PRDE,actvstrat=,0.061500, actvprof=,6.534028, id=,S02, PRDE,actvstrat=,-0.663912, actvprof=,3.118194, id=,S03, PRDE,actvstrat=,0.240759, actvprof=,7.438333, id=,S04, PRDE,actvstrat=,0.057230, actvprof=,6.821528, id=,S05, PRDE,actvstrat=,-0.702978, actvprof=,2.965833, id=,S06, PRDE,actvstrat=,0.427874, actvprof=,8.771528, id=,S07, PRDE,actvstrat=,-0.916176, actvprof=,0.508611, id=,S08, PRDE,actvstrat=,0.118695, actvprof=,7.115694, id=,S09, PRDE,actvstrat=,-0.634629, actvprof=,3.163194, best_B_id=,B07, best_B_prof=,2.227222, best_B_strat=,-0.884104, best_S_id=,S00, best_S_prof=,9.749722, best_S_strat=,0.615588, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.841911, actvprof=,4.080890, id=,B01, PRDE,actvstrat=,0.531340, actvprof=,3.357269, id=,B02, PRDE,actvstrat=,-0.430957, actvprof=,2.987819, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.169461, id=,B04, PRDE,actvstrat=,0.024327, actvprof=,2.844484, id=,B05, PRDE,actvstrat=,0.154996, actvprof=,2.726705, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.440048, id=,B07, PRDE,actvstrat=,-0.467692, actvprof=,3.161711, id=,B08, PRDE,actvstrat=,0.745856, actvprof=,3.051987, id=,B09, PRDE,actvstrat=,0.013723, actvprof=,2.669482, id=,S00, PRDE,actvstrat=,-0.172836, actvprof=,3.862276, id=,S01, PRDE,actvstrat=,-0.146299, actvprof=,3.930055, id=,S02, PRDE,actvstrat=,0.943371, actvprof=,10.082640, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.667356, id=,S04, PRDE,actvstrat=,0.822542, actvprof=,9.709857, id=,S05, PRDE,actvstrat=,-0.721070, actvprof=,2.023639, id=,S06, PRDE,actvstrat=,0.480547, actvprof=,8.189280, id=,S07, PRDE,actvstrat=,0.641327, actvprof=,8.684843, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.733191, id=,S09, PRDE,actvstrat=,-0.691386, actvprof=,2.206142, best_B_id=,B00, best_B_prof=,4.080890, best_B_strat=,-0.841911, best_S_id=,S02, best_S_prof=,10.082640, best_S_strat=,0.943371, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.841911, actvprof=,4.101973, id=,B01, PRDE,actvstrat=,0.531340, actvprof=,3.228356, id=,B02, PRDE,actvstrat=,-0.430957, actvprof=,3.143494, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.213203, id=,B04, PRDE,actvstrat=,0.024327, actvprof=,2.737241, id=,B05, PRDE,actvstrat=,0.154996, actvprof=,2.839464, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.388635, id=,B07, PRDE,actvstrat=,-0.467692, actvprof=,2.973076, id=,B08, PRDE,actvstrat=,0.745856, actvprof=,2.970993, id=,B09, PRDE,actvstrat=,0.013723, actvprof=,2.568490, id=,S00, PRDE,actvstrat=,-0.172836, actvprof=,3.704192, id=,S01, PRDE,actvstrat=,-0.146299, actvprof=,3.974055, id=,S02, PRDE,actvstrat=,0.943371, actvprof=,10.025070, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.769790, id=,S04, PRDE,actvstrat=,0.822542, actvprof=,9.957014, id=,S05, PRDE,actvstrat=,-0.721070, actvprof=,1.930569, id=,S06, PRDE,actvstrat=,0.480547, actvprof=,7.891305, id=,S07, PRDE,actvstrat=,0.641327, actvprof=,8.962840, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.743262, id=,S09, PRDE,actvstrat=,-0.691386, actvprof=,2.099876, best_B_id=,B00, best_B_prof=,4.101973, best_B_strat=,-0.841911, best_S_id=,S02, best_S_prof=,10.025070, best_S_strat=,0.943371, 
t=,32400, id=,B00, PRDE,actvstrat=,0.038018, actvprof=,1.248090, id=,B01, PRDE,actvstrat=,0.144200, actvprof=,1.441151, id=,B02, PRDE,actvstrat=,-0.918168, actvprof=,2.567294, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.576405, id=,B04, PRDE,actvstrat=,-0.895252, actvprof=,2.220617, id=,B05, PRDE,actvstrat=,0.375931, actvprof=,1.299481, id=,B06, PRDE,actvstrat=,-0.729009, actvprof=,1.659491, id=,B07, PRDE,actvstrat=,0.122212, actvprof=,1.367538, id=,B08, PRDE,actvstrat=,0.203718, actvprof=,1.304203, id=,B09, PRDE,actvstrat=,0.301710, actvprof=,1.443929, id=,S00, PRDE,actvstrat=,-0.109271, actvprof=,4.836523, id=,S01, PRDE,actvstrat=,-0.146299, actvprof=,4.540682, id=,S02, PRDE,actvstrat=,0.559113, actvprof=,9.264980, id=,S03, PRDE,actvstrat=,0.909583, actvprof=,11.107531, id=,S04, PRDE,actvstrat=,-0.761885, actvprof=,2.476735, id=,S05, PRDE,actvstrat=,-0.743434, actvprof=,2.289786, id=,S06, PRDE,actvstrat=,-0.373484, actvprof=,3.812050, id=,S07, PRDE,actvstrat=,-0.772148, actvprof=,2.137004, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.399761, id=,S09, PRDE,actvstrat=,-0.293305, actvprof=,4.119837, best_B_id=,B02, best_B_prof=,2.567294, best_B_strat=,-0.918168, best_S_id=,S08, best_S_prof=,11.399761, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.038018, actvprof=,1.184314, id=,B01, PRDE,actvstrat=,0.144200, actvprof=,1.299315, id=,B02, PRDE,actvstrat=,-0.918168, actvprof=,2.503351, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.559587, id=,B04, PRDE,actvstrat=,-0.895252, actvprof=,2.203904, id=,B05, PRDE,actvstrat=,0.375931, actvprof=,1.404315, id=,B06, PRDE,actvstrat=,-0.729009, actvprof=,1.603761, id=,B07, PRDE,actvstrat=,0.122212, actvprof=,1.304454, id=,B08, PRDE,actvstrat=,0.203718, actvprof=,1.288481, id=,B09, PRDE,actvstrat=,0.301710, actvprof=,1.441677, id=,S00, PRDE,actvstrat=,-0.109271, actvprof=,4.881978, id=,S01, PRDE,actvstrat=,-0.146299, actvprof=,4.522948, id=,S02, PRDE,actvstrat=,0.559113, actvprof=,9.297565, id=,S03, PRDE,actvstrat=,0.909583, actvprof=,11.262856, id=,S04, PRDE,actvstrat=,-0.761885, actvprof=,2.185293, id=,S05, PRDE,actvstrat=,-0.743434, actvprof=,2.239321, id=,S06, PRDE,actvstrat=,-0.373484, actvprof=,3.853221, id=,S07, PRDE,actvstrat=,-0.772148, actvprof=,1.958625, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.578969, id=,S09, PRDE,actvstrat=,-0.293305, actvprof=,4.237668, best_B_id=,B02, best_B_prof=,2.503351, best_B_strat=,-0.918168, best_S_id=,S08, best_S_prof=,11.578969, best_S_strat=,1.000000, 
