t=,1, id=,B00, PRDE,actvstrat=,-0.440029, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.969346, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.773417, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.703416, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.719844, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.653258, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.617859, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.991298, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.749091, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.493636, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.689473, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.216052, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.837302, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.526310, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.635811, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.551993, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.943469, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.211800, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.326689, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.014311, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.440029, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.689473, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.440029, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.969346, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,0.773417, actvprof=,0.005000, id=,B03, PRJADE,actvstrat=,0.703416, actvprof=,0.057778, id=,B04, PRDE,actvstrat=,-0.719844, actvprof=,0.089722, id=,B05, PRDE,actvstrat=,-0.653258, actvprof=,0.330833, id=,B06, PRDE,actvstrat=,0.617859, actvprof=,1.401944, id=,B07, PRJADE,actvstrat=,-0.991298, actvprof=,2.483333, id=,B08, PRJADE,actvstrat=,-0.749091, actvprof=,2.425833, id=,B09, PRJADE,actvstrat=,-0.493636, actvprof=,3.260278, id=,S00, PRJADE,actvstrat=,0.689473, actvprof=,5.032778, id=,S01, PRJADE,actvstrat=,0.216052, actvprof=,2.263611, id=,S02, PRDE,actvstrat=,0.837302, actvprof=,3.123333, id=,S03, PRDE,actvstrat=,-0.526310, actvprof=,0.163333, id=,S04, PRJADE,actvstrat=,-0.635811, actvprof=,0.060000, id=,S05, PRJADE,actvstrat=,0.551993, actvprof=,0.115278, id=,S06, PRDE,actvstrat=,0.943469, actvprof=,0.139167, id=,S07, PRDE,actvstrat=,0.211800, actvprof=,0.001944, id=,S08, PRJADE,actvstrat=,-0.326689, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.014311, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.260278, best_B_strat=,-0.493636, best_S_id=,S00, best_S_prof=,5.032778, best_S_strat=,0.689473, 
t=,7200, id=,B00, PRDE,actvstrat=,0.155812, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.551317, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.819443, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.840720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.382683, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.340348, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.527637, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.203348, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.484711, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.123892, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.268319, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.053518, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.007497, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.237247, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.303740, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.954668, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.050025, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.155812, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.484711, 
t=,10800, id=,B00, PRDE,actvstrat=,0.155812, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.551317, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.011389, id=,B04, PRDE,actvstrat=,0.819443, actvprof=,0.098332, id=,B05, PRDE,actvstrat=,-0.840720, actvprof=,0.096110, id=,B06, PRDE,actvstrat=,0.382683, actvprof=,0.488882, id=,B07, PRJADE,actvstrat=,0.340348, actvprof=,0.967487, id=,B08, PRJADE,actvstrat=,-0.527637, actvprof=,1.188872, id=,B09, PRJADE,actvstrat=,-0.203348, actvprof=,2.096082, id=,S00, PRJADE,actvstrat=,-0.484711, actvprof=,1.722754, id=,S01, PRJADE,actvstrat=,0.123892, actvprof=,2.756073, id=,S02, PRDE,actvstrat=,0.268319, actvprof=,2.040805, id=,S03, PRDE,actvstrat=,0.053518, actvprof=,0.926654, id=,S04, PRJADE,actvstrat=,0.007497, actvprof=,0.376939, id=,S05, PRJADE,actvstrat=,-0.237247, actvprof=,0.033611, id=,S06, PRDE,actvstrat=,0.303740, actvprof=,0.036666, id=,S07, PRDE,actvstrat=,0.954668, actvprof=,0.068332, id=,S08, PRJADE,actvstrat=,-1.000000, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.050025, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.096082, best_B_strat=,-0.203348, best_S_id=,S01, best_S_prof=,2.756073, best_S_strat=,0.123892, 
t=,14400, id=,B00, PRDE,actvstrat=,0.817977, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.016117, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.033015, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.195928, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.886110, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.336982, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.504944, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.947441, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.920086, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.970323, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.687181, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.822043, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.625674, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.958941, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.134136, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.796995, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.252160, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.006946, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.675698, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.389922, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.817977, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.687181, 
t=,18000, id=,B00, PRDE,actvstrat=,0.817977, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.016117, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.033015, actvprof=,0.020554, id=,B03, PRJADE,actvstrat=,-0.195928, actvprof=,0.081384, id=,B04, PRDE,actvstrat=,-0.886110, actvprof=,0.356647, id=,B05, PRDE,actvstrat=,-0.336982, actvprof=,0.669963, id=,B06, PRDE,actvstrat=,-0.504944, actvprof=,1.320204, id=,B07, PRJADE,actvstrat=,-0.947441, actvprof=,1.991556, id=,B08, PRJADE,actvstrat=,0.920086, actvprof=,3.406477, id=,B09, PRJADE,actvstrat=,0.970323, actvprof=,3.764791, id=,S00, PRJADE,actvstrat=,0.687181, actvprof=,5.218599, id=,S01, PRJADE,actvstrat=,0.822043, actvprof=,4.544748, id=,S02, PRDE,actvstrat=,0.625674, actvprof=,2.942892, id=,S03, PRDE,actvstrat=,-0.958941, actvprof=,1.395478, id=,S04, PRJADE,actvstrat=,-0.134136, actvprof=,0.335537, id=,S05, PRJADE,actvstrat=,0.796995, actvprof=,1.607688, id=,S06, PRDE,actvstrat=,-0.252160, actvprof=,0.058330, id=,S07, PRDE,actvstrat=,0.006946, actvprof=,0.086106, id=,S08, PRJADE,actvstrat=,0.675698, actvprof=,0.031387, id=,S09, PRDE,actvstrat=,-0.389922, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.764791, best_B_strat=,0.970323, best_S_id=,S00, best_S_prof=,5.218599, best_S_strat=,0.687181, 
t=,21600, id=,B00, PRDE,actvstrat=,0.817977, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.016117, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.033015, actvprof=,0.017083, id=,B03, PRJADE,actvstrat=,-0.195928, actvprof=,0.087639, id=,B04, PRDE,actvstrat=,-0.886110, actvprof=,0.352361, id=,B05, PRDE,actvstrat=,-0.336982, actvprof=,0.690833, id=,B06, PRDE,actvstrat=,-0.504944, actvprof=,1.313750, id=,B07, PRJADE,actvstrat=,-0.947441, actvprof=,2.136250, id=,B08, PRJADE,actvstrat=,0.920086, actvprof=,3.317083, id=,B09, PRJADE,actvstrat=,0.970323, actvprof=,3.859028, id=,S00, PRJADE,actvstrat=,0.687181, actvprof=,4.984306, id=,S01, PRJADE,actvstrat=,0.822043, actvprof=,4.750694, id=,S02, PRDE,actvstrat=,0.625674, actvprof=,3.027083, id=,S03, PRDE,actvstrat=,-0.958941, actvprof=,1.375556, id=,S04, PRJADE,actvstrat=,-0.134136, actvprof=,0.326389, id=,S05, PRJADE,actvstrat=,0.796995, actvprof=,1.524306, id=,S06, PRDE,actvstrat=,-0.252160, actvprof=,0.066944, id=,S07, PRDE,actvstrat=,0.006946, actvprof=,0.090833, id=,S08, PRJADE,actvstrat=,0.675698, actvprof=,0.037500, id=,S09, PRDE,actvstrat=,-0.389922, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.859028, best_B_strat=,0.970323, best_S_id=,S00, best_S_prof=,4.984306, best_S_strat=,0.687181, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.904179, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.635487, actvprof=,0.000833, id=,B03, PRJADE,actvstrat=,0.125610, actvprof=,0.019445, id=,B04, PRDE,actvstrat=,0.314939, actvprof=,0.139724, id=,B05, PRDE,actvstrat=,-0.996534, actvprof=,0.935013, id=,B06, PRDE,actvstrat=,-0.728291, actvprof=,0.671120, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,2.613370, id=,B08, PRJADE,actvstrat=,-0.214684, actvprof=,1.838359, id=,B09, PRJADE,actvstrat=,-1.000000, actvprof=,4.888401, id=,S00, PRJADE,actvstrat=,-0.020883, actvprof=,2.803094, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,4.813956, id=,S02, PRDE,actvstrat=,0.526030, actvprof=,2.113085, id=,S03, PRDE,actvstrat=,0.765709, actvprof=,1.545577, id=,S04, PRJADE,actvstrat=,-0.183679, actvprof=,0.043334, id=,S05, PRJADE,actvstrat=,-0.878782, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.169138, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,0.921369, actvprof=,0.011667, id=,S08, PRJADE,actvstrat=,0.029252, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189826, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.888401, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.813956, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.904179, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.635487, actvprof=,0.001806, id=,B03, PRJADE,actvstrat=,0.125610, actvprof=,0.036111, id=,B04, PRDE,actvstrat=,0.314939, actvprof=,0.130695, id=,B05, PRDE,actvstrat=,-0.996534, actvprof=,0.889728, id=,B06, PRDE,actvstrat=,-0.728291, actvprof=,0.573754, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,2.581546, id=,B08, PRJADE,actvstrat=,-0.214684, actvprof=,1.822374, id=,B09, PRJADE,actvstrat=,-1.000000, actvprof=,4.837534, id=,S00, PRJADE,actvstrat=,-0.020883, actvprof=,2.717936, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,4.915312, id=,S02, PRDE,actvstrat=,0.526030, actvprof=,2.070987, id=,S03, PRDE,actvstrat=,0.765709, actvprof=,1.633067, id=,S04, PRJADE,actvstrat=,-0.183679, actvprof=,0.051111, id=,S05, PRJADE,actvstrat=,-0.878782, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.169138, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.921369, actvprof=,0.009167, id=,S08, PRJADE,actvstrat=,0.029252, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189826, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.837534, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.915312, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.924866, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.010128, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.619392, actvprof=,0.002500, id=,B03, PRJADE,actvstrat=,0.815059, actvprof=,0.073058, id=,B04, PRDE,actvstrat=,-0.734070, actvprof=,0.066391, id=,B05, PRDE,actvstrat=,-0.969039, actvprof=,0.638629, id=,B06, PRDE,actvstrat=,-0.321922, actvprof=,0.625573, id=,B07, PRJADE,actvstrat=,-0.788619, actvprof=,0.962527, id=,B08, PRJADE,actvstrat=,-0.872289, actvprof=,1.542821, id=,B09, PRJADE,actvstrat=,0.993256, actvprof=,3.780661, id=,S00, PRJADE,actvstrat=,0.479272, actvprof=,3.823162, id=,S01, PRJADE,actvstrat=,0.017965, actvprof=,1.869496, id=,S02, PRDE,actvstrat=,-0.697423, actvprof=,0.358066, id=,S03, PRDE,actvstrat=,0.469024, actvprof=,1.155865, id=,S04, PRJADE,actvstrat=,-0.012376, actvprof=,0.311953, id=,S05, PRJADE,actvstrat=,-0.850508, actvprof=,0.040001, id=,S06, PRDE,actvstrat=,0.943469, actvprof=,0.732798, id=,S07, PRDE,actvstrat=,0.204742, actvprof=,0.063057, id=,S08, PRJADE,actvstrat=,0.863646, actvprof=,0.061391, id=,S09, PRDE,actvstrat=,-0.950806, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.780661, best_B_strat=,0.993256, best_S_id=,S00, best_S_prof=,3.823162, best_S_strat=,0.479272, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.960619, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.781528, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.653044, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.682484, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.653258, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.617859, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.555190, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.124118, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.665567, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.959147, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.556168, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.919220, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.356022, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.290370, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.599022, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.960619, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.124118, 
