t=,3600, id=,B00, PRDE,actvstrat=,0.782943, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.895358, actvprof=,0.000278, id=,B02, PRJADE,actvstrat=,0.683642, actvprof=,0.028056, id=,B03, PRDE,actvstrat=,0.809400, actvprof=,0.218056, id=,B04, PRJADE,actvstrat=,-0.261893, actvprof=,0.152222, id=,B05, PRJADE,actvstrat=,0.232274, actvprof=,0.675556, id=,B06, PRJADE,actvstrat=,-0.731109, actvprof=,1.237222, id=,B07, PRJADE,actvstrat=,0.962984, actvprof=,1.498611, id=,B08, PRDE,actvstrat=,-0.474574, actvprof=,2.307500, id=,B09, PRDE,actvstrat=,0.926718, actvprof=,2.896389, id=,S00, PRJADE,actvstrat=,0.786471, actvprof=,6.877500, id=,S01, PRDE,actvstrat=,0.532904, actvprof=,4.900278, id=,S02, PRDE,actvstrat=,0.511873, actvprof=,4.133889, id=,S03, PRDE,actvstrat=,-0.168546, actvprof=,1.577222, id=,S04, PRJADE,actvstrat=,-0.536575, actvprof=,0.675556, id=,S05, PRJADE,actvstrat=,0.460031, actvprof=,1.169167, id=,S06, PRJADE,actvstrat=,-0.239920, actvprof=,0.117222, id=,S07, PRDE,actvstrat=,-0.849271, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.001854, actvprof=,0.020833, id=,S09, PRJADE,actvstrat=,-0.551711, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.896389, best_B_strat=,0.926718, best_S_id=,S00, best_S_prof=,6.877500, best_S_strat=,0.786471, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.727865, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.544867, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.333732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.003865, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.258541, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.821280, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.264444, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.443977, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.052721, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.654634, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.017681, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.519986, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.722872, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.186122, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.590671, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.727865, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.727865, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.544867, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.333732, actvprof=,0.028055, id=,B03, PRDE,actvstrat=,0.003865, actvprof=,0.080277, id=,B04, PRJADE,actvstrat=,0.258541, actvprof=,0.251663, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,1.125818, id=,B06, PRJADE,actvstrat=,-0.821280, actvprof=,0.790822, id=,B07, PRJADE,actvstrat=,0.264444, actvprof=,1.646644, id=,B08, PRDE,actvstrat=,-0.443977, actvprof=,2.275246, id=,B09, PRDE,actvstrat=,-0.052721, actvprof=,3.694671, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,5.910473, id=,S01, PRDE,actvstrat=,-0.654634, actvprof=,1.130818, id=,S02, PRDE,actvstrat=,0.017681, actvprof=,1.550256, id=,S03, PRDE,actvstrat=,-0.519986, actvprof=,0.346106, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,1.485813, id=,S05, PRJADE,actvstrat=,-0.722872, actvprof=,0.010833, id=,S06, PRJADE,actvstrat=,1.000000, actvprof=,0.149720, id=,S07, PRDE,actvstrat=,0.186122, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.590671, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.694671, best_B_strat=,-0.052721, best_S_id=,S00, best_S_prof=,5.910473, best_S_strat=,1.000000, 
t=,14400, id=,B00, PRDE,actvstrat=,0.768894, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.394874, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.398338, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.469851, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.954621, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.896718, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.647288, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.849142, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.470689, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.052721, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.414118, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.144183, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.047116, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.996940, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.702897, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.901063, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.997872, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.509415, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.668417, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.296424, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.768894, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.414118, 
t=,18000, id=,B00, PRDE,actvstrat=,0.768894, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.394874, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.398338, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.469851, actvprof=,0.005833, id=,B04, PRJADE,actvstrat=,-0.954621, actvprof=,0.190833, id=,B05, PRJADE,actvstrat=,-0.896718, actvprof=,0.329444, id=,B06, PRJADE,actvstrat=,0.647288, actvprof=,1.988889, id=,B07, PRJADE,actvstrat=,-0.849142, actvprof=,1.149722, id=,B08, PRDE,actvstrat=,-0.470689, actvprof=,2.614444, id=,B09, PRDE,actvstrat=,-0.052721, actvprof=,4.669722, id=,S00, PRJADE,actvstrat=,-0.414118, actvprof=,1.501111, id=,S01, PRDE,actvstrat=,-0.144183, actvprof=,1.196667, id=,S02, PRDE,actvstrat=,0.047116, actvprof=,1.141944, id=,S03, PRDE,actvstrat=,0.996940, actvprof=,1.180278, id=,S04, PRJADE,actvstrat=,-0.702897, actvprof=,0.063056, id=,S05, PRJADE,actvstrat=,0.901063, actvprof=,0.335278, id=,S06, PRJADE,actvstrat=,0.997872, actvprof=,0.088611, id=,S07, PRDE,actvstrat=,0.509415, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,-0.668417, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.296424, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.669722, best_B_strat=,-0.052721, best_S_id=,S00, best_S_prof=,1.501111, best_S_strat=,-0.414118, 
t=,21600, id=,B00, PRDE,actvstrat=,0.768894, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.394874, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.398338, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.469851, actvprof=,0.006250, id=,B04, PRJADE,actvstrat=,-0.954621, actvprof=,0.230417, id=,B05, PRJADE,actvstrat=,-0.896718, actvprof=,0.283889, id=,B06, PRJADE,actvstrat=,0.647288, actvprof=,1.872222, id=,B07, PRJADE,actvstrat=,-0.849142, actvprof=,1.101667, id=,B08, PRDE,actvstrat=,-0.470689, actvprof=,2.619028, id=,B09, PRDE,actvstrat=,-0.052721, actvprof=,4.613194, id=,S00, PRJADE,actvstrat=,-0.414118, actvprof=,1.501667, id=,S01, PRDE,actvstrat=,-0.144183, actvprof=,1.217778, id=,S02, PRDE,actvstrat=,0.047116, actvprof=,1.116944, id=,S03, PRDE,actvstrat=,0.996940, actvprof=,1.240833, id=,S04, PRJADE,actvstrat=,-0.702897, actvprof=,0.065417, id=,S05, PRJADE,actvstrat=,0.901063, actvprof=,0.355000, id=,S06, PRJADE,actvstrat=,0.997872, actvprof=,0.080694, id=,S07, PRDE,actvstrat=,0.509415, actvprof=,0.004722, id=,S08, PRDE,actvstrat=,-0.668417, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.296424, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.613194, best_B_strat=,-0.052721, best_S_id=,S00, best_S_prof=,1.501667, best_S_strat=,-0.414118, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.865153, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.440444, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.005556, id=,B03, PRDE,actvstrat=,-0.709387, actvprof=,0.013334, id=,B04, PRJADE,actvstrat=,-0.740095, actvprof=,0.079723, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,1.325852, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,1.963916, id=,B07, PRJADE,actvstrat=,-0.155911, actvprof=,2.237253, id=,B08, PRDE,actvstrat=,-0.132672, actvprof=,3.547827, id=,B09, PRDE,actvstrat=,-0.829683, actvprof=,3.197822, id=,S00, PRJADE,actvstrat=,-1.000000, actvprof=,5.097849, id=,S01, PRDE,actvstrat=,0.682928, actvprof=,3.149766, id=,S02, PRDE,actvstrat=,0.745039, actvprof=,2.133085, id=,S03, PRDE,actvstrat=,-0.467912, actvprof=,0.150835, id=,S04, PRJADE,actvstrat=,0.977397, actvprof=,0.795844, id=,S05, PRJADE,actvstrat=,0.382891, actvprof=,0.071112, id=,S06, PRJADE,actvstrat=,1.000000, actvprof=,0.036389, id=,S07, PRDE,actvstrat=,-0.612544, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.648613, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.972091, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.547827, best_B_strat=,-0.132672, best_S_id=,S00, best_S_prof=,5.097849, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.865153, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.440444, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.005556, id=,B03, PRDE,actvstrat=,-0.709387, actvprof=,0.014722, id=,B04, PRJADE,actvstrat=,-0.740095, actvprof=,0.076251, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,1.349037, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,1.945291, id=,B07, PRJADE,actvstrat=,-0.155911, actvprof=,2.222377, id=,B08, PRDE,actvstrat=,-0.132672, actvprof=,3.526969, id=,B09, PRDE,actvstrat=,-0.829683, actvprof=,3.239606, id=,S00, PRJADE,actvstrat=,-1.000000, actvprof=,5.224481, id=,S01, PRDE,actvstrat=,0.682928, actvprof=,3.101827, id=,S02, PRDE,actvstrat=,0.745039, actvprof=,2.221682, id=,S03, PRDE,actvstrat=,-0.467912, actvprof=,0.170279, id=,S04, PRJADE,actvstrat=,0.977397, actvprof=,0.799033, id=,S05, PRJADE,actvstrat=,0.382891, actvprof=,0.069723, id=,S06, PRJADE,actvstrat=,1.000000, actvprof=,0.028056, id=,S07, PRDE,actvstrat=,-0.612544, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.648613, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.972091, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.526969, best_B_strat=,-0.132672, best_S_id=,S00, best_S_prof=,5.224481, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.424721, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293391, actvprof=,0.001667, id=,B02, PRJADE,actvstrat=,-0.732831, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.899163, actvprof=,0.101947, id=,B04, PRJADE,actvstrat=,-0.323146, actvprof=,0.124448, id=,B05, PRJADE,actvstrat=,-0.376811, actvprof=,0.502792, id=,B06, PRJADE,actvstrat=,-0.653542, actvprof=,1.111975, id=,B07, PRJADE,actvstrat=,-0.001455, actvprof=,1.969221, id=,B08, PRDE,actvstrat=,-0.646609, actvprof=,2.754243, id=,B09, PRDE,actvstrat=,-0.829683, actvprof=,3.939554, id=,S00, PRJADE,actvstrat=,0.423152, actvprof=,3.250646, id=,S01, PRDE,actvstrat=,0.682928, actvprof=,3.176477, id=,S02, PRDE,actvstrat=,0.620766, actvprof=,1.775327, id=,S03, PRDE,actvstrat=,-0.242591, actvprof=,0.143060, id=,S04, PRJADE,actvstrat=,-0.885538, actvprof=,0.011389, id=,S05, PRJADE,actvstrat=,-0.916367, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.054815, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.152564, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.184402, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.735452, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.939554, best_B_strat=,-0.829683, best_S_id=,S00, best_S_prof=,3.250646, best_S_strat=,0.423152, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.424721, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293391, actvprof=,0.000833, id=,B02, PRJADE,actvstrat=,-0.732831, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,-0.899163, actvprof=,0.104307, id=,B04, PRJADE,actvstrat=,-0.323146, actvprof=,0.152919, id=,B05, PRJADE,actvstrat=,-0.376811, actvprof=,0.491396, id=,B06, PRJADE,actvstrat=,-0.653542, actvprof=,0.992514, id=,B07, PRJADE,actvstrat=,-0.001455, actvprof=,1.904749, id=,B08, PRDE,actvstrat=,-0.646609, actvprof=,2.676287, id=,B09, PRDE,actvstrat=,-0.829683, actvprof=,3.831164, id=,S00, PRJADE,actvstrat=,0.423152, actvprof=,3.286573, id=,S01, PRDE,actvstrat=,0.682928, actvprof=,3.048931, id=,S02, PRDE,actvstrat=,0.620766, actvprof=,1.756969, id=,S03, PRDE,actvstrat=,-0.242591, actvprof=,0.143335, id=,S04, PRJADE,actvstrat=,-0.885538, actvprof=,0.014167, id=,S05, PRJADE,actvstrat=,-0.916367, actvprof=,0.003056, id=,S06, PRJADE,actvstrat=,-0.054815, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,0.152564, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-0.184402, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.735452, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.831164, best_B_strat=,-0.829683, best_S_id=,S00, best_S_prof=,3.286573, best_S_strat=,0.423152, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.865153, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.294449, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.960409, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.808822, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-1.000000, actvprof=,0.001389, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,0.072778, id=,B06, PRJADE,actvstrat=,0.636900, actvprof=,0.236111, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,1.299444, id=,B08, PRDE,actvstrat=,0.783593, actvprof=,2.176111, id=,B09, PRDE,actvstrat=,0.607260, actvprof=,3.184444, id=,S00, PRJADE,actvstrat=,-0.345429, actvprof=,3.108889, id=,S01, PRDE,actvstrat=,-0.614852, actvprof=,1.717222, id=,S02, PRDE,actvstrat=,-0.711846, actvprof=,0.895833, id=,S03, PRDE,actvstrat=,0.079776, actvprof=,1.736389, id=,S04, PRJADE,actvstrat=,0.672499, actvprof=,1.912778, id=,S05, PRJADE,actvstrat=,0.557281, actvprof=,0.630556, id=,S06, PRJADE,actvstrat=,1.000000, actvprof=,0.615833, id=,S07, PRDE,actvstrat=,0.447761, actvprof=,0.058611, id=,S08, PRDE,actvstrat=,-0.854454, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.184444, best_B_strat=,0.607260, best_S_id=,S00, best_S_prof=,3.108889, best_S_strat=,-0.345429, 
