t=,0, id=,B00, PRDE,actvstrat=,0.528544, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.296927, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.087752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.352617, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.843057, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.555948, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.326685, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.070234, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.089073, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.031115, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.940814, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.081487, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.149850, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.828139, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.319411, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.558173, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.914833, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.665707, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.210590, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.072543, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.528544, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.940814, 
t=,3600, id=,B00, PRDE,actvstrat=,0.528544, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.296927, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.087752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.352617, actvprof=,0.012778, id=,B04, PRJADE,actvstrat=,0.843057, actvprof=,0.246111, id=,B05, PRDE,actvstrat=,-0.555948, actvprof=,0.154444, id=,B06, PRJADE,actvstrat=,0.326685, actvprof=,1.011667, id=,B07, PRJADE,actvstrat=,0.070234, actvprof=,1.512778, id=,B08, PRDE,actvstrat=,-0.089073, actvprof=,2.589444, id=,B09, PRDE,actvstrat=,0.031115, actvprof=,4.031667, id=,S00, PRJADE,actvstrat=,-0.940814, actvprof=,2.493889, id=,S01, PRJADE,actvstrat=,-0.081487, actvprof=,2.310833, id=,S02, PRJADE,actvstrat=,0.149850, actvprof=,1.868056, id=,S03, PRDE,actvstrat=,0.828139, actvprof=,2.115000, id=,S04, PRJADE,actvstrat=,-0.319411, actvprof=,0.177500, id=,S05, PRDE,actvstrat=,0.558173, actvprof=,0.336389, id=,S06, PRJADE,actvstrat=,0.914833, actvprof=,0.218611, id=,S07, PRDE,actvstrat=,-0.665707, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,-0.210590, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.072543, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.031667, best_B_strat=,0.031115, best_S_id=,S00, best_S_prof=,2.493889, best_S_strat=,-0.940814, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.727885, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.270917, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.885612, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.127886, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.281288, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.574849, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.853220, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.600778, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.176928, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.816227, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.460749, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.213645, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.997323, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.254675, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.832105, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.727885, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.727885, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.270917, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.019722, id=,B03, PRDE,actvstrat=,0.885612, actvprof=,0.127776, id=,B04, PRJADE,actvstrat=,-1.000000, actvprof=,0.673602, id=,B05, PRDE,actvstrat=,-0.127886, actvprof=,0.426661, id=,B06, PRJADE,actvstrat=,-0.281288, actvprof=,0.932487, id=,B07, PRJADE,actvstrat=,-0.574849, actvprof=,1.374425, id=,B08, PRDE,actvstrat=,0.853220, actvprof=,4.441605, id=,B09, PRDE,actvstrat=,-0.600778, actvprof=,4.223552, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,5.224094, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,4.544659, id=,S02, PRJADE,actvstrat=,0.176928, actvprof=,1.321371, id=,S03, PRDE,actvstrat=,0.816227, actvprof=,1.348592, id=,S04, PRJADE,actvstrat=,0.460749, actvprof=,0.306107, id=,S05, PRDE,actvstrat=,-0.213645, actvprof=,0.014166, id=,S06, PRJADE,actvstrat=,1.000000, actvprof=,0.077499, id=,S07, PRDE,actvstrat=,-0.997323, actvprof=,0.005555, id=,S08, PRDE,actvstrat=,-0.254675, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.832105, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.441605, best_B_strat=,0.853220, best_S_id=,S00, best_S_prof=,5.224094, best_S_strat=,1.000000, 
t=,14400, id=,B00, PRDE,actvstrat=,0.453218, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.473831, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.898692, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.512281, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.058532, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.840465, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.059099, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.555209, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.950342, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.334021, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.636922, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.482612, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.758746, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.761570, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.495605, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.789381, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.344958, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.950950, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.170350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.399760, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.453218, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.636922, 
t=,18000, id=,B00, PRDE,actvstrat=,0.453218, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.473831, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.898692, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.512281, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.058532, actvprof=,0.010278, id=,B05, PRDE,actvstrat=,0.840465, actvprof=,0.254448, id=,B06, PRJADE,actvstrat=,0.059099, actvprof=,0.259170, id=,B07, PRJADE,actvstrat=,0.555209, actvprof=,1.197239, id=,B08, PRDE,actvstrat=,0.950342, actvprof=,1.953638, id=,B09, PRDE,actvstrat=,-0.334021, actvprof=,1.875304, id=,S00, PRJADE,actvstrat=,-0.636922, actvprof=,3.763108, id=,S01, PRJADE,actvstrat=,-0.482612, actvprof=,2.701982, id=,S02, PRJADE,actvstrat=,-0.758746, actvprof=,1.507243, id=,S03, PRDE,actvstrat=,-0.761570, actvprof=,0.813345, id=,S04, PRJADE,actvstrat=,-0.495605, actvprof=,0.557508, id=,S05, PRDE,actvstrat=,0.789381, actvprof=,1.161961, id=,S06, PRJADE,actvstrat=,-0.344958, actvprof=,0.050834, id=,S07, PRDE,actvstrat=,0.950950, actvprof=,0.224725, id=,S08, PRDE,actvstrat=,-0.170350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.399760, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.953638, best_B_strat=,0.950342, best_S_id=,S00, best_S_prof=,3.763108, best_S_strat=,-0.636922, 
t=,21600, id=,B00, PRDE,actvstrat=,0.453218, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.473831, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.898692, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.512281, actvprof=,0.000833, id=,B04, PRJADE,actvstrat=,0.058532, actvprof=,0.022778, id=,B05, PRDE,actvstrat=,0.840465, actvprof=,0.249585, id=,B06, PRJADE,actvstrat=,0.059099, actvprof=,0.281113, id=,B07, PRJADE,actvstrat=,0.555209, actvprof=,1.149036, id=,B08, PRDE,actvstrat=,0.950342, actvprof=,2.021681, id=,B09, PRDE,actvstrat=,-0.334021, actvprof=,1.798762, id=,S00, PRJADE,actvstrat=,-0.636922, actvprof=,3.778915, id=,S01, PRJADE,actvstrat=,-0.482612, actvprof=,2.804881, id=,S02, PRJADE,actvstrat=,-0.758746, actvprof=,1.407093, id=,S03, PRDE,actvstrat=,-0.761570, actvprof=,0.787922, id=,S04, PRJADE,actvstrat=,-0.495605, actvprof=,0.506115, id=,S05, PRDE,actvstrat=,0.789381, actvprof=,1.153480, id=,S06, PRJADE,actvstrat=,-0.344958, actvprof=,0.041250, id=,S07, PRDE,actvstrat=,0.950950, actvprof=,0.207918, id=,S08, PRDE,actvstrat=,-0.170350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.399760, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.021681, best_B_strat=,0.950342, best_S_id=,S00, best_S_prof=,3.778915, best_S_strat=,-0.636922, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.998007, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.360805, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.969250, actvprof=,0.025278, id=,B04, PRJADE,actvstrat=,0.521638, actvprof=,0.054724, id=,B05, PRDE,actvstrat=,0.032514, actvprof=,0.133615, id=,B06, PRJADE,actvstrat=,-0.499802, actvprof=,0.309453, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,1.979222, id=,B08, PRDE,actvstrat=,0.358303, actvprof=,2.432012, id=,B09, PRDE,actvstrat=,0.854472, actvprof=,4.062335, id=,S00, PRJADE,actvstrat=,-1.000000, actvprof=,5.605711, id=,S01, PRJADE,actvstrat=,0.229069, actvprof=,3.765660, id=,S02, PRJADE,actvstrat=,0.370288, actvprof=,2.657018, id=,S03, PRDE,actvstrat=,-0.643624, actvprof=,0.511959, id=,S04, PRJADE,actvstrat=,-0.000570, actvprof=,0.644185, id=,S05, PRDE,actvstrat=,-0.781130, actvprof=,0.112781, id=,S06, PRJADE,actvstrat=,-1.000000, actvprof=,0.410845, id=,S07, PRDE,actvstrat=,0.396563, actvprof=,0.065280, id=,S08, PRDE,actvstrat=,-0.776503, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.668285, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.062335, best_B_strat=,0.854472, best_S_id=,S00, best_S_prof=,5.605711, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.998007, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.360805, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.969250, actvprof=,0.024723, id=,B04, PRJADE,actvstrat=,0.521638, actvprof=,0.062223, id=,B05, PRDE,actvstrat=,0.032514, actvprof=,0.123196, id=,B06, PRJADE,actvstrat=,-0.499802, actvprof=,0.256670, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,1.996000, id=,B08, PRDE,actvstrat=,0.358303, actvprof=,2.354199, id=,B09, PRDE,actvstrat=,0.854472, actvprof=,3.975750, id=,S00, PRJADE,actvstrat=,-1.000000, actvprof=,5.631745, id=,S01, PRJADE,actvstrat=,0.229069, actvprof=,3.817831, id=,S02, PRJADE,actvstrat=,0.370288, actvprof=,2.707260, id=,S03, PRDE,actvstrat=,-0.643624, actvprof=,0.525841, id=,S04, PRJADE,actvstrat=,-0.000570, actvprof=,0.653481, id=,S05, PRDE,actvstrat=,-0.781130, actvprof=,0.114585, id=,S06, PRJADE,actvstrat=,-1.000000, actvprof=,0.398061, id=,S07, PRDE,actvstrat=,0.396563, actvprof=,0.054862, id=,S08, PRDE,actvstrat=,-0.776503, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.668285, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.975750, best_B_strat=,0.854472, best_S_id=,S00, best_S_prof=,5.631745, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.285182, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.492785, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.415620, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.803649, actvprof=,0.020834, id=,B04, PRJADE,actvstrat=,-0.709995, actvprof=,0.021390, id=,B05, PRDE,actvstrat=,0.840465, actvprof=,0.365293, id=,B06, PRJADE,actvstrat=,-0.247221, actvprof=,0.199175, id=,B07, PRJADE,actvstrat=,-0.832862, actvprof=,0.575302, id=,B08, PRDE,actvstrat=,0.358303, actvprof=,1.604234, id=,B09, PRDE,actvstrat=,0.855363, actvprof=,2.861230, id=,S00, PRJADE,actvstrat=,-0.532915, actvprof=,3.151520, id=,S01, PRJADE,actvstrat=,0.231427, actvprof=,4.671028, id=,S02, PRJADE,actvstrat=,-0.713590, actvprof=,1.607011, id=,S03, PRDE,actvstrat=,-0.111023, actvprof=,1.438949, id=,S04, PRJADE,actvstrat=,-0.537648, actvprof=,0.483353, id=,S05, PRDE,actvstrat=,0.435878, actvprof=,0.912538, id=,S06, PRJADE,actvstrat=,-0.912262, actvprof=,0.181396, id=,S07, PRDE,actvstrat=,-0.389775, actvprof=,0.014723, id=,S08, PRDE,actvstrat=,0.735320, actvprof=,0.069447, id=,S09, PRDE,actvstrat=,0.865433, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.861230, best_B_strat=,0.855363, best_S_id=,S01, best_S_prof=,4.671028, best_S_strat=,0.231427, 
t=,36000, id=,B00, PRDE,actvstrat=,0.285182, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.492785, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.415620, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.803649, actvprof=,0.016528, id=,B04, PRJADE,actvstrat=,-0.709995, actvprof=,0.020834, id=,B05, PRDE,actvstrat=,0.840465, actvprof=,0.376813, id=,B06, PRJADE,actvstrat=,-0.247221, actvprof=,0.186948, id=,B07, PRJADE,actvstrat=,-0.832862, actvprof=,0.538345, id=,B08, PRDE,actvstrat=,0.358303, actvprof=,1.558782, id=,B09, PRDE,actvstrat=,0.855363, actvprof=,2.852698, id=,S00, PRJADE,actvstrat=,-0.532915, actvprof=,3.355625, id=,S01, PRJADE,actvstrat=,0.231427, actvprof=,4.530650, id=,S02, PRJADE,actvstrat=,-0.713590, actvprof=,1.511281, id=,S03, PRDE,actvstrat=,-0.111023, actvprof=,1.370445, id=,S04, PRJADE,actvstrat=,-0.537648, actvprof=,0.522372, id=,S05, PRDE,actvstrat=,0.435878, actvprof=,0.918214, id=,S06, PRJADE,actvstrat=,-0.912262, actvprof=,0.167503, id=,S07, PRDE,actvstrat=,-0.389775, actvprof=,0.017500, id=,S08, PRDE,actvstrat=,0.735320, actvprof=,0.055279, id=,S09, PRDE,actvstrat=,0.865433, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.852698, best_B_strat=,0.855363, best_S_id=,S01, best_S_prof=,4.530650, best_S_strat=,0.231427, 
