B00, 100
B00, Trade, 620988.000, 60, S00, B00, 1
B00, Trade, 622470.900, 60, B00, S00, 1
B00, Trade, 623960.100, 60, B00, S00, 1
B00, Trade, 683064.100, 60, S00, B00, 1
B00, Trade, 684759.550, 60, B00, S00, 1
B00, Trade, 687085.100, 60, B00, S00, 1
B00, Trade, 689198.950, 60, S00, B00, 1
B00, Trade, 706960.750, 60, B00, S00, 1
B00, Trade, 724169.900, 60, S00, B00, 1
B00, Trade, 729685.500, 60, S00, B00, 1
B00, Trade, 741961.300, 60, S00, B00, 1
B00, Trade, 744647.650, 60, S00, B00, 1
B00, Trade, 749282.600, 60, S00, B00, 1
B00, Trade, 752484.450, 60, S00, B00, 1
B00, Trade, 761792.750, 60, B00, S00, 1
B00, Trade, 792171.000, 60, S00, B00, 1
B00, Trade, 796360.850, 60, B00, S00, 1
B00, Trade, 796966.650, 60, S00, B00, 1
B00, Trade, 798170.150, 60, B00, S00, 1
B00, Trade, 807730.750, 60, S00, B00, 1
B00, Trade, 846202.300, 60, B00, S00, 1
B00, Trade, 847442.500, 60, B00, S00, 1
B00, Trade, 917390.300, 60, S00, B00, 1
B00, Trade, 943445.500, 60, B00, S00, 1
B00, Trade, 943608.450, 60, S00, B00, 1
B00, Trade, 970661.550, 60, B00, S00, 1
B00, Trade, 1132872.400, 60, B00, S00, 1
B00, Trade, 1152025.650, 60, B00, S00, 1
B00, Trade, 1170687.751, 60, S00, B00, 1
B00, Trade, 1302528.551, 60, B00, S00, 1
B00, Trade, 1345374.101, 60, B00, S00, 1
B00, Trade, 1369364.601, 60, B00, S00, 1
B00, Trade, 1372114.651, 60, B00, S00, 1
B00, Trade, 1372627.101, 60, B00, S00, 1
B00, Trade, 1430734.301, 60, B00, S00, 1
B00, Trade, 1533313.701, 60, S00, B00, 1
B00, Trade, 1605447.501, 60, B00, S00, 1
B00, Trade, 1638470.501, 60, B00, S00, 1
B00, Trade, 1708903.801, 60, B00, S00, 1
B00, Trade, 1725611.501, 60, S00, B00, 1
B00, Trade, 1775986.801, 60, S00, B00, 1
B00, Trade, 1865646.701, 60, S00, B00, 1
B00, Trade, 2062863.751, 60, B00, S00, 1
B00, Trade, 2064842.451, 60, B00, S00, 1
B00, Trade, 2463354.000, 60, B00, S00, 1
B00, Trade, 2635607.949, 60, B00, S00, 1
B00, Trade, 2817732.649, 60, B00, S00, 1
B00, Trade, 2819109.949, 60, B00, S00, 1
B00, Trade, 3028100.598, 60, S00, B00, 1
B00, Trade, 3091790.198, 60, S00, B00, 1
B00, Trade, 3238209.797, 60, B00, S00, 1
B00, Trade, 3275138.697, 60, B00, S00, 1
B00, Trade, 3296606.597, 60, S00, B00, 1
B00, Trade, 3297149.947, 60, B00, S00, 1
B00, Trade, 3471715.346, 60, B00, S00, 1
B00, Trade, 3546935.346, 60, B00, S00, 1
B00, Trade, 3760000.845, 60, B00, S00, 1
B00, Trade, 3789174.795, 60, S00, B00, 1
B00, Trade, 3792275.845, 60, B00, S00, 1
B00, Trade, 4069307.194, 60, B00, S00, 1
B00, Trade, 4074721.194, 60, B00, S00, 1
B00, Trade, 4613383.542, 60, S00, B00, 1
B00, Trade, 4764270.391, 60, B00, S00, 1
B00, Trade, 4764430.641, 60, S00, B00, 1
B00, Trade, 4765813.341, 60, B00, S00, 1
B00, Trade, 4824814.091, 60, B00, S00, 1
B00, Trade, 4836030.141, 60, S00, B00, 1
B00, Trade, 4885128.641, 60, S00, B00, 1
B00, Trade, 4907342.791, 60, S00, B00, 1
B00, Trade, 5021574.590, 60, B00, S00, 1
B00, Trade, 5030112.690, 60, S00, B00, 1
B00, Trade, 5067550.390, 60, B00, S00, 1
B00, Trade, 5113735.640, 60, B00, S00, 1
B00, Trade, 5169695.040, 60, S00, B00, 1
B00, Trade, 5453566.789, 60, B00, S00, 1
B00, Trade, 6040987.687, 60, S00, B00, 1
B00, Trade, 6155945.436, 60, B00, S00, 1
B00, Trade, 6628402.134, 60, B00, S00, 1
B00, Trade, 6982495.283, 60, B00, S00, 1
B00, Trade, 6982783.383, 60, B00, S00, 1
B00, Trade, 7119685.583, 60, S00, B00, 1
B00, Trade, 7123956.283, 60, S00, B00, 1
B00, Trade, 7187514.182, 60, S00, B00, 1
B00, Trade, 7200691.632, 60, B00, S00, 1
B00, Trade, 7232173.782, 60, B00, S00, 1
B00, Trade, 7388750.832, 60, S00, B00, 1
B00, Trade, 7486548.481, 60, S00, B00, 1
B00, Trade, 7516058.731, 60, S00, B00, 1
B00, Trade, 7637448.931, 60, B00, S00, 1
B00, Trade, 7723250.230, 60, S00, B00, 1
B00, Trade, 7749147.380, 60, S00, B00, 1
B00, Trade, 7753825.730, 60, B00, S00, 1
B00, Trade, 7814723.580, 60, B00, S00, 1
B00, Trade, 7835962.380, 60, B00, S00, 1
B00, Trade, 8007834.129, 60, B00, S00, 1
B00, Trade, 8294811.628, 60, B00, S00, 1
B00, Trade, 8302332.778, 60, B00, S00, 1
