t=,0, id=,B00, PRDE,actvstrat=,0.183827, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.770756, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.270542, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.992307, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.449696, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.713662, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.054871, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.380495, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.277048, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.364021, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.360963, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.071346, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.710317, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.629321, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.259128, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.041911, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.074930, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.823061, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.520914, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.443470, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.183827, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.360963, 
t=,3600, id=,B00, PRDE,actvstrat=,0.183827, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.770756, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,0.270542, actvprof=,0.002500, id=,B03, PRJADE,actvstrat=,-0.992307, actvprof=,0.045833, id=,B04, PRJADE,actvstrat=,0.449696, actvprof=,0.106387, id=,B05, PRDE,actvstrat=,0.713662, actvprof=,0.581659, id=,B06, PRDE,actvstrat=,-0.054871, actvprof=,0.548603, id=,B07, PRJADE,actvstrat=,-0.380495, actvprof=,0.979153, id=,B08, PRDE,actvstrat=,-0.277048, actvprof=,1.719976, id=,B09, PRJADE,actvstrat=,0.364021, actvprof=,3.609950, id=,S00, PRDE,actvstrat=,0.360963, actvprof=,4.762989, id=,S01, PRJADE,actvstrat=,-0.071346, actvprof=,2.444133, id=,S02, PRDE,actvstrat=,0.710317, actvprof=,3.346620, id=,S03, PRJADE,actvstrat=,-0.629321, actvprof=,0.471382, id=,S04, PRDE,actvstrat=,-0.259128, actvprof=,0.220552, id=,S05, PRDE,actvstrat=,0.041911, actvprof=,0.218886, id=,S06, PRJADE,actvstrat=,-0.074930, actvprof=,0.032500, id=,S07, PRDE,actvstrat=,0.823061, actvprof=,0.112776, id=,S08, PRJADE,actvstrat=,-0.520914, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.443470, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.609950, best_B_strat=,0.364021, best_S_id=,S00, best_S_prof=,4.762989, best_S_strat=,0.360963, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.070438, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.951683, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.070453, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.239794, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.026220, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.378585, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.772126, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.977821, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.221913, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.405555, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.379667, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.716275, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.267148, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.873238, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.304207, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.720197, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.188830, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.070438, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.405555, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.070438, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.951683, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.070453, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-1.000000, actvprof=,0.006666, id=,B04, PRJADE,actvstrat=,0.239794, actvprof=,0.021944, id=,B05, PRDE,actvstrat=,0.026220, actvprof=,0.066387, id=,B06, PRDE,actvstrat=,-0.378585, actvprof=,0.135274, id=,B07, PRJADE,actvstrat=,-0.772126, actvprof=,0.329158, id=,B08, PRDE,actvstrat=,0.977821, actvprof=,2.197439, id=,B09, PRJADE,actvstrat=,0.221913, actvprof=,2.944918, id=,S00, PRDE,actvstrat=,-0.405555, actvprof=,2.414933, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,4.970140, id=,S02, PRDE,actvstrat=,-0.379667, actvprof=,1.036360, id=,S03, PRJADE,actvstrat=,-0.716275, actvprof=,0.445265, id=,S04, PRDE,actvstrat=,-0.267148, actvprof=,0.400822, id=,S05, PRDE,actvstrat=,0.873238, actvprof=,1.592734, id=,S06, PRJADE,actvstrat=,0.304207, actvprof=,0.257493, id=,S07, PRDE,actvstrat=,-0.720197, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.188830, actvprof=,0.002500, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.944918, best_B_strat=,0.221913, best_S_id=,S01, best_S_prof=,4.970140, best_S_strat=,-1.000000, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.006491, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.128484, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.976002, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.389526, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.490616, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.708894, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.815653, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.385627, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.759564, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.685472, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.204140, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.126501, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.232070, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.924693, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.267148, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.195547, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.832938, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.339945, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.737925, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.417271, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.006491, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.204140, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.006491, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.128484, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.976002, actvprof=,0.003056, id=,B03, PRJADE,actvstrat=,-0.389526, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.490616, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,0.708894, actvprof=,0.229444, id=,B06, PRDE,actvstrat=,0.815653, actvprof=,0.695000, id=,B07, PRJADE,actvstrat=,0.385627, actvprof=,0.737222, id=,B08, PRDE,actvstrat=,0.759564, actvprof=,1.795000, id=,B09, PRJADE,actvstrat=,0.685472, actvprof=,2.351667, id=,S00, PRDE,actvstrat=,-0.204140, actvprof=,4.207500, id=,S01, PRJADE,actvstrat=,-0.126501, actvprof=,3.821111, id=,S02, PRDE,actvstrat=,-0.232070, actvprof=,2.261111, id=,S03, PRJADE,actvstrat=,0.924693, actvprof=,4.602778, id=,S04, PRDE,actvstrat=,-0.267148, actvprof=,0.667222, id=,S05, PRDE,actvstrat=,-0.195547, actvprof=,0.263056, id=,S06, PRJADE,actvstrat=,-0.832938, actvprof=,0.012778, id=,S07, PRDE,actvstrat=,0.339945, actvprof=,0.102500, id=,S08, PRJADE,actvstrat=,-0.737925, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.417271, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.351667, best_B_strat=,0.685472, best_S_id=,S03, best_S_prof=,4.602778, best_S_strat=,0.924693, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.006491, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.128484, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.976002, actvprof=,0.001528, id=,B03, PRJADE,actvstrat=,-0.389526, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.490616, actvprof=,0.003472, id=,B05, PRDE,actvstrat=,0.708894, actvprof=,0.215139, id=,B06, PRDE,actvstrat=,0.815653, actvprof=,0.700694, id=,B07, PRJADE,actvstrat=,0.385627, actvprof=,0.764444, id=,B08, PRDE,actvstrat=,0.759564, actvprof=,1.760417, id=,B09, PRJADE,actvstrat=,0.685472, actvprof=,2.388333, id=,S00, PRDE,actvstrat=,-0.204140, actvprof=,4.263750, id=,S01, PRJADE,actvstrat=,-0.126501, actvprof=,3.664861, id=,S02, PRDE,actvstrat=,-0.232070, actvprof=,2.160833, id=,S03, PRJADE,actvstrat=,0.924693, actvprof=,4.512639, id=,S04, PRDE,actvstrat=,-0.267148, actvprof=,0.626667, id=,S05, PRDE,actvstrat=,-0.195547, actvprof=,0.291806, id=,S06, PRJADE,actvstrat=,-0.832938, actvprof=,0.023472, id=,S07, PRDE,actvstrat=,0.339945, actvprof=,0.118750, id=,S08, PRJADE,actvstrat=,-0.737925, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.417271, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.388333, best_B_strat=,0.685472, best_S_id=,S03, best_S_prof=,4.512639, best_S_strat=,0.924693, 
t=,25200, id=,B00, PRDE,actvstrat=,0.155806, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.761518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.829902, actvprof=,0.038058, id=,B03, PRJADE,actvstrat=,-0.754773, actvprof=,0.016112, id=,B04, PRJADE,actvstrat=,-1.000000, actvprof=,1.121451, id=,B05, PRDE,actvstrat=,-0.935947, actvprof=,0.614201, id=,B06, PRDE,actvstrat=,-0.985362, actvprof=,2.108728, id=,B07, PRJADE,actvstrat=,-0.280914, actvprof=,3.169621, id=,B08, PRDE,actvstrat=,-0.041890, actvprof=,5.341130, id=,B09, PRJADE,actvstrat=,0.069111, actvprof=,7.049558, id=,S00, PRDE,actvstrat=,0.879637, actvprof=,4.036613, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,3.126007, id=,S02, PRDE,actvstrat=,0.612065, actvprof=,0.919218, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,0.556420, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.256959, id=,S05, PRDE,actvstrat=,0.758281, actvprof=,0.086671, id=,S06, PRJADE,actvstrat=,-0.245696, actvprof=,0.007223, id=,S07, PRDE,actvstrat=,-0.487624, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.326360, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.160920, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.049558, best_B_strat=,0.069111, best_S_id=,S00, best_S_prof=,4.036613, best_S_strat=,0.879637, 
t=,28800, id=,B00, PRDE,actvstrat=,0.155806, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.761518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.829902, actvprof=,0.030973, id=,B03, PRJADE,actvstrat=,-0.754773, actvprof=,0.031112, id=,B04, PRJADE,actvstrat=,-1.000000, actvprof=,1.101003, id=,B05, PRDE,actvstrat=,-0.935947, actvprof=,0.572794, id=,B06, PRDE,actvstrat=,-0.985362, actvprof=,2.074919, id=,B07, PRJADE,actvstrat=,-0.280914, actvprof=,3.131893, id=,B08, PRDE,actvstrat=,-0.041890, actvprof=,5.283480, id=,B09, PRJADE,actvstrat=,0.069111, actvprof=,6.972971, id=,S00, PRDE,actvstrat=,0.879637, actvprof=,4.160949, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,3.048140, id=,S02, PRDE,actvstrat=,0.612065, actvprof=,0.960582, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,0.661407, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.331120, id=,S05, PRDE,actvstrat=,0.758281, actvprof=,0.093475, id=,S06, PRJADE,actvstrat=,-0.245696, actvprof=,0.008750, id=,S07, PRDE,actvstrat=,-0.487624, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.326360, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.160920, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.972971, best_B_strat=,0.069111, best_S_id=,S00, best_S_prof=,4.160949, best_S_strat=,0.879637, 
t=,32400, id=,B00, PRDE,actvstrat=,0.155806, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.259477, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.570461, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.054391, actvprof=,0.002778, id=,B04, PRJADE,actvstrat=,-0.821638, actvprof=,0.041670, id=,B05, PRDE,actvstrat=,0.300838, actvprof=,0.190569, id=,B06, PRDE,actvstrat=,-0.838570, actvprof=,0.377804, id=,B07, PRJADE,actvstrat=,-0.878853, actvprof=,0.888951, id=,B08, PRDE,actvstrat=,0.143933, actvprof=,1.677894, id=,B09, PRJADE,actvstrat=,0.463753, actvprof=,2.994930, id=,S00, PRDE,actvstrat=,-0.573694, actvprof=,2.149594, id=,S01, PRJADE,actvstrat=,0.180633, actvprof=,3.017987, id=,S02, PRDE,actvstrat=,-0.670265, actvprof=,0.762275, id=,S03, PRJADE,actvstrat=,0.600807, actvprof=,2.453782, id=,S04, PRDE,actvstrat=,-0.123703, actvprof=,0.356414, id=,S05, PRDE,actvstrat=,-0.195547, actvprof=,0.184457, id=,S06, PRJADE,actvstrat=,-0.786583, actvprof=,0.021113, id=,S07, PRDE,actvstrat=,0.635288, actvprof=,0.124453, id=,S08, PRJADE,actvstrat=,-0.372064, actvprof=,0.000556, id=,S09, PRJADE,actvstrat=,0.345456, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.994930, best_B_strat=,0.463753, best_S_id=,S01, best_S_prof=,3.017987, best_S_strat=,0.180633, 
t=,36000, id=,B00, PRDE,actvstrat=,0.155806, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.259477, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.570461, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.054391, actvprof=,0.002639, id=,B04, PRJADE,actvstrat=,-0.821638, actvprof=,0.032362, id=,B05, PRDE,actvstrat=,0.300838, actvprof=,0.206257, id=,B06, PRDE,actvstrat=,-0.838570, actvprof=,0.355985, id=,B07, PRJADE,actvstrat=,-0.878853, actvprof=,0.848363, id=,B08, PRDE,actvstrat=,0.143933, actvprof=,1.734921, id=,B09, PRJADE,actvstrat=,0.463753, actvprof=,3.086357, id=,S00, PRDE,actvstrat=,-0.573694, actvprof=,2.113823, id=,S01, PRJADE,actvstrat=,0.180633, actvprof=,3.202750, id=,S02, PRDE,actvstrat=,-0.670265, actvprof=,0.776694, id=,S03, PRJADE,actvstrat=,0.600807, actvprof=,2.408834, id=,S04, PRDE,actvstrat=,-0.123703, actvprof=,0.365707, id=,S05, PRDE,actvstrat=,-0.195547, actvprof=,0.156394, id=,S06, PRJADE,actvstrat=,-0.786583, actvprof=,0.029862, id=,S07, PRDE,actvstrat=,0.635288, actvprof=,0.104031, id=,S08, PRJADE,actvstrat=,-0.372064, actvprof=,0.001528, id=,S09, PRJADE,actvstrat=,0.345456, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.086357, best_B_strat=,0.463753, best_S_id=,S01, best_S_prof=,3.202750, best_S_strat=,0.180633, 
