t=,1, id=,B00, PRDE,actvstrat=,-0.736531, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.270479, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.661515, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.486434, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.006441, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.893547, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.608673, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.260485, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.607531, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.078190, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.628130, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.753025, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.592957, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.721721, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.446127, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.238012, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.114953, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.622399, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.100590, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.292043, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.736531, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.628130, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.736531, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.270479, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.661515, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.486434, actvprof=,0.016944, id=,B04, PRDE,actvstrat=,0.006441, actvprof=,0.090833, id=,B05, PRJADE,actvstrat=,0.893547, actvprof=,0.727778, id=,B06, PRJADE,actvstrat=,-0.608673, actvprof=,0.449444, id=,B07, PRJADE,actvstrat=,0.260485, actvprof=,1.444444, id=,B08, PRDE,actvstrat=,-0.607531, actvprof=,1.825278, id=,B09, PRDE,actvstrat=,-0.078190, actvprof=,2.807778, id=,S00, PRJADE,actvstrat=,0.628130, actvprof=,6.631944, id=,S01, PRDE,actvstrat=,-0.753025, actvprof=,1.517778, id=,S02, PRDE,actvstrat=,0.592957, actvprof=,3.633056, id=,S03, PRDE,actvstrat=,-0.721721, actvprof=,0.566667, id=,S04, PRJADE,actvstrat=,-0.446127, actvprof=,0.274722, id=,S05, PRJADE,actvstrat=,-0.238012, actvprof=,0.118333, id=,S06, PRJADE,actvstrat=,-0.114953, actvprof=,0.045556, id=,S07, PRJADE,actvstrat=,-0.622399, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.100590, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.292043, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.807778, best_B_strat=,-0.078190, best_S_id=,S00, best_S_prof=,6.631944, best_S_strat=,0.628130, 
t=,7200, id=,B00, PRDE,actvstrat=,0.065497, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.392151, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.961843, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.979562, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.391421, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.228262, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.160112, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.747061, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.138282, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.314682, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.402844, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.756834, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.266194, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.139482, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.351055, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.615175, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.065497, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,10800, id=,B00, PRDE,actvstrat=,0.065497, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.392151, actvprof=,0.004444, id=,B02, PRJADE,actvstrat=,0.961843, actvprof=,0.057778, id=,B03, PRJADE,actvstrat=,-0.979562, actvprof=,0.305000, id=,B04, PRDE,actvstrat=,-0.391421, actvprof=,0.128889, id=,B05, PRJADE,actvstrat=,-0.228262, actvprof=,0.452222, id=,B06, PRJADE,actvstrat=,-0.160112, actvprof=,1.002222, id=,B07, PRJADE,actvstrat=,0.747061, actvprof=,3.243889, id=,B08, PRDE,actvstrat=,0.138282, actvprof=,3.717778, id=,B09, PRDE,actvstrat=,0.314682, actvprof=,5.610556, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,4.852778, id=,S01, PRDE,actvstrat=,-0.402844, actvprof=,1.341944, id=,S02, PRDE,actvstrat=,-0.756834, actvprof=,0.632500, id=,S03, PRDE,actvstrat=,0.266194, actvprof=,0.960278, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,0.660278, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.381389, id=,S06, PRJADE,actvstrat=,-0.139482, actvprof=,0.020833, id=,S07, PRJADE,actvstrat=,1.000000, actvprof=,0.043056, id=,S08, PRDE,actvstrat=,0.351055, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.615175, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.610556, best_B_strat=,0.314682, best_S_id=,S00, best_S_prof=,4.852778, best_S_strat=,1.000000, 
t=,14400, id=,B00, PRDE,actvstrat=,0.975413, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.009279, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.499227, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.570814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.845877, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.073582, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.367030, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.728873, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.187463, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.225989, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.914721, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.603591, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.644431, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.266194, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.351938, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.715296, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.268175, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.036799, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.990055, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.366215, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.975413, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.914721, 
t=,18000, id=,B00, PRDE,actvstrat=,0.975413, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.009279, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.499227, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.570814, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.845877, actvprof=,0.013056, id=,B05, PRJADE,actvstrat=,-0.073582, actvprof=,0.046945, id=,B06, PRJADE,actvstrat=,-0.367030, actvprof=,0.115835, id=,B07, PRJADE,actvstrat=,0.728873, actvprof=,1.204183, id=,B08, PRDE,actvstrat=,0.187463, actvprof=,1.321963, id=,B09, PRDE,actvstrat=,0.225989, actvprof=,2.273643, id=,S00, PRJADE,actvstrat=,-0.914721, actvprof=,1.589189, id=,S01, PRDE,actvstrat=,-0.603591, actvprof=,2.593647, id=,S02, PRDE,actvstrat=,-0.644431, actvprof=,1.513632, id=,S03, PRDE,actvstrat=,0.266194, actvprof=,2.264754, id=,S04, PRJADE,actvstrat=,-0.351938, actvprof=,0.473062, id=,S05, PRJADE,actvstrat=,-0.715296, actvprof=,0.200836, id=,S06, PRJADE,actvstrat=,0.268175, actvprof=,0.189447, id=,S07, PRJADE,actvstrat=,0.036799, actvprof=,0.023611, id=,S08, PRDE,actvstrat=,0.990055, actvprof=,0.020278, id=,S09, PRDE,actvstrat=,-0.366215, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.273643, best_B_strat=,0.225989, best_S_id=,S01, best_S_prof=,2.593647, best_S_strat=,-0.603591, 
t=,21600, id=,B00, PRDE,actvstrat=,0.975413, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.009279, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.499227, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.570814, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.845877, actvprof=,0.008472, id=,B05, PRJADE,actvstrat=,-0.073582, actvprof=,0.059862, id=,B06, PRJADE,actvstrat=,-0.367030, actvprof=,0.117084, id=,B07, PRJADE,actvstrat=,0.728873, actvprof=,1.220564, id=,B08, PRDE,actvstrat=,0.187463, actvprof=,1.342370, id=,B09, PRDE,actvstrat=,0.225989, actvprof=,2.300294, id=,S00, PRJADE,actvstrat=,-0.914721, actvprof=,1.554039, id=,S01, PRDE,actvstrat=,-0.603591, actvprof=,2.641129, id=,S02, PRDE,actvstrat=,-0.644431, actvprof=,1.494871, id=,S03, PRDE,actvstrat=,0.266194, actvprof=,2.261960, id=,S04, PRJADE,actvstrat=,-0.351938, actvprof=,0.512504, id=,S05, PRJADE,actvstrat=,-0.715296, actvprof=,0.151390, id=,S06, PRJADE,actvstrat=,0.268175, actvprof=,0.198196, id=,S07, PRJADE,actvstrat=,0.036799, actvprof=,0.023056, id=,S08, PRDE,actvstrat=,0.990055, actvprof=,0.022917, id=,S09, PRDE,actvstrat=,-0.366215, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.300294, best_B_strat=,0.225989, best_S_id=,S01, best_S_prof=,2.641129, best_S_strat=,-0.603591, 
t=,25200, id=,B00, PRDE,actvstrat=,0.711501, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.006667, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.065002, id=,B03, PRJADE,actvstrat=,-0.535307, actvprof=,0.032501, id=,B04, PRDE,actvstrat=,0.460464, actvprof=,0.494458, id=,B05, PRJADE,actvstrat=,-0.144065, actvprof=,0.532793, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,0.697242, id=,B07, PRJADE,actvstrat=,0.250227, actvprof=,2.118392, id=,B08, PRDE,actvstrat=,0.498833, actvprof=,3.275924, id=,B09, PRDE,actvstrat=,-0.078916, actvprof=,3.450096, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,6.440457, id=,S01, PRDE,actvstrat=,-0.086394, actvprof=,3.089252, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.452040, id=,S03, PRDE,actvstrat=,-0.926647, actvprof=,0.626962, id=,S04, PRJADE,actvstrat=,-0.392122, actvprof=,0.329454, id=,S05, PRJADE,actvstrat=,0.969184, actvprof=,1.111142, id=,S06, PRJADE,actvstrat=,-0.728924, actvprof=,0.016667, id=,S07, PRJADE,actvstrat=,0.217889, actvprof=,0.043335, id=,S08, PRDE,actvstrat=,0.060872, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-0.198069, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.450096, best_B_strat=,-0.078916, best_S_id=,S00, best_S_prof=,6.440457, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.711501, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.005833, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.063890, id=,B03, PRJADE,actvstrat=,-0.535307, actvprof=,0.041251, id=,B04, PRDE,actvstrat=,0.460464, actvprof=,0.483201, id=,B05, PRJADE,actvstrat=,-0.144065, actvprof=,0.546813, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,0.679315, id=,B07, PRJADE,actvstrat=,0.250227, actvprof=,2.193364, id=,B08, PRDE,actvstrat=,0.498833, actvprof=,3.301713, id=,B09, PRDE,actvstrat=,-0.078916, actvprof=,3.616300, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,6.344949, id=,S01, PRDE,actvstrat=,-0.086394, actvprof=,3.236851, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.403242, id=,S03, PRDE,actvstrat=,-0.926647, actvprof=,0.587508, id=,S04, PRJADE,actvstrat=,-0.392122, actvprof=,0.352088, id=,S05, PRJADE,actvstrat=,0.969184, actvprof=,1.099599, id=,S06, PRJADE,actvstrat=,-0.728924, actvprof=,0.017361, id=,S07, PRJADE,actvstrat=,0.217889, actvprof=,0.036945, id=,S08, PRDE,actvstrat=,0.060872, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,-0.198069, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.616300, best_B_strat=,-0.078916, best_S_id=,S00, best_S_prof=,6.344949, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.196937, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.193528, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.431575, actvprof=,0.015001, id=,B03, PRJADE,actvstrat=,-0.688243, actvprof=,0.048891, id=,B04, PRDE,actvstrat=,-0.316040, actvprof=,0.090559, id=,B05, PRJADE,actvstrat=,0.852995, actvprof=,0.746420, id=,B06, PRJADE,actvstrat=,-0.457886, actvprof=,0.545300, id=,B07, PRJADE,actvstrat=,0.652165, actvprof=,2.055919, id=,B08, PRDE,actvstrat=,-0.710724, actvprof=,2.047585, id=,B09, PRDE,actvstrat=,0.865356, actvprof=,3.960721, id=,S00, PRJADE,actvstrat=,0.617530, actvprof=,6.209981, id=,S01, PRDE,actvstrat=,0.132541, actvprof=,3.286248, id=,S02, PRDE,actvstrat=,-0.203207, actvprof=,1.586455, id=,S03, PRDE,actvstrat=,-0.844826, actvprof=,0.630304, id=,S04, PRJADE,actvstrat=,0.114957, actvprof=,0.752254, id=,S05, PRJADE,actvstrat=,0.847625, actvprof=,1.090045, id=,S06, PRJADE,actvstrat=,0.644054, actvprof=,0.299457, id=,S07, PRJADE,actvstrat=,0.306190, actvprof=,0.053058, id=,S08, PRDE,actvstrat=,-0.053672, actvprof=,0.005278, id=,S09, PRDE,actvstrat=,0.140311, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.960721, best_B_strat=,0.865356, best_S_id=,S00, best_S_prof=,6.209981, best_S_strat=,0.617530, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.196937, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.193528, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.431575, actvprof=,0.013889, id=,B03, PRJADE,actvstrat=,-0.688243, actvprof=,0.039445, id=,B04, PRDE,actvstrat=,-0.316040, actvprof=,0.089724, id=,B05, PRJADE,actvstrat=,0.852995, actvprof=,0.791266, id=,B06, PRJADE,actvstrat=,-0.457886, actvprof=,0.538761, id=,B07, PRJADE,actvstrat=,0.652165, actvprof=,2.077265, id=,B08, PRDE,actvstrat=,-0.710724, actvprof=,1.957957, id=,B09, PRDE,actvstrat=,0.865356, actvprof=,3.927860, id=,S00, PRJADE,actvstrat=,0.617530, actvprof=,6.109850, id=,S01, PRDE,actvstrat=,0.132541, actvprof=,3.394098, id=,S02, PRDE,actvstrat=,-0.203207, actvprof=,1.506004, id=,S03, PRDE,actvstrat=,-0.844826, actvprof=,0.553484, id=,S04, PRJADE,actvstrat=,0.114957, actvprof=,0.746404, id=,S05, PRJADE,actvstrat=,0.847625, actvprof=,1.162663, id=,S06, PRJADE,actvstrat=,0.644054, actvprof=,0.316118, id=,S07, PRJADE,actvstrat=,0.306190, actvprof=,0.053334, id=,S08, PRDE,actvstrat=,-0.053672, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,0.140311, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.927860, best_B_strat=,0.865356, best_S_id=,S00, best_S_prof=,6.109850, best_S_strat=,0.617530, 
