t=,1, id=,B00, PRDE,actvstrat=,-0.314787, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.284142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.054085, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.638590, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.345355, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.926540, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.738502, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.370461, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.220773, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.401181, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.829063, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.700654, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.029017, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.192001, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.457056, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.330856, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.595516, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.823145, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.356636, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.019551, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.314787, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.829063, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.314787, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.284142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.054085, actvprof=,0.000833, id=,B03, PRJADE,actvstrat=,-0.638590, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.345355, actvprof=,0.015556, id=,B05, PRJADE,actvstrat=,0.926540, actvprof=,0.247222, id=,B06, PRDE,actvstrat=,0.738502, actvprof=,0.590000, id=,B07, PRJADE,actvstrat=,-0.370461, actvprof=,0.356944, id=,B08, PRJADE,actvstrat=,0.220773, actvprof=,1.291944, id=,B09, PRJADE,actvstrat=,-0.401181, actvprof=,1.311667, id=,S00, PRDE,actvstrat=,-0.829063, actvprof=,0.631389, id=,S01, PRDE,actvstrat=,0.700654, actvprof=,5.608889, id=,S02, PRJADE,actvstrat=,-0.029017, actvprof=,1.901389, id=,S03, PRJADE,actvstrat=,-0.192001, actvprof=,0.480000, id=,S04, PRDE,actvstrat=,-0.457056, actvprof=,0.176389, id=,S05, PRJADE,actvstrat=,0.330856, actvprof=,0.333056, id=,S06, PRDE,actvstrat=,-0.595516, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.823145, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.356636, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.019551, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.311667, best_B_strat=,-0.401181, best_S_id=,S01, best_S_prof=,5.608889, best_S_strat=,0.700654, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.139766, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.162024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.750809, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.538500, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.942688, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.840910, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.577088, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.125544, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.432885, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.228571, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.793528, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.150354, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.719040, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.148836, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.442574, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.830622, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.033596, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.139766, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.228571, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.139766, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.162024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.750809, actvprof=,0.004444, id=,B03, PRJADE,actvstrat=,-0.538500, actvprof=,0.024166, id=,B04, PRDE,actvstrat=,-0.942688, actvprof=,0.214719, id=,B05, PRJADE,actvstrat=,0.840910, actvprof=,0.656935, id=,B06, PRDE,actvstrat=,-0.577088, actvprof=,0.348328, id=,B07, PRJADE,actvstrat=,-0.125544, actvprof=,0.892765, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,1.378870, id=,B09, PRJADE,actvstrat=,-0.432885, actvprof=,1.985250, id=,S00, PRDE,actvstrat=,0.228571, actvprof=,4.985486, id=,S01, PRDE,actvstrat=,0.793528, actvprof=,5.811586, id=,S02, PRJADE,actvstrat=,-0.150354, actvprof=,1.042208, id=,S03, PRJADE,actvstrat=,-1.000000, actvprof=,2.035250, id=,S04, PRDE,actvstrat=,-0.719040, actvprof=,0.208053, id=,S05, PRJADE,actvstrat=,-0.148836, actvprof=,0.197775, id=,S06, PRDE,actvstrat=,0.442574, actvprof=,0.308885, id=,S07, PRDE,actvstrat=,-0.830622, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.033596, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.985250, best_B_strat=,-0.432885, best_S_id=,S01, best_S_prof=,5.811586, best_S_strat=,0.793528, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.648294, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.579890, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.197816, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.284291, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.983508, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.220666, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.860136, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.976406, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.621530, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.361096, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.018746, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.522995, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.693858, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.704877, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.488236, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.277685, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.345561, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.331861, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.048919, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.283303, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.648294, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.018746, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.648294, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.579890, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.197816, actvprof=,0.002222, id=,B03, PRJADE,actvstrat=,-0.284291, actvprof=,0.009722, id=,B04, PRDE,actvstrat=,0.983508, actvprof=,0.103890, id=,B05, PRJADE,actvstrat=,0.220666, actvprof=,0.208614, id=,B06, PRDE,actvstrat=,0.860136, actvprof=,1.224739, id=,B07, PRJADE,actvstrat=,-0.976406, actvprof=,1.928916, id=,B08, PRJADE,actvstrat=,-0.621530, actvprof=,1.653079, id=,B09, PRJADE,actvstrat=,-0.361096, actvprof=,2.770038, id=,S00, PRDE,actvstrat=,0.018746, actvprof=,3.700607, id=,S01, PRDE,actvstrat=,0.522995, actvprof=,4.028667, id=,S02, PRJADE,actvstrat=,0.693858, actvprof=,3.073376, id=,S03, PRJADE,actvstrat=,0.704877, actvprof=,1.871137, id=,S04, PRDE,actvstrat=,0.488236, actvprof=,0.539452, id=,S05, PRJADE,actvstrat=,0.277685, actvprof=,0.110557, id=,S06, PRDE,actvstrat=,0.345561, actvprof=,0.022500, id=,S07, PRDE,actvstrat=,-0.331861, actvprof=,0.001944, id=,S08, PRJADE,actvstrat=,-0.048919, actvprof=,0.000833, id=,S09, PRJADE,actvstrat=,0.283303, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.770038, best_B_strat=,-0.361096, best_S_id=,S01, best_S_prof=,4.028667, best_S_strat=,0.522995, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.648294, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.579890, actvprof=,0.000417, id=,B02, PRDE,actvstrat=,-0.197816, actvprof=,0.001111, id=,B03, PRJADE,actvstrat=,-0.284291, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,0.983508, actvprof=,0.102362, id=,B05, PRJADE,actvstrat=,0.220666, actvprof=,0.264446, id=,B06, PRDE,actvstrat=,0.860136, actvprof=,1.157091, id=,B07, PRJADE,actvstrat=,-0.976406, actvprof=,1.886958, id=,B08, PRJADE,actvstrat=,-0.621530, actvprof=,1.707512, id=,B09, PRJADE,actvstrat=,-0.361096, actvprof=,2.711963, id=,S00, PRDE,actvstrat=,0.018746, actvprof=,3.562108, id=,S01, PRDE,actvstrat=,0.522995, actvprof=,4.035306, id=,S02, PRJADE,actvstrat=,0.693858, actvprof=,3.182661, id=,S03, PRJADE,actvstrat=,0.704877, actvprof=,1.893902, id=,S04, PRDE,actvstrat=,0.488236, actvprof=,0.535698, id=,S05, PRJADE,actvstrat=,0.277685, actvprof=,0.119167, id=,S06, PRDE,actvstrat=,0.345561, actvprof=,0.024722, id=,S07, PRDE,actvstrat=,-0.331861, actvprof=,0.000972, id=,S08, PRJADE,actvstrat=,-0.048919, actvprof=,0.000417, id=,S09, PRJADE,actvstrat=,0.283303, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.711963, best_B_strat=,-0.361096, best_S_id=,S01, best_S_prof=,4.035306, best_S_strat=,0.522995, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,B03, PRJADE,actvstrat=,-1.000000, actvprof=,0.053056, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.230837, id=,B05, PRJADE,actvstrat=,-0.127224, actvprof=,0.091390, id=,B06, PRDE,actvstrat=,0.121974, actvprof=,0.453340, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,2.694760, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,2.648092, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,3.925055, id=,S00, PRDE,actvstrat=,0.038194, actvprof=,3.500049, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.307018, id=,S02, PRJADE,actvstrat=,-0.210572, actvprof=,1.035570, id=,S03, PRJADE,actvstrat=,-0.873457, actvprof=,0.156947, id=,S04, PRDE,actvstrat=,-0.514893, actvprof=,0.173614, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,1.066959, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.810845, id=,S07, PRDE,actvstrat=,-0.380315, actvprof=,0.006111, id=,S08, PRJADE,actvstrat=,-1.000000, actvprof=,0.039167, id=,S09, PRJADE,actvstrat=,0.236410, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.925055, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.307018, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,B03, PRJADE,actvstrat=,-1.000000, actvprof=,0.050973, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.252087, id=,B05, PRJADE,actvstrat=,-0.127224, actvprof=,0.100140, id=,B06, PRDE,actvstrat=,0.121974, actvprof=,0.461673, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,2.755733, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,2.649203, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,3.945610, id=,S00, PRDE,actvstrat=,0.038194, actvprof=,3.557411, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.313824, id=,S02, PRJADE,actvstrat=,-0.210572, actvprof=,0.967652, id=,S03, PRJADE,actvstrat=,-0.873457, actvprof=,0.200003, id=,S04, PRDE,actvstrat=,-0.514893, actvprof=,0.154308, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,1.055292, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.781122, id=,S07, PRDE,actvstrat=,-0.380315, actvprof=,0.010000, id=,S08, PRJADE,actvstrat=,-1.000000, actvprof=,0.034862, id=,S09, PRJADE,actvstrat=,0.236410, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.945610, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.313824, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.611922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.037202, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,-0.136426, actvprof=,0.018056, id=,B03, PRJADE,actvstrat=,0.480914, actvprof=,0.203897, id=,B04, PRDE,actvstrat=,0.550417, actvprof=,0.643360, id=,B05, PRJADE,actvstrat=,0.074143, actvprof=,0.862258, id=,B06, PRDE,actvstrat=,0.360101, actvprof=,1.652291, id=,B07, PRJADE,actvstrat=,0.152317, actvprof=,2.238149, id=,B08, PRJADE,actvstrat=,-0.257626, actvprof=,2.788450, id=,B09, PRJADE,actvstrat=,0.949816, actvprof=,3.985722, id=,S00, PRDE,actvstrat=,0.948608, actvprof=,5.404392, id=,S01, PRDE,actvstrat=,0.793528, actvprof=,4.755476, id=,S02, PRJADE,actvstrat=,0.639655, actvprof=,2.640666, id=,S03, PRJADE,actvstrat=,-0.785828, actvprof=,0.189175, id=,S04, PRDE,actvstrat=,0.508985, actvprof=,0.791977, id=,S05, PRJADE,actvstrat=,0.384293, actvprof=,0.317513, id=,S06, PRDE,actvstrat=,0.937124, actvprof=,0.855313, id=,S07, PRDE,actvstrat=,-0.672677, actvprof=,0.002500, id=,S08, PRJADE,actvstrat=,0.252220, actvprof=,0.010556, id=,S09, PRJADE,actvstrat=,0.633028, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.985722, best_B_strat=,0.949816, best_S_id=,S00, best_S_prof=,5.404392, best_S_strat=,0.948608, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.611922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.037202, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,-0.136426, actvprof=,0.015417, id=,B03, PRJADE,actvstrat=,0.480914, actvprof=,0.221673, id=,B04, PRDE,actvstrat=,0.550417, actvprof=,0.645712, id=,B05, PRJADE,actvstrat=,0.074143, actvprof=,0.845857, id=,B06, PRDE,actvstrat=,0.360101, actvprof=,1.623101, id=,B07, PRJADE,actvstrat=,0.152317, actvprof=,2.280758, id=,B08, PRJADE,actvstrat=,-0.257626, actvprof=,2.839523, id=,B09, PRJADE,actvstrat=,0.949816, actvprof=,3.929137, id=,S00, PRDE,actvstrat=,0.948608, actvprof=,5.437095, id=,S01, PRDE,actvstrat=,0.793528, actvprof=,4.677769, id=,S02, PRJADE,actvstrat=,0.639655, actvprof=,2.746187, id=,S03, PRJADE,actvstrat=,-0.785828, actvprof=,0.220978, id=,S04, PRDE,actvstrat=,0.508985, actvprof=,0.806550, id=,S05, PRJADE,actvstrat=,0.384293, actvprof=,0.337093, id=,S06, PRDE,actvstrat=,0.937124, actvprof=,0.831134, id=,S07, PRDE,actvstrat=,-0.672677, actvprof=,0.005556, id=,S08, PRJADE,actvstrat=,0.252220, actvprof=,0.009861, id=,S09, PRJADE,actvstrat=,0.633028, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.929137, best_B_strat=,0.949816, best_S_id=,S00, best_S_prof=,5.437095, best_S_strat=,0.948608, 
