t=,0, id=,B00, PRDE,actvstrat=,0.267443, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.369395, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.981183, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.455525, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.718819, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.819978, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.144505, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.968086, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.389783, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.823773, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.671372, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.999131, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.276583, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.642753, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.216024, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.268579, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.921717, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.143234, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.557210, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.253810, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.267443, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.671372, 
t=,3600, id=,B00, PRDE,actvstrat=,0.267443, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.369395, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.981183, actvprof=,0.001944, id=,B03, PRJADE,actvstrat=,0.455525, actvprof=,0.010833, id=,B04, PRJADE,actvstrat=,0.718819, actvprof=,0.123333, id=,B05, PRJADE,actvstrat=,-0.819978, actvprof=,0.287500, id=,B06, PRDE,actvstrat=,-0.144505, actvprof=,0.215278, id=,B07, PRDE,actvstrat=,0.968086, actvprof=,0.575000, id=,B08, PRDE,actvstrat=,0.389783, actvprof=,1.458889, id=,B09, PRJADE,actvstrat=,-0.823773, actvprof=,2.234444, id=,S00, PRJADE,actvstrat=,-0.671372, actvprof=,2.566944, id=,S01, PRDE,actvstrat=,0.999131, actvprof=,6.901944, id=,S02, PRJADE,actvstrat=,-0.276583, actvprof=,1.412500, id=,S03, PRJADE,actvstrat=,-0.642753, actvprof=,0.546944, id=,S04, PRJADE,actvstrat=,-0.216024, actvprof=,0.415833, id=,S05, PRDE,actvstrat=,0.268579, actvprof=,0.574722, id=,S06, PRDE,actvstrat=,-0.921717, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.143234, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.557210, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.253810, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.234444, best_B_strat=,-0.823773, best_S_id=,S01, best_S_prof=,6.901944, best_S_strat=,0.999131, 
t=,7200, id=,B00, PRDE,actvstrat=,0.383533, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.572912, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.358400, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.965982, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.416331, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.886952, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.656668, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.899366, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.107471, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.059608, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.177606, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.190716, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.657277, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.976974, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.846833, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.883386, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.383533, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.107471, 
t=,10800, id=,B00, PRDE,actvstrat=,0.383533, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.572912, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRJADE,actvstrat=,0.358400, actvprof=,0.005000, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.044444, id=,B05, PRJADE,actvstrat=,0.965982, actvprof=,0.280274, id=,B06, PRDE,actvstrat=,0.416331, actvprof=,0.438883, id=,B07, PRDE,actvstrat=,-0.886952, actvprof=,0.711379, id=,B08, PRDE,actvstrat=,0.656668, actvprof=,2.565798, id=,B09, PRJADE,actvstrat=,-0.899366, actvprof=,2.088304, id=,S00, PRJADE,actvstrat=,-0.107471, actvprof=,2.575520, id=,S01, PRDE,actvstrat=,0.059608, actvprof=,3.071346, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,4.385772, id=,S03, PRJADE,actvstrat=,-0.177606, actvprof=,0.328607, id=,S04, PRJADE,actvstrat=,0.190716, actvprof=,0.342217, id=,S05, PRDE,actvstrat=,-0.657277, actvprof=,0.044166, id=,S06, PRDE,actvstrat=,0.976974, actvprof=,0.344995, id=,S07, PRDE,actvstrat=,0.846833, actvprof=,0.011944, id=,S08, PRDE,actvstrat=,-0.883386, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.565798, best_B_strat=,0.656668, best_S_id=,S02, best_S_prof=,4.385772, best_S_strat=,1.000000, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.813092, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.333005, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.570908, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.047246, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.554538, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.691761, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.690331, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.624137, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.656668, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.461165, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.214533, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.495985, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.545242, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.851283, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.209381, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.268579, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.435967, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.810887, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.281383, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.754731, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.813092, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.214533, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.813092, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.333005, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.570908, actvprof=,0.001389, id=,B03, PRJADE,actvstrat=,0.047246, actvprof=,0.002778, id=,B04, PRJADE,actvstrat=,-0.554538, actvprof=,0.004167, id=,B05, PRJADE,actvstrat=,-0.691761, actvprof=,0.146389, id=,B06, PRDE,actvstrat=,0.690331, actvprof=,0.549444, id=,B07, PRDE,actvstrat=,0.624137, actvprof=,0.932222, id=,B08, PRDE,actvstrat=,0.656668, actvprof=,1.787778, id=,B09, PRJADE,actvstrat=,0.461165, actvprof=,2.205000, id=,S00, PRJADE,actvstrat=,-0.214533, actvprof=,3.777222, id=,S01, PRDE,actvstrat=,0.495985, actvprof=,5.611667, id=,S02, PRJADE,actvstrat=,-0.545242, actvprof=,1.375278, id=,S03, PRJADE,actvstrat=,-0.851283, actvprof=,0.180833, id=,S04, PRJADE,actvstrat=,0.209381, actvprof=,1.195833, id=,S05, PRDE,actvstrat=,0.268579, actvprof=,0.748611, id=,S06, PRDE,actvstrat=,-0.435967, actvprof=,0.034722, id=,S07, PRDE,actvstrat=,-0.810887, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.281383, actvprof=,0.000556, id=,S09, PRJADE,actvstrat=,-0.754731, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.205000, best_B_strat=,0.461165, best_S_id=,S01, best_S_prof=,5.611667, best_S_strat=,0.495985, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.813092, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.333005, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.570908, actvprof=,0.003056, id=,B03, PRJADE,actvstrat=,0.047246, actvprof=,0.002500, id=,B04, PRJADE,actvstrat=,-0.554538, actvprof=,0.006389, id=,B05, PRJADE,actvstrat=,-0.691761, actvprof=,0.119167, id=,B06, PRDE,actvstrat=,0.690331, actvprof=,0.519167, id=,B07, PRDE,actvstrat=,0.624137, actvprof=,0.957639, id=,B08, PRDE,actvstrat=,0.656668, actvprof=,1.666389, id=,B09, PRJADE,actvstrat=,0.461165, actvprof=,2.207083, id=,S00, PRJADE,actvstrat=,-0.214533, actvprof=,3.859167, id=,S01, PRDE,actvstrat=,0.495985, actvprof=,5.567083, id=,S02, PRJADE,actvstrat=,-0.545242, actvprof=,1.353194, id=,S03, PRJADE,actvstrat=,-0.851283, actvprof=,0.221528, id=,S04, PRJADE,actvstrat=,0.209381, actvprof=,1.305556, id=,S05, PRDE,actvstrat=,0.268579, actvprof=,0.778194, id=,S06, PRDE,actvstrat=,-0.435967, actvprof=,0.041944, id=,S07, PRDE,actvstrat=,-0.810887, actvprof=,0.005417, id=,S08, PRDE,actvstrat=,-0.281383, actvprof=,0.000972, id=,S09, PRJADE,actvstrat=,-0.754731, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.207083, best_B_strat=,0.461165, best_S_id=,S01, best_S_prof=,5.567083, best_S_strat=,0.495985, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.001944, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.051945, id=,B05, PRJADE,actvstrat=,0.446362, actvprof=,0.212781, id=,B06, PRDE,actvstrat=,0.200616, actvprof=,0.728621, id=,B07, PRDE,actvstrat=,-0.141792, actvprof=,1.218628, id=,B08, PRDE,actvstrat=,-0.987035, actvprof=,2.827539, id=,B09, PRJADE,actvstrat=,0.899366, actvprof=,5.901193, id=,S00, PRJADE,actvstrat=,-0.302602, actvprof=,1.565577, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.645342, id=,S02, PRJADE,actvstrat=,-0.640758, actvprof=,0.275282, id=,S03, PRJADE,actvstrat=,0.917156, actvprof=,2.129474, id=,S04, PRJADE,actvstrat=,0.218003, actvprof=,0.165280, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.304449, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.143613, id=,S07, PRDE,actvstrat=,-0.672949, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.901193, best_B_strat=,0.899366, best_S_id=,S01, best_S_prof=,4.645342, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.000972, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.049723, id=,B05, PRJADE,actvstrat=,0.446362, actvprof=,0.208057, id=,B06, PRDE,actvstrat=,0.200616, actvprof=,0.721949, id=,B07, PRDE,actvstrat=,-0.141792, actvprof=,1.179036, id=,B08, PRDE,actvstrat=,-0.987035, actvprof=,2.883076, id=,B09, PRJADE,actvstrat=,0.899366, actvprof=,5.836152, id=,S00, PRJADE,actvstrat=,-0.302602, actvprof=,1.631261, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.637810, id=,S02, PRJADE,actvstrat=,-0.640758, actvprof=,0.319169, id=,S03, PRJADE,actvstrat=,0.917156, actvprof=,2.078209, id=,S04, PRJADE,actvstrat=,0.218003, actvprof=,0.169723, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.310697, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.137501, id=,S07, PRDE,actvstrat=,-0.672949, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.004028, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.836152, best_B_strat=,0.899366, best_S_id=,S01, best_S_prof=,4.637810, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.708483, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.585627, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.058794, actvprof=,0.001111, id=,B03, PRJADE,actvstrat=,-0.466633, actvprof=,0.009722, id=,B04, PRJADE,actvstrat=,0.304983, actvprof=,0.109725, id=,B05, PRJADE,actvstrat=,-0.666420, actvprof=,0.165005, id=,B06, PRDE,actvstrat=,0.557762, actvprof=,1.008084, id=,B07, PRDE,actvstrat=,-0.141792, actvprof=,1.116142, id=,B08, PRDE,actvstrat=,0.445189, actvprof=,2.418401, id=,B09, PRJADE,actvstrat=,-0.809154, actvprof=,2.670630, id=,S00, PRJADE,actvstrat=,-0.392783, actvprof=,1.916720, id=,S01, PRDE,actvstrat=,-0.010264, actvprof=,2.372010, id=,S02, PRJADE,actvstrat=,0.868547, actvprof=,3.812328, id=,S03, PRJADE,actvstrat=,-0.792579, actvprof=,0.140837, id=,S04, PRJADE,actvstrat=,0.252652, actvprof=,0.618073, id=,S05, PRDE,actvstrat=,-0.070531, actvprof=,0.089447, id=,S06, PRDE,actvstrat=,-0.938477, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,0.760998, actvprof=,0.025556, id=,S08, PRDE,actvstrat=,-0.218052, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.602661, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.670630, best_B_strat=,-0.809154, best_S_id=,S02, best_S_prof=,3.812328, best_S_strat=,0.868547, 
t=,36000, id=,B00, PRDE,actvstrat=,0.708483, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.585627, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.058794, actvprof=,0.000556, id=,B03, PRJADE,actvstrat=,-0.466633, actvprof=,0.011389, id=,B04, PRJADE,actvstrat=,0.304983, actvprof=,0.105557, id=,B05, PRJADE,actvstrat=,-0.666420, actvprof=,0.152919, id=,B06, PRDE,actvstrat=,0.557762, actvprof=,1.017792, id=,B07, PRDE,actvstrat=,-0.141792, actvprof=,1.067237, id=,B08, PRDE,actvstrat=,0.445189, actvprof=,2.447951, id=,B09, PRJADE,actvstrat=,-0.809154, actvprof=,2.429339, id=,S00, PRJADE,actvstrat=,-0.392783, actvprof=,1.904749, id=,S01, PRDE,actvstrat=,-0.010264, actvprof=,2.395728, id=,S02, PRJADE,actvstrat=,0.868547, actvprof=,3.886860, id=,S03, PRJADE,actvstrat=,-0.792579, actvprof=,0.136252, id=,S04, PRJADE,actvstrat=,0.252652, actvprof=,0.601814, id=,S05, PRDE,actvstrat=,-0.070531, actvprof=,0.092501, id=,S06, PRDE,actvstrat=,-0.938477, actvprof=,0.006945, id=,S07, PRDE,actvstrat=,0.760998, actvprof=,0.028750, id=,S08, PRDE,actvstrat=,-0.218052, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.602661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.447951, best_B_strat=,0.445189, best_S_id=,S02, best_S_prof=,3.886860, best_S_strat=,0.868547, 
