t=,0, id=,B00, PRDE,actvstrat=,-0.200567, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.851083, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.578781, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.427799, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.772056, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.328204, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.930502, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.553856, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.093587, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.992475, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.476559, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.705811, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.980744, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.623948, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.447344, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.784328, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.296149, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.630614, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.416676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.990488, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.200567, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.476559, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.200567, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.851083, actvprof=,0.001111, id=,B02, PRJADE,actvstrat=,0.578781, actvprof=,0.002222, id=,B03, PRJADE,actvstrat=,0.427799, actvprof=,0.036111, id=,B04, PRJADE,actvstrat=,0.772056, actvprof=,0.298611, id=,B05, PRDE,actvstrat=,-0.328204, actvprof=,0.165000, id=,B06, PRDE,actvstrat=,0.930502, actvprof=,0.917778, id=,B07, PRDE,actvstrat=,0.553856, actvprof=,1.423056, id=,B08, PRDE,actvstrat=,0.093587, actvprof=,1.820000, id=,B09, PRJADE,actvstrat=,-0.992475, actvprof=,3.991389, id=,S00, PRDE,actvstrat=,0.476559, actvprof=,5.721667, id=,S01, PRJADE,actvstrat=,-0.705811, actvprof=,1.096389, id=,S02, PRJADE,actvstrat=,0.980744, actvprof=,4.560000, id=,S03, PRDE,actvstrat=,-0.623948, actvprof=,0.402222, id=,S04, PRDE,actvstrat=,0.447344, actvprof=,0.952222, id=,S05, PRJADE,actvstrat=,0.784328, actvprof=,0.737222, id=,S06, PRJADE,actvstrat=,0.296149, actvprof=,0.065278, id=,S07, PRJADE,actvstrat=,0.630614, actvprof=,0.015278, id=,S08, PRDE,actvstrat=,-0.416676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.990488, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.991389, best_B_strat=,-0.992475, best_S_id=,S00, best_S_prof=,5.721667, best_S_strat=,0.476559, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.183561, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.663984, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.035026, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.802917, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.809112, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.600507, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.136181, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.968911, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.548240, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.623791, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.300376, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.486094, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.737376, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.360405, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.540628, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.121621, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.086514, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.375008, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.183561, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.623791, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.183561, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.663984, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.035026, actvprof=,0.006389, id=,B04, PRJADE,actvstrat=,0.802917, actvprof=,0.112776, id=,B05, PRDE,actvstrat=,0.809112, actvprof=,0.432494, id=,B06, PRDE,actvstrat=,-0.600507, actvprof=,0.249441, id=,B07, PRDE,actvstrat=,0.136181, actvprof=,1.059152, id=,B08, PRDE,actvstrat=,0.968911, actvprof=,1.829697, id=,B09, PRJADE,actvstrat=,0.548240, actvprof=,3.371064, id=,S00, PRDE,actvstrat=,-0.623791, actvprof=,2.386078, id=,S01, PRJADE,actvstrat=,0.300376, actvprof=,4.060221, id=,S02, PRJADE,actvstrat=,-1.000000, actvprof=,3.540229, id=,S03, PRDE,actvstrat=,0.486094, actvprof=,2.499410, id=,S04, PRDE,actvstrat=,0.737376, actvprof=,2.148303, id=,S05, PRJADE,actvstrat=,0.360405, actvprof=,0.708323, id=,S06, PRJADE,actvstrat=,-0.540628, actvprof=,0.013611, id=,S07, PRJADE,actvstrat=,0.121621, actvprof=,0.035555, id=,S08, PRDE,actvstrat=,0.086514, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,0.375008, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.371064, best_B_strat=,0.548240, best_S_id=,S01, best_S_prof=,4.060221, best_S_strat=,0.300376, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.029155, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.456602, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.228381, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.030668, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.416178, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.150161, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.930502, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.227669, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.584067, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.045593, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.745736, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.103226, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.065359, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.904046, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.653575, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.111880, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.040591, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.682362, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.983240, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.927749, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.029155, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.745736, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.029155, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.456602, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.228381, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.030668, actvprof=,0.006944, id=,B04, PRJADE,actvstrat=,-0.416178, actvprof=,0.010000, id=,B05, PRDE,actvstrat=,-0.150161, actvprof=,0.039166, id=,B06, PRDE,actvstrat=,0.930502, actvprof=,0.519715, id=,B07, PRDE,actvstrat=,0.227669, actvprof=,0.483049, id=,B08, PRDE,actvstrat=,0.584067, actvprof=,1.423869, id=,B09, PRJADE,actvstrat=,-0.045593, actvprof=,1.465535, id=,S00, PRDE,actvstrat=,-0.745736, actvprof=,1.847752, id=,S01, PRJADE,actvstrat=,0.103226, actvprof=,4.096888, id=,S02, PRJADE,actvstrat=,-0.065359, actvprof=,1.899974, id=,S03, PRDE,actvstrat=,-0.904046, actvprof=,0.106387, id=,S04, PRDE,actvstrat=,0.653575, actvprof=,1.941917, id=,S05, PRJADE,actvstrat=,-0.111880, actvprof=,0.181942, id=,S06, PRJADE,actvstrat=,0.040591, actvprof=,0.127776, id=,S07, PRJADE,actvstrat=,-0.682362, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.983240, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,-0.927749, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.465535, best_B_strat=,-0.045593, best_S_id=,S01, best_S_prof=,4.096888, best_S_strat=,0.103226, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.029155, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.456602, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.228381, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.030668, actvprof=,0.005139, id=,B04, PRJADE,actvstrat=,-0.416178, actvprof=,0.009722, id=,B05, PRDE,actvstrat=,-0.150161, actvprof=,0.039028, id=,B06, PRDE,actvstrat=,0.930502, actvprof=,0.510139, id=,B07, PRDE,actvstrat=,0.227669, actvprof=,0.566250, id=,B08, PRDE,actvstrat=,0.584067, actvprof=,1.453611, id=,B09, PRJADE,actvstrat=,-0.045593, actvprof=,1.435417, id=,S00, PRDE,actvstrat=,-0.745736, actvprof=,1.949722, id=,S01, PRJADE,actvstrat=,0.103226, actvprof=,4.002500, id=,S02, PRJADE,actvstrat=,-0.065359, actvprof=,1.965278, id=,S03, PRDE,actvstrat=,-0.904046, actvprof=,0.079167, id=,S04, PRDE,actvstrat=,0.653575, actvprof=,2.000278, id=,S05, PRJADE,actvstrat=,-0.111880, actvprof=,0.158194, id=,S06, PRJADE,actvstrat=,0.040591, actvprof=,0.137361, id=,S07, PRJADE,actvstrat=,-0.682362, actvprof=,0.004028, id=,S08, PRDE,actvstrat=,-0.983240, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,-0.927749, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.453611, best_B_strat=,0.584067, best_S_id=,S01, best_S_prof=,4.002500, best_S_strat=,0.103226, 
t=,25200, id=,B00, PRDE,actvstrat=,0.432739, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.275429, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.794377, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.184367, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.068055, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.681102, id=,B07, PRDE,actvstrat=,-0.806827, actvprof=,0.204997, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.689685, id=,B09, PRJADE,actvstrat=,-0.294928, actvprof=,1.838308, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.035500, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,3.206900, id=,S02, PRJADE,actvstrat=,-0.460351, actvprof=,0.610269, id=,S03, PRDE,actvstrat=,-0.423012, actvprof=,0.258885, id=,S04, PRDE,actvstrat=,-0.854641, actvprof=,0.013889, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.759434, id=,S06, PRJADE,actvstrat=,-0.033852, actvprof=,0.020000, id=,S07, PRJADE,actvstrat=,0.253670, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,-0.669927, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.963453, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.689685, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.035500, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.432739, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.275429, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.794377, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.184367, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.076945, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.680144, id=,B07, PRDE,actvstrat=,-0.806827, actvprof=,0.173196, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.733908, id=,B09, PRJADE,actvstrat=,-0.294928, actvprof=,2.007514, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.006556, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,3.182661, id=,S02, PRJADE,actvstrat=,-0.460351, actvprof=,0.680421, id=,S03, PRDE,actvstrat=,-0.423012, actvprof=,0.264307, id=,S04, PRDE,actvstrat=,-0.854641, actvprof=,0.012083, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.760839, id=,S06, PRJADE,actvstrat=,-0.033852, actvprof=,0.012083, id=,S07, PRJADE,actvstrat=,0.253670, actvprof=,0.002639, id=,S08, PRDE,actvstrat=,-0.669927, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.963453, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.733908, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.006556, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.287838, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.556925, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.360206, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.376367, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.740382, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.019167, id=,B06, PRDE,actvstrat=,0.965024, actvprof=,0.203339, id=,B07, PRDE,actvstrat=,0.337087, actvprof=,0.234451, id=,B08, PRDE,actvstrat=,0.200391, actvprof=,0.550015, id=,B09, PRJADE,actvstrat=,0.399268, actvprof=,1.603378, id=,S00, PRDE,actvstrat=,-0.986697, actvprof=,1.183088, id=,S01, PRJADE,actvstrat=,-0.189801, actvprof=,2.852301, id=,S02, PRJADE,actvstrat=,0.541018, actvprof=,4.818745, id=,S03, PRDE,actvstrat=,-0.325645, actvprof=,0.868635, id=,S04, PRDE,actvstrat=,-0.175566, actvprof=,0.467235, id=,S05, PRJADE,actvstrat=,-0.991298, actvprof=,0.566960, id=,S06, PRJADE,actvstrat=,-0.731396, actvprof=,0.036945, id=,S07, PRJADE,actvstrat=,-0.826226, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.125656, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-0.396756, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.603378, best_B_strat=,0.399268, best_S_id=,S02, best_S_prof=,4.818745, best_S_strat=,0.541018, 
t=,36000, id=,B00, PRDE,actvstrat=,0.287838, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.556925, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.360206, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.376367, actvprof=,0.002083, id=,B04, PRJADE,actvstrat=,-0.740382, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.018195, id=,B06, PRDE,actvstrat=,0.965024, actvprof=,0.216670, id=,B07, PRDE,actvstrat=,0.337087, actvprof=,0.249865, id=,B08, PRDE,actvstrat=,0.200391, actvprof=,0.647926, id=,B09, PRJADE,actvstrat=,0.399268, actvprof=,1.574883, id=,S00, PRDE,actvstrat=,-0.986697, actvprof=,1.168766, id=,S01, PRJADE,actvstrat=,-0.189801, actvprof=,2.754899, id=,S02, PRJADE,actvstrat=,0.541018, actvprof=,4.829234, id=,S03, PRDE,actvstrat=,-0.325645, actvprof=,0.934874, id=,S04, PRDE,actvstrat=,-0.175566, actvprof=,0.542924, id=,S05, PRJADE,actvstrat=,-0.991298, actvprof=,0.558341, id=,S06, PRJADE,actvstrat=,-0.731396, actvprof=,0.027084, id=,S07, PRJADE,actvstrat=,-0.826226, actvprof=,0.003750, id=,S08, PRDE,actvstrat=,-0.125656, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,-0.396756, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.574883, best_B_strat=,0.399268, best_S_id=,S02, best_S_prof=,4.829234, best_S_strat=,0.541018, 
