t=,0, id=,B00, PRJADE,actvstrat=,0.710604, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.090028, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.274111, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.523719, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.818948, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.666957, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.452266, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.352175, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.611594, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.789021, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.388123, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.290322, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.859882, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.803135, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.361675, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.365168, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.189286, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.678432, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.283670, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.735596, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.710604, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.388123, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.710604, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.090028, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.274111, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.523719, actvprof=,0.007222, id=,B04, PRJADE,actvstrat=,-0.818948, actvprof=,0.038333, id=,B05, PRDE,actvstrat=,-0.666957, actvprof=,0.091389, id=,B06, PRJADE,actvstrat=,-0.452266, actvprof=,0.322778, id=,B07, PRDE,actvstrat=,0.352175, actvprof=,0.986667, id=,B08, PRJADE,actvstrat=,0.611594, actvprof=,1.906389, id=,B09, PRDE,actvstrat=,-0.789021, actvprof=,1.778056, id=,S00, PRDE,actvstrat=,-0.388123, actvprof=,2.624722, id=,S01, PRDE,actvstrat=,0.290322, actvprof=,3.970278, id=,S02, PRDE,actvstrat=,-0.859882, actvprof=,0.346667, id=,S03, PRDE,actvstrat=,-0.803135, actvprof=,0.338889, id=,S04, PRJADE,actvstrat=,0.361675, actvprof=,0.948333, id=,S05, PRDE,actvstrat=,-0.365168, actvprof=,0.095278, id=,S06, PRJADE,actvstrat=,-0.189286, actvprof=,0.018611, id=,S07, PRJADE,actvstrat=,0.678432, actvprof=,0.051944, id=,S08, PRJADE,actvstrat=,-0.283670, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.735596, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.906389, best_B_strat=,0.611594, best_S_id=,S01, best_S_prof=,3.970278, best_S_strat=,0.290322, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.208586, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725270, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.196247, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.419025, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.506667, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.344945, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.776163, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.659284, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.502698, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.304503, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.726398, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.922685, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.993166, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.068701, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.208586, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.776163, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.208586, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725270, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.196247, actvprof=,0.001944, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.026666, id=,B05, PRDE,actvstrat=,-0.419025, actvprof=,0.019722, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,0.804989, id=,B07, PRDE,actvstrat=,-0.506667, actvprof=,0.369162, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,2.611075, id=,B09, PRDE,actvstrat=,0.344945, actvprof=,3.454952, id=,S00, PRDE,actvstrat=,-0.776163, actvprof=,1.428313, id=,S01, PRDE,actvstrat=,0.659284, actvprof=,5.279927, id=,S02, PRDE,actvstrat=,-0.502698, actvprof=,0.747490, id=,S03, PRDE,actvstrat=,-0.304503, actvprof=,0.332773, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,1.626922, id=,S05, PRDE,actvstrat=,0.726398, actvprof=,0.375550, id=,S06, PRJADE,actvstrat=,-0.922685, actvprof=,0.005000, id=,S07, PRJADE,actvstrat=,-1.000000, actvprof=,0.049999, id=,S08, PRJADE,actvstrat=,-0.993166, actvprof=,0.001389, id=,S09, PRJADE,actvstrat=,0.068701, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.454952, best_B_strat=,0.344945, best_S_id=,S01, best_S_prof=,5.279927, best_S_strat=,0.659284, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.058559, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.549155, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.923596, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.512333, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.975620, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.660567, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.906081, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.070548, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.703697, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.736298, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.465894, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.999981, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.502698, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.159549, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.759127, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.514496, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.369462, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.351305, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.959343, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.734419, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.058559, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.465894, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.058559, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.549155, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.923596, actvprof=,0.013056, id=,B03, PRDE,actvstrat=,0.512333, actvprof=,0.038611, id=,B04, PRJADE,actvstrat=,-0.975620, actvprof=,0.198056, id=,B05, PRDE,actvstrat=,-0.660567, actvprof=,0.170833, id=,B06, PRJADE,actvstrat=,0.906081, actvprof=,0.833889, id=,B07, PRDE,actvstrat=,0.070548, actvprof=,0.753889, id=,B08, PRJADE,actvstrat=,0.703697, actvprof=,1.815278, id=,B09, PRDE,actvstrat=,0.736298, actvprof=,2.489444, id=,S00, PRDE,actvstrat=,0.465894, actvprof=,7.255556, id=,S01, PRDE,actvstrat=,0.999981, actvprof=,7.228333, id=,S02, PRDE,actvstrat=,-0.502698, actvprof=,1.729167, id=,S03, PRDE,actvstrat=,-0.159549, actvprof=,1.498056, id=,S04, PRJADE,actvstrat=,-0.759127, actvprof=,0.369444, id=,S05, PRDE,actvstrat=,-0.514496, actvprof=,0.250833, id=,S06, PRJADE,actvstrat=,0.369462, actvprof=,0.384167, id=,S07, PRJADE,actvstrat=,0.351305, actvprof=,0.131389, id=,S08, PRJADE,actvstrat=,-0.959343, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.734419, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.489444, best_B_strat=,0.736298, best_S_id=,S00, best_S_prof=,7.255556, best_S_strat=,0.465894, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.058559, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.549155, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.923596, actvprof=,0.015278, id=,B03, PRDE,actvstrat=,0.512333, actvprof=,0.032778, id=,B04, PRJADE,actvstrat=,-0.975620, actvprof=,0.201806, id=,B05, PRDE,actvstrat=,-0.660567, actvprof=,0.178472, id=,B06, PRJADE,actvstrat=,0.906081, actvprof=,0.760694, id=,B07, PRDE,actvstrat=,0.070548, actvprof=,0.682500, id=,B08, PRJADE,actvstrat=,0.703697, actvprof=,1.844583, id=,B09, PRDE,actvstrat=,0.736298, actvprof=,2.479306, id=,S00, PRDE,actvstrat=,0.465894, actvprof=,7.209444, id=,S01, PRDE,actvstrat=,0.999981, actvprof=,7.133056, id=,S02, PRDE,actvstrat=,-0.502698, actvprof=,1.709722, id=,S03, PRDE,actvstrat=,-0.159549, actvprof=,1.555694, id=,S04, PRJADE,actvstrat=,-0.759127, actvprof=,0.396944, id=,S05, PRDE,actvstrat=,-0.514496, actvprof=,0.269167, id=,S06, PRJADE,actvstrat=,0.369462, actvprof=,0.447500, id=,S07, PRJADE,actvstrat=,0.351305, actvprof=,0.134167, id=,S08, PRJADE,actvstrat=,-0.959343, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.734419, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.479306, best_B_strat=,0.736298, best_S_id=,S00, best_S_prof=,7.209444, best_S_strat=,0.465894, 
t=,25200, id=,B00, PRJADE,actvstrat=,0.579293, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.258611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.237174, actvprof=,0.023333, id=,B03, PRDE,actvstrat=,-0.736309, actvprof=,0.050556, id=,B04, PRJADE,actvstrat=,0.128655, actvprof=,0.246389, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.871944, id=,B06, PRJADE,actvstrat=,-0.910045, actvprof=,1.023056, id=,B07, PRDE,actvstrat=,-0.806306, actvprof=,1.548889, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,4.738056, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.060833, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.933889, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,1.886111, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.083333, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.765833, id=,S04, PRJADE,actvstrat=,-0.475765, actvprof=,0.028056, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.033333, id=,S06, PRJADE,actvstrat=,-0.509850, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.068420, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.151663, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.571612, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.060833, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.933889, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,0.579293, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.258611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.237174, actvprof=,0.022500, id=,B03, PRDE,actvstrat=,-0.736309, actvprof=,0.046806, id=,B04, PRJADE,actvstrat=,0.128655, actvprof=,0.292778, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.850278, id=,B06, PRJADE,actvstrat=,-0.910045, actvprof=,0.936667, id=,B07, PRDE,actvstrat=,-0.806306, actvprof=,1.532917, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,4.581806, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.949167, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.989444, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,1.914861, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.083333, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.745278, id=,S04, PRJADE,actvstrat=,-0.475765, actvprof=,0.029861, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.031806, id=,S06, PRJADE,actvstrat=,-0.509850, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.068420, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.151663, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.571612, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.949167, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.989444, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRJADE,actvstrat=,-0.307142, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.191960, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.820536, actvprof=,0.006945, id=,B03, PRDE,actvstrat=,0.878319, actvprof=,0.010834, id=,B04, PRJADE,actvstrat=,-0.950952, actvprof=,0.113336, id=,B05, PRDE,actvstrat=,0.622251, actvprof=,0.229173, id=,B06, PRJADE,actvstrat=,-0.213698, actvprof=,0.229173, id=,B07, PRDE,actvstrat=,-0.570626, actvprof=,0.488902, id=,B08, PRJADE,actvstrat=,0.728655, actvprof=,2.032001, id=,B09, PRDE,actvstrat=,0.183553, actvprof=,2.005611, id=,S00, PRDE,actvstrat=,0.600555, actvprof=,6.638518, id=,S01, PRDE,actvstrat=,-0.994560, actvprof=,1.607267, id=,S02, PRDE,actvstrat=,-0.654181, actvprof=,0.905303, id=,S03, PRDE,actvstrat=,0.483450, actvprof=,2.239229, id=,S04, PRJADE,actvstrat=,-0.846413, actvprof=,0.024723, id=,S05, PRDE,actvstrat=,-0.332101, actvprof=,0.113614, id=,S06, PRJADE,actvstrat=,-0.904029, actvprof=,0.004722, id=,S07, PRJADE,actvstrat=,-0.238241, actvprof=,0.005278, id=,S08, PRJADE,actvstrat=,-0.483067, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.856276, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.032001, best_B_strat=,0.728655, best_S_id=,S00, best_S_prof=,6.638518, best_S_strat=,0.600555, 
t=,36000, id=,B00, PRJADE,actvstrat=,-0.307142, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.191960, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.820536, actvprof=,0.003472, id=,B03, PRDE,actvstrat=,0.878319, actvprof=,0.013334, id=,B04, PRJADE,actvstrat=,-0.950952, actvprof=,0.119307, id=,B05, PRDE,actvstrat=,0.622251, actvprof=,0.216947, id=,B06, PRJADE,actvstrat=,-0.213698, actvprof=,0.272504, id=,B07, PRDE,actvstrat=,-0.570626, actvprof=,0.492646, id=,B08, PRJADE,actvstrat=,0.728655, actvprof=,1.978083, id=,B09, PRDE,actvstrat=,0.183553, actvprof=,2.132669, id=,S00, PRDE,actvstrat=,0.600555, actvprof=,6.765094, id=,S01, PRDE,actvstrat=,-0.994560, actvprof=,1.644051, id=,S02, PRDE,actvstrat=,-0.654181, actvprof=,0.865845, id=,S03, PRDE,actvstrat=,0.483450, actvprof=,2.324616, id=,S04, PRJADE,actvstrat=,-0.846413, actvprof=,0.052917, id=,S05, PRDE,actvstrat=,-0.332101, actvprof=,0.111252, id=,S06, PRJADE,actvstrat=,-0.904029, actvprof=,0.002361, id=,S07, PRJADE,actvstrat=,-0.238241, actvprof=,0.006667, id=,S08, PRJADE,actvstrat=,-0.483067, actvprof=,0.000833, id=,S09, PRJADE,actvstrat=,-0.856276, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.132669, best_B_strat=,0.183553, best_S_id=,S00, best_S_prof=,6.765094, best_S_strat=,0.600555, 
