t=,0, id=,B00, PRDE,actvstrat=,0.825176, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.044683, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.785543, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.897508, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.166074, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.498440, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.452124, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.619494, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.156740, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.327847, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.908892, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.148467, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.167529, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.838732, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.873570, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.271610, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.838521, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.460376, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.776763, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.061502, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.825176, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.908892, 
t=,3600, id=,B00, PRDE,actvstrat=,0.825176, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.044683, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,-0.785543, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.897508, actvprof=,0.139444, id=,B04, PRDE,actvstrat=,0.166074, actvprof=,0.139444, id=,B05, PRDE,actvstrat=,0.498440, actvprof=,0.532778, id=,B06, PRJADE,actvstrat=,-0.452124, actvprof=,0.523056, id=,B07, PRJADE,actvstrat=,0.619494, actvprof=,2.027222, id=,B08, PRJADE,actvstrat=,-0.156740, actvprof=,2.083611, id=,B09, PRJADE,actvstrat=,-0.327847, actvprof=,2.711389, id=,S00, PRDE,actvstrat=,0.908892, actvprof=,6.308056, id=,S01, PRDE,actvstrat=,-0.148467, actvprof=,1.404167, id=,S02, PRDE,actvstrat=,0.167529, actvprof=,1.501667, id=,S03, PRJADE,actvstrat=,-0.838732, actvprof=,0.084167, id=,S04, PRJADE,actvstrat=,0.873570, actvprof=,1.556944, id=,S05, PRJADE,actvstrat=,0.271610, actvprof=,0.170278, id=,S06, PRDE,actvstrat=,-0.838521, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.460376, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.776763, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.061502, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.711389, best_B_strat=,-0.327847, best_S_id=,S00, best_S_prof=,6.308056, best_S_strat=,0.908892, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.409358, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.353922, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.612293, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.170020, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.579318, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.459124, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.092641, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.383030, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.553221, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.373645, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.794218, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.409358, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.092641, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.409358, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.353922, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.612293, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.043611, id=,B04, PRDE,actvstrat=,-0.170020, actvprof=,0.075555, id=,B05, PRDE,actvstrat=,0.579318, actvprof=,0.942487, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,1.384425, id=,B07, PRJADE,actvstrat=,-0.459124, actvprof=,1.584700, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,2.952459, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,4.149109, id=,S00, PRDE,actvstrat=,0.092641, actvprof=,3.520784, id=,S01, PRDE,actvstrat=,-0.383030, actvprof=,1.416369, id=,S02, PRDE,actvstrat=,0.553221, actvprof=,2.863849, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,2.134415, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,1.609978, id=,S05, PRJADE,actvstrat=,-1.000000, actvprof=,1.563312, id=,S06, PRDE,actvstrat=,-0.373645, actvprof=,0.031388, id=,S07, PRDE,actvstrat=,-0.794218, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,1.000000, actvprof=,0.109165, id=,S09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.149109, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.520784, best_S_strat=,0.092641, 
t=,14400, id=,B00, PRDE,actvstrat=,0.463764, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.152692, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.207072, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.329982, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.093240, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.933229, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.667092, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.384541, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.809805, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.720717, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.894401, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.801656, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.631374, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.142799, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.913367, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.501464, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.100737, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.613307, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.484369, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.954512, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.463764, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.894401, 
t=,18000, id=,B00, PRDE,actvstrat=,0.463764, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.152692, actvprof=,0.002500, id=,B02, PRDE,actvstrat=,0.207072, actvprof=,0.003889, id=,B03, PRJADE,actvstrat=,0.329982, actvprof=,0.044167, id=,B04, PRDE,actvstrat=,-0.093240, actvprof=,0.068333, id=,B05, PRDE,actvstrat=,-0.933229, actvprof=,0.569722, id=,B06, PRJADE,actvstrat=,0.667092, actvprof=,1.005278, id=,B07, PRJADE,actvstrat=,0.384541, actvprof=,1.358333, id=,B08, PRJADE,actvstrat=,-0.809805, actvprof=,1.773611, id=,B09, PRJADE,actvstrat=,0.720717, actvprof=,3.282500, id=,S00, PRDE,actvstrat=,0.894401, actvprof=,7.268889, id=,S01, PRDE,actvstrat=,-0.801656, actvprof=,0.648611, id=,S02, PRDE,actvstrat=,0.631374, actvprof=,3.645000, id=,S03, PRJADE,actvstrat=,0.142799, actvprof=,1.482222, id=,S04, PRJADE,actvstrat=,-0.913367, actvprof=,0.157222, id=,S05, PRJADE,actvstrat=,0.501464, actvprof=,0.691389, id=,S06, PRDE,actvstrat=,-0.100737, actvprof=,0.063889, id=,S07, PRDE,actvstrat=,0.613307, actvprof=,0.102222, id=,S08, PRJADE,actvstrat=,-0.484369, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.954512, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.282500, best_B_strat=,0.720717, best_S_id=,S00, best_S_prof=,7.268889, best_S_strat=,0.894401, 
t=,21600, id=,B00, PRDE,actvstrat=,0.463764, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.152692, actvprof=,0.001250, id=,B02, PRDE,actvstrat=,0.207072, actvprof=,0.002222, id=,B03, PRJADE,actvstrat=,0.329982, actvprof=,0.042917, id=,B04, PRDE,actvstrat=,-0.093240, actvprof=,0.060278, id=,B05, PRDE,actvstrat=,-0.933229, actvprof=,0.553194, id=,B06, PRJADE,actvstrat=,0.667092, actvprof=,0.989722, id=,B07, PRJADE,actvstrat=,0.384541, actvprof=,1.358194, id=,B08, PRJADE,actvstrat=,-0.809805, actvprof=,1.835000, id=,B09, PRJADE,actvstrat=,0.720717, actvprof=,3.230417, id=,S00, PRDE,actvstrat=,0.894401, actvprof=,7.409167, id=,S01, PRDE,actvstrat=,-0.801656, actvprof=,0.672639, id=,S02, PRDE,actvstrat=,0.631374, actvprof=,3.755556, id=,S03, PRJADE,actvstrat=,0.142799, actvprof=,1.472639, id=,S04, PRJADE,actvstrat=,-0.913367, actvprof=,0.128333, id=,S05, PRJADE,actvstrat=,0.501464, actvprof=,0.648194, id=,S06, PRDE,actvstrat=,-0.100737, actvprof=,0.069583, id=,S07, PRDE,actvstrat=,0.613307, actvprof=,0.102778, id=,S08, PRJADE,actvstrat=,-0.484369, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.954512, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.230417, best_B_strat=,0.720717, best_S_id=,S00, best_S_prof=,7.409167, best_S_strat=,0.894401, 
t=,25200, id=,B00, PRDE,actvstrat=,0.994123, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.742760, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.934804, actvprof=,0.049723, id=,B03, PRJADE,actvstrat=,0.309667, actvprof=,0.141391, id=,B04, PRDE,actvstrat=,0.548718, actvprof=,0.480007, id=,B05, PRDE,actvstrat=,-0.758087, actvprof=,0.766400, id=,B06, PRJADE,actvstrat=,-0.041122, actvprof=,1.308352, id=,B07, PRJADE,actvstrat=,-0.383342, actvprof=,2.093640, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,2.397533, id=,B09, PRJADE,actvstrat=,0.559387, actvprof=,4.668398, id=,S00, PRDE,actvstrat=,0.847120, actvprof=,5.766191, id=,S01, PRDE,actvstrat=,0.876274, actvprof=,5.067570, id=,S02, PRDE,actvstrat=,-0.738899, actvprof=,0.542785, id=,S03, PRJADE,actvstrat=,-1.000000, actvprof=,2.408089, id=,S04, PRJADE,actvstrat=,0.678417, actvprof=,1.548077, id=,S05, PRJADE,actvstrat=,0.413374, actvprof=,0.548619, id=,S06, PRDE,actvstrat=,0.622467, actvprof=,0.362505, id=,S07, PRDE,actvstrat=,-0.927912, actvprof=,0.004167, id=,S08, PRJADE,actvstrat=,-0.295149, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.998233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.668398, best_B_strat=,0.559387, best_S_id=,S00, best_S_prof=,5.766191, best_S_strat=,0.847120, 
t=,28800, id=,B00, PRDE,actvstrat=,0.994123, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.742760, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.934804, actvprof=,0.060973, id=,B03, PRJADE,actvstrat=,0.309667, actvprof=,0.147918, id=,B04, PRDE,actvstrat=,0.548718, actvprof=,0.544032, id=,B05, PRDE,actvstrat=,-0.758087, actvprof=,0.791255, id=,B06, PRJADE,actvstrat=,-0.041122, actvprof=,1.255981, id=,B07, PRJADE,actvstrat=,-0.383342, actvprof=,1.928763, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,2.574601, id=,B09, PRJADE,actvstrat=,0.559387, actvprof=,4.752533, id=,S00, PRDE,actvstrat=,0.847120, actvprof=,5.687539, id=,S01, PRDE,actvstrat=,0.876274, actvprof=,4.934062, id=,S02, PRDE,actvstrat=,-0.738899, actvprof=,0.609171, id=,S03, PRJADE,actvstrat=,-1.000000, actvprof=,2.364461, id=,S04, PRJADE,actvstrat=,0.678417, actvprof=,1.497094, id=,S05, PRJADE,actvstrat=,0.413374, actvprof=,0.541670, id=,S06, PRDE,actvstrat=,0.622467, actvprof=,0.342641, id=,S07, PRDE,actvstrat=,-0.927912, actvprof=,0.002083, id=,S08, PRJADE,actvstrat=,-0.295149, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.998233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.752533, best_B_strat=,0.559387, best_S_id=,S00, best_S_prof=,5.687539, best_S_strat=,0.847120, 
t=,32400, id=,B00, PRDE,actvstrat=,0.764426, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.682884, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,-0.021892, actvprof=,0.015834, id=,B03, PRJADE,actvstrat=,0.880657, actvprof=,0.184172, id=,B04, PRDE,actvstrat=,0.043320, actvprof=,0.176116, id=,B05, PRDE,actvstrat=,0.129155, actvprof=,0.541959, id=,B06, PRJADE,actvstrat=,0.265989, actvprof=,1.206145, id=,B07, PRJADE,actvstrat=,0.594196, actvprof=,2.412845, id=,B08, PRJADE,actvstrat=,-0.496801, actvprof=,2.495625, id=,B09, PRJADE,actvstrat=,-0.551324, actvprof=,3.689547, id=,S00, PRDE,actvstrat=,0.847120, actvprof=,5.958221, id=,S01, PRDE,actvstrat=,0.559717, actvprof=,3.300369, id=,S02, PRDE,actvstrat=,0.553221, actvprof=,2.294508, id=,S03, PRJADE,actvstrat=,0.601479, actvprof=,1.387539, id=,S04, PRJADE,actvstrat=,0.060103, actvprof=,0.342510, id=,S05, PRJADE,actvstrat=,0.180384, actvprof=,0.137504, id=,S06, PRDE,actvstrat=,-0.593861, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.558377, actvprof=,0.007222, id=,S08, PRJADE,actvstrat=,0.434013, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.689422, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.689547, best_B_strat=,-0.551324, best_S_id=,S00, best_S_prof=,5.958221, best_S_strat=,0.847120, 
t=,36000, id=,B00, PRDE,actvstrat=,0.764426, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.682884, actvprof=,0.001944, id=,B02, PRDE,actvstrat=,-0.021892, actvprof=,0.010417, id=,B03, PRJADE,actvstrat=,0.880657, actvprof=,0.202781, id=,B04, PRDE,actvstrat=,0.043320, actvprof=,0.170697, id=,B05, PRDE,actvstrat=,0.129155, actvprof=,0.526674, id=,B06, PRJADE,actvstrat=,0.265989, actvprof=,1.231823, id=,B07, PRJADE,actvstrat=,0.594196, actvprof=,2.330588, id=,B08, PRJADE,actvstrat=,-0.496801, actvprof=,2.329060, id=,B09, PRJADE,actvstrat=,-0.551324, actvprof=,3.646578, id=,S00, PRDE,actvstrat=,0.847120, actvprof=,6.055779, id=,S01, PRDE,actvstrat=,0.559717, actvprof=,3.335880, id=,S02, PRDE,actvstrat=,0.553221, actvprof=,2.226281, id=,S03, PRJADE,actvstrat=,0.601479, actvprof=,1.421825, id=,S04, PRJADE,actvstrat=,0.060103, actvprof=,0.335421, id=,S05, PRJADE,actvstrat=,0.180384, actvprof=,0.129585, id=,S06, PRDE,actvstrat=,-0.593861, actvprof=,0.002083, id=,S07, PRDE,actvstrat=,0.558377, actvprof=,0.005833, id=,S08, PRJADE,actvstrat=,0.434013, actvprof=,0.000417, id=,S09, PRJADE,actvstrat=,-0.689422, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.646578, best_B_strat=,-0.551324, best_S_id=,S00, best_S_prof=,6.055779, best_S_strat=,0.847120, 
