t=,1, id=,B00, PRJADE,actvstrat=,0.326597, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.438748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.362283, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.778268, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.031456, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.235233, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.969389, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.495764, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.101902, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.511667, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.896171, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.552124, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.134866, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.940666, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.248484, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.549455, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.316575, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.844525, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.805856, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.711109, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.326597, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.896171, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.326597, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.438748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.362283, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.778268, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.031456, actvprof=,0.010278, id=,B05, PRJADE,actvstrat=,0.235233, actvprof=,0.055556, id=,B06, PRJADE,actvstrat=,-0.969389, actvprof=,0.321111, id=,B07, PRDE,actvstrat=,0.495764, actvprof=,0.956389, id=,B08, PRJADE,actvstrat=,0.101902, actvprof=,1.140000, id=,B09, PRDE,actvstrat=,-0.511667, actvprof=,1.348333, id=,S00, PRJADE,actvstrat=,-0.896171, actvprof=,0.998333, id=,S01, PRDE,actvstrat=,-0.552124, actvprof=,2.580278, id=,S02, PRJADE,actvstrat=,-0.134866, actvprof=,2.090556, id=,S03, PRJADE,actvstrat=,-0.940666, actvprof=,0.395833, id=,S04, PRDE,actvstrat=,0.248484, actvprof=,0.981667, id=,S05, PRDE,actvstrat=,-0.549455, actvprof=,0.091667, id=,S06, PRJADE,actvstrat=,-0.316575, actvprof=,0.011944, id=,S07, PRDE,actvstrat=,0.844525, actvprof=,0.054722, id=,S08, PRJADE,actvstrat=,0.805856, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.711109, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.348333, best_B_strat=,-0.511667, best_S_id=,S01, best_S_prof=,2.580278, best_S_strat=,-0.552124, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.348982, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.581237, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.974286, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.775728, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.018079, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.851447, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.736372, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.492242, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.867907, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.917465, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.297552, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.106951, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.490700, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.678469, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.388274, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.720184, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.225466, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.348982, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.867907, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.348982, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.581237, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.974286, actvprof=,0.003611, id=,B03, PRDE,actvstrat=,-0.775728, actvprof=,0.007222, id=,B04, PRJADE,actvstrat=,0.018079, actvprof=,0.040833, id=,B05, PRJADE,actvstrat=,-0.851447, actvprof=,0.116665, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,0.763323, id=,B07, PRDE,actvstrat=,0.736372, actvprof=,1.172761, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,2.322190, id=,B09, PRDE,actvstrat=,0.492242, actvprof=,2.880516, id=,S00, PRJADE,actvstrat=,-0.867907, actvprof=,1.178873, id=,S01, PRDE,actvstrat=,0.917465, actvprof=,6.847683, id=,S02, PRJADE,actvstrat=,-1.000000, actvprof=,3.258010, id=,S03, PRJADE,actvstrat=,0.297552, actvprof=,2.420800, id=,S04, PRDE,actvstrat=,-0.106951, actvprof=,0.484715, id=,S05, PRDE,actvstrat=,-0.490700, actvprof=,0.149442, id=,S06, PRJADE,actvstrat=,0.678469, actvprof=,0.331940, id=,S07, PRDE,actvstrat=,-0.388274, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.720184, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.225466, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.880516, best_B_strat=,0.492242, best_S_id=,S01, best_S_prof=,6.847683, best_S_strat=,0.917465, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.491707, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.638657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.935746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.541860, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.354694, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.319881, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.339424, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.852736, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.883316, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.445587, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.620169, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.229504, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.754517, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.222707, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.686926, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.144668, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.966564, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.026933, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.065848, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.160940, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.491707, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.620169, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.491707, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.638657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.935746, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.541860, actvprof=,0.008056, id=,B04, PRJADE,actvstrat=,0.354694, actvprof=,0.038611, id=,B05, PRJADE,actvstrat=,-0.319881, actvprof=,0.073889, id=,B06, PRJADE,actvstrat=,0.339424, actvprof=,0.633056, id=,B07, PRDE,actvstrat=,0.852736, actvprof=,1.837222, id=,B08, PRJADE,actvstrat=,-0.883316, actvprof=,0.961111, id=,B09, PRDE,actvstrat=,-0.445587, actvprof=,2.592500, id=,S00, PRJADE,actvstrat=,-0.620169, actvprof=,2.049444, id=,S01, PRDE,actvstrat=,-0.229504, actvprof=,1.821667, id=,S02, PRJADE,actvstrat=,-0.754517, actvprof=,0.546111, id=,S03, PRJADE,actvstrat=,0.222707, actvprof=,1.161944, id=,S04, PRDE,actvstrat=,0.686926, actvprof=,1.021667, id=,S05, PRDE,actvstrat=,-0.144668, actvprof=,0.039167, id=,S06, PRJADE,actvstrat=,0.966564, actvprof=,0.269722, id=,S07, PRDE,actvstrat=,0.026933, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.065848, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.160940, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.592500, best_B_strat=,-0.445587, best_S_id=,S00, best_S_prof=,2.049444, best_S_strat=,-0.620169, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.491707, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.638657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.935746, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,0.541860, actvprof=,0.005139, id=,B04, PRJADE,actvstrat=,0.354694, actvprof=,0.039583, id=,B05, PRJADE,actvstrat=,-0.319881, actvprof=,0.089861, id=,B06, PRJADE,actvstrat=,0.339424, actvprof=,0.597500, id=,B07, PRDE,actvstrat=,0.852736, actvprof=,1.883194, id=,B08, PRJADE,actvstrat=,-0.883316, actvprof=,0.980694, id=,B09, PRDE,actvstrat=,-0.445587, actvprof=,2.607639, id=,S00, PRJADE,actvstrat=,-0.620169, actvprof=,2.008472, id=,S01, PRDE,actvstrat=,-0.229504, actvprof=,1.767639, id=,S02, PRJADE,actvstrat=,-0.754517, actvprof=,0.526667, id=,S03, PRJADE,actvstrat=,0.222707, actvprof=,1.157361, id=,S04, PRDE,actvstrat=,0.686926, actvprof=,1.042361, id=,S05, PRDE,actvstrat=,-0.144668, actvprof=,0.041111, id=,S06, PRJADE,actvstrat=,0.966564, actvprof=,0.273056, id=,S07, PRDE,actvstrat=,0.026933, actvprof=,0.000556, id=,S08, PRJADE,actvstrat=,0.065848, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.160940, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.607639, best_B_strat=,-0.445587, best_S_id=,S00, best_S_prof=,2.008472, best_S_strat=,-0.620169, 
t=,25200, id=,B00, PRJADE,actvstrat=,0.173065, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.184515, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.487145, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.121596, actvprof=,0.061945, id=,B04, PRJADE,actvstrat=,0.051773, actvprof=,0.543341, id=,B05, PRJADE,actvstrat=,1.000000, actvprof=,1.300574, id=,B06, PRJADE,actvstrat=,-0.667266, actvprof=,1.514743, id=,B07, PRDE,actvstrat=,-0.864551, actvprof=,2.308921, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,4.898957, id=,B09, PRDE,actvstrat=,0.125870, actvprof=,5.723413, id=,S00, PRJADE,actvstrat=,0.352550, actvprof=,3.885332, id=,S01, PRDE,actvstrat=,0.636164, actvprof=,3.426159, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,2.279476, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,1.493076, id=,S04, PRDE,actvstrat=,-0.512399, actvprof=,0.077779, id=,S05, PRDE,actvstrat=,-0.457098, actvprof=,0.009722, id=,S06, PRJADE,actvstrat=,0.859048, actvprof=,0.263893, id=,S07, PRDE,actvstrat=,0.337477, actvprof=,0.016945, id=,S08, PRJADE,actvstrat=,0.309448, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.547465, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.723413, best_B_strat=,0.125870, best_S_id=,S00, best_S_prof=,3.885332, best_S_strat=,0.352550, 
t=,28800, id=,B00, PRJADE,actvstrat=,0.173065, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.184515, actvprof=,0.003056, id=,B02, PRDE,actvstrat=,-0.487145, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,-0.121596, actvprof=,0.083056, id=,B04, PRJADE,actvstrat=,0.051773, actvprof=,0.510837, id=,B05, PRJADE,actvstrat=,1.000000, actvprof=,1.328065, id=,B06, PRJADE,actvstrat=,-0.667266, actvprof=,1.571539, id=,B07, PRDE,actvstrat=,-0.864551, actvprof=,2.143070, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,4.884617, id=,B09, PRDE,actvstrat=,0.125870, actvprof=,5.580872, id=,S00, PRJADE,actvstrat=,0.352550, actvprof=,3.824054, id=,S01, PRDE,actvstrat=,0.636164, actvprof=,3.394607, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,2.382239, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,1.491121, id=,S04, PRDE,actvstrat=,-0.512399, actvprof=,0.075278, id=,S05, PRDE,actvstrat=,-0.457098, actvprof=,0.040695, id=,S06, PRJADE,actvstrat=,0.859048, actvprof=,0.236807, id=,S07, PRDE,actvstrat=,0.337477, actvprof=,0.013195, id=,S08, PRJADE,actvstrat=,0.309448, actvprof=,0.002083, id=,S09, PRDE,actvstrat=,0.547465, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.580872, best_B_strat=,0.125870, best_S_id=,S00, best_S_prof=,3.824054, best_S_strat=,0.352550, 
t=,32400, id=,B00, PRJADE,actvstrat=,-0.968067, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.184515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.974286, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.847236, actvprof=,0.003056, id=,B04, PRJADE,actvstrat=,0.155919, actvprof=,0.005556, id=,B05, PRJADE,actvstrat=,0.637551, actvprof=,0.082780, id=,B06, PRJADE,actvstrat=,0.226449, actvprof=,0.159171, id=,B07, PRDE,actvstrat=,-0.722636, actvprof=,0.292786, id=,B08, PRJADE,actvstrat=,0.837902, actvprof=,1.631434, id=,B09, PRDE,actvstrat=,0.125870, actvprof=,1.775049, id=,S00, PRJADE,actvstrat=,-0.400595, actvprof=,3.942887, id=,S01, PRDE,actvstrat=,-0.781234, actvprof=,1.871163, id=,S02, PRJADE,actvstrat=,-0.515552, actvprof=,1.960610, id=,S03, PRJADE,actvstrat=,-0.059482, actvprof=,1.520042, id=,S04, PRDE,actvstrat=,-0.562047, actvprof=,0.555015, id=,S05, PRDE,actvstrat=,-0.206146, actvprof=,0.383066, id=,S06, PRJADE,actvstrat=,-0.757711, actvprof=,0.045557, id=,S07, PRDE,actvstrat=,0.629114, actvprof=,0.101114, id=,S08, PRJADE,actvstrat=,-0.337928, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,0.547465, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.775049, best_B_strat=,0.125870, best_S_id=,S00, best_S_prof=,3.942887, best_S_strat=,-0.400595, 
t=,36000, id=,B00, PRJADE,actvstrat=,-0.968067, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.184515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.974286, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.847236, actvprof=,0.001528, id=,B04, PRJADE,actvstrat=,0.155919, actvprof=,0.006945, id=,B05, PRJADE,actvstrat=,0.637551, actvprof=,0.089863, id=,B06, PRJADE,actvstrat=,0.226449, actvprof=,0.189587, id=,B07, PRDE,actvstrat=,-0.722636, actvprof=,0.267089, id=,B08, PRJADE,actvstrat=,0.837902, actvprof=,1.673785, id=,B09, PRDE,actvstrat=,0.125870, actvprof=,1.771009, id=,S00, PRJADE,actvstrat=,-0.400595, actvprof=,3.925776, id=,S01, PRDE,actvstrat=,-0.781234, actvprof=,1.790315, id=,S02, PRJADE,actvstrat=,-0.515552, actvprof=,1.891567, id=,S03, PRJADE,actvstrat=,-0.059482, actvprof=,1.796149, id=,S04, PRDE,actvstrat=,-0.562047, actvprof=,0.560151, id=,S05, PRDE,actvstrat=,-0.206146, actvprof=,0.336396, id=,S06, PRJADE,actvstrat=,-0.757711, actvprof=,0.050557, id=,S07, PRDE,actvstrat=,0.629114, actvprof=,0.110975, id=,S08, PRJADE,actvstrat=,-0.337928, actvprof=,0.002083, id=,S09, PRDE,actvstrat=,0.547465, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.771009, best_B_strat=,0.125870, best_S_id=,S00, best_S_prof=,3.925776, best_S_strat=,-0.400595, 
t=,39600, id=,B00, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.184515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.342681, actvprof=,0.013056, id=,B03, PRDE,actvstrat=,-0.020500, actvprof=,0.065834, id=,B04, PRJADE,actvstrat=,0.699523, actvprof=,0.662509, id=,B05, PRJADE,actvstrat=,0.092451, actvprof=,0.654454, id=,B06, PRJADE,actvstrat=,0.654767, actvprof=,1.929749, id=,B07, PRDE,actvstrat=,-0.646697, actvprof=,2.005583, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,4.619509, id=,B09, PRDE,actvstrat=,-0.378895, actvprof=,3.719218, id=,S00, PRJADE,actvstrat=,-1.000000, actvprof=,3.117266, id=,S01, PRDE,actvstrat=,0.917465, actvprof=,4.311171, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,2.849484, id=,S03, PRJADE,actvstrat=,0.044767, actvprof=,0.684454, id=,S04, PRDE,actvstrat=,0.686926, actvprof=,0.623342, id=,S05, PRDE,actvstrat=,0.250270, actvprof=,0.082779, id=,S06, PRJADE,actvstrat=,-0.921610, actvprof=,0.008333, id=,S07, PRDE,actvstrat=,-0.605885, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.899059, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.803693, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.619509, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.311171, best_S_strat=,0.917465, 
