t=,1, id=,B00, PRJADE,actvstrat=,-0.011255, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.288919, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.771020, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.038821, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.012075, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.109329, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.468943, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.405907, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.837575, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.823322, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.948028, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.719296, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.001686, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.248570, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.409054, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.032950, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.675605, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.231234, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.343078, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.841570, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.011255, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.948028, 
t=,3600, id=,B00, PRJADE,actvstrat=,-0.011255, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.288919, actvprof=,0.000278, id=,B02, PRJADE,actvstrat=,-0.771020, actvprof=,0.020278, id=,B03, PRDE,actvstrat=,-0.038821, actvprof=,0.103889, id=,B04, PRJADE,actvstrat=,-0.012075, actvprof=,0.270278, id=,B05, PRDE,actvstrat=,-0.109329, actvprof=,0.585278, id=,B06, PRJADE,actvstrat=,-0.468943, actvprof=,1.107778, id=,B07, PRDE,actvstrat=,0.405907, actvprof=,2.483056, id=,B08, PRDE,actvstrat=,-0.837575, actvprof=,3.246944, id=,B09, PRJADE,actvstrat=,-0.823322, actvprof=,4.231944, id=,S00, PRJADE,actvstrat=,0.948028, actvprof=,5.232500, id=,S01, PRDE,actvstrat=,0.719296, actvprof=,3.769722, id=,S02, PRJADE,actvstrat=,-0.001686, actvprof=,1.106667, id=,S03, PRJADE,actvstrat=,-0.248570, actvprof=,0.232500, id=,S04, PRJADE,actvstrat=,-0.409054, actvprof=,0.093611, id=,S05, PRDE,actvstrat=,-0.032950, actvprof=,0.043056, id=,S06, PRJADE,actvstrat=,-0.675605, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.231234, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.343078, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.841570, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.231944, best_B_strat=,-0.823322, best_S_id=,S00, best_S_prof=,5.232500, best_S_strat=,0.948028, 
t=,7200, id=,B00, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.783579, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.481659, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.673398, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.442176, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.703492, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.276145, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.283590, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.554950, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.949575, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.083695, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.317240, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.961543, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.967275, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.057601, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.276145, 
t=,10800, id=,B00, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.783579, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.481659, actvprof=,0.008889, id=,B04, PRJADE,actvstrat=,1.000000, actvprof=,0.036111, id=,B05, PRDE,actvstrat=,0.673398, actvprof=,0.178886, id=,B06, PRJADE,actvstrat=,1.000000, actvprof=,0.199719, id=,B07, PRDE,actvstrat=,-0.442176, actvprof=,0.363884, id=,B08, PRDE,actvstrat=,0.703492, actvprof=,1.691365, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,1.170817, id=,S00, PRJADE,actvstrat=,-0.276145, actvprof=,4.444938, id=,S01, PRDE,actvstrat=,-0.283590, actvprof=,3.212733, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,6.164914, id=,S03, PRJADE,actvstrat=,0.554950, actvprof=,4.010778, id=,S04, PRJADE,actvstrat=,-0.949575, actvprof=,0.493049, id=,S05, PRDE,actvstrat=,0.083695, actvprof=,1.053041, id=,S06, PRJADE,actvstrat=,-0.317240, actvprof=,0.169442, id=,S07, PRDE,actvstrat=,-0.961543, actvprof=,0.098332, id=,S08, PRDE,actvstrat=,-0.967275, actvprof=,0.040555, id=,S09, PRDE,actvstrat=,-0.057601, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.691365, best_B_strat=,0.703492, best_S_id=,S02, best_S_prof=,6.164914, best_S_strat=,1.000000, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.973013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.798780, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.844558, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.714307, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.855938, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.032935, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.163303, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.136587, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.872342, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.851138, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.704109, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.267850, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.075977, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.146553, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.698952, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.553251, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.926550, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.887531, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.390108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.366937, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.973013, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.704109, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.973013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.798780, actvprof=,0.001667, id=,B02, PRJADE,actvstrat=,-0.844558, actvprof=,0.008889, id=,B03, PRDE,actvstrat=,-0.714307, actvprof=,0.048612, id=,B04, PRJADE,actvstrat=,-0.855938, actvprof=,0.278893, id=,B05, PRDE,actvstrat=,0.032935, actvprof=,0.499729, id=,B06, PRJADE,actvstrat=,0.163303, actvprof=,1.085848, id=,B07, PRDE,actvstrat=,0.136587, actvprof=,1.779191, id=,B08, PRDE,actvstrat=,-0.872342, actvprof=,2.390589, id=,B09, PRJADE,actvstrat=,0.851138, actvprof=,4.034500, id=,S00, PRJADE,actvstrat=,0.704109, actvprof=,5.230628, id=,S01, PRDE,actvstrat=,0.267850, actvprof=,2.851428, id=,S02, PRJADE,actvstrat=,0.075977, actvprof=,1.310574, id=,S03, PRJADE,actvstrat=,0.146553, actvprof=,1.030014, id=,S04, PRJADE,actvstrat=,-0.698952, actvprof=,0.165836, id=,S05, PRDE,actvstrat=,-0.553251, actvprof=,0.083334, id=,S06, PRJADE,actvstrat=,0.926550, actvprof=,0.552785, id=,S07, PRDE,actvstrat=,0.887531, actvprof=,0.159724, id=,S08, PRDE,actvstrat=,0.390108, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,0.366937, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.034500, best_B_strat=,0.851138, best_S_id=,S00, best_S_prof=,5.230628, best_S_strat=,0.704109, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.973013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.798780, actvprof=,0.002500, id=,B02, PRJADE,actvstrat=,-0.844558, actvprof=,0.005833, id=,B03, PRDE,actvstrat=,-0.714307, actvprof=,0.030834, id=,B04, PRJADE,actvstrat=,-0.855938, actvprof=,0.235141, id=,B05, PRDE,actvstrat=,0.032935, actvprof=,0.468198, id=,B06, PRJADE,actvstrat=,0.163303, actvprof=,1.048896, id=,B07, PRDE,actvstrat=,0.136587, actvprof=,1.820707, id=,B08, PRDE,actvstrat=,-0.872342, actvprof=,2.416267, id=,B09, PRJADE,actvstrat=,0.851138, actvprof=,4.008222, id=,S00, PRJADE,actvstrat=,0.704109, actvprof=,5.127258, id=,S01, PRDE,actvstrat=,0.267850, actvprof=,2.781825, id=,S02, PRJADE,actvstrat=,0.075977, actvprof=,1.370426, id=,S03, PRJADE,actvstrat=,0.146553, actvprof=,0.951812, id=,S04, PRJADE,actvstrat=,-0.698952, actvprof=,0.130418, id=,S05, PRDE,actvstrat=,-0.553251, actvprof=,0.066250, id=,S06, PRJADE,actvstrat=,0.926550, actvprof=,0.585282, id=,S07, PRDE,actvstrat=,0.887531, actvprof=,0.171668, id=,S08, PRDE,actvstrat=,0.390108, actvprof=,0.005694, id=,S09, PRDE,actvstrat=,0.366937, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.008222, best_B_strat=,0.851138, best_S_id=,S00, best_S_prof=,5.127258, best_S_strat=,0.704109, 
t=,25200, id=,B00, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174053, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.480410, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.117546, actvprof=,0.012500, id=,B04, PRJADE,actvstrat=,-1.000000, actvprof=,0.298619, id=,B05, PRDE,actvstrat=,-0.846664, actvprof=,0.272785, id=,B06, PRJADE,actvstrat=,0.321983, actvprof=,1.019473, id=,B07, PRDE,actvstrat=,-0.748054, actvprof=,0.965305, id=,B08, PRDE,actvstrat=,-0.179802, actvprof=,1.923942, id=,B09, PRJADE,actvstrat=,-0.643826, actvprof=,2.781466, id=,S00, PRJADE,actvstrat=,-0.547331, actvprof=,1.136420, id=,S01, PRDE,actvstrat=,-0.170595, actvprof=,1.010306, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,3.138698, id=,S03, PRJADE,actvstrat=,-1.000000, actvprof=,0.794189, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,0.477513, id=,S05, PRDE,actvstrat=,-0.571930, actvprof=,0.025834, id=,S06, PRJADE,actvstrat=,-0.044278, actvprof=,0.015000, id=,S07, PRDE,actvstrat=,-0.413537, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.632228, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.920057, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.781466, best_B_strat=,-0.643826, best_S_id=,S02, best_S_prof=,3.138698, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174053, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.480410, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.117546, actvprof=,0.008472, id=,B04, PRJADE,actvstrat=,-1.000000, actvprof=,0.265696, id=,B05, PRDE,actvstrat=,-0.846664, actvprof=,0.240279, id=,B06, PRJADE,actvstrat=,0.321983, actvprof=,1.000285, id=,B07, PRDE,actvstrat=,-0.748054, actvprof=,1.034035, id=,B08, PRDE,actvstrat=,-0.179802, actvprof=,2.084042, id=,B09, PRJADE,actvstrat=,-0.643826, actvprof=,2.695158, id=,S00, PRJADE,actvstrat=,-0.547331, actvprof=,1.168758, id=,S01, PRDE,actvstrat=,-0.170595, actvprof=,1.065980, id=,S02, PRJADE,actvstrat=,1.000000, actvprof=,3.202106, id=,S03, PRJADE,actvstrat=,-1.000000, actvprof=,0.772228, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,0.450836, id=,S05, PRDE,actvstrat=,-0.571930, actvprof=,0.024306, id=,S06, PRJADE,actvstrat=,-0.044278, actvprof=,0.007500, id=,S07, PRDE,actvstrat=,-0.413537, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.632228, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.920057, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.695158, best_B_strat=,-0.643826, best_S_id=,S02, best_S_prof=,3.202106, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.701976, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174053, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.874293, actvprof=,0.040558, id=,B03, PRDE,actvstrat=,-0.038821, actvprof=,0.063892, id=,B04, PRJADE,actvstrat=,0.453182, actvprof=,0.410856, id=,B05, PRDE,actvstrat=,0.390604, actvprof=,0.813379, id=,B06, PRJADE,actvstrat=,-0.265151, actvprof=,1.086727, id=,B07, PRDE,actvstrat=,0.384169, actvprof=,2.427357, id=,B08, PRDE,actvstrat=,-0.837575, actvprof=,2.769321, id=,B09, PRJADE,actvstrat=,-0.706563, actvprof=,4.045780, id=,S00, PRJADE,actvstrat=,0.773331, actvprof=,5.317795, id=,S01, PRDE,actvstrat=,0.820045, actvprof=,3.825213, id=,S02, PRJADE,actvstrat=,0.005720, actvprof=,0.916718, id=,S03, PRJADE,actvstrat=,0.720639, actvprof=,1.250625, id=,S04, PRJADE,actvstrat=,0.216887, actvprof=,0.208345, id=,S05, PRDE,actvstrat=,0.083695, actvprof=,0.067226, id=,S06, PRJADE,actvstrat=,0.631184, actvprof=,0.022223, id=,S07, PRDE,actvstrat=,-0.760009, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.630250, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.107398, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.045780, best_B_strat=,-0.706563, best_S_id=,S00, best_S_prof=,5.317795, best_S_strat=,0.773331, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.701976, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174053, actvprof=,0.001111, id=,B02, PRJADE,actvstrat=,0.874293, actvprof=,0.040973, id=,B03, PRDE,actvstrat=,-0.038821, actvprof=,0.050279, id=,B04, PRJADE,actvstrat=,0.453182, actvprof=,0.384316, id=,B05, PRDE,actvstrat=,0.390604, actvprof=,0.875858, id=,B06, PRJADE,actvstrat=,-0.265151, actvprof=,1.048779, id=,B07, PRDE,actvstrat=,0.384169, actvprof=,2.403956, id=,B08, PRDE,actvstrat=,-0.837575, actvprof=,2.899247, id=,B09, PRJADE,actvstrat=,-0.706563, actvprof=,4.003861, id=,S00, PRJADE,actvstrat=,0.773331, actvprof=,5.234451, id=,S01, PRDE,actvstrat=,0.820045, actvprof=,3.885941, id=,S02, PRJADE,actvstrat=,0.005720, actvprof=,0.952804, id=,S03, PRJADE,actvstrat=,0.720639, actvprof=,1.274202, id=,S04, PRJADE,actvstrat=,0.216887, actvprof=,0.196117, id=,S05, PRDE,actvstrat=,0.083695, actvprof=,0.065002, id=,S06, PRJADE,actvstrat=,0.631184, actvprof=,0.028056, id=,S07, PRDE,actvstrat=,-0.760009, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.630250, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.107398, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.003861, best_B_strat=,-0.706563, best_S_id=,S00, best_S_prof=,5.234451, best_S_strat=,0.773331, 
