t=,0, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,3600, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,7200, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,10800, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,14400, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,18000, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,21600, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,25200, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,28800, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,32400, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
t=,36000, id=,B00, PRJADE, mu_F,=1.000000, id=,B01, PRJADE, mu_F,=1.000000, id=,B03, PRJADE, mu_F,=1.000000, id=,B08, PRJADE, mu_F,=1.000000, id=,B09, PRJADE, mu_F,=1.000000, id=,S02, PRJADE, mu_F,=1.000000, id=,S03, PRJADE, mu_F,=1.000000, id=,S04, PRJADE, mu_F,=1.000000, id=,S05, PRJADE, mu_F,=1.000000, id=,S06, PRJADE, mu_F,=1.000000, 
