t=,1, id=,B00, PRJADE,actvstrat=,0.287096, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.793265, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.980594, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.282060, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.238562, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.127070, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.984728, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.049119, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.605295, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.858974, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.266033, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.854645, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.369616, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.719477, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.970084, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.798837, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.341712, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.480647, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.713567, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.136489, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.287096, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.266033, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.287096, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.793265, actvprof=,0.000278, id=,B02, PRJADE,actvstrat=,-0.980594, actvprof=,0.033611, id=,B03, PRDE,actvstrat=,-0.282060, actvprof=,0.028889, id=,B04, PRDE,actvstrat=,-0.238562, actvprof=,0.165278, id=,B05, PRJADE,actvstrat=,-0.127070, actvprof=,0.508056, id=,B06, PRJADE,actvstrat=,0.984728, actvprof=,1.290278, id=,B07, PRDE,actvstrat=,-0.049119, actvprof=,2.338611, id=,B08, PRDE,actvstrat=,-0.605295, actvprof=,2.796389, id=,B09, PRJADE,actvstrat=,-0.858974, actvprof=,3.629167, id=,S00, PRDE,actvstrat=,0.266033, actvprof=,3.586111, id=,S01, PRJADE,actvstrat=,0.854645, actvprof=,4.188889, id=,S02, PRDE,actvstrat=,-0.369616, actvprof=,0.507222, id=,S03, PRDE,actvstrat=,-0.719477, actvprof=,0.179167, id=,S04, PRJADE,actvstrat=,0.970084, actvprof=,1.359444, id=,S05, PRJADE,actvstrat=,0.798837, actvprof=,0.315833, id=,S06, PRDE,actvstrat=,-0.341712, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.480647, actvprof=,0.000833, id=,S08, PRJADE,actvstrat=,0.713567, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.136489, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.629167, best_B_strat=,-0.858974, best_S_id=,S01, best_S_prof=,4.188889, best_S_strat=,0.854645, 
t=,7200, id=,B00, PRJADE,actvstrat=,0.329582, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.633751, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.046714, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.632144, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.229595, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.284296, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.114479, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.216640, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.732268, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.078198, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.694775, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.667826, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.826503, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.510305, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.790415, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.460419, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.144237, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.382384, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.329582, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.078198, 
t=,10800, id=,B00, PRJADE,actvstrat=,0.329582, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.633751, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.046714, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.632144, actvprof=,0.041111, id=,B05, PRJADE,actvstrat=,-0.229595, actvprof=,0.048055, id=,B06, PRJADE,actvstrat=,0.284296, actvprof=,0.347773, id=,B07, PRDE,actvstrat=,-0.114479, actvprof=,0.415550, id=,B08, PRDE,actvstrat=,0.216640, actvprof=,1.269149, id=,B09, PRJADE,actvstrat=,0.732268, actvprof=,2.623575, id=,S00, PRDE,actvstrat=,-0.078198, actvprof=,4.162442, id=,S01, PRJADE,actvstrat=,-0.694775, actvprof=,1.939418, id=,S02, PRDE,actvstrat=,-0.667826, actvprof=,1.194428, id=,S03, PRDE,actvstrat=,-0.826503, actvprof=,0.331107, id=,S04, PRJADE,actvstrat=,-0.510305, actvprof=,0.412216, id=,S05, PRJADE,actvstrat=,-1.000000, actvprof=,1.067207, id=,S06, PRDE,actvstrat=,-0.790415, actvprof=,0.045833, id=,S07, PRJADE,actvstrat=,0.460419, actvprof=,0.117221, id=,S08, PRJADE,actvstrat=,0.144237, actvprof=,0.011944, id=,S09, PRDE,actvstrat=,0.382384, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.623575, best_B_strat=,0.732268, best_S_id=,S00, best_S_prof=,4.162442, best_S_strat=,-0.078198, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.421086, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.536510, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.655631, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.282060, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.719873, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.236149, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.480271, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.408884, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.053200, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.766400, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.041703, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.780536, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.152171, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.326592, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.092525, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.070832, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.257369, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.353411, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.569372, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.255932, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.421086, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.041703, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.421086, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.536510, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.655631, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.282060, actvprof=,0.037778, id=,B04, PRDE,actvstrat=,0.719873, actvprof=,0.357222, id=,B05, PRJADE,actvstrat=,-0.236149, actvprof=,0.207500, id=,B06, PRJADE,actvstrat=,0.480271, actvprof=,1.072222, id=,B07, PRDE,actvstrat=,0.408884, actvprof=,1.728056, id=,B08, PRDE,actvstrat=,0.053200, actvprof=,1.835556, id=,B09, PRJADE,actvstrat=,0.766400, actvprof=,3.535000, id=,S00, PRDE,actvstrat=,0.041703, actvprof=,4.875556, id=,S01, PRJADE,actvstrat=,0.780536, actvprof=,5.834722, id=,S02, PRDE,actvstrat=,0.152171, actvprof=,3.103056, id=,S03, PRDE,actvstrat=,-0.326592, actvprof=,0.908333, id=,S04, PRJADE,actvstrat=,0.092525, actvprof=,1.096111, id=,S05, PRJADE,actvstrat=,-0.070832, actvprof=,0.372500, id=,S06, PRDE,actvstrat=,-0.257369, actvprof=,0.077222, id=,S07, PRJADE,actvstrat=,-0.353411, actvprof=,0.010833, id=,S08, PRJADE,actvstrat=,-0.569372, actvprof=,0.007500, id=,S09, PRDE,actvstrat=,0.255932, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.535000, best_B_strat=,0.766400, best_S_id=,S01, best_S_prof=,5.834722, best_S_strat=,0.780536, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.421086, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.536510, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.655631, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,-0.282060, actvprof=,0.022222, id=,B04, PRDE,actvstrat=,0.719873, actvprof=,0.340833, id=,B05, PRJADE,actvstrat=,-0.236149, actvprof=,0.266667, id=,B06, PRJADE,actvstrat=,0.480271, actvprof=,0.990833, id=,B07, PRDE,actvstrat=,0.408884, actvprof=,1.689583, id=,B08, PRDE,actvstrat=,0.053200, actvprof=,1.916528, id=,B09, PRJADE,actvstrat=,0.766400, actvprof=,3.498472, id=,S00, PRDE,actvstrat=,0.041703, actvprof=,4.720278, id=,S01, PRJADE,actvstrat=,0.780536, actvprof=,5.959306, id=,S02, PRDE,actvstrat=,0.152171, actvprof=,2.987083, id=,S03, PRDE,actvstrat=,-0.326592, actvprof=,0.828889, id=,S04, PRJADE,actvstrat=,0.092525, actvprof=,1.105694, id=,S05, PRJADE,actvstrat=,-0.070832, actvprof=,0.364444, id=,S06, PRDE,actvstrat=,-0.257369, actvprof=,0.076250, id=,S07, PRJADE,actvstrat=,-0.353411, actvprof=,0.015833, id=,S08, PRJADE,actvstrat=,-0.569372, actvprof=,0.004583, id=,S09, PRDE,actvstrat=,0.255932, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.498472, best_B_strat=,0.766400, best_S_id=,S01, best_S_prof=,5.959306, best_S_strat=,0.780536, 
t=,25200, id=,B00, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.145256, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,-0.299281, actvprof=,0.014167, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,0.715020, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,1.427817, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.927581, id=,B08, PRDE,actvstrat=,-0.070839, actvprof=,2.809245, id=,B09, PRJADE,actvstrat=,0.578412, actvprof=,5.680991, id=,S00, PRDE,actvstrat=,0.446556, actvprof=,4.897914, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,4.165671, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.104531, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.002000, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,1.103642, id=,S05, PRJADE,actvstrat=,0.624934, actvprof=,0.238896, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.119170, id=,S07, PRJADE,actvstrat=,-0.341649, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.736237, actvprof=,0.001944, id=,S09, PRDE,actvstrat=,-0.902561, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.680991, best_B_strat=,0.578412, best_S_id=,S00, best_S_prof=,4.897914, best_S_strat=,0.446556, 
t=,28800, id=,B00, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.145256, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.009306, id=,B04, PRDE,actvstrat=,-0.299281, actvprof=,0.010417, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,0.701676, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,1.345019, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.876984, id=,B08, PRDE,actvstrat=,-0.070839, actvprof=,2.795872, id=,B09, PRJADE,actvstrat=,0.578412, actvprof=,5.595355, id=,S00, PRDE,actvstrat=,0.446556, actvprof=,4.908263, id=,S01, PRJADE,actvstrat=,-1.000000, actvprof=,4.142419, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.130877, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.066834, id=,S04, PRJADE,actvstrat=,-1.000000, actvprof=,1.093904, id=,S05, PRJADE,actvstrat=,0.624934, actvprof=,0.222503, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.106251, id=,S07, PRJADE,actvstrat=,-0.341649, actvprof=,0.002361, id=,S08, PRJADE,actvstrat=,0.736237, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,-0.902561, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.595355, best_B_strat=,0.578412, best_S_id=,S00, best_S_prof=,4.908263, best_S_strat=,0.446556, 
t=,32400, id=,B00, PRJADE,actvstrat=,-0.722110, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.151693, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.122830, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.197614, actvprof=,0.019445, id=,B04, PRDE,actvstrat=,-0.886431, actvprof=,0.126670, id=,B05, PRJADE,actvstrat=,-0.164886, actvprof=,0.140004, id=,B06, PRJADE,actvstrat=,0.303379, actvprof=,0.802522, id=,B07, PRDE,actvstrat=,0.596026, actvprof=,1.925609, id=,B08, PRDE,actvstrat=,-0.391295, actvprof=,1.700603, id=,B09, PRJADE,actvstrat=,-0.315912, actvprof=,2.543682, id=,S00, PRDE,actvstrat=,-0.449194, actvprof=,2.177560, id=,S01, PRJADE,actvstrat=,0.320960, actvprof=,3.376205, id=,S02, PRDE,actvstrat=,-0.439025, actvprof=,0.931415, id=,S03, PRDE,actvstrat=,0.660076, actvprof=,1.930054, id=,S04, PRJADE,actvstrat=,0.391721, actvprof=,0.713909, id=,S05, PRJADE,actvstrat=,-0.217099, actvprof=,0.049724, id=,S06, PRDE,actvstrat=,0.587071, actvprof=,0.078891, id=,S07, PRJADE,actvstrat=,0.629280, actvprof=,0.010000, id=,S08, PRJADE,actvstrat=,-0.304748, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.831549, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.543682, best_B_strat=,-0.315912, best_S_id=,S01, best_S_prof=,3.376205, best_S_strat=,0.320960, 
t=,36000, id=,B00, PRJADE,actvstrat=,-0.722110, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.151693, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.122830, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.197614, actvprof=,0.020834, id=,B04, PRDE,actvstrat=,-0.886431, actvprof=,0.131808, id=,B05, PRJADE,actvstrat=,-0.164886, actvprof=,0.168059, id=,B06, PRJADE,actvstrat=,0.303379, actvprof=,0.815017, id=,B07, PRDE,actvstrat=,0.596026, actvprof=,1.898373, id=,B08, PRDE,actvstrat=,-0.391295, actvprof=,1.745175, id=,B09, PRJADE,actvstrat=,-0.315912, actvprof=,2.658666, id=,S00, PRDE,actvstrat=,-0.449194, actvprof=,2.155600, id=,S01, PRJADE,actvstrat=,0.320960, actvprof=,3.351875, id=,S02, PRDE,actvstrat=,-0.439025, actvprof=,0.836406, id=,S03, PRDE,actvstrat=,0.660076, actvprof=,1.953513, id=,S04, PRJADE,actvstrat=,0.391721, actvprof=,0.735154, id=,S05, PRJADE,actvstrat=,-0.217099, actvprof=,0.060140, id=,S06, PRDE,actvstrat=,0.587071, actvprof=,0.077363, id=,S07, PRJADE,actvstrat=,0.629280, actvprof=,0.006250, id=,S08, PRJADE,actvstrat=,-0.304748, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.831549, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.658666, best_B_strat=,-0.315912, best_S_id=,S01, best_S_prof=,3.351875, best_S_strat=,0.320960, 
