t=,1, id=,B00, PRJADE,actvstrat=,0.797047, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.728779, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.044504, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.088733, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.992068, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.996488, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.941599, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.433929, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.233111, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.119159, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.717889, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.697369, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.105522, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.205348, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.461329, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.073090, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.545500, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.252008, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.428580, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.525439, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.797047, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.717889, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.797047, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.728779, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.044504, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.088733, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.992068, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,-0.996488, actvprof=,0.101667, id=,B06, PRJADE,actvstrat=,-0.941599, actvprof=,0.163056, id=,B07, PRDE,actvstrat=,0.433929, actvprof=,0.525556, id=,B08, PRDE,actvstrat=,0.233111, actvprof=,0.990000, id=,B09, PRDE,actvstrat=,-0.119159, actvprof=,1.336944, id=,S00, PRDE,actvstrat=,-0.717889, actvprof=,2.080000, id=,S01, PRJADE,actvstrat=,-0.697369, actvprof=,1.353611, id=,S02, PRJADE,actvstrat=,-0.105522, actvprof=,1.855000, id=,S03, PRJADE,actvstrat=,0.205348, actvprof=,1.956944, id=,S04, PRDE,actvstrat=,-0.461329, actvprof=,0.301111, id=,S05, PRJADE,actvstrat=,0.073090, actvprof=,0.360278, id=,S06, PRDE,actvstrat=,-0.545500, actvprof=,0.012500, id=,S07, PRDE,actvstrat=,0.252008, actvprof=,0.028056, id=,S08, PRDE,actvstrat=,0.428580, actvprof=,0.002222, id=,S09, PRJADE,actvstrat=,-0.525439, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.336944, best_B_strat=,-0.119159, best_S_id=,S00, best_S_prof=,2.080000, best_S_strat=,-0.717889, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.115968, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.813529, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.790747, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.148679, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.960381, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.001513, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.127573, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.806162, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.885540, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.670137, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.629140, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.501803, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.384025, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.025350, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.289179, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.707660, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.206191, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.793528, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.214415, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.115968, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.629140, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.115968, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.813529, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.790747, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.148679, actvprof=,0.003333, id=,B04, PRJADE,actvstrat=,0.960381, actvprof=,0.106665, id=,B05, PRDE,actvstrat=,0.001513, actvprof=,0.082777, id=,B06, PRJADE,actvstrat=,0.127573, actvprof=,0.537493, id=,B07, PRDE,actvstrat=,0.806162, actvprof=,1.936918, id=,B08, PRDE,actvstrat=,-0.885540, actvprof=,1.161095, id=,B09, PRDE,actvstrat=,0.670137, actvprof=,4.224664, id=,S00, PRDE,actvstrat=,-0.629140, actvprof=,2.073582, id=,S01, PRJADE,actvstrat=,-0.501803, actvprof=,1.687199, id=,S02, PRJADE,actvstrat=,0.384025, actvprof=,2.563298, id=,S03, PRJADE,actvstrat=,0.025350, actvprof=,0.948320, id=,S04, PRDE,actvstrat=,0.289179, actvprof=,0.850544, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.804989, id=,S06, PRDE,actvstrat=,0.707660, actvprof=,0.301107, id=,S07, PRDE,actvstrat=,-0.206191, actvprof=,0.007500, id=,S08, PRDE,actvstrat=,0.793528, actvprof=,0.012778, id=,S09, PRJADE,actvstrat=,-0.214415, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.224664, best_B_strat=,0.670137, best_S_id=,S02, best_S_prof=,2.563298, best_S_strat=,0.384025, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.652891, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.621778, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.160350, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.148679, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.123036, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.102039, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.717093, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.166160, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.480820, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.034051, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.362545, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.946385, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.193078, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.870065, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.190489, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.733361, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.707660, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.078839, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.903469, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.346830, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.652891, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.362545, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.652891, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.621778, actvprof=,0.000278, id=,B02, PRJADE,actvstrat=,-0.160350, actvprof=,0.009444, id=,B03, PRDE,actvstrat=,-0.148679, actvprof=,0.053611, id=,B04, PRJADE,actvstrat=,-0.123036, actvprof=,0.124444, id=,B05, PRDE,actvstrat=,0.102039, actvprof=,0.472778, id=,B06, PRJADE,actvstrat=,0.717093, actvprof=,1.307222, id=,B07, PRDE,actvstrat=,0.166160, actvprof=,1.424722, id=,B08, PRDE,actvstrat=,-0.480820, actvprof=,1.783056, id=,B09, PRDE,actvstrat=,0.034051, actvprof=,2.571111, id=,S00, PRDE,actvstrat=,0.362545, actvprof=,4.698056, id=,S01, PRJADE,actvstrat=,0.946385, actvprof=,5.464444, id=,S02, PRJADE,actvstrat=,-0.193078, actvprof=,1.042778, id=,S03, PRJADE,actvstrat=,-0.870065, actvprof=,0.125556, id=,S04, PRDE,actvstrat=,-0.190489, actvprof=,0.221667, id=,S05, PRJADE,actvstrat=,-0.733361, actvprof=,0.031944, id=,S06, PRDE,actvstrat=,0.707660, actvprof=,0.251389, id=,S07, PRDE,actvstrat=,0.078839, actvprof=,0.018611, id=,S08, PRDE,actvstrat=,0.903469, actvprof=,0.023056, id=,S09, PRJADE,actvstrat=,0.346830, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.571111, best_B_strat=,0.034051, best_S_id=,S01, best_S_prof=,5.464444, best_S_strat=,0.946385, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.652891, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.621778, actvprof=,0.001806, id=,B02, PRJADE,actvstrat=,-0.160350, actvprof=,0.007222, id=,B03, PRDE,actvstrat=,-0.148679, actvprof=,0.048056, id=,B04, PRJADE,actvstrat=,-0.123036, actvprof=,0.135139, id=,B05, PRDE,actvstrat=,0.102039, actvprof=,0.427222, id=,B06, PRJADE,actvstrat=,0.717093, actvprof=,1.358333, id=,B07, PRDE,actvstrat=,0.166160, actvprof=,1.455278, id=,B08, PRDE,actvstrat=,-0.480820, actvprof=,1.834583, id=,B09, PRDE,actvstrat=,0.034051, actvprof=,2.528333, id=,S00, PRDE,actvstrat=,0.362545, actvprof=,4.808056, id=,S01, PRJADE,actvstrat=,0.946385, actvprof=,5.419306, id=,S02, PRJADE,actvstrat=,-0.193078, actvprof=,1.048194, id=,S03, PRJADE,actvstrat=,-0.870065, actvprof=,0.123472, id=,S04, PRDE,actvstrat=,-0.190489, actvprof=,0.207361, id=,S05, PRJADE,actvstrat=,-0.733361, actvprof=,0.043056, id=,S06, PRDE,actvstrat=,0.707660, actvprof=,0.243056, id=,S07, PRDE,actvstrat=,0.078839, actvprof=,0.018472, id=,S08, PRDE,actvstrat=,0.903469, actvprof=,0.024722, id=,S09, PRJADE,actvstrat=,0.346830, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.528333, best_B_strat=,0.034051, best_S_id=,S01, best_S_prof=,5.419306, best_S_strat=,0.946385, 
t=,25200, id=,B00, PRJADE,actvstrat=,-0.304339, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.450722, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.585513, actvprof=,0.048334, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.089446, id=,B04, PRJADE,actvstrat=,-0.601813, actvprof=,0.150280, id=,B05, PRDE,actvstrat=,0.842457, actvprof=,0.920013, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,2.391422, id=,B07, PRDE,actvstrat=,-0.074886, actvprof=,1.562244, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.875068, id=,B09, PRDE,actvstrat=,0.741333, actvprof=,5.179239, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.198697, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,4.744233, id=,S02, PRJADE,actvstrat=,0.302200, actvprof=,1.644467, id=,S03, PRJADE,actvstrat=,0.686750, actvprof=,1.391964, id=,S04, PRDE,actvstrat=,0.865397, actvprof=,1.100293, id=,S05, PRJADE,actvstrat=,-1.000000, actvprof=,0.584730, id=,S06, PRDE,actvstrat=,-0.271096, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.022500, id=,S08, PRDE,actvstrat=,-0.361333, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.047334, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.179239, best_B_strat=,0.741333, best_S_id=,S00, best_S_prof=,6.198697, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,-0.304339, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.450722, actvprof=,0.001389, id=,B02, PRJADE,actvstrat=,0.585513, actvprof=,0.045139, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.105278, id=,B04, PRJADE,actvstrat=,-0.601813, actvprof=,0.178472, id=,B05, PRDE,actvstrat=,0.842457, actvprof=,0.939167, id=,B06, PRJADE,actvstrat=,-1.000000, actvprof=,2.446667, id=,B07, PRDE,actvstrat=,-0.074886, actvprof=,1.606250, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.785972, id=,B09, PRDE,actvstrat=,0.741333, actvprof=,5.164444, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.095972, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,4.725139, id=,S02, PRJADE,actvstrat=,0.302200, actvprof=,1.718194, id=,S03, PRJADE,actvstrat=,0.686750, actvprof=,1.369306, id=,S04, PRDE,actvstrat=,0.865397, actvprof=,1.071528, id=,S05, PRJADE,actvstrat=,-1.000000, actvprof=,0.569583, id=,S06, PRDE,actvstrat=,-0.271096, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.032778, id=,S08, PRDE,actvstrat=,-0.361333, actvprof=,0.001111, id=,S09, PRJADE,actvstrat=,0.047334, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.164444, best_B_strat=,0.741333, best_S_id=,S00, best_S_prof=,6.095972, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRJADE,actvstrat=,-0.642828, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.079441, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.165081, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.165629, actvprof=,0.014167, id=,B04, PRJADE,actvstrat=,-0.428681, actvprof=,0.053890, id=,B05, PRDE,actvstrat=,-0.428351, actvprof=,0.179727, id=,B06, PRJADE,actvstrat=,-0.887902, actvprof=,0.849746, id=,B07, PRDE,actvstrat=,0.584864, actvprof=,1.857274, id=,B08, PRDE,actvstrat=,-0.053610, actvprof=,2.207284, id=,B09, PRDE,actvstrat=,-0.130409, actvprof=,2.654240, id=,S00, PRDE,actvstrat=,-0.629140, actvprof=,1.684213, id=,S01, PRJADE,actvstrat=,0.737247, actvprof=,4.773466, id=,S02, PRJADE,actvstrat=,-0.419787, actvprof=,0.608906, id=,S03, PRJADE,actvstrat=,0.537959, actvprof=,1.723103, id=,S04, PRDE,actvstrat=,0.463931, actvprof=,0.880302, id=,S05, PRJADE,actvstrat=,-0.872989, actvprof=,0.008056, id=,S06, PRDE,actvstrat=,-0.229473, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,-0.373564, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.235583, actvprof=,0.002778, id=,S09, PRJADE,actvstrat=,0.937791, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.654240, best_B_strat=,-0.130409, best_S_id=,S01, best_S_prof=,4.773466, best_S_strat=,0.737247, 
t=,36000, id=,B00, PRJADE,actvstrat=,-0.642828, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.079441, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.165081, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.165629, actvprof=,0.020695, id=,B04, PRJADE,actvstrat=,-0.428681, actvprof=,0.057779, id=,B05, PRDE,actvstrat=,-0.428351, actvprof=,0.201392, id=,B06, PRJADE,actvstrat=,-0.887902, actvprof=,0.807372, id=,B07, PRDE,actvstrat=,0.584864, actvprof=,1.872109, id=,B08, PRDE,actvstrat=,-0.053610, actvprof=,2.083362, id=,B09, PRDE,actvstrat=,-0.130409, actvprof=,2.753372, id=,S00, PRDE,actvstrat=,-0.629140, actvprof=,1.575022, id=,S01, PRJADE,actvstrat=,0.737247, actvprof=,4.792844, id=,S02, PRJADE,actvstrat=,-0.419787, actvprof=,0.634592, id=,S03, PRJADE,actvstrat=,0.537959, actvprof=,1.738357, id=,S04, PRDE,actvstrat=,0.463931, actvprof=,0.878068, id=,S05, PRJADE,actvstrat=,-0.872989, actvprof=,0.013472, id=,S06, PRDE,actvstrat=,-0.229473, actvprof=,0.012778, id=,S07, PRDE,actvstrat=,-0.373564, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.235583, actvprof=,0.001389, id=,S09, PRJADE,actvstrat=,0.937791, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.753372, best_B_strat=,-0.130409, best_S_id=,S01, best_S_prof=,4.792844, best_S_strat=,0.737247, 
