B00, 100
B00, Trade, 1483658.801, 60, B00, S00, 1
B00, Trade, 1484192.251, 60, S00, B00, 1
B00, Trade, 1484765.751, 60, B00, S00, 1
B00, Trade, 1485236.401, 60, B00, S00, 1
B00, Trade, 1485249.051, 60, S00, B00, 1
B00, Trade, 1485605.251, 60, B00, S00, 1
B00, Trade, 1487833.501, 60, B00, S00, 1
B00, Trade, 1489396.901, 60, B00, S00, 1
B00, Trade, 1685696.751, 60, B00, S00, 1
B00, Trade, 1686676.951, 60, B00, S00, 1
B00, Trade, 1687449.751, 60, B00, S00, 1
B00, Trade, 1688068.401, 60, B00, S00, 1
B00, Trade, 1690198.751, 60, B00, S00, 1
B00, Trade, 1908564.801, 60, B00, S00, 1
B00, Trade, 1908951.451, 60, B00, S00, 1
B00, Trade, 1912862.851, 60, S00, B00, 1
B00, Trade, 2172279.551, 60, B00, S00, 1
B00, Trade, 2370152.750, 60, S00, B00, 1
B00, Trade, 2370689.500, 60, S00, B00, 1
B00, Trade, 2370973.200, 60, B00, S00, 1
B00, Trade, 2372741.900, 60, B00, S00, 1
B00, Trade, 2374264.350, 60, S00, B00, 1
B00, Trade, 2498966.550, 60, B00, S00, 1
B00, Trade, 2500050.250, 60, B00, S00, 1
B00, Trade, 2501236.200, 60, B00, S00, 1
B00, Trade, 2502338.850, 60, B00, S00, 1
B00, Trade, 2502485.550, 60, B00, S00, 1
B00, Trade, 2505156.100, 60, B00, S00, 1
B00, Trade, 2505318.050, 60, B00, S00, 1
B00, Trade, 2635482.299, 60, B00, S00, 1
B00, Trade, 2637580.049, 60, B00, S00, 1
B00, Trade, 2659901.199, 60, S00, B00, 1
B00, Trade, 2692820.849, 60, B00, S00, 1
B00, Trade, 2693562.149, 60, B00, S00, 1
B00, Trade, 2693715.899, 60, B00, S00, 1
B00, Trade, 2693784.449, 60, B00, S00, 1
B00, Trade, 2693835.399, 60, B00, S00, 1
B00, Trade, 2693867.099, 60, B00, S00, 1
B00, Trade, 2693878.699, 60, B00, S00, 1
B00, Trade, 2694249.549, 60, B00, S00, 1
B00, Trade, 2694783.949, 60, B00, S00, 1
B00, Trade, 2694820.799, 60, B00, S00, 1
B00, Trade, 2695276.649, 60, B00, S00, 1
B00, Trade, 2695750.799, 60, B00, S00, 1
B00, Trade, 2696166.899, 60, B00, S00, 1
B00, Trade, 2696372.449, 60, B00, S00, 1
B00, Trade, 2696672.349, 60, B00, S00, 1
B00, Trade, 2696838.299, 60, B00, S00, 1
B00, Trade, 2696861.649, 60, B00, S00, 1
B00, Trade, 2696920.199, 60, B00, S00, 1
B00, Trade, 2697107.549, 60, S00, B00, 1
B00, Trade, 2697279.799, 60, B00, S00, 1
B00, Trade, 2697666.799, 60, B00, S00, 1
B00, Trade, 2697878.099, 60, B00, S00, 1
B00, Trade, 2697939.349, 60, B00, S00, 1
B00, Trade, 2698070.799, 60, B00, S00, 1
B00, Trade, 2698269.799, 60, B00, S00, 1
B00, Trade, 2698300.699, 60, B00, S00, 1
B00, Trade, 2698589.899, 60, B00, S00, 1
B00, Trade, 2698634.049, 60, B00, S00, 1
B00, Trade, 2698663.849, 60, B00, S00, 1
B00, Trade, 2698936.899, 60, B00, S00, 1
B00, Trade, 2699145.699, 60, S00, B00, 1
B00, Trade, 2699385.749, 60, B00, S00, 1
B00, Trade, 2699762.499, 60, B00, S00, 1
B00, Trade, 2699795.599, 60, B00, S00, 1
B00, Trade, 2699855.599, 60, B00, S00, 1
B00, Trade, 2700226.299, 60, B00, S00, 1
B00, Trade, 2702301.749, 60, B00, S00, 1
B00, Trade, 2703757.399, 60, S00, B00, 1
B00, Trade, 2704442.899, 60, B00, S00, 1
B00, Trade, 2705616.899, 60, B00, S00, 1
B00, Trade, 2706195.999, 60, S00, B00, 1
B00, Trade, 3174622.997, 60, S00, B00, 1
B00, Trade, 3243563.047, 60, S00, B00, 1
B00, Trade, 3644941.146, 60, S00, B00, 1
B00, Trade, 3706458.795, 60, B00, S00, 1
B00, Trade, 3724105.295, 60, B00, S00, 1
B00, Trade, 3725784.595, 60, B00, S00, 1
B00, Trade, 3726944.795, 60, B00, S00, 1
B00, Trade, 3727052.395, 60, B00, S00, 1
B00, Trade, 3728581.395, 60, B00, S00, 1
B00, Trade, 3781668.495, 60, S00, B00, 1
B00, Trade, 3783946.945, 60, B00, S00, 1
B00, Trade, 3914837.845, 60, B00, S00, 1
B00, Trade, 3915371.995, 60, B00, S00, 1
B00, Trade, 4115410.444, 60, B00, S00, 1
B00, Trade, 4116191.194, 60, B00, S00, 1
B00, Trade, 4116609.144, 60, B00, S00, 1
B00, Trade, 4117164.594, 60, B00, S00, 1
B00, Trade, 4117367.894, 60, B00, S00, 1
B00, Trade, 4117614.844, 60, B00, S00, 1
B00, Trade, 4117630.094, 60, B00, S00, 1
B00, Trade, 4118049.844, 60, B00, S00, 1
B00, Trade, 4300166.243, 60, B00, S00, 1
B00, Trade, 4307276.443, 60, B00, S00, 1
B00, Trade, 4307775.143, 60, B00, S00, 1
B00, Trade, 4308694.043, 60, B00, S00, 1
B00, Trade, 4311198.793, 60, B00, S00, 1
B00, Trade, 4311598.543, 60, B00, S00, 1
B01, 100
B01, Trade, 4195401.244, 68, B01, S00, 1
B01, Trade, 4195963.344, 67, B01, S00, 1
B01, Trade, 4196081.394, 68, B01, S00, 1
B01, Trade, 4197444.694, 68, B01, S00, 1
B01, Trade, 4212490.643, 68, B01, S00, 1
B01, Trade, 4212640.543, 67, B01, S00, 1
B01, Trade, 4212870.343, 68, B01, S00, 1
