t=,1, id=,B00, PRJADE,actvstrat=,0.186762, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.111928, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.947661, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.218829, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.198035, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.241555, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.762051, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.345678, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.612107, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.918947, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.599218, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.073241, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.796190, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.763220, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.306696, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.732107, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.428346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.320448, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.514716, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.674218, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.186762, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.599218, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.186762, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.111928, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.947661, actvprof=,0.030556, id=,B03, PRDE,actvstrat=,0.218829, actvprof=,0.073889, id=,B04, PRDE,actvstrat=,0.198035, actvprof=,0.323056, id=,B05, PRDE,actvstrat=,-0.241555, actvprof=,0.458333, id=,B06, PRJADE,actvstrat=,-0.762051, actvprof=,0.877222, id=,B07, PRJADE,actvstrat=,0.345678, actvprof=,2.708889, id=,B08, PRDE,actvstrat=,0.612107, actvprof=,4.171111, id=,B09, PRJADE,actvstrat=,-0.918947, actvprof=,3.878889, id=,S00, PRDE,actvstrat=,0.599218, actvprof=,4.353889, id=,S01, PRJADE,actvstrat=,0.073241, actvprof=,1.826667, id=,S02, PRDE,actvstrat=,0.796190, actvprof=,2.537778, id=,S03, PRDE,actvstrat=,0.763220, actvprof=,1.695833, id=,S04, PRJADE,actvstrat=,0.306696, actvprof=,0.365556, id=,S05, PRJADE,actvstrat=,0.732107, actvprof=,0.331111, id=,S06, PRJADE,actvstrat=,-0.428346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.320448, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.514716, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.674218, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.171111, best_B_strat=,0.612107, best_S_id=,S00, best_S_prof=,4.353889, best_S_strat=,0.599218, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.181020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.570320, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.556587, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.442651, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.354539, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.460677, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.088998, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.785278, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.346564, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.869629, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.493733, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.093153, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.165064, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.460726, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.145644, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.413513, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.515673, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.321616, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.623554, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.815576, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.181020, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.493733, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.181020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.570320, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.556587, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.442651, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.354539, actvprof=,0.108057, id=,B05, PRDE,actvstrat=,-0.460677, actvprof=,0.222781, id=,B06, PRJADE,actvstrat=,-0.088998, actvprof=,0.688343, id=,B07, PRJADE,actvstrat=,-0.785278, actvprof=,0.919179, id=,B08, PRDE,actvstrat=,-0.346564, actvprof=,1.835859, id=,B09, PRJADE,actvstrat=,-0.869629, actvprof=,2.342533, id=,S00, PRDE,actvstrat=,-0.493733, actvprof=,1.220017, id=,S01, PRJADE,actvstrat=,0.093153, actvprof=,1.804747, id=,S02, PRDE,actvstrat=,0.165064, actvprof=,0.960569, id=,S03, PRDE,actvstrat=,0.460726, actvprof=,0.758622, id=,S04, PRJADE,actvstrat=,0.145644, actvprof=,0.131391, id=,S05, PRJADE,actvstrat=,-0.413513, actvprof=,0.005278, id=,S06, PRJADE,actvstrat=,0.515673, actvprof=,0.008611, id=,S07, PRDE,actvstrat=,0.321616, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.623554, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.815576, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.342533, best_B_strat=,-0.869629, best_S_id=,S01, best_S_prof=,1.804747, best_S_strat=,0.093153, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.181020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.570320, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.556587, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.442651, actvprof=,0.010695, id=,B04, PRDE,actvstrat=,0.354539, actvprof=,0.117779, id=,B05, PRDE,actvstrat=,-0.460677, actvprof=,0.212224, id=,B06, PRJADE,actvstrat=,-0.088998, actvprof=,0.654866, id=,B07, PRJADE,actvstrat=,-0.785278, actvprof=,0.908201, id=,B08, PRDE,actvstrat=,-0.346564, actvprof=,1.807651, id=,B09, PRJADE,actvstrat=,-0.869629, actvprof=,2.299460, id=,S00, PRDE,actvstrat=,-0.493733, actvprof=,1.137091, id=,S01, PRJADE,actvstrat=,0.093153, actvprof=,1.776818, id=,S02, PRDE,actvstrat=,0.165064, actvprof=,1.022785, id=,S03, PRDE,actvstrat=,0.460726, actvprof=,0.705560, id=,S04, PRJADE,actvstrat=,0.145644, actvprof=,0.130695, id=,S05, PRJADE,actvstrat=,-0.413513, actvprof=,0.005278, id=,S06, PRJADE,actvstrat=,0.515673, actvprof=,0.015278, id=,S07, PRDE,actvstrat=,0.321616, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-0.623554, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.815576, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.299460, best_B_strat=,-0.869629, best_S_id=,S01, best_S_prof=,1.776818, best_S_strat=,0.093153, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.637430, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732667, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.522779, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.010740, actvprof=,0.039168, id=,B04, PRDE,actvstrat=,0.248833, actvprof=,0.211117, id=,B05, PRDE,actvstrat=,-0.241555, actvprof=,0.400844, id=,B06, PRJADE,actvstrat=,-0.465867, actvprof=,0.720576, id=,B07, PRJADE,actvstrat=,-0.225578, actvprof=,0.980861, id=,B08, PRDE,actvstrat=,-0.348950, actvprof=,1.921720, id=,B09, PRJADE,actvstrat=,-0.147986, actvprof=,2.932026, id=,S00, PRDE,actvstrat=,0.574496, actvprof=,4.655129, id=,S01, PRJADE,actvstrat=,0.273222, actvprof=,2.578127, id=,S02, PRDE,actvstrat=,-0.552008, actvprof=,0.571405, id=,S03, PRDE,actvstrat=,-0.579750, actvprof=,0.232506, id=,S04, PRJADE,actvstrat=,-0.416363, actvprof=,0.106947, id=,S05, PRJADE,actvstrat=,-0.241489, actvprof=,0.042779, id=,S06, PRJADE,actvstrat=,0.388382, actvprof=,0.050557, id=,S07, PRDE,actvstrat=,0.406735, actvprof=,0.010000, id=,S08, PRDE,actvstrat=,0.352791, actvprof=,0.002222, id=,S09, PRJADE,actvstrat=,-0.664371, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.932026, best_B_strat=,-0.147986, best_S_id=,S00, best_S_prof=,4.655129, best_S_strat=,0.574496, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.637430, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732667, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.522779, actvprof=,0.007500, id=,B03, PRDE,actvstrat=,0.010740, actvprof=,0.049723, id=,B04, PRDE,actvstrat=,0.248833, actvprof=,0.226114, id=,B05, PRDE,actvstrat=,-0.241555, actvprof=,0.322782, id=,B06, PRJADE,actvstrat=,-0.465867, actvprof=,0.661676, id=,B07, PRJADE,actvstrat=,-0.225578, actvprof=,1.086682, id=,B08, PRDE,actvstrat=,-0.348950, actvprof=,1.808497, id=,B09, PRJADE,actvstrat=,-0.147986, actvprof=,2.900040, id=,S00, PRDE,actvstrat=,0.574496, actvprof=,4.734788, id=,S01, PRJADE,actvstrat=,0.273222, actvprof=,2.624759, id=,S02, PRDE,actvstrat=,-0.552008, actvprof=,0.529868, id=,S03, PRDE,actvstrat=,-0.579750, actvprof=,0.201808, id=,S04, PRJADE,actvstrat=,-0.416363, actvprof=,0.110418, id=,S05, PRJADE,actvstrat=,-0.241489, actvprof=,0.045417, id=,S06, PRJADE,actvstrat=,0.388382, actvprof=,0.072501, id=,S07, PRDE,actvstrat=,0.406735, actvprof=,0.011528, id=,S08, PRDE,actvstrat=,0.352791, actvprof=,0.001111, id=,S09, PRJADE,actvstrat=,-0.664371, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.900040, best_B_strat=,-0.147986, best_S_id=,S00, best_S_prof=,4.734788, best_S_strat=,0.574496, 
t=,25200, id=,B00, PRJADE,actvstrat=,-0.794363, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.281666, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.027500, id=,B04, PRDE,actvstrat=,-0.914987, actvprof=,0.041945, id=,B05, PRDE,actvstrat=,-0.519116, actvprof=,0.385283, id=,B06, PRJADE,actvstrat=,0.583815, actvprof=,2.666148, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,3.656162, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.126752, id=,B09, PRJADE,actvstrat=,-1.000000, actvprof=,5.481743, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.685065, id=,S01, PRJADE,actvstrat=,0.223568, actvprof=,1.766136, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.418089, id=,S03, PRDE,actvstrat=,0.955280, actvprof=,0.934457, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,0.288337, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.168891, id=,S06, PRJADE,actvstrat=,0.750948, actvprof=,0.033889, id=,S07, PRDE,actvstrat=,0.207569, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.567026, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.706317, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.126752, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.685065, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,-0.794363, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.281666, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.024723, id=,B04, PRDE,actvstrat=,-0.914987, actvprof=,0.042362, id=,B05, PRDE,actvstrat=,-0.519116, actvprof=,0.347368, id=,B06, PRJADE,actvstrat=,0.583815, actvprof=,2.706584, id=,B07, PRJADE,actvstrat=,-1.000000, actvprof=,3.684105, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.141517, id=,B09, PRJADE,actvstrat=,-1.000000, actvprof=,5.747342, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.779961, id=,S01, PRJADE,actvstrat=,0.223568, actvprof=,1.692396, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.417411, id=,S03, PRDE,actvstrat=,0.955280, actvprof=,0.901685, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,0.308479, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.145003, id=,S06, PRJADE,actvstrat=,0.750948, actvprof=,0.022362, id=,S07, PRDE,actvstrat=,0.207569, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.567026, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.706317, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.141517, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.779961, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.979989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.958654, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.764857, actvprof=,0.006667, id=,B03, PRDE,actvstrat=,0.460011, actvprof=,0.010834, id=,B04, PRDE,actvstrat=,-0.256141, actvprof=,0.034724, id=,B05, PRDE,actvstrat=,-0.166177, actvprof=,0.129174, id=,B06, PRJADE,actvstrat=,0.017096, actvprof=,0.594477, id=,B07, PRJADE,actvstrat=,0.015133, actvprof=,1.312017, id=,B08, PRDE,actvstrat=,0.341775, actvprof=,2.905717, id=,B09, PRJADE,actvstrat=,-0.911343, actvprof=,1.629813, id=,S00, PRDE,actvstrat=,-0.046707, actvprof=,2.661537, id=,S01, PRJADE,actvstrat=,-0.375428, actvprof=,1.085616, id=,S02, PRDE,actvstrat=,-0.195384, actvprof=,0.522807, id=,S03, PRDE,actvstrat=,0.110083, actvprof=,0.771987, id=,S04, PRJADE,actvstrat=,-0.198805, actvprof=,0.156398, id=,S05, PRJADE,actvstrat=,0.982003, actvprof=,0.659203, id=,S06, PRJADE,actvstrat=,-0.080527, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,0.690331, actvprof=,0.006111, id=,S08, PRDE,actvstrat=,0.477721, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.220875, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.905717, best_B_strat=,0.341775, best_S_id=,S00, best_S_prof=,2.661537, best_S_strat=,-0.046707, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.979989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.958654, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.764857, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.460011, actvprof=,0.013056, id=,B04, PRDE,actvstrat=,-0.256141, actvprof=,0.026945, id=,B05, PRDE,actvstrat=,-0.166177, actvprof=,0.133754, id=,B06, PRJADE,actvstrat=,0.017096, actvprof=,0.565710, id=,B07, PRJADE,actvstrat=,0.015133, actvprof=,1.327120, id=,B08, PRDE,actvstrat=,0.341775, actvprof=,2.857857, id=,B09, PRJADE,actvstrat=,-0.911343, actvprof=,1.627129, id=,S00, PRDE,actvstrat=,-0.046707, actvprof=,2.524653, id=,S01, PRJADE,actvstrat=,-0.375428, actvprof=,0.991000, id=,S02, PRDE,actvstrat=,-0.195384, actvprof=,0.606545, id=,S03, PRDE,actvstrat=,0.110083, actvprof=,0.799467, id=,S04, PRJADE,actvstrat=,-0.198805, actvprof=,0.126115, id=,S05, PRJADE,actvstrat=,0.982003, actvprof=,0.677519, id=,S06, PRJADE,actvstrat=,-0.080527, actvprof=,0.007500, id=,S07, PRDE,actvstrat=,0.690331, actvprof=,0.009306, id=,S08, PRDE,actvstrat=,0.477721, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.220875, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.857857, best_B_strat=,0.341775, best_S_id=,S00, best_S_prof=,2.524653, best_S_strat=,-0.046707, 
