t=,0, id=,B00, PRDE,actvstrat=,0.018412, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.722505, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.575642, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.244338, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.251213, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.093807, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.933407, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.335455, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.071756, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.580935, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.018412, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.093807, 
t=,3600, id=,B00, PRDE,actvstrat=,0.018412, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.722505, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.575642, actvprof=,0.089167, id=,B06, PRDE,actvstrat=,0.244338, actvprof=,1.327500, id=,B08, PRDE,actvstrat=,-0.251213, actvprof=,3.158889, id=,S00, PRDE,actvstrat=,0.093807, actvprof=,4.127222, id=,S01, PRDE,actvstrat=,-0.933407, actvprof=,0.243889, id=,S02, PRDE,actvstrat=,0.335455, actvprof=,2.061667, id=,S05, PRDE,actvstrat=,-0.071756, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,0.580935, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.158889, best_B_strat=,-0.251213, best_S_id=,S00, best_S_prof=,4.127222, best_S_strat=,0.093807, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.499140, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.684494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.779285, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.021276, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.355216, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.915919, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.300757, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.848529, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.911915, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.406144, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.499140, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.915919, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.499140, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.684494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.779285, actvprof=,0.087777, id=,B06, PRDE,actvstrat=,0.021276, actvprof=,1.140540, id=,B08, PRDE,actvstrat=,0.355216, actvprof=,4.486882, id=,S00, PRDE,actvstrat=,0.915919, actvprof=,6.674074, id=,S01, PRDE,actvstrat=,0.300757, actvprof=,3.261899, id=,S02, PRDE,actvstrat=,-0.848529, actvprof=,0.170275, id=,S05, PRDE,actvstrat=,-0.911915, actvprof=,0.017778, id=,S08, PRDE,actvstrat=,-0.406144, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.486882, best_B_strat=,0.355216, best_S_id=,S00, best_S_prof=,6.674074, best_S_strat=,0.915919, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.783273, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.443093, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.779285, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.185438, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.484494, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.810000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.114501, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.018622, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.976614, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.293628, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.783273, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.810000, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.783273, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.443093, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.779285, actvprof=,0.090557, id=,B06, PRDE,actvstrat=,-0.185438, actvprof=,0.981403, id=,B08, PRDE,actvstrat=,0.484494, actvprof=,5.337852, id=,S00, PRDE,actvstrat=,0.810000, actvprof=,5.846748, id=,S01, PRDE,actvstrat=,-0.114501, actvprof=,1.539466, id=,S02, PRDE,actvstrat=,-0.018622, actvprof=,0.987236, id=,S05, PRDE,actvstrat=,-0.976614, actvprof=,0.043612, id=,S08, PRDE,actvstrat=,0.293628, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.337852, best_B_strat=,0.484494, best_S_id=,S00, best_S_prof=,5.846748, best_S_strat=,0.810000, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.783273, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.443093, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.779285, actvprof=,0.109584, id=,B06, PRDE,actvstrat=,-0.185438, actvprof=,0.960562, id=,B08, PRDE,actvstrat=,0.484494, actvprof=,5.215175, id=,S00, PRDE,actvstrat=,0.810000, actvprof=,5.823096, id=,S01, PRDE,actvstrat=,-0.114501, actvprof=,1.500983, id=,S02, PRDE,actvstrat=,-0.018622, actvprof=,1.005146, id=,S05, PRDE,actvstrat=,-0.976614, actvprof=,0.054167, id=,S08, PRDE,actvstrat=,0.293628, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.215175, best_B_strat=,0.484494, best_S_id=,S00, best_S_prof=,5.823096, best_S_strat=,0.810000, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.490211, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.304939, actvprof=,0.006389, id=,B06, PRDE,actvstrat=,0.961800, actvprof=,0.760854, id=,B08, PRDE,actvstrat=,-0.173045, actvprof=,1.833106, id=,S00, PRDE,actvstrat=,-0.505782, actvprof=,3.696769, id=,S01, PRDE,actvstrat=,-0.372390, actvprof=,2.452290, id=,S02, PRDE,actvstrat=,-0.932830, actvprof=,0.208061, id=,S05, PRDE,actvstrat=,-0.294296, actvprof=,0.015278, id=,S08, PRDE,actvstrat=,-0.565922, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.833106, best_B_strat=,-0.173045, best_S_id=,S00, best_S_prof=,3.696769, best_S_strat=,-0.505782, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.490211, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.304939, actvprof=,0.005972, id=,B06, PRDE,actvstrat=,0.961800, actvprof=,0.696815, id=,B08, PRDE,actvstrat=,-0.173045, actvprof=,1.780580, id=,S00, PRDE,actvstrat=,-0.505782, actvprof=,3.718802, id=,S01, PRDE,actvstrat=,-0.372390, actvprof=,2.515590, id=,S02, PRDE,actvstrat=,-0.932830, actvprof=,0.184308, id=,S05, PRDE,actvstrat=,-0.294296, actvprof=,0.016806, id=,S08, PRDE,actvstrat=,-0.565922, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.780580, best_B_strat=,-0.173045, best_S_id=,S00, best_S_prof=,3.718802, best_S_strat=,-0.505782, 
t=,32400, id=,B00, PRDE,actvstrat=,0.004308, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.596354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.804556, actvprof=,0.075559, id=,B06, PRDE,actvstrat=,-0.810423, actvprof=,0.517522, id=,B08, PRDE,actvstrat=,0.121574, actvprof=,4.902704, id=,S00, PRDE,actvstrat=,0.914157, actvprof=,6.010250, id=,S01, PRDE,actvstrat=,-0.405609, actvprof=,0.990041, id=,S02, PRDE,actvstrat=,-0.820044, actvprof=,0.118616, id=,S05, PRDE,actvstrat=,-0.976614, actvprof=,0.030557, id=,S08, PRDE,actvstrat=,0.469390, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.902704, best_B_strat=,0.121574, best_S_id=,S00, best_S_prof=,6.010250, best_S_strat=,0.914157, 
t=,36000, id=,B00, PRDE,actvstrat=,0.004308, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.596354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.804556, actvprof=,0.081391, id=,B06, PRDE,actvstrat=,-0.810423, actvprof=,0.487649, id=,B08, PRDE,actvstrat=,0.121574, actvprof=,4.932742, id=,S00, PRDE,actvstrat=,0.914157, actvprof=,5.978458, id=,S01, PRDE,actvstrat=,-0.405609, actvprof=,0.955298, id=,S02, PRDE,actvstrat=,-0.820044, actvprof=,0.102780, id=,S05, PRDE,actvstrat=,-0.976614, actvprof=,0.029723, id=,S08, PRDE,actvstrat=,0.469390, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.932742, best_B_strat=,0.121574, best_S_id=,S00, best_S_prof=,5.978458, best_S_strat=,0.914157, 
