t=,1, id=,B00, PRDE,actvstrat=,-0.952142, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.017175, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.233825, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.601032, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.216785, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.749963, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.699015, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.828444, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.822549, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.630918, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.952142, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.749963, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.952142, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.017175, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.233825, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,0.601032, actvprof=,2.473889, id=,B08, PRDE,actvstrat=,0.216785, actvprof=,5.260000, id=,S00, PRDE,actvstrat=,0.749963, actvprof=,5.741667, id=,S02, PRDE,actvstrat=,0.699015, actvprof=,2.436111, id=,S03, PRDE,actvstrat=,0.828444, actvprof=,1.212500, id=,S06, PRDE,actvstrat=,-0.822549, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-0.630918, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.260000, best_B_strat=,0.216785, best_S_id=,S00, best_S_prof=,5.741667, best_S_strat=,0.749963, 
t=,7200, id=,B00, PRDE,actvstrat=,0.369762, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.207969, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.503367, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.207920, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.600803, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.847834, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.676646, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.516718, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.497016, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.113985, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.369762, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.847834, 
t=,10800, id=,B00, PRDE,actvstrat=,0.369762, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.207969, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.503367, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.207920, actvprof=,1.002486, id=,B08, PRDE,actvstrat=,0.600803, actvprof=,4.689379, id=,S00, PRDE,actvstrat=,-0.847834, actvprof=,0.256663, id=,S02, PRDE,actvstrat=,0.676646, actvprof=,2.605242, id=,S03, PRDE,actvstrat=,0.516718, actvprof=,0.933876, id=,S06, PRDE,actvstrat=,-0.497016, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.113985, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.689379, best_B_strat=,0.600803, best_S_id=,S02, best_S_prof=,2.605242, best_S_strat=,0.676646, 
t=,14400, id=,B00, PRDE,actvstrat=,0.782307, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.018063, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.233825, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.348743, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.594074, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.547282, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.206116, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.041236, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.039105, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.439867, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.782307, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.547282, 
t=,18000, id=,B00, PRDE,actvstrat=,0.782307, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.018063, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.233825, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.348743, actvprof=,0.360556, id=,B08, PRDE,actvstrat=,0.594074, actvprof=,4.496667, id=,S00, PRDE,actvstrat=,-0.547282, actvprof=,1.329167, id=,S02, PRDE,actvstrat=,0.206116, actvprof=,1.384722, id=,S03, PRDE,actvstrat=,-0.041236, actvprof=,0.273333, id=,S06, PRDE,actvstrat=,-0.039105, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,0.439867, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.496667, best_B_strat=,0.594074, best_S_id=,S02, best_S_prof=,1.384722, best_S_strat=,0.206116, 
t=,21600, id=,B00, PRDE,actvstrat=,0.782307, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.018063, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.233825, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.348743, actvprof=,0.403475, id=,B08, PRDE,actvstrat=,0.594074, actvprof=,4.674338, id=,S00, PRDE,actvstrat=,-0.547282, actvprof=,1.192231, id=,S02, PRDE,actvstrat=,0.206116, actvprof=,1.344732, id=,S03, PRDE,actvstrat=,-0.041236, actvprof=,0.242085, id=,S06, PRDE,actvstrat=,-0.039105, actvprof=,0.001806, id=,S07, PRDE,actvstrat=,0.439867, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,4.674338, best_B_strat=,0.594074, best_S_id=,S02, best_S_prof=,1.344732, best_S_strat=,0.206116, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.430253, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,0.605257, actvprof=,2.094780, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.765438, id=,S00, PRDE,actvstrat=,0.866180, actvprof=,6.213784, id=,S02, PRDE,actvstrat=,0.601642, actvprof=,1.641712, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.665324, id=,S06, PRDE,actvstrat=,-0.022445, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.526123, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.765438, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.213784, best_S_strat=,0.866180, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.430253, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,0.605257, actvprof=,2.091835, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.689107, id=,S00, PRDE,actvstrat=,0.866180, actvprof=,6.193419, id=,S02, PRDE,actvstrat=,0.601642, actvprof=,1.684468, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.661551, id=,S06, PRDE,actvstrat=,-0.022445, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.526123, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.689107, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.193419, best_S_strat=,0.866180, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.637631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.257517, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,0.601032, actvprof=,2.573441, id=,B08, PRDE,actvstrat=,-0.938723, actvprof=,1.633124, id=,S00, PRDE,actvstrat=,0.903621, actvprof=,5.724405, id=,S02, PRDE,actvstrat=,0.171953, actvprof=,0.651138, id=,S03, PRDE,actvstrat=,0.894580, actvprof=,0.893926, id=,S06, PRDE,actvstrat=,-0.039105, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.085984, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.573441, best_B_strat=,0.601032, best_S_id=,S00, best_S_prof=,5.724405, best_S_strat=,0.903621, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.637631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.257517, actvprof=,0.001250, id=,B06, PRDE,actvstrat=,0.601032, actvprof=,2.713251, id=,B08, PRDE,actvstrat=,-0.938723, actvprof=,1.544616, id=,S00, PRDE,actvstrat=,0.903621, actvprof=,5.619562, id=,S02, PRDE,actvstrat=,0.171953, actvprof=,0.643486, id=,S03, PRDE,actvstrat=,0.894580, actvprof=,0.796128, id=,S06, PRDE,actvstrat=,-0.039105, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.085984, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.713251, best_B_strat=,0.601032, best_S_id=,S00, best_S_prof=,5.619562, best_S_strat=,0.903621, 
