t=,3600, id=,B00, PRDE,actvstrat=,-0.398667, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.865837, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.919502, actvprof=,0.502222, id=,B08, PRDE,actvstrat=,0.298572, actvprof=,2.365278, id=,B09, PRDE,actvstrat=,-0.143781, actvprof=,2.930556, id=,S00, PRDE,actvstrat=,-0.958638, actvprof=,0.245000, id=,S01, PRDE,actvstrat=,0.834277, actvprof=,6.584722, id=,S04, PRDE,actvstrat=,-0.555585, actvprof=,0.053056, id=,S05, PRDE,actvstrat=,-0.243194, actvprof=,0.021389, id=,S08, PRDE,actvstrat=,-0.777875, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.930556, best_B_strat=,-0.143781, best_S_id=,S01, best_S_prof=,6.584722, best_S_strat=,0.834277, 
t=,7200, id=,B00, PRDE,actvstrat=,0.893367, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.582869, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.376099, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.505325, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.084478, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.925066, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.648290, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.940284, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.189516, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.456792, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.893367, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.925066, 
t=,10800, id=,B00, PRDE,actvstrat=,0.893367, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.582869, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.376099, actvprof=,0.404994, id=,B08, PRDE,actvstrat=,0.505325, actvprof=,3.199122, id=,B09, PRDE,actvstrat=,-0.084478, actvprof=,3.719393, id=,S00, PRDE,actvstrat=,0.925066, actvprof=,7.999333, id=,S01, PRDE,actvstrat=,-0.648290, actvprof=,0.822211, id=,S04, PRDE,actvstrat=,-0.940284, actvprof=,0.007500, id=,S05, PRDE,actvstrat=,-0.189516, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,0.456792, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.719393, best_B_strat=,-0.084478, best_S_id=,S00, best_S_prof=,7.999333, best_S_strat=,0.925066, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.531213, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.483219, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.648370, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.294335, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.133659, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.925066, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.020288, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.555585, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.698032, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.313665, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.531213, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.925066, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.531213, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.483219, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.648370, actvprof=,0.376394, id=,B08, PRDE,actvstrat=,-0.294335, actvprof=,2.495868, id=,B09, PRDE,actvstrat=,0.133659, actvprof=,4.913679, id=,S00, PRDE,actvstrat=,0.925066, actvprof=,6.938152, id=,S01, PRDE,actvstrat=,0.020288, actvprof=,2.158086, id=,S04, PRDE,actvstrat=,-0.555585, actvprof=,0.017222, id=,S05, PRDE,actvstrat=,-0.698032, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.313665, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.913679, best_B_strat=,0.133659, best_S_id=,S00, best_S_prof=,6.938152, best_S_strat=,0.925066, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.531213, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.483219, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.648370, actvprof=,0.335280, id=,B08, PRDE,actvstrat=,-0.294335, actvprof=,2.483767, id=,B09, PRDE,actvstrat=,0.133659, actvprof=,4.972118, id=,S00, PRDE,actvstrat=,0.925066, actvprof=,7.012826, id=,S01, PRDE,actvstrat=,0.020288, actvprof=,2.053764, id=,S04, PRDE,actvstrat=,-0.555585, actvprof=,0.015278, id=,S05, PRDE,actvstrat=,-0.698032, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.313665, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.972118, best_B_strat=,0.133659, best_S_id=,S00, best_S_prof=,7.012826, best_S_strat=,0.925066, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.749283, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.186139, actvprof=,0.768675, id=,B08, PRDE,actvstrat=,-0.073350, actvprof=,3.967831, id=,B09, PRDE,actvstrat=,-0.637393, actvprof=,4.592883, id=,S00, PRDE,actvstrat=,0.903352, actvprof=,6.383588, id=,S01, PRDE,actvstrat=,-0.156512, actvprof=,0.507542, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.509209, id=,S05, PRDE,actvstrat=,-0.275511, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.592883, best_B_strat=,-0.637393, best_S_id=,S00, best_S_prof=,6.383588, best_S_strat=,0.903352, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.749283, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.186139, actvprof=,0.851841, id=,B08, PRDE,actvstrat=,-0.073350, actvprof=,3.955026, id=,B09, PRDE,actvstrat=,-0.637393, actvprof=,4.509077, id=,S00, PRDE,actvstrat=,0.903352, actvprof=,6.333458, id=,S01, PRDE,actvstrat=,-0.156512, actvprof=,0.600303, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.508077, id=,S05, PRDE,actvstrat=,-0.275511, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.509077, best_B_strat=,-0.637393, best_S_id=,S00, best_S_prof=,6.333458, best_S_strat=,0.903352, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.068398, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.034799, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.376099, actvprof=,0.283361, id=,B08, PRDE,actvstrat=,-0.073350, actvprof=,1.999917, id=,B09, PRDE,actvstrat=,0.951933, actvprof=,5.478866, id=,S00, PRDE,actvstrat=,0.197748, actvprof=,4.312919, id=,S01, PRDE,actvstrat=,-0.453302, actvprof=,0.966205, id=,S04, PRDE,actvstrat=,-0.563879, actvprof=,0.046116, id=,S05, PRDE,actvstrat=,-0.177546, actvprof=,0.003334, id=,S08, PRDE,actvstrat=,-0.689316, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.478866, best_B_strat=,0.951933, best_S_id=,S00, best_S_prof=,4.312919, best_S_strat=,0.197748, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.068398, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.034799, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.376099, actvprof=,0.275710, id=,B08, PRDE,actvstrat=,-0.073350, actvprof=,1.961637, id=,B09, PRDE,actvstrat=,0.951933, actvprof=,5.454192, id=,S00, PRDE,actvstrat=,0.197748, actvprof=,4.300933, id=,S01, PRDE,actvstrat=,-0.453302, actvprof=,1.014917, id=,S04, PRDE,actvstrat=,-0.563879, actvprof=,0.039169, id=,S05, PRDE,actvstrat=,-0.177546, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,-0.689316, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.454192, best_B_strat=,0.951933, best_S_id=,S00, best_S_prof=,4.300933, best_S_strat=,0.197748, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.339640, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.515368, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.499352, actvprof=,0.174466, id=,B08, PRDE,actvstrat=,-0.269908, actvprof=,2.061091, id=,B09, PRDE,actvstrat=,-0.512959, actvprof=,3.499326, id=,S00, PRDE,actvstrat=,0.331336, actvprof=,4.425275, id=,S01, PRDE,actvstrat=,-0.673996, actvprof=,0.666194, id=,S04, PRDE,actvstrat=,-0.267925, actvprof=,0.030837, id=,S05, PRDE,actvstrat=,-0.016746, actvprof=,0.003334, id=,S08, PRDE,actvstrat=,0.611676, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.499326, best_B_strat=,-0.512959, best_S_id=,S00, best_S_prof=,4.425275, best_S_strat=,0.331336, 
