t=,1, id=,B01, PRDE,actvstrat=,0.705215, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.066037, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.455530, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.457954, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.341084, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.377675, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.572366, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.223035, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.527643, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.882517, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.705215, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.377675, 
t=,3600, id=,B01, PRDE,actvstrat=,0.705215, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.066037, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.455530, actvprof=,0.088609, id=,B07, PRDE,actvstrat=,0.457954, actvprof=,2.873531, id=,B08, PRDE,actvstrat=,-0.341084, actvprof=,2.866309, id=,S00, PRDE,actvstrat=,0.377675, actvprof=,5.838727, id=,S01, PRDE,actvstrat=,0.572366, actvprof=,4.624872, id=,S03, PRDE,actvstrat=,-0.223035, actvprof=,0.567762, id=,S05, PRDE,actvstrat=,-0.527643, actvprof=,0.007500, id=,S09, PRDE,actvstrat=,0.882517, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.873531, best_B_strat=,0.457954, best_S_id=,S00, best_S_prof=,5.838727, best_S_strat=,0.377675, 
t=,7200, id=,B01, PRDE,actvstrat=,0.460556, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.276621, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.789452, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.462334, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.654086, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.344364, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.341552, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.565952, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.150863, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.432623, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.460556, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.344364, 
t=,10800, id=,B01, PRDE,actvstrat=,0.460556, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.276621, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,0.789452, actvprof=,0.039999, id=,B07, PRDE,actvstrat=,-0.462334, actvprof=,1.033875, id=,B08, PRDE,actvstrat=,0.654086, actvprof=,4.420494, id=,S00, PRDE,actvstrat=,-0.344364, actvprof=,3.375786, id=,S01, PRDE,actvstrat=,0.341552, actvprof=,4.296607, id=,S03, PRDE,actvstrat=,-0.565952, actvprof=,0.347495, id=,S05, PRDE,actvstrat=,0.150863, actvprof=,0.030833, id=,S09, PRDE,actvstrat=,-0.432623, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.420494, best_B_strat=,0.654086, best_S_id=,S01, best_S_prof=,4.296607, best_S_strat=,0.341552, 
t=,14400, id=,B01, PRDE,actvstrat=,0.786514, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.283786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.961112, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.596126, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.042107, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.755967, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.242945, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.297742, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.137820, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.456824, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.786514, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.755967, 
t=,18000, id=,B01, PRDE,actvstrat=,0.786514, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.283786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.961112, actvprof=,0.047501, id=,B07, PRDE,actvstrat=,0.596126, actvprof=,2.547535, id=,B08, PRDE,actvstrat=,-0.042107, actvprof=,2.908929, id=,S00, PRDE,actvstrat=,-0.755967, actvprof=,2.949208, id=,S01, PRDE,actvstrat=,0.242945, actvprof=,4.079501, id=,S03, PRDE,actvstrat=,0.297742, actvprof=,1.438631, id=,S05, PRDE,actvstrat=,0.137820, actvprof=,0.038889, id=,S09, PRDE,actvstrat=,-0.456824, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.908929, best_B_strat=,-0.042107, best_S_id=,S01, best_S_prof=,4.079501, best_S_strat=,0.242945, 
t=,21600, id=,B01, PRDE,actvstrat=,0.786514, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.283786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.961112, actvprof=,0.048195, id=,B07, PRDE,actvstrat=,0.596126, actvprof=,2.588907, id=,B08, PRDE,actvstrat=,-0.042107, actvprof=,2.871270, id=,S00, PRDE,actvstrat=,-0.755967, actvprof=,2.729325, id=,S01, PRDE,actvstrat=,0.242945, actvprof=,4.034056, id=,S03, PRDE,actvstrat=,0.297742, actvprof=,1.416260, id=,S05, PRDE,actvstrat=,0.137820, actvprof=,0.045834, id=,S09, PRDE,actvstrat=,-0.456824, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.871270, best_B_strat=,-0.042107, best_S_id=,S01, best_S_prof=,4.034056, best_S_strat=,0.242945, 
t=,25200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.158759, actvprof=,0.031390, id=,B04, PRDE,actvstrat=,-0.216480, actvprof=,0.143895, id=,B07, PRDE,actvstrat=,-0.619625, actvprof=,2.792894, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.368321, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.334389, id=,S01, PRDE,actvstrat=,0.594874, actvprof=,2.997903, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.852258, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.009167, id=,S09, PRDE,actvstrat=,0.840388, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.368321, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.334389, best_S_strat=,1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.158759, actvprof=,0.032917, id=,B04, PRDE,actvstrat=,-0.216480, actvprof=,0.147920, id=,B07, PRDE,actvstrat=,-0.619625, actvprof=,2.785891, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.339993, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.320666, id=,S01, PRDE,actvstrat=,0.594874, actvprof=,2.941172, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.850157, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.007778, id=,S09, PRDE,actvstrat=,0.840388, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.339993, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.320666, best_S_strat=,1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.438373, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.036295, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.448734, actvprof=,0.015279, id=,B07, PRDE,actvstrat=,-0.161261, actvprof=,1.814545, id=,B08, PRDE,actvstrat=,-0.869939, actvprof=,1.242569, id=,S00, PRDE,actvstrat=,-0.897087, actvprof=,0.700317, id=,S01, PRDE,actvstrat=,0.066337, actvprof=,3.192955, id=,S03, PRDE,actvstrat=,0.209507, actvprof=,0.882827, id=,S05, PRDE,actvstrat=,0.439394, actvprof=,0.006389, id=,S09, PRDE,actvstrat=,-0.432623, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.814545, best_B_strat=,-0.161261, best_S_id=,S01, best_S_prof=,3.192955, best_S_strat=,0.066337, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.438373, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.036295, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,0.448734, actvprof=,0.015417, id=,B07, PRDE,actvstrat=,-0.161261, actvprof=,1.724191, id=,B08, PRDE,actvstrat=,-0.869939, actvprof=,1.195294, id=,S00, PRDE,actvstrat=,-0.897087, actvprof=,0.726677, id=,S01, PRDE,actvstrat=,0.066337, actvprof=,3.203517, id=,S03, PRDE,actvstrat=,0.209507, actvprof=,0.925707, id=,S05, PRDE,actvstrat=,0.439394, actvprof=,0.008889, id=,S09, PRDE,actvstrat=,-0.432623, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.724191, best_B_strat=,-0.161261, best_S_id=,S01, best_S_prof=,3.203517, best_S_strat=,0.066337, 
