t=,1, id=,B02, PRDE,actvstrat=,0.294221, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.613214, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.220501, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.024537, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.598516, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.391060, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.244654, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.096872, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.716822, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.313829, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.294221, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.391060, 
t=,3600, id=,B02, PRDE,actvstrat=,0.294221, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.613214, actvprof=,0.036389, id=,B06, PRDE,actvstrat=,-0.220501, actvprof=,0.730000, id=,B07, PRDE,actvstrat=,-0.024537, actvprof=,2.585000, id=,B09, PRDE,actvstrat=,-0.598516, actvprof=,4.548333, id=,S02, PRDE,actvstrat=,-0.391060, actvprof=,0.949167, id=,S04, PRDE,actvstrat=,0.244654, actvprof=,0.238611, id=,S05, PRDE,actvstrat=,0.096872, actvprof=,0.034722, id=,S06, PRDE,actvstrat=,0.716822, actvprof=,0.015556, id=,S08, PRDE,actvstrat=,-0.313829, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.548333, best_B_strat=,-0.598516, best_S_id=,S02, best_S_prof=,0.949167, best_S_strat=,-0.391060, 
t=,7200, id=,B02, PRDE,actvstrat=,0.198173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.817143, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.420385, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.808678, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.585239, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.850751, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.055745, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.814761, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.198173, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.808678, 
t=,10800, id=,B02, PRDE,actvstrat=,0.198173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.817143, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.439438, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.941626, id=,B09, PRDE,actvstrat=,0.420385, actvprof=,5.873252, id=,S02, PRDE,actvstrat=,-0.808678, actvprof=,0.797489, id=,S04, PRDE,actvstrat=,0.585239, actvprof=,0.521104, id=,S05, PRDE,actvstrat=,-0.850751, actvprof=,0.080554, id=,S06, PRDE,actvstrat=,-0.055745, actvprof=,0.006944, id=,S08, PRDE,actvstrat=,0.814761, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.873252, best_B_strat=,0.420385, best_S_id=,S02, best_S_prof=,0.797489, best_S_strat=,-0.808678, 
t=,14400, id=,B02, PRDE,actvstrat=,0.198173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.613214, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.179925, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.420385, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.808678, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.585239, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.766801, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.597454, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.785884, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.198173, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.808678, 
t=,18000, id=,B02, PRDE,actvstrat=,0.198173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.613214, actvprof=,0.020000, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.620833, id=,B07, PRDE,actvstrat=,-0.179925, actvprof=,2.211667, id=,B09, PRDE,actvstrat=,0.420385, actvprof=,6.501667, id=,S02, PRDE,actvstrat=,-0.808678, actvprof=,0.417500, id=,S04, PRDE,actvstrat=,0.585239, actvprof=,0.285000, id=,S05, PRDE,actvstrat=,0.766801, actvprof=,0.064167, id=,S06, PRDE,actvstrat=,-0.597454, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,-0.785884, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.501667, best_B_strat=,0.420385, best_S_id=,S02, best_S_prof=,0.417500, best_S_strat=,-0.808678, 
t=,21600, id=,B02, PRDE,actvstrat=,0.198173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.613214, actvprof=,0.021667, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.636111, id=,B07, PRDE,actvstrat=,-0.179925, actvprof=,2.180000, id=,B09, PRDE,actvstrat=,0.420385, actvprof=,6.535417, id=,S02, PRDE,actvstrat=,-0.808678, actvprof=,0.409167, id=,S04, PRDE,actvstrat=,0.585239, actvprof=,0.290833, id=,S05, PRDE,actvstrat=,0.766801, actvprof=,0.091389, id=,S06, PRDE,actvstrat=,-0.597454, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,-0.785884, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.535417, best_B_strat=,0.420385, best_S_id=,S02, best_S_prof=,0.409167, best_S_strat=,-0.808678, 
t=,25200, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.006111, id=,B06, PRDE,actvstrat=,-0.819884, actvprof=,0.103335, id=,B07, PRDE,actvstrat=,0.981247, actvprof=,3.392825, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.139238, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.242239, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.198614, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.114168, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.019722, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.139238, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.242239, best_S_strat=,-0.500149, 
t=,28800, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.004583, id=,B06, PRDE,actvstrat=,-0.819884, actvprof=,0.121389, id=,B07, PRDE,actvstrat=,0.981247, actvprof=,3.419583, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.091111, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.258750, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.171944, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.094444, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.019028, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.091111, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.258750, best_S_strat=,-0.500149, 
t=,32400, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.638826, actvprof=,0.094447, id=,B06, PRDE,actvstrat=,-0.540428, actvprof=,0.850301, id=,B07, PRDE,actvstrat=,0.981247, actvprof=,3.760938, id=,B09, PRDE,actvstrat=,-0.538677, actvprof=,4.666519, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,2.894525, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.472513, id=,S05, PRDE,actvstrat=,-0.850751, actvprof=,0.092225, id=,S06, PRDE,actvstrat=,-0.055745, actvprof=,0.014445, id=,S08, PRDE,actvstrat=,0.814761, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.666519, best_B_strat=,-0.538677, best_S_id=,S02, best_S_prof=,2.894525, best_S_strat=,0.751163, 
t=,36000, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.638826, actvprof=,0.115696, id=,B06, PRDE,actvstrat=,-0.540428, actvprof=,0.812650, id=,B07, PRDE,actvstrat=,0.981247, actvprof=,3.877554, id=,B09, PRDE,actvstrat=,-0.538677, actvprof=,4.691037, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,2.858929, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.411950, id=,S05, PRDE,actvstrat=,-0.850751, actvprof=,0.074029, id=,S06, PRDE,actvstrat=,-0.055745, actvprof=,0.012361, id=,S08, PRDE,actvstrat=,0.814761, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.691037, best_B_strat=,-0.538677, best_S_id=,S02, best_S_prof=,2.858929, best_S_strat=,0.751163, 
