t=,1, id=,B00, PRDE,actvstrat=,-0.217096, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.115364, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.353158, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083724, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.464323, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.897506, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.477311, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.884265, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.285954, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.984749, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.217096, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.897506, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.217096, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.115364, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.353158, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083724, actvprof=,0.019722, id=,B09, PRDE,actvstrat=,0.464323, actvprof=,5.464444, id=,S00, PRDE,actvstrat=,0.897506, actvprof=,7.549444, id=,S01, PRDE,actvstrat=,-0.477311, actvprof=,0.624167, id=,S02, PRDE,actvstrat=,-0.884265, actvprof=,0.037500, id=,S04, PRDE,actvstrat=,0.285954, actvprof=,0.209167, id=,S07, PRDE,actvstrat=,-0.984749, actvprof=,0.005000, best_B_id=,B09, best_B_prof=,5.464444, best_B_strat=,0.464323, best_S_id=,S00, best_S_prof=,7.549444, best_S_strat=,0.897506, 
t=,7200, id=,B00, PRDE,actvstrat=,0.603633, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.250161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.269896, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.384768, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.334829, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.163531, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.576760, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.052747, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.457144, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.551108, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.603633, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.163531, 
t=,10800, id=,B00, PRDE,actvstrat=,0.603633, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.250161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.269896, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.384768, actvprof=,0.009167, id=,B09, PRDE,actvstrat=,-0.334829, actvprof=,3.531895, id=,S00, PRDE,actvstrat=,-0.163531, actvprof=,1.656921, id=,S01, PRDE,actvstrat=,-0.576760, actvprof=,0.811378, id=,S02, PRDE,actvstrat=,-0.052747, actvprof=,0.734156, id=,S04, PRDE,actvstrat=,0.457144, actvprof=,0.371939, id=,S07, PRDE,actvstrat=,0.551108, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.531895, best_B_strat=,-0.334829, best_S_id=,S00, best_S_prof=,1.656921, best_S_strat=,-0.163531, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.345776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.714187, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.582161, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.991872, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.791690, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.675150, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.941310, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.186268, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.071314, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.603387, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.345776, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.675150, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.345776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.714187, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.582161, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.991872, actvprof=,0.000833, id=,B09, PRDE,actvstrat=,0.791690, actvprof=,5.158056, id=,S00, PRDE,actvstrat=,-0.675150, actvprof=,1.830000, id=,S01, PRDE,actvstrat=,-0.941310, actvprof=,0.049444, id=,S02, PRDE,actvstrat=,-0.186268, actvprof=,0.693889, id=,S04, PRDE,actvstrat=,-0.071314, actvprof=,0.164167, id=,S07, PRDE,actvstrat=,0.603387, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.158056, best_B_strat=,0.791690, best_S_id=,S00, best_S_prof=,1.830000, best_S_strat=,-0.675150, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.345776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.714187, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.582161, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.991872, actvprof=,0.000417, id=,B09, PRDE,actvstrat=,0.791690, actvprof=,5.069722, id=,S00, PRDE,actvstrat=,-0.675150, actvprof=,1.752222, id=,S01, PRDE,actvstrat=,-0.941310, actvprof=,0.055694, id=,S02, PRDE,actvstrat=,-0.186268, actvprof=,0.725417, id=,S04, PRDE,actvstrat=,-0.071314, actvprof=,0.140833, id=,S07, PRDE,actvstrat=,0.603387, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.069722, best_B_strat=,0.791690, best_S_id=,S00, best_S_prof=,1.752222, best_S_strat=,-0.675150, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.821938, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.928945, actvprof=,0.146391, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.725663, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.081473, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.578661, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.901151, id=,S04, PRDE,actvstrat=,0.513214, actvprof=,0.024167, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.005000, best_B_id=,B09, best_B_prof=,7.725663, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.081473, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.821938, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.928945, actvprof=,0.139722, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.854861, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.949167, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.497500, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.745833, id=,S04, PRDE,actvstrat=,0.513214, actvprof=,0.023750, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, best_B_id=,B09, best_B_prof=,7.854861, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.949167, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.677976, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.166831, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.104611, actvprof=,0.011389, id=,B09, PRDE,actvstrat=,-0.847156, actvprof=,2.358121, id=,S00, PRDE,actvstrat=,-0.930355, actvprof=,0.023612, id=,S01, PRDE,actvstrat=,-0.254885, actvprof=,0.711686, id=,S02, PRDE,actvstrat=,0.291231, actvprof=,1.361982, id=,S04, PRDE,actvstrat=,0.787667, actvprof=,0.358343, id=,S07, PRDE,actvstrat=,-0.881691, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.358121, best_B_strat=,-0.847156, best_S_id=,S02, best_S_prof=,1.361982, best_S_strat=,0.291231, 
t=,36000, id=,B00, PRDE,actvstrat=,0.677976, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.166831, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.104611, actvprof=,0.018611, id=,B09, PRDE,actvstrat=,-0.847156, actvprof=,2.502674, id=,S00, PRDE,actvstrat=,-0.930355, actvprof=,0.029584, id=,S01, PRDE,actvstrat=,-0.254885, actvprof=,0.706815, id=,S02, PRDE,actvstrat=,0.291231, actvprof=,1.361130, id=,S04, PRDE,actvstrat=,0.787667, actvprof=,0.322921, id=,S07, PRDE,actvstrat=,-0.881691, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.502674, best_B_strat=,-0.847156, best_S_id=,S02, best_S_prof=,1.361130, best_S_strat=,0.291231, 
