t=,0, id=,B02, PRDE,actvstrat=,0.434921, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.561110, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.619966, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.912172, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.399993, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.041455, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.309928, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.232329, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.612470, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.015173, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.434921, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.041455, 
t=,3600, id=,B02, PRDE,actvstrat=,0.434921, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.561110, actvprof=,0.018611, id=,B06, PRDE,actvstrat=,-0.619966, actvprof=,0.744167, id=,B08, PRDE,actvstrat=,0.912172, actvprof=,6.019444, id=,B09, PRDE,actvstrat=,-0.399993, actvprof=,5.046389, id=,S02, PRDE,actvstrat=,-0.041455, actvprof=,0.632500, id=,S03, PRDE,actvstrat=,0.309928, actvprof=,0.379167, id=,S06, PRDE,actvstrat=,0.232329, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.612470, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.015173, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.019444, best_B_strat=,0.912172, best_S_id=,S02, best_S_prof=,0.632500, best_S_strat=,-0.041455, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.046758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873112, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.253934, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.915540, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.318880, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.231350, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.874391, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.401603, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.190353, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.434888, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.046758, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.231350, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.046758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873112, actvprof=,0.011389, id=,B06, PRDE,actvstrat=,-0.253934, actvprof=,0.882488, id=,B08, PRDE,actvstrat=,-0.915540, actvprof=,1.083041, id=,B09, PRDE,actvstrat=,-0.318880, actvprof=,5.206039, id=,S02, PRDE,actvstrat=,-0.231350, actvprof=,0.210830, id=,S03, PRDE,actvstrat=,-0.874391, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.401603, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.190353, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.434888, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.206039, best_B_strat=,-0.318880, best_S_id=,S02, best_S_prof=,0.210830, best_S_strat=,-0.231350, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.046758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.670951, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.425233, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.876780, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.001922, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.175697, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.899233, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.585158, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.171044, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.853016, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.046758, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.175697, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.046758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.670951, actvprof=,0.007500, id=,B06, PRDE,actvstrat=,0.425233, actvprof=,2.474444, id=,B08, PRDE,actvstrat=,-0.876780, actvprof=,2.436389, id=,B09, PRDE,actvstrat=,0.001922, actvprof=,6.729444, id=,S02, PRDE,actvstrat=,-0.175697, actvprof=,0.165556, id=,S03, PRDE,actvstrat=,0.899233, actvprof=,0.853333, id=,S06, PRDE,actvstrat=,-0.585158, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.171044, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.853016, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.729444, best_B_strat=,0.001922, best_S_id=,S03, best_S_prof=,0.853333, best_S_strat=,0.899233, 
t=,21600, id=,B02, PRDE,actvstrat=,-0.046758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.670951, actvprof=,0.009444, id=,B06, PRDE,actvstrat=,0.425233, actvprof=,2.492639, id=,B08, PRDE,actvstrat=,-0.876780, actvprof=,2.337778, id=,B09, PRDE,actvstrat=,0.001922, actvprof=,6.747639, id=,S02, PRDE,actvstrat=,-0.175697, actvprof=,0.173889, id=,S03, PRDE,actvstrat=,0.899233, actvprof=,0.832778, id=,S06, PRDE,actvstrat=,-0.585158, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.171044, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.853016, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.747639, best_B_strat=,0.001922, best_S_id=,S03, best_S_prof=,0.832778, best_S_strat=,0.899233, 
t=,25200, id=,B02, PRDE,actvstrat=,0.297321, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.453057, actvprof=,0.099725, id=,B06, PRDE,actvstrat=,-0.562699, actvprof=,1.778105, id=,B08, PRDE,actvstrat=,-0.019671, actvprof=,5.816273, id=,B09, PRDE,actvstrat=,-0.483631, actvprof=,6.537682, id=,S02, PRDE,actvstrat=,0.616881, actvprof=,0.864746, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.544182, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.258355, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.537682, best_B_strat=,-0.483631, best_S_id=,S02, best_S_prof=,0.864746, best_S_strat=,0.616881, 
t=,28800, id=,B02, PRDE,actvstrat=,0.297321, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,-0.453057, actvprof=,0.088335, id=,B06, PRDE,actvstrat=,-0.562699, actvprof=,1.763497, id=,B08, PRDE,actvstrat=,-0.019671, actvprof=,5.721607, id=,B09, PRDE,actvstrat=,-0.483631, actvprof=,6.634259, id=,S02, PRDE,actvstrat=,0.616881, actvprof=,0.913068, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.528480, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.258355, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.634259, best_B_strat=,-0.483631, best_S_id=,S02, best_S_prof=,0.913068, best_S_strat=,0.616881, 
t=,32400, id=,B02, PRDE,actvstrat=,0.297321, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.622687, actvprof=,0.015556, id=,B06, PRDE,actvstrat=,-0.155155, actvprof=,0.857536, id=,B08, PRDE,actvstrat=,-0.331159, actvprof=,3.592650, id=,B09, PRDE,actvstrat=,0.563560, actvprof=,7.116408, id=,S02, PRDE,actvstrat=,-0.041455, actvprof=,0.582802, id=,S03, PRDE,actvstrat=,0.188676, actvprof=,0.361126, id=,S06, PRDE,actvstrat=,0.011857, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.753605, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.434888, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.116408, best_B_strat=,0.563560, best_S_id=,S02, best_S_prof=,0.582802, best_S_strat=,-0.041455, 
t=,36000, id=,B02, PRDE,actvstrat=,0.297321, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.622687, actvprof=,0.019028, id=,B06, PRDE,actvstrat=,-0.155155, actvprof=,0.862657, id=,B08, PRDE,actvstrat=,-0.331159, actvprof=,3.486600, id=,B09, PRDE,actvstrat=,0.563560, actvprof=,7.156121, id=,S02, PRDE,actvstrat=,-0.041455, actvprof=,0.623069, id=,S03, PRDE,actvstrat=,0.188676, actvprof=,0.372091, id=,S06, PRDE,actvstrat=,0.011857, actvprof=,0.002083, id=,S08, PRDE,actvstrat=,0.753605, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.434888, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.156121, best_B_strat=,0.563560, best_S_id=,S02, best_S_prof=,0.623069, best_S_strat=,-0.041455, 
