t=,0, id=,B01, PRDE,actvstrat=,0.557471, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.195124, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.383094, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.032233, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.212032, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.213103, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.523686, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.220097, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.880151, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.192455, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.557471, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.213103, 
t=,3600, id=,B01, PRDE,actvstrat=,0.557471, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.195124, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.383094, actvprof=,0.047500, id=,B05, PRDE,actvstrat=,0.032233, actvprof=,0.335000, id=,B07, PRDE,actvstrat=,-0.212032, actvprof=,1.905556, id=,S01, PRDE,actvstrat=,0.213103, actvprof=,2.523056, id=,S04, PRDE,actvstrat=,-0.523686, actvprof=,0.013889, id=,S05, PRDE,actvstrat=,0.220097, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.880151, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.192455, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.905556, best_B_strat=,-0.212032, best_S_id=,S01, best_S_prof=,2.523056, best_S_strat=,0.213103, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.058847, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.652543, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.178008, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.484543, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.385608, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.373829, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.847158, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.499911, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.539940, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.058847, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.385608, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.058847, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.652543, actvprof=,0.139165, id=,B05, PRDE,actvstrat=,-0.178008, actvprof=,0.308329, id=,B07, PRDE,actvstrat=,-0.484543, actvprof=,2.280524, id=,S01, PRDE,actvstrat=,0.385608, actvprof=,2.544687, id=,S04, PRDE,actvstrat=,-0.373829, actvprof=,0.006389, id=,S05, PRDE,actvstrat=,-0.847158, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.499911, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.539940, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.280524, best_B_strat=,-0.484543, best_S_id=,S01, best_S_prof=,2.544687, best_S_strat=,0.385608, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.934396, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.652543, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.251647, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.484543, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.087946, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.418042, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.220097, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.160554, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.539940, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.934396, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.087946, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.934396, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345786, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.652543, actvprof=,0.061111, id=,B05, PRDE,actvstrat=,0.251647, actvprof=,0.447778, id=,B07, PRDE,actvstrat=,-0.484543, actvprof=,1.745833, id=,S01, PRDE,actvstrat=,-0.087946, actvprof=,1.379444, id=,S04, PRDE,actvstrat=,0.418042, actvprof=,0.114444, id=,S05, PRDE,actvstrat=,0.220097, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.160554, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.539940, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.745833, best_B_strat=,-0.484543, best_S_id=,S01, best_S_prof=,1.379444, best_S_strat=,-0.087946, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.934396, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345786, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.652543, actvprof=,0.042778, id=,B05, PRDE,actvstrat=,0.251647, actvprof=,0.400833, id=,B07, PRDE,actvstrat=,-0.484543, actvprof=,1.642361, id=,S01, PRDE,actvstrat=,-0.087946, actvprof=,1.394306, id=,S04, PRDE,actvstrat=,0.418042, actvprof=,0.123750, id=,S05, PRDE,actvstrat=,0.220097, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.160554, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.539940, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.642361, best_B_strat=,-0.484543, best_S_id=,S01, best_S_prof=,1.394306, best_S_strat=,-0.087946, 
t=,25200, id=,B01, PRDE,actvstrat=,0.858774, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.628414, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.185836, id=,B05, PRDE,actvstrat=,-0.358937, actvprof=,0.281115, id=,B07, PRDE,actvstrat=,-0.259790, actvprof=,2.429478, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.171169, id=,S04, PRDE,actvstrat=,-0.537563, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.429478, best_B_strat=,-0.259790, best_S_id=,S01, best_S_prof=,4.171169, best_S_strat=,-1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,0.858774, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.628414, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.199168, id=,B05, PRDE,actvstrat=,-0.358937, actvprof=,0.273057, id=,B07, PRDE,actvstrat=,-0.259790, actvprof=,2.337238, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.186279, id=,S04, PRDE,actvstrat=,-0.537563, actvprof=,0.000556, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.009583, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.337238, best_B_strat=,-0.259790, best_S_id=,S01, best_S_prof=,4.186279, best_S_strat=,-1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.754989, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.374624, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.861504, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.158169, actvprof=,0.041390, id=,B07, PRDE,actvstrat=,0.788039, actvprof=,3.302314, id=,S01, PRDE,actvstrat=,-0.236780, actvprof=,1.228367, id=,S04, PRDE,actvstrat=,-0.570889, actvprof=,0.018889, id=,S05, PRDE,actvstrat=,0.705146, actvprof=,0.038334, id=,S07, PRDE,actvstrat=,-0.252922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.070159, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.302314, best_B_strat=,0.788039, best_S_id=,S01, best_S_prof=,1.228367, best_S_strat=,-0.236780, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.754989, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.374624, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,-0.861504, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.158169, actvprof=,0.059029, id=,B07, PRDE,actvstrat=,0.788039, actvprof=,3.518104, id=,S01, PRDE,actvstrat=,-0.236780, actvprof=,1.199183, id=,S04, PRDE,actvstrat=,-0.570889, actvprof=,0.022500, id=,S05, PRDE,actvstrat=,0.705146, actvprof=,0.029862, id=,S07, PRDE,actvstrat=,-0.252922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.070159, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.518104, best_B_strat=,0.788039, best_S_id=,S01, best_S_prof=,1.199183, best_S_strat=,-0.236780, 
