t=,1, id=,B00, PRDE,actvstrat=,-0.457773, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.298018, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.460863, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.959565, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.378957, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.942199, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.519059, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.379713, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.296531, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.402629, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.457773, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.942199, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.457773, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.298018, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.460863, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.959565, actvprof=,0.373889, id=,B09, PRDE,actvstrat=,-0.378957, actvprof=,5.036944, id=,S02, PRDE,actvstrat=,0.942199, actvprof=,3.461111, id=,S03, PRDE,actvstrat=,-0.519059, actvprof=,0.255833, id=,S04, PRDE,actvstrat=,0.379713, actvprof=,0.176667, id=,S05, PRDE,actvstrat=,-0.296531, actvprof=,0.004444, id=,S06, PRDE,actvstrat=,0.402629, actvprof=,0.002500, best_B_id=,B09, best_B_prof=,5.036944, best_B_strat=,-0.378957, best_S_id=,S02, best_S_prof=,3.461111, best_S_strat=,0.942199, 
t=,7200, id=,B00, PRDE,actvstrat=,0.965686, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602808, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.256177, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.337206, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.588748, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.021435, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.744600, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.190243, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.095771, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.712553, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.965686, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.021435, 
t=,10800, id=,B00, PRDE,actvstrat=,0.965686, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602808, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.256177, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.337206, actvprof=,1.049430, id=,B09, PRDE,actvstrat=,0.588748, actvprof=,5.800753, id=,S02, PRDE,actvstrat=,-0.021435, actvprof=,2.084415, id=,S03, PRDE,actvstrat=,0.744600, actvprof=,2.312190, id=,S04, PRDE,actvstrat=,-0.190243, actvprof=,0.131943, id=,S05, PRDE,actvstrat=,-0.095771, actvprof=,0.028611, id=,S06, PRDE,actvstrat=,0.712553, actvprof=,0.020833, best_B_id=,B09, best_B_prof=,5.800753, best_B_strat=,0.588748, best_S_id=,S03, best_S_prof=,2.312190, best_S_strat=,0.744600, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.483845, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.630462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.670896, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.546280, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.811360, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.902204, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.933300, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.268066, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.361278, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.712553, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.483845, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.902204, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.483845, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.630462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.670896, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.546280, actvprof=,1.397500, id=,B09, PRDE,actvstrat=,0.811360, actvprof=,5.098333, id=,S02, PRDE,actvstrat=,0.902204, actvprof=,5.446667, id=,S03, PRDE,actvstrat=,-0.933300, actvprof=,0.463889, id=,S04, PRDE,actvstrat=,-0.268066, actvprof=,0.336944, id=,S05, PRDE,actvstrat=,-0.361278, actvprof=,0.039722, id=,S06, PRDE,actvstrat=,0.712553, actvprof=,0.044167, best_B_id=,B09, best_B_prof=,5.098333, best_B_strat=,0.811360, best_S_id=,S02, best_S_prof=,5.446667, best_S_strat=,0.902204, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.483845, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.630462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.670896, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.546280, actvprof=,1.345139, id=,B09, PRDE,actvstrat=,0.811360, actvprof=,5.058333, id=,S02, PRDE,actvstrat=,0.902204, actvprof=,5.421250, id=,S03, PRDE,actvstrat=,-0.933300, actvprof=,0.420972, id=,S04, PRDE,actvstrat=,-0.268066, actvprof=,0.330833, id=,S05, PRDE,actvstrat=,-0.361278, actvprof=,0.041944, id=,S06, PRDE,actvstrat=,0.712553, actvprof=,0.040694, best_B_id=,B09, best_B_prof=,5.058333, best_B_strat=,0.811360, best_S_id=,S02, best_S_prof=,5.421250, best_S_strat=,0.902204, 
t=,25200, id=,B00, PRDE,actvstrat=,0.454226, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.117562, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.351609, actvprof=,1.034167, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.242778, id=,S02, PRDE,actvstrat=,-0.062970, actvprof=,2.125833, id=,S03, PRDE,actvstrat=,-0.654825, actvprof=,0.460833, id=,S04, PRDE,actvstrat=,-0.299596, actvprof=,0.084444, id=,S05, PRDE,actvstrat=,-0.003964, actvprof=,0.015833, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.022500, best_B_id=,B09, best_B_prof=,6.242778, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.125833, best_S_strat=,-0.062970, 
t=,28800, id=,B00, PRDE,actvstrat=,0.454226, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.117562, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.351609, actvprof=,0.955701, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.307544, id=,S02, PRDE,actvstrat=,-0.062970, actvprof=,2.013764, id=,S03, PRDE,actvstrat=,-0.654825, actvprof=,0.423058, id=,S04, PRDE,actvstrat=,-0.299596, actvprof=,0.091945, id=,S05, PRDE,actvstrat=,-0.003964, actvprof=,0.019861, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.019445, best_B_id=,B09, best_B_prof=,6.307544, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.013764, best_S_strat=,-0.062970, 
t=,32400, id=,B00, PRDE,actvstrat=,0.965686, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.300515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.256177, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.896675, actvprof=,2.948693, id=,B09, PRDE,actvstrat=,-0.896859, actvprof=,1.415317, id=,S02, PRDE,actvstrat=,-0.256770, actvprof=,1.600044, id=,S03, PRDE,actvstrat=,0.039466, actvprof=,1.265313, id=,S04, PRDE,actvstrat=,0.706256, actvprof=,0.943360, id=,S05, PRDE,actvstrat=,-0.361278, actvprof=,0.020278, id=,S06, PRDE,actvstrat=,-0.962362, actvprof=,0.019167, best_B_id=,B07, best_B_prof=,2.948693, best_B_strat=,0.896675, best_S_id=,S02, best_S_prof=,1.600044, best_S_strat=,-0.256770, 
t=,36000, id=,B00, PRDE,actvstrat=,0.965686, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.300515, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.256177, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.896675, actvprof=,3.016847, id=,B09, PRDE,actvstrat=,-0.896859, actvprof=,1.506688, id=,S02, PRDE,actvstrat=,-0.256770, actvprof=,1.477521, id=,S03, PRDE,actvstrat=,0.039466, actvprof=,1.266545, id=,S04, PRDE,actvstrat=,0.706256, actvprof=,0.864179, id=,S05, PRDE,actvstrat=,-0.361278, actvprof=,0.014167, id=,S06, PRDE,actvstrat=,-0.962362, actvprof=,0.023889, best_B_id=,B07, best_B_prof=,3.016847, best_B_strat=,0.896675, best_S_id=,S02, best_S_prof=,1.477521, best_S_strat=,-0.256770, 
