t=,0, id=,B00, PRDE,actvstrat=,0.974623, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.856672, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.365625, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.485178, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.668384, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.428700, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.511557, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.978210, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.596531, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.672289, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.974623, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.428700, 
t=,3600, id=,B00, PRDE,actvstrat=,0.974623, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.856672, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.365625, actvprof=,0.193333, id=,B05, PRDE,actvstrat=,-0.485178, actvprof=,0.403333, id=,B06, PRDE,actvstrat=,-0.668384, actvprof=,1.288056, id=,S00, PRDE,actvstrat=,0.428700, actvprof=,4.406111, id=,S01, PRDE,actvstrat=,0.511557, actvprof=,2.963889, id=,S03, PRDE,actvstrat=,-0.978210, actvprof=,0.099722, id=,S05, PRDE,actvstrat=,-0.596531, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.672289, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.288056, best_B_strat=,-0.668384, best_S_id=,S00, best_S_prof=,4.406111, best_S_strat=,0.428700, 
t=,7200, id=,B00, PRDE,actvstrat=,0.114366, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.711234, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.752266, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.712961, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.542605, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.435606, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.447973, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.330115, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.346128, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.217622, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.114366, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.435606, 
t=,10800, id=,B00, PRDE,actvstrat=,0.114366, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.711234, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.752266, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.712961, actvprof=,0.052777, id=,B06, PRDE,actvstrat=,0.542605, actvprof=,1.434147, id=,S00, PRDE,actvstrat=,-0.435606, actvprof=,2.081082, id=,S01, PRDE,actvstrat=,-0.447973, actvprof=,1.116929, id=,S03, PRDE,actvstrat=,-0.330115, actvprof=,0.151665, id=,S05, PRDE,actvstrat=,-0.346128, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.217622, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.434147, best_B_strat=,0.542605, best_S_id=,S00, best_S_prof=,2.081082, best_S_strat=,-0.435606, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.444552, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.915730, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754793, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.039329, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.139219, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.422540, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.795338, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.688546, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.169541, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.721596, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.444552, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.422540, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.444552, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.915730, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754793, actvprof=,0.028333, id=,B05, PRDE,actvstrat=,0.039329, actvprof=,0.700833, id=,B06, PRDE,actvstrat=,-0.139219, actvprof=,1.417222, id=,S00, PRDE,actvstrat=,-0.422540, actvprof=,1.059167, id=,S01, PRDE,actvstrat=,0.795338, actvprof=,3.764167, id=,S03, PRDE,actvstrat=,0.688546, actvprof=,0.490556, id=,S05, PRDE,actvstrat=,-0.169541, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.721596, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.417222, best_B_strat=,-0.139219, best_S_id=,S01, best_S_prof=,3.764167, best_S_strat=,0.795338, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.444552, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.915730, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754793, actvprof=,0.019167, id=,B05, PRDE,actvstrat=,0.039329, actvprof=,0.655972, id=,B06, PRDE,actvstrat=,-0.139219, actvprof=,1.364583, id=,S00, PRDE,actvstrat=,-0.422540, actvprof=,1.164583, id=,S01, PRDE,actvstrat=,0.795338, actvprof=,3.751667, id=,S03, PRDE,actvstrat=,0.688546, actvprof=,0.515833, id=,S05, PRDE,actvstrat=,-0.169541, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.721596, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.364583, best_B_strat=,-0.139219, best_S_id=,S01, best_S_prof=,3.751667, best_S_strat=,0.795338, 
t=,25200, id=,B00, PRDE,actvstrat=,0.279477, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.402546, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.262065, actvprof=,0.018611, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.488354, id=,S00, PRDE,actvstrat=,-0.075955, actvprof=,3.292268, id=,S01, PRDE,actvstrat=,-0.470025, actvprof=,1.684746, id=,S03, PRDE,actvstrat=,0.276424, actvprof=,1.238906, id=,S05, PRDE,actvstrat=,-0.727575, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,0.048592, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.488354, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.292268, best_S_strat=,-0.075955, 
t=,28800, id=,B00, PRDE,actvstrat=,0.279477, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.402546, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-0.262065, actvprof=,0.018889, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.445982, id=,S00, PRDE,actvstrat=,-0.075955, actvprof=,3.466691, id=,S01, PRDE,actvstrat=,-0.470025, actvprof=,1.576817, id=,S03, PRDE,actvstrat=,0.276424, actvprof=,1.275426, id=,S05, PRDE,actvstrat=,-0.727575, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,0.048592, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.445982, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.466691, best_S_strat=,-0.075955, 
t=,32400, id=,B00, PRDE,actvstrat=,0.881619, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.312288, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.666747, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,-0.146737, actvprof=,0.056113, id=,B06, PRDE,actvstrat=,0.359713, actvprof=,1.323092, id=,S00, PRDE,actvstrat=,-0.895053, actvprof=,0.280563, id=,S01, PRDE,actvstrat=,0.102298, actvprof=,2.659518, id=,S03, PRDE,actvstrat=,-0.125121, actvprof=,0.224728, id=,S05, PRDE,actvstrat=,0.292453, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.428876, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.323092, best_B_strat=,0.359713, best_S_id=,S01, best_S_prof=,2.659518, best_S_strat=,0.102298, 
t=,36000, id=,B00, PRDE,actvstrat=,0.881619, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.312288, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.666747, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,-0.146737, actvprof=,0.080279, id=,B06, PRDE,actvstrat=,0.359713, actvprof=,1.385019, id=,S00, PRDE,actvstrat=,-0.895053, actvprof=,0.276532, id=,S01, PRDE,actvstrat=,0.102298, actvprof=,2.639342, id=,S03, PRDE,actvstrat=,-0.125121, actvprof=,0.204725, id=,S05, PRDE,actvstrat=,0.292453, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.428876, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.385019, best_B_strat=,0.359713, best_S_id=,S01, best_S_prof=,2.639342, best_S_strat=,0.102298, 
