t=,3600, id=,B01, PRDE,actvstrat=,-0.077613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.513822, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.723941, actvprof=,0.035833, id=,B08, PRDE,actvstrat=,0.127903, actvprof=,2.939444, id=,B09, PRDE,actvstrat=,0.153591, actvprof=,4.496944, id=,S00, PRDE,actvstrat=,-0.045644, actvprof=,4.146389, id=,S01, PRDE,actvstrat=,-0.832149, actvprof=,0.913889, id=,S03, PRDE,actvstrat=,-0.624466, actvprof=,0.379444, id=,S04, PRDE,actvstrat=,0.081245, actvprof=,0.394167, id=,S07, PRDE,actvstrat=,-0.322869, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.496944, best_B_strat=,0.153591, best_S_id=,S00, best_S_prof=,4.146389, best_S_strat=,-0.045644, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.247579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064601, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.478069, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.632744, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.859116, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.217835, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.309039, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.385815, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.523754, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.312646, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.247579, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.217835, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.247579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064601, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.478069, actvprof=,0.006667, id=,B08, PRDE,actvstrat=,-0.632744, actvprof=,1.692199, id=,B09, PRDE,actvstrat=,0.859116, actvprof=,5.886585, id=,S00, PRDE,actvstrat=,-0.217835, actvprof=,2.569687, id=,S01, PRDE,actvstrat=,-0.309039, actvprof=,1.597200, id=,S03, PRDE,actvstrat=,-0.385815, actvprof=,0.356384, id=,S04, PRDE,actvstrat=,-0.523754, actvprof=,0.074999, id=,S07, PRDE,actvstrat=,0.312646, actvprof=,0.002222, best_B_id=,B09, best_B_prof=,5.886585, best_B_strat=,0.859116, best_S_id=,S00, best_S_prof=,2.569687, best_S_strat=,-0.217835, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.247579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064601, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.533033, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.024022, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.601903, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.217835, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.939273, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.100361, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.278651, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.691801, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.247579, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.217835, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.247579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064601, actvprof=,0.014722, id=,B05, PRDE,actvstrat=,0.533033, actvprof=,0.245556, id=,B08, PRDE,actvstrat=,-0.024022, actvprof=,3.176667, id=,B09, PRDE,actvstrat=,-0.601903, actvprof=,3.730278, id=,S00, PRDE,actvstrat=,-0.217835, actvprof=,1.999444, id=,S01, PRDE,actvstrat=,0.939273, actvprof=,5.501111, id=,S03, PRDE,actvstrat=,0.100361, actvprof=,0.584722, id=,S04, PRDE,actvstrat=,0.278651, actvprof=,0.241111, id=,S07, PRDE,actvstrat=,0.691801, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,3.730278, best_B_strat=,-0.601903, best_S_id=,S01, best_S_prof=,5.501111, best_S_strat=,0.939273, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.247579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064601, actvprof=,0.007917, id=,B05, PRDE,actvstrat=,0.533033, actvprof=,0.222639, id=,B08, PRDE,actvstrat=,-0.024022, actvprof=,3.167083, id=,B09, PRDE,actvstrat=,-0.601903, actvprof=,3.681806, id=,S00, PRDE,actvstrat=,-0.217835, actvprof=,2.049583, id=,S01, PRDE,actvstrat=,0.939273, actvprof=,5.526111, id=,S03, PRDE,actvstrat=,0.100361, actvprof=,0.608194, id=,S04, PRDE,actvstrat=,0.278651, actvprof=,0.204306, id=,S07, PRDE,actvstrat=,0.691801, actvprof=,0.000972, best_B_id=,B09, best_B_prof=,3.681806, best_B_strat=,-0.601903, best_S_id=,S01, best_S_prof=,5.526111, best_S_strat=,0.939273, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.063171, actvprof=,0.004445, id=,B03, PRDE,actvstrat=,0.261626, actvprof=,0.043612, id=,B05, PRDE,actvstrat=,0.335520, actvprof=,0.473062, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.741733, id=,B09, PRDE,actvstrat=,-0.206645, actvprof=,4.530063, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.184253, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.826456, id=,S03, PRDE,actvstrat=,0.384754, actvprof=,0.637231, id=,S04, PRDE,actvstrat=,0.436898, actvprof=,0.216947, id=,S07, PRDE,actvstrat=,0.972260, actvprof=,0.026667, best_B_id=,B08, best_B_prof=,4.741733, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.184253, best_S_strat=,1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.063171, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.261626, actvprof=,0.049028, id=,B05, PRDE,actvstrat=,0.335520, actvprof=,0.459725, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.731005, id=,B09, PRDE,actvstrat=,-0.206645, actvprof=,4.395031, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.250460, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.850034, id=,S03, PRDE,actvstrat=,0.384754, actvprof=,0.659588, id=,S04, PRDE,actvstrat=,0.436898, actvprof=,0.197640, id=,S07, PRDE,actvstrat=,0.972260, actvprof=,0.022361, best_B_id=,B08, best_B_prof=,4.731005, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.250460, best_S_strat=,1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,0.321520, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157120, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.335520, actvprof=,0.071391, id=,B08, PRDE,actvstrat=,0.831762, actvprof=,3.987055, id=,B09, PRDE,actvstrat=,0.685056, actvprof=,5.486541, id=,S00, PRDE,actvstrat=,-0.864860, actvprof=,0.646407, id=,S01, PRDE,actvstrat=,0.285028, actvprof=,3.821773, id=,S03, PRDE,actvstrat=,-0.522827, actvprof=,0.314175, id=,S04, PRDE,actvstrat=,0.764895, actvprof=,0.983083, id=,S07, PRDE,actvstrat=,0.972260, actvprof=,0.031668, best_B_id=,B09, best_B_prof=,5.486541, best_B_strat=,0.685056, best_S_id=,S01, best_S_prof=,3.821773, best_S_strat=,0.285028, 
t=,36000, id=,B01, PRDE,actvstrat=,0.321520, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157120, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,0.335520, actvprof=,0.065417, id=,B08, PRDE,actvstrat=,0.831762, actvprof=,4.027528, id=,B09, PRDE,actvstrat=,0.685056, actvprof=,5.480177, id=,S00, PRDE,actvstrat=,-0.864860, actvprof=,0.794450, id=,S01, PRDE,actvstrat=,0.285028, actvprof=,3.830304, id=,S03, PRDE,actvstrat=,-0.522827, actvprof=,0.290141, id=,S04, PRDE,actvstrat=,0.764895, actvprof=,0.973618, id=,S07, PRDE,actvstrat=,0.972260, actvprof=,0.027917, best_B_id=,B09, best_B_prof=,5.480177, best_B_strat=,0.685056, best_S_id=,S01, best_S_prof=,3.830304, best_S_strat=,0.285028, 
t=,39600, id=,B01, PRDE,actvstrat=,-0.097608, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.475164, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.968801, actvprof=,0.051391, id=,B08, PRDE,actvstrat=,0.106264, actvprof=,2.645388, id=,B09, PRDE,actvstrat=,0.108893, actvprof=,4.227121, id=,S00, PRDE,actvstrat=,-0.919528, actvprof=,0.449463, id=,S01, PRDE,actvstrat=,0.243787, actvprof=,3.848494, id=,S03, PRDE,actvstrat=,-0.899628, actvprof=,0.035001, id=,S04, PRDE,actvstrat=,0.091614, actvprof=,0.425018, id=,S07, PRDE,actvstrat=,-0.140518, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.227121, best_B_strat=,0.108893, best_S_id=,S01, best_S_prof=,3.848494, best_S_strat=,0.243787, 
