t=,3600, id=,B01, PRDE,actvstrat=,0.254869, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.646315, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.282994, actvprof=,0.011111, id=,B06, PRDE,actvstrat=,-0.307898, actvprof=,1.085278, id=,B09, PRDE,actvstrat=,0.757505, actvprof=,7.778611, id=,S03, PRDE,actvstrat=,-0.266369, actvprof=,0.069444, id=,S05, PRDE,actvstrat=,-0.027328, actvprof=,0.006389, id=,S06, PRDE,actvstrat=,0.230522, actvprof=,0.036667, id=,S07, PRDE,actvstrat=,0.736012, actvprof=,0.012222, id=,S08, PRDE,actvstrat=,0.090831, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.778611, best_B_strat=,0.757505, best_S_id=,S03, best_S_prof=,0.069444, best_S_strat=,-0.266369, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.827824, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.135446, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.443847, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.358234, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.708223, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.548295, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.524032, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.838548, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.913773, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.211617, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.827824, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.548295, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.827824, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.135446, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.443847, actvprof=,0.032500, id=,B06, PRDE,actvstrat=,-0.358234, actvprof=,0.761378, id=,B09, PRDE,actvstrat=,0.708223, actvprof=,7.389064, id=,S03, PRDE,actvstrat=,-0.548295, actvprof=,0.091110, id=,S05, PRDE,actvstrat=,-0.524032, actvprof=,0.006944, id=,S06, PRDE,actvstrat=,-0.838548, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.913773, actvprof=,0.029166, id=,S08, PRDE,actvstrat=,-0.211617, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.389064, best_B_strat=,0.708223, best_S_id=,S03, best_S_prof=,0.091110, best_S_strat=,-0.548295, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.291646, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.334756, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.478369, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.181231, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.352056, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.837331, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.314011, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.157330, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.742095, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.211617, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.291646, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.837331, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.291646, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.334756, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.478369, actvprof=,0.025833, id=,B06, PRDE,actvstrat=,0.181231, actvprof=,1.561667, id=,B09, PRDE,actvstrat=,-0.352056, actvprof=,5.105000, id=,S03, PRDE,actvstrat=,-0.837331, actvprof=,0.023333, id=,S05, PRDE,actvstrat=,-0.314011, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.157330, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.742095, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.211617, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.105000, best_B_strat=,-0.352056, best_S_id=,S03, best_S_prof=,0.023333, best_S_strat=,-0.837331, 
t=,21600, id=,B01, PRDE,actvstrat=,0.534579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.212814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.594431, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.847777, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.277659, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.493254, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.534579, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.847777, 
t=,25200, id=,B01, PRDE,actvstrat=,0.534579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.212814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.660856, id=,B09, PRDE,actvstrat=,-0.594431, actvprof=,3.538382, id=,S03, PRDE,actvstrat=,-0.847777, actvprof=,0.046390, id=,S05, PRDE,actvstrat=,-0.277659, actvprof=,0.008333, id=,S06, PRDE,actvstrat=,-0.493254, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.538382, best_B_strat=,-0.594431, best_S_id=,S03, best_S_prof=,0.046390, best_S_strat=,-0.847777, 
t=,28800, id=,B01, PRDE,actvstrat=,0.534579, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.212814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.647778, id=,B09, PRDE,actvstrat=,-0.594431, actvprof=,3.657500, id=,S03, PRDE,actvstrat=,-0.847777, actvprof=,0.040000, id=,S05, PRDE,actvstrat=,-0.277659, actvprof=,0.005417, id=,S06, PRDE,actvstrat=,-0.493254, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.657500, best_B_strat=,-0.594431, best_S_id=,S03, best_S_prof=,0.040000, best_S_strat=,-0.847777, 
t=,32400, id=,B01, PRDE,actvstrat=,0.185527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.212814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.227949, actvprof=,0.021667, id=,B06, PRDE,actvstrat=,0.736405, actvprof=,2.098889, id=,B09, PRDE,actvstrat=,0.048767, actvprof=,5.451389, id=,S03, PRDE,actvstrat=,0.033971, actvprof=,0.519444, id=,S05, PRDE,actvstrat=,-0.277659, actvprof=,0.010000, id=,S06, PRDE,actvstrat=,0.188578, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,0.913773, actvprof=,0.026111, id=,S08, PRDE,actvstrat=,-0.222034, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.451389, best_B_strat=,0.048767, best_S_id=,S03, best_S_prof=,0.519444, best_S_strat=,0.033971, 
t=,36000, id=,B01, PRDE,actvstrat=,0.185527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.212814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.227949, actvprof=,0.019028, id=,B06, PRDE,actvstrat=,0.736405, actvprof=,1.987792, id=,B09, PRDE,actvstrat=,0.048767, actvprof=,5.358787, id=,S03, PRDE,actvstrat=,0.033971, actvprof=,0.608476, id=,S05, PRDE,actvstrat=,-0.277659, actvprof=,0.006528, id=,S06, PRDE,actvstrat=,0.188578, actvprof=,0.006806, id=,S07, PRDE,actvstrat=,0.913773, actvprof=,0.021528, id=,S08, PRDE,actvstrat=,-0.222034, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.358787, best_B_strat=,0.048767, best_S_id=,S03, best_S_prof=,0.608476, best_S_strat=,0.033971, 
t=,39600, id=,B01, PRDE,actvstrat=,0.190375, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.656261, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.014445, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.709557, id=,B09, PRDE,actvstrat=,-0.411348, actvprof=,5.106046, id=,S03, PRDE,actvstrat=,0.385059, actvprof=,0.595858, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.060836, id=,S06, PRDE,actvstrat=,-0.286662, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,0.607947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.106046, best_B_strat=,-0.411348, best_S_id=,S03, best_S_prof=,0.595858, best_S_strat=,0.385059, 
