t=,1, id=,B00, PRDE,actvstrat=,0.673765, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.882717, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049038, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.868045, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.823249, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.112891, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.217988, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.152137, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.320209, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.193577, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.673765, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.112891, 
t=,3600, id=,B00, PRDE,actvstrat=,0.673765, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.882717, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049038, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.868045, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.823249, actvprof=,0.015555, id=,S00, PRDE,actvstrat=,-0.112891, actvprof=,3.157178, id=,S02, PRDE,actvstrat=,-0.217988, actvprof=,0.377495, id=,S03, PRDE,actvstrat=,0.152137, actvprof=,0.278885, id=,S04, PRDE,actvstrat=,-0.320209, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.193577, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.015555, best_B_strat=,-0.823249, best_S_id=,S00, best_S_prof=,3.157178, best_S_strat=,-0.112891, 
t=,7200, id=,B00, PRDE,actvstrat=,0.109780, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.703894, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.592209, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.157401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.284484, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.051356, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.467616, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.483189, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.181150, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.095607, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.109780, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.051356, 
t=,10800, id=,B00, PRDE,actvstrat=,0.109780, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.703894, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.592209, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.157401, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.284484, actvprof=,0.098332, id=,S00, PRDE,actvstrat=,-0.051356, actvprof=,3.328843, id=,S02, PRDE,actvstrat=,-0.467616, actvprof=,0.456105, id=,S03, PRDE,actvstrat=,0.483189, actvprof=,0.436938, id=,S04, PRDE,actvstrat=,0.181150, actvprof=,0.008611, id=,S08, PRDE,actvstrat=,0.095607, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.098332, best_B_strat=,0.284484, best_S_id=,S00, best_S_prof=,3.328843, best_S_strat=,-0.051356, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.262334, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.728134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.374761, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.062878, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.834396, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.798562, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.169699, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.758207, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.556938, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.523687, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.262334, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.798562, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.262334, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.728134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.374761, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.062878, actvprof=,0.029444, id=,B04, PRDE,actvstrat=,-0.834396, actvprof=,0.083889, id=,S00, PRDE,actvstrat=,0.798562, actvprof=,4.604167, id=,S02, PRDE,actvstrat=,0.169699, actvprof=,0.646667, id=,S03, PRDE,actvstrat=,0.758207, actvprof=,0.259444, id=,S04, PRDE,actvstrat=,0.556938, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.523687, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.083889, best_B_strat=,-0.834396, best_S_id=,S00, best_S_prof=,4.604167, best_S_strat=,0.798562, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.262334, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.728134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.374761, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.062878, actvprof=,0.028194, id=,B04, PRDE,actvstrat=,-0.834396, actvprof=,0.069306, id=,S00, PRDE,actvstrat=,0.798562, actvprof=,4.637778, id=,S02, PRDE,actvstrat=,0.169699, actvprof=,0.677639, id=,S03, PRDE,actvstrat=,0.758207, actvprof=,0.262639, id=,S04, PRDE,actvstrat=,0.556938, actvprof=,0.004028, id=,S08, PRDE,actvstrat=,0.523687, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.069306, best_B_strat=,-0.834396, best_S_id=,S00, best_S_prof=,4.637778, best_S_strat=,0.798562, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.484975, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498383, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.132822, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.157401, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.049445, id=,S00, PRDE,actvstrat=,0.954761, actvprof=,5.986194, id=,S02, PRDE,actvstrat=,0.065220, actvprof=,1.211128, id=,S03, PRDE,actvstrat=,-0.564316, actvprof=,0.057779, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.840879, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.049445, best_B_strat=,0.171600, best_S_id=,S00, best_S_prof=,5.986194, best_S_strat=,0.954761, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.484975, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498383, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-0.132822, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.157401, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.053195, id=,S00, PRDE,actvstrat=,0.954761, actvprof=,5.920874, id=,S02, PRDE,actvstrat=,0.065220, actvprof=,1.137230, id=,S03, PRDE,actvstrat=,-0.564316, actvprof=,0.055000, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.840879, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.053195, best_B_strat=,0.171600, best_S_id=,S00, best_S_prof=,5.920874, best_S_strat=,0.954761, 
t=,32400, id=,B00, PRDE,actvstrat=,0.930900, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.096038, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.444263, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.948162, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.320614, actvprof=,0.112503, id=,S00, PRDE,actvstrat=,0.943051, actvprof=,5.454596, id=,S02, PRDE,actvstrat=,0.656285, actvprof=,1.630323, id=,S03, PRDE,actvstrat=,-0.611446, actvprof=,0.042779, id=,S04, PRDE,actvstrat=,-0.075101, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,-0.865212, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.112503, best_B_strat=,-0.320614, best_S_id=,S00, best_S_prof=,5.454596, best_S_strat=,0.943051, 
t=,36000, id=,B00, PRDE,actvstrat=,0.930900, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.096038, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.444263, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.948162, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.320614, actvprof=,0.098334, id=,S00, PRDE,actvstrat=,0.943051, actvprof=,5.390593, id=,S02, PRDE,actvstrat=,0.656285, actvprof=,1.612928, id=,S03, PRDE,actvstrat=,-0.611446, actvprof=,0.032778, id=,S04, PRDE,actvstrat=,-0.075101, actvprof=,0.004306, id=,S08, PRDE,actvstrat=,-0.865212, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.098334, best_B_strat=,-0.320614, best_S_id=,S00, best_S_prof=,5.390593, best_S_strat=,0.943051, 
