t=,0, id=,B00, PRDE,actvstrat=,0.807368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.239220, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.476952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.439855, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.170967, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.702370, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.249264, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.003151, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.516751, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.327655, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.807368, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.702370, 
t=,3600, id=,B00, PRDE,actvstrat=,0.807368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.239220, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.476952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.439855, actvprof=,1.204150, id=,B08, PRDE,actvstrat=,0.170967, actvprof=,4.225497, id=,S00, PRDE,actvstrat=,-0.702370, actvprof=,1.558589, id=,S02, PRDE,actvstrat=,-0.249264, actvprof=,0.585547, id=,S04, PRDE,actvstrat=,0.003151, actvprof=,0.138331, id=,S08, PRDE,actvstrat=,-0.516751, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.327655, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.225497, best_B_strat=,0.170967, best_S_id=,S00, best_S_prof=,1.558589, best_S_strat=,-0.702370, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.472052, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.254338, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.686470, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.344499, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.584125, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.592847, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.168057, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.621545, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.319987, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.516763, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.472052, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.592847, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.472052, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.254338, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.686470, actvprof=,0.025000, id=,B07, PRDE,actvstrat=,0.344499, actvprof=,2.728851, id=,B08, PRDE,actvstrat=,-0.584125, actvprof=,2.603853, id=,S00, PRDE,actvstrat=,0.592847, actvprof=,5.810475, id=,S02, PRDE,actvstrat=,-0.168057, actvprof=,0.508882, id=,S04, PRDE,actvstrat=,-0.621545, actvprof=,0.014166, id=,S08, PRDE,actvstrat=,0.319987, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.516763, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.728851, best_B_strat=,0.344499, best_S_id=,S00, best_S_prof=,5.810475, best_S_strat=,0.592847, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.472052, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.910331, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.765754, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.051677, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.676178, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.976473, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.357704, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.650782, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.833108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.970126, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.472052, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.976473, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.472052, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.910331, actvprof=,0.017222, id=,B04, PRDE,actvstrat=,0.765754, actvprof=,0.027222, id=,B07, PRDE,actvstrat=,0.051677, actvprof=,2.205247, id=,B08, PRDE,actvstrat=,0.676178, actvprof=,4.904376, id=,S00, PRDE,actvstrat=,0.976473, actvprof=,7.129623, id=,S02, PRDE,actvstrat=,-0.357704, actvprof=,0.558603, id=,S04, PRDE,actvstrat=,0.650782, actvprof=,0.214719, id=,S08, PRDE,actvstrat=,0.833108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.970126, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.904376, best_B_strat=,0.676178, best_S_id=,S00, best_S_prof=,7.129623, best_S_strat=,0.976473, 
t=,21600, id=,B00, PRDE,actvstrat=,0.073621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.301442, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.621965, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.356459, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.613163, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.139147, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.561493, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.785600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.040259, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.073621, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.613163, 
t=,25200, id=,B00, PRDE,actvstrat=,0.073621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.301442, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.004167, id=,B07, PRDE,actvstrat=,0.621965, actvprof=,2.561424, id=,B08, PRDE,actvstrat=,0.356459, actvprof=,3.907554, id=,S00, PRDE,actvstrat=,0.613163, actvprof=,5.879804, id=,S02, PRDE,actvstrat=,-0.139147, actvprof=,0.464173, id=,S04, PRDE,actvstrat=,-0.561493, actvprof=,0.013889, id=,S08, PRDE,actvstrat=,0.785600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.040259, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.907554, best_B_strat=,0.356459, best_S_id=,S00, best_S_prof=,5.879804, best_S_strat=,0.613163, 
t=,28800, id=,B00, PRDE,actvstrat=,0.073621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.301442, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002917, id=,B07, PRDE,actvstrat=,0.621965, actvprof=,2.619046, id=,B08, PRDE,actvstrat=,0.356459, actvprof=,3.867944, id=,S00, PRDE,actvstrat=,0.613163, actvprof=,5.686984, id=,S02, PRDE,actvstrat=,-0.139147, actvprof=,0.441809, id=,S04, PRDE,actvstrat=,-0.561493, actvprof=,0.015278, id=,S08, PRDE,actvstrat=,0.785600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.040259, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.867944, best_B_strat=,0.356459, best_S_id=,S00, best_S_prof=,5.686984, best_S_strat=,0.613163, 
t=,32400, id=,B00, PRDE,actvstrat=,0.982985, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.518241, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.166529, actvprof=,0.001111, id=,B07, PRDE,actvstrat=,-0.218041, actvprof=,1.201406, id=,B08, PRDE,actvstrat=,0.656934, actvprof=,4.617564, id=,S00, PRDE,actvstrat=,-0.926382, actvprof=,0.023611, id=,S02, PRDE,actvstrat=,0.051148, actvprof=,1.415853, id=,S04, PRDE,actvstrat=,0.650782, actvprof=,0.366672, id=,S08, PRDE,actvstrat=,0.554320, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.152091, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.617564, best_B_strat=,0.656934, best_S_id=,S02, best_S_prof=,1.415853, best_S_strat=,0.051148, 
t=,36000, id=,B00, PRDE,actvstrat=,0.982985, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.518241, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.166529, actvprof=,0.001250, id=,B07, PRDE,actvstrat=,-0.218041, actvprof=,1.260573, id=,B08, PRDE,actvstrat=,0.656934, actvprof=,4.595619, id=,S00, PRDE,actvstrat=,-0.926382, actvprof=,0.052917, id=,S02, PRDE,actvstrat=,0.051148, actvprof=,1.377380, id=,S04, PRDE,actvstrat=,0.650782, actvprof=,0.337227, id=,S08, PRDE,actvstrat=,0.554320, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.152091, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.595619, best_B_strat=,0.656934, best_S_id=,S02, best_S_prof=,1.377380, best_S_strat=,0.051148, 
