t=,1, id=,B00, PRDE,actvstrat=,-0.471282, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.865087, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.676076, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.986971, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.979473, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.255730, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.873492, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.966630, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.874474, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.741585, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.471282, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.255730, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.471282, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.865087, actvprof=,0.351667, id=,B05, PRDE,actvstrat=,-0.676076, actvprof=,0.355556, id=,B06, PRDE,actvstrat=,0.986971, actvprof=,3.457222, id=,B08, PRDE,actvstrat=,-0.979473, actvprof=,2.496389, id=,S00, PRDE,actvstrat=,0.255730, actvprof=,3.439722, id=,S01, PRDE,actvstrat=,0.873492, actvprof=,3.862778, id=,S07, PRDE,actvstrat=,-0.966630, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.874474, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.741585, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.457222, best_B_strat=,0.986971, best_S_id=,S01, best_S_prof=,3.862778, best_S_strat=,0.873492, 
t=,7200, id=,B00, PRDE,actvstrat=,0.901002, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.418431, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.527895, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.237672, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.403398, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.303286, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.925547, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.015217, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.054000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.791801, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.901002, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.303286, 
t=,10800, id=,B00, PRDE,actvstrat=,0.901002, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.418431, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,-0.527895, actvprof=,0.178889, id=,B06, PRDE,actvstrat=,0.237672, actvprof=,1.781667, id=,B08, PRDE,actvstrat=,0.403398, actvprof=,5.321111, id=,S00, PRDE,actvstrat=,-0.303286, actvprof=,1.176389, id=,S01, PRDE,actvstrat=,-0.925547, actvprof=,0.018333, id=,S07, PRDE,actvstrat=,0.015217, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.054000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.791801, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.321111, best_B_strat=,0.403398, best_S_id=,S00, best_S_prof=,1.176389, best_S_strat=,-0.303286, 
t=,14400, id=,B00, PRDE,actvstrat=,0.901002, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.418431, actvprof=,0.007083, id=,B05, PRDE,actvstrat=,-0.527895, actvprof=,0.160972, id=,B06, PRDE,actvstrat=,0.237672, actvprof=,1.785556, id=,B08, PRDE,actvstrat=,0.403398, actvprof=,5.345556, id=,S00, PRDE,actvstrat=,-0.303286, actvprof=,1.257222, id=,S01, PRDE,actvstrat=,-0.925547, actvprof=,0.022500, id=,S07, PRDE,actvstrat=,0.015217, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.054000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.791801, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.345556, best_B_strat=,0.403398, best_S_id=,S00, best_S_prof=,1.257222, best_S_strat=,-0.303286, 
t=,18000, id=,B00, PRDE,actvstrat=,0.051027, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.749966, actvprof=,0.089168, id=,B05, PRDE,actvstrat=,-0.833453, actvprof=,0.272782, id=,B06, PRDE,actvstrat=,-0.453924, actvprof=,2.080307, id=,B08, PRDE,actvstrat=,-0.961724, actvprof=,2.078918, id=,S00, PRDE,actvstrat=,-0.636505, actvprof=,0.508896, id=,S01, PRDE,actvstrat=,0.431173, actvprof=,1.399186, id=,S07, PRDE,actvstrat=,0.015217, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.800477, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.047930, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.080307, best_B_strat=,-0.453924, best_S_id=,S01, best_S_prof=,1.399186, best_S_strat=,0.431173, 
t=,21600, id=,B00, PRDE,actvstrat=,0.051027, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.749966, actvprof=,0.087639, id=,B05, PRDE,actvstrat=,-0.833453, actvprof=,0.335836, id=,B06, PRDE,actvstrat=,-0.453924, actvprof=,2.054598, id=,B08, PRDE,actvstrat=,-0.961724, actvprof=,2.162654, id=,S00, PRDE,actvstrat=,-0.636505, actvprof=,0.532087, id=,S01, PRDE,actvstrat=,0.431173, actvprof=,1.413899, id=,S07, PRDE,actvstrat=,0.015217, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.800477, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.047930, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.162654, best_B_strat=,-0.961724, best_S_id=,S01, best_S_prof=,1.413899, best_S_strat=,0.431173, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.011389, id=,B05, PRDE,actvstrat=,0.316492, actvprof=,0.215284, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.146726, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.516820, id=,S00, PRDE,actvstrat=,-0.983746, actvprof=,0.432512, id=,S01, PRDE,actvstrat=,0.332716, actvprof=,3.084808, id=,S07, PRDE,actvstrat=,-0.533004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.516820, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.084808, best_S_strat=,0.332716, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.009167, id=,B05, PRDE,actvstrat=,0.316492, actvprof=,0.208197, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.132252, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.575494, id=,S00, PRDE,actvstrat=,-0.983746, actvprof=,0.449590, id=,S01, PRDE,actvstrat=,0.332716, actvprof=,2.923374, id=,S07, PRDE,actvstrat=,-0.533004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.575494, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.923374, best_S_strat=,0.332716, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.178764, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.479004, actvprof=,0.148340, id=,B05, PRDE,actvstrat=,-0.551176, actvprof=,0.381405, id=,B06, PRDE,actvstrat=,-0.316712, actvprof=,1.480617, id=,B08, PRDE,actvstrat=,0.403398, actvprof=,6.011362, id=,S00, PRDE,actvstrat=,0.255730, actvprof=,2.697890, id=,S01, PRDE,actvstrat=,0.216372, actvprof=,1.684792, id=,S07, PRDE,actvstrat=,-0.477503, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.471867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.301938, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.011362, best_B_strat=,0.403398, best_S_id=,S00, best_S_prof=,2.697890, best_S_strat=,0.255730, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.178764, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.479004, actvprof=,0.155975, id=,B05, PRDE,actvstrat=,-0.551176, actvprof=,0.415148, id=,B06, PRDE,actvstrat=,-0.316712, actvprof=,1.432808, id=,B08, PRDE,actvstrat=,0.403398, actvprof=,6.067488, id=,S00, PRDE,actvstrat=,0.255730, actvprof=,2.622555, id=,S01, PRDE,actvstrat=,0.216372, actvprof=,1.648507, id=,S07, PRDE,actvstrat=,-0.477503, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.471867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.301938, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.067488, best_B_strat=,0.403398, best_S_id=,S00, best_S_prof=,2.622555, best_S_strat=,0.255730, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,0.753146, actvprof=,0.214734, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.801489, id=,B08, PRDE,actvstrat=,0.457325, actvprof=,4.370243, id=,S00, PRDE,actvstrat=,-0.678646, actvprof=,1.527585, id=,S01, PRDE,actvstrat=,-0.142992, actvprof=,1.313406, id=,S07, PRDE,actvstrat=,0.519910, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.370243, best_B_strat=,0.457325, best_S_id=,S00, best_S_prof=,1.527585, best_S_strat=,-0.678646, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.003195, id=,B05, PRDE,actvstrat=,0.753146, actvprof=,0.200561, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.759910, id=,B08, PRDE,actvstrat=,0.457325, actvprof=,4.372066, id=,S00, PRDE,actvstrat=,-0.678646, actvprof=,1.547265, id=,S01, PRDE,actvstrat=,-0.142992, actvprof=,1.428095, id=,S07, PRDE,actvstrat=,0.519910, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.372066, best_B_strat=,0.457325, best_S_id=,S00, best_S_prof=,1.547265, best_S_strat=,-0.678646, 
t=,46800, id=,B00, PRDE,actvstrat=,0.110001, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.829217, actvprof=,0.109451, id=,B05, PRDE,actvstrat=,-0.664067, actvprof=,0.240569, id=,B06, PRDE,actvstrat=,-0.171420, actvprof=,1.394800, id=,B08, PRDE,actvstrat=,-0.721064, actvprof=,3.501583, id=,S00, PRDE,actvstrat=,-0.313084, actvprof=,1.076171, id=,S01, PRDE,actvstrat=,0.294833, actvprof=,2.096228, id=,S07, PRDE,actvstrat=,0.487299, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.065689, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.305405, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.501583, best_B_strat=,-0.721064, best_S_id=,S01, best_S_prof=,2.096228, best_S_strat=,0.294833, 
t=,50400, id=,B00, PRDE,actvstrat=,0.110001, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.829217, actvprof=,0.113198, id=,B05, PRDE,actvstrat=,-0.664067, actvprof=,0.223617, id=,B06, PRDE,actvstrat=,-0.171420, actvprof=,1.396011, id=,B08, PRDE,actvstrat=,-0.721064, actvprof=,3.623156, id=,S00, PRDE,actvstrat=,-0.313084, actvprof=,1.051974, id=,S01, PRDE,actvstrat=,0.294833, actvprof=,2.057279, id=,S07, PRDE,actvstrat=,0.487299, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.065689, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.305405, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.623156, best_B_strat=,-0.721064, best_S_id=,S01, best_S_prof=,2.057279, best_S_strat=,0.294833, 
t=,54000, id=,B00, PRDE,actvstrat=,0.907406, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.768327, actvprof=,0.124729, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.398411, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.915162, id=,B08, PRDE,actvstrat=,-0.769784, actvprof=,3.153786, id=,S00, PRDE,actvstrat=,0.478608, actvprof=,3.911884, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.798044, id=,S07, PRDE,actvstrat=,-0.536823, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.218025, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.153786, best_B_strat=,-0.769784, best_S_id=,S01, best_S_prof=,4.798044, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,0.907406, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.768327, actvprof=,0.121114, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.362816, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.856468, id=,B08, PRDE,actvstrat=,-0.769784, actvprof=,3.115087, id=,S00, PRDE,actvstrat=,0.478608, actvprof=,4.095114, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.809856, id=,S07, PRDE,actvstrat=,-0.536823, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.218025, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.115087, best_B_strat=,-0.769784, best_S_id=,S01, best_S_prof=,4.809856, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.544427, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.648693, actvprof=,0.166674, id=,B05, PRDE,actvstrat=,0.607610, actvprof=,1.168938, id=,B06, PRDE,actvstrat=,0.282791, actvprof=,2.163701, id=,B08, PRDE,actvstrat=,-0.769784, actvprof=,3.477923, id=,S00, PRDE,actvstrat=,0.288175, actvprof=,2.977068, id=,S01, PRDE,actvstrat=,0.873492, actvprof=,4.054891, id=,S07, PRDE,actvstrat=,0.618742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.558932, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.117495, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.477923, best_B_strat=,-0.769784, best_S_id=,S01, best_S_prof=,4.054891, best_S_strat=,0.873492, 
t=,64800, id=,B00, PRDE,actvstrat=,0.544427, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.648693, actvprof=,0.144726, id=,B05, PRDE,actvstrat=,0.607610, actvprof=,1.162116, id=,B06, PRDE,actvstrat=,0.282791, actvprof=,2.159921, id=,B08, PRDE,actvstrat=,-0.769784, actvprof=,3.376760, id=,S00, PRDE,actvstrat=,0.288175, actvprof=,3.023001, id=,S01, PRDE,actvstrat=,0.873492, actvprof=,4.064280, id=,S07, PRDE,actvstrat=,0.618742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.558932, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.117495, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.376760, best_B_strat=,-0.769784, best_S_id=,S01, best_S_prof=,4.064280, best_S_strat=,0.873492, 
t=,68400, id=,B00, PRDE,actvstrat=,0.411859, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.088603, actvprof=,0.012501, id=,B05, PRDE,actvstrat=,0.241068, actvprof=,0.669769, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.796583, id=,B08, PRDE,actvstrat=,0.454588, actvprof=,5.596500, id=,S00, PRDE,actvstrat=,-0.592829, actvprof=,1.150080, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.759497, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.405889, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.596500, best_B_strat=,0.454588, best_S_id=,S01, best_S_prof=,4.759497, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.411859, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.088603, actvprof=,0.017917, id=,B05, PRDE,actvstrat=,0.241068, actvprof=,0.668218, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.818292, id=,B08, PRDE,actvstrat=,0.454588, actvprof=,5.599222, id=,S00, PRDE,actvstrat=,-0.592829, actvprof=,1.117955, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.778916, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.405889, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.599222, best_B_strat=,0.454588, best_S_id=,S01, best_S_prof=,4.778916, best_S_strat=,1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.945907, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.918301, actvprof=,0.036669, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.893118, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.208764, id=,B08, PRDE,actvstrat=,-0.326106, actvprof=,3.346899, id=,S00, PRDE,actvstrat=,-0.678646, actvprof=,1.351761, id=,S01, PRDE,actvstrat=,0.700893, actvprof=,4.083617, id=,S07, PRDE,actvstrat=,0.624715, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.253663, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.318483, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.346899, best_B_strat=,-0.326106, best_S_id=,S01, best_S_prof=,4.083617, best_S_strat=,0.700893, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.945907, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.918301, actvprof=,0.037085, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.862530, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.236467, id=,B08, PRDE,actvstrat=,-0.326106, actvprof=,3.264141, id=,S00, PRDE,actvstrat=,-0.678646, actvprof=,1.264488, id=,S01, PRDE,actvstrat=,0.700893, actvprof=,4.149033, id=,S07, PRDE,actvstrat=,0.624715, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.253663, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.318483, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.264141, best_B_strat=,-0.326106, best_S_id=,S01, best_S_prof=,4.149033, best_S_strat=,0.700893, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.010747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.020835, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.756719, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.525175, id=,B08, PRDE,actvstrat=,0.142494, actvprof=,4.476422, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.722689, id=,S01, PRDE,actvstrat=,0.793938, actvprof=,4.590874, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.062082, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.476422, best_B_strat=,0.142494, best_S_id=,S00, best_S_prof=,6.722689, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.010747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.025001, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.765027, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.449807, id=,B08, PRDE,actvstrat=,0.142494, actvprof=,4.400986, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.770096, id=,S01, PRDE,actvstrat=,0.793938, actvprof=,4.556547, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.062082, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.400986, best_B_strat=,0.142494, best_S_id=,S00, best_S_prof=,6.770096, best_S_strat=,1.000000, 
