t=,1, id=,B01, PRDE,actvstrat=,0.762559, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.344348, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.838268, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.932539, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.290427, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.290892, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.689346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.384338, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.473906, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.459408, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.762559, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.290892, 
t=,3600, id=,B01, PRDE,actvstrat=,0.762559, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.344348, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.838268, actvprof=,0.018056, id=,B05, PRDE,actvstrat=,0.932539, actvprof=,1.517778, id=,B06, PRDE,actvstrat=,0.290427, actvprof=,2.182778, id=,S04, PRDE,actvstrat=,-0.290892, actvprof=,0.007500, id=,S06, PRDE,actvstrat=,-0.689346, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.384338, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.473906, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.459408, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.182778, best_B_strat=,0.290427, best_S_id=,S04, best_S_prof=,0.007500, best_S_strat=,-0.290892, 
t=,7200, id=,B01, PRDE,actvstrat=,0.816503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.993967, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.889869, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.350188, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.039569, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.356473, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.199826, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.508717, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.740104, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.816503, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,0.039569, 
t=,10800, id=,B01, PRDE,actvstrat=,0.816503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.993967, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.889869, actvprof=,0.111665, id=,B05, PRDE,actvstrat=,0.350188, actvprof=,0.697768, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,2.377189, id=,S04, PRDE,actvstrat=,0.039569, actvprof=,0.027500, id=,S06, PRDE,actvstrat=,-0.356473, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.199826, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.508717, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.740104, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.377189, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.027500, best_S_strat=,0.039569, 
t=,14400, id=,B01, PRDE,actvstrat=,0.664208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.736607, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.431456, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.634434, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.958285, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.039569, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.670199, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.820249, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.508717, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.544005, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.664208, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,0.039569, 
t=,18000, id=,B01, PRDE,actvstrat=,0.664208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.736607, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.431456, actvprof=,0.480278, id=,B05, PRDE,actvstrat=,-0.634434, actvprof=,1.570000, id=,B06, PRDE,actvstrat=,-0.958285, actvprof=,0.841111, id=,S04, PRDE,actvstrat=,0.039569, actvprof=,0.001944, id=,S06, PRDE,actvstrat=,-0.670199, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.820249, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.508717, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.544005, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.570000, best_B_strat=,-0.634434, best_S_id=,S04, best_S_prof=,0.001944, best_S_strat=,0.039569, 
t=,21600, id=,B01, PRDE,actvstrat=,0.664208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.736607, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.431456, actvprof=,0.405972, id=,B05, PRDE,actvstrat=,-0.634434, actvprof=,1.363611, id=,B06, PRDE,actvstrat=,-0.958285, actvprof=,0.791111, id=,S04, PRDE,actvstrat=,0.039569, actvprof=,0.000972, id=,S06, PRDE,actvstrat=,-0.670199, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.820249, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.508717, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.544005, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.363611, best_B_strat=,-0.634434, best_S_id=,S04, best_S_prof=,0.000972, best_S_strat=,0.039569, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.315902, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.484381, actvprof=,0.741399, id=,B05, PRDE,actvstrat=,-0.640376, actvprof=,1.118071, id=,B06, PRDE,actvstrat=,-0.916561, actvprof=,0.778066, id=,S04, PRDE,actvstrat=,0.421648, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.784297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.118071, best_B_strat=,-0.640376, best_S_id=,S04, best_S_prof=,0.002778, best_S_strat=,0.421648, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.315902, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.484381, actvprof=,0.861395, id=,B05, PRDE,actvstrat=,-0.640376, actvprof=,1.146258, id=,B06, PRDE,actvstrat=,-0.916561, actvprof=,0.804033, id=,S04, PRDE,actvstrat=,0.421648, actvprof=,0.001389, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.784297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.146258, best_B_strat=,-0.640376, best_S_id=,S04, best_S_prof=,0.001389, best_S_strat=,0.421648, 
t=,32400, id=,B01, PRDE,actvstrat=,0.627727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.362967, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.196308, actvprof=,0.046112, id=,B05, PRDE,actvstrat=,0.932539, actvprof=,1.554210, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,2.459791, id=,S04, PRDE,actvstrat=,0.421648, actvprof=,0.053890, id=,S06, PRDE,actvstrat=,0.321355, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.958735, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.459791, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.053890, best_S_strat=,0.421648, 
t=,36000, id=,B01, PRDE,actvstrat=,0.627727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.362967, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.196308, actvprof=,0.034445, id=,B05, PRDE,actvstrat=,0.932539, actvprof=,1.554883, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,2.504340, id=,S04, PRDE,actvstrat=,0.421648, actvprof=,0.051528, id=,S06, PRDE,actvstrat=,0.321355, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.958735, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.504340, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.051528, best_S_strat=,0.421648, 
