t=,1, id=,B01, PRDE,actvstrat=,0.874412, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.561243, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.055797, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.090325, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.688344, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.831169, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.295392, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.897003, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.381677, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.633317, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.874412, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.831169, 
t=,3600, id=,B01, PRDE,actvstrat=,0.874412, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.561243, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.055797, actvprof=,0.793056, id=,B07, PRDE,actvstrat=,-0.090325, actvprof=,1.485000, id=,B08, PRDE,actvstrat=,-0.688344, actvprof=,2.132778, id=,S01, PRDE,actvstrat=,0.831169, actvprof=,5.283056, id=,S02, PRDE,actvstrat=,-0.295392, actvprof=,0.935278, id=,S03, PRDE,actvstrat=,0.897003, actvprof=,2.219167, id=,S04, PRDE,actvstrat=,0.381677, actvprof=,0.280833, id=,S05, PRDE,actvstrat=,-0.633317, actvprof=,0.009722, best_B_id=,B08, best_B_prof=,2.132778, best_B_strat=,-0.688344, best_S_id=,S01, best_S_prof=,5.283056, best_S_strat=,0.831169, 
t=,7200, id=,B01, PRDE,actvstrat=,0.830865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.039572, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.876311, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.046671, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.920894, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.560190, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.044422, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.118168, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.377316, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.482201, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.830865, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.560190, 
t=,10800, id=,B01, PRDE,actvstrat=,0.830865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.039572, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.876311, actvprof=,1.050263, id=,B07, PRDE,actvstrat=,0.046671, actvprof=,1.275538, id=,B08, PRDE,actvstrat=,-0.920894, actvprof=,1.145262, id=,S01, PRDE,actvstrat=,0.560190, actvprof=,5.314926, id=,S02, PRDE,actvstrat=,-0.044422, actvprof=,1.914973, id=,S03, PRDE,actvstrat=,0.118168, actvprof=,1.266649, id=,S04, PRDE,actvstrat=,0.377316, actvprof=,0.476938, id=,S05, PRDE,actvstrat=,0.482201, actvprof=,0.061388, best_B_id=,B07, best_B_prof=,1.275538, best_B_strat=,0.046671, best_S_id=,S01, best_S_prof=,5.314926, best_S_strat=,0.560190, 
t=,14400, id=,B01, PRDE,actvstrat=,0.164849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.852756, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.900797, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.081996, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.920894, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.029773, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.415141, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.399436, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.345641, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.528264, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.164849, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.029773, 
t=,18000, id=,B01, PRDE,actvstrat=,0.164849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.852756, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.900797, actvprof=,0.782500, id=,B07, PRDE,actvstrat=,0.081996, actvprof=,1.066111, id=,B08, PRDE,actvstrat=,-0.920894, actvprof=,0.608889, id=,S01, PRDE,actvstrat=,-0.029773, actvprof=,3.565556, id=,S02, PRDE,actvstrat=,-0.415141, actvprof=,1.283333, id=,S03, PRDE,actvstrat=,-0.399436, actvprof=,0.499722, id=,S04, PRDE,actvstrat=,0.345641, actvprof=,0.669444, id=,S05, PRDE,actvstrat=,0.528264, actvprof=,0.123056, best_B_id=,B07, best_B_prof=,1.066111, best_B_strat=,0.081996, best_S_id=,S01, best_S_prof=,3.565556, best_S_strat=,-0.029773, 
t=,21600, id=,B01, PRDE,actvstrat=,0.164849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.852756, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.900797, actvprof=,0.772639, id=,B07, PRDE,actvstrat=,0.081996, actvprof=,1.066944, id=,B08, PRDE,actvstrat=,-0.920894, actvprof=,0.561111, id=,S01, PRDE,actvstrat=,-0.029773, actvprof=,3.707778, id=,S02, PRDE,actvstrat=,-0.415141, actvprof=,1.247778, id=,S03, PRDE,actvstrat=,-0.399436, actvprof=,0.541944, id=,S04, PRDE,actvstrat=,0.345641, actvprof=,0.671667, id=,S05, PRDE,actvstrat=,0.528264, actvprof=,0.136250, best_B_id=,B07, best_B_prof=,1.066944, best_B_strat=,0.081996, best_S_id=,S01, best_S_prof=,3.707778, best_S_strat=,-0.029773, 
t=,25200, id=,B01, PRDE,actvstrat=,0.952909, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.073669, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.263009, actvprof=,1.092237, id=,B07, PRDE,actvstrat=,-0.850055, actvprof=,0.908624, id=,B08, PRDE,actvstrat=,-0.228205, actvprof=,2.636981, id=,S01, PRDE,actvstrat=,0.792728, actvprof=,4.873957, id=,S02, PRDE,actvstrat=,0.414874, actvprof=,2.247253, id=,S03, PRDE,actvstrat=,0.865417, actvprof=,1.949749, id=,S04, PRDE,actvstrat=,-0.830921, actvprof=,0.001667, id=,S05, PRDE,actvstrat=,-0.697216, actvprof=,0.003333, best_B_id=,B08, best_B_prof=,2.636981, best_B_strat=,-0.228205, best_S_id=,S01, best_S_prof=,4.873957, best_S_strat=,0.792728, 
t=,28800, id=,B01, PRDE,actvstrat=,0.952909, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.073669, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.263009, actvprof=,1.073341, id=,B07, PRDE,actvstrat=,-0.850055, actvprof=,0.838339, id=,B08, PRDE,actvstrat=,-0.228205, actvprof=,2.613213, id=,S01, PRDE,actvstrat=,0.792728, actvprof=,4.896978, id=,S02, PRDE,actvstrat=,0.414874, actvprof=,2.270016, id=,S03, PRDE,actvstrat=,0.865417, actvprof=,1.961680, id=,S04, PRDE,actvstrat=,-0.830921, actvprof=,0.009445, id=,S05, PRDE,actvstrat=,-0.697216, actvprof=,0.002778, best_B_id=,B08, best_B_prof=,2.613213, best_B_strat=,-0.228205, best_S_id=,S01, best_S_prof=,4.896978, best_S_strat=,0.792728, 
t=,32400, id=,B01, PRDE,actvstrat=,0.925751, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.073669, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.951085, actvprof=,0.450846, id=,B07, PRDE,actvstrat=,-0.155349, actvprof=,1.280869, id=,B08, PRDE,actvstrat=,-0.620645, actvprof=,2.243396, id=,S01, PRDE,actvstrat=,-0.089548, actvprof=,2.259785, id=,S02, PRDE,actvstrat=,0.070454, actvprof=,1.838384, id=,S03, PRDE,actvstrat=,0.865417, actvprof=,2.167005, id=,S04, PRDE,actvstrat=,-0.515235, actvprof=,0.043057, id=,S05, PRDE,actvstrat=,-0.844873, actvprof=,0.003056, best_B_id=,B08, best_B_prof=,2.243396, best_B_strat=,-0.620645, best_S_id=,S01, best_S_prof=,2.259785, best_S_strat=,-0.089548, 
t=,36000, id=,B01, PRDE,actvstrat=,0.925751, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.073669, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.951085, actvprof=,0.421117, id=,B07, PRDE,actvstrat=,-0.155349, actvprof=,1.313074, id=,B08, PRDE,actvstrat=,-0.620645, actvprof=,2.245587, id=,S01, PRDE,actvstrat=,-0.089548, actvprof=,2.372116, id=,S02, PRDE,actvstrat=,0.070454, actvprof=,1.820303, id=,S03, PRDE,actvstrat=,0.865417, actvprof=,2.130863, id=,S04, PRDE,actvstrat=,-0.515235, actvprof=,0.036389, id=,S05, PRDE,actvstrat=,-0.844873, actvprof=,0.001528, best_B_id=,B08, best_B_prof=,2.245587, best_B_strat=,-0.620645, best_S_id=,S01, best_S_prof=,2.372116, best_S_strat=,-0.089548, 
