t=,0, id=,B01, PRDE,actvstrat=,0.716307, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.871852, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.107451, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.571738, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.243887, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.269434, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.453705, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.644875, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.684729, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.962233, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.716307, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.269434, 
t=,3600, id=,B01, PRDE,actvstrat=,0.716307, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.871852, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.107451, actvprof=,0.030277, id=,B05, PRDE,actvstrat=,-0.571738, actvprof=,0.173609, id=,B06, PRDE,actvstrat=,0.243887, actvprof=,1.608867, id=,S02, PRDE,actvstrat=,0.269434, actvprof=,1.122762, id=,S04, PRDE,actvstrat=,-0.453705, actvprof=,0.003611, id=,S05, PRDE,actvstrat=,0.644875, actvprof=,0.011111, id=,S08, PRDE,actvstrat=,-0.684729, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.962233, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.608867, best_B_strat=,0.243887, best_S_id=,S02, best_S_prof=,1.122762, best_S_strat=,0.269434, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.745790, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.320208, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.574618, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.871604, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.899071, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.644303, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.366185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.560628, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.871604, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.745790, actvprof=,0.017222, id=,B05, PRDE,actvstrat=,0.320208, actvprof=,0.563595, id=,B06, PRDE,actvstrat=,0.574618, actvprof=,2.059665, id=,S02, PRDE,actvstrat=,0.871604, actvprof=,2.887142, id=,S04, PRDE,actvstrat=,-0.899071, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.644303, actvprof=,0.014444, id=,S08, PRDE,actvstrat=,0.366185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.059665, best_B_strat=,0.574618, best_S_id=,S02, best_S_prof=,2.887142, best_S_strat=,0.871604, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.979415, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.505377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.862738, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.320418, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.574618, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.599109, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.483472, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.469468, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.366185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189669, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.979415, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.599109, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.979415, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.505377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.862738, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.320418, actvprof=,0.028333, id=,B06, PRDE,actvstrat=,0.574618, actvprof=,1.231111, id=,S02, PRDE,actvstrat=,-0.599109, actvprof=,0.315278, id=,S04, PRDE,actvstrat=,-0.483472, actvprof=,0.029722, id=,S05, PRDE,actvstrat=,-0.469468, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.366185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189669, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.231111, best_B_strat=,0.574618, best_S_id=,S02, best_S_prof=,0.315278, best_S_strat=,-0.599109, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.979415, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.505377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.862738, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.320418, actvprof=,0.028194, id=,B06, PRDE,actvstrat=,0.574618, actvprof=,1.228333, id=,S02, PRDE,actvstrat=,-0.599109, actvprof=,0.287222, id=,S04, PRDE,actvstrat=,-0.483472, actvprof=,0.022639, id=,S05, PRDE,actvstrat=,-0.469468, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.366185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189669, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.228333, best_B_strat=,0.574618, best_S_id=,S02, best_S_prof=,0.287222, best_S_strat=,-0.599109, 
t=,25200, id=,B01, PRDE,actvstrat=,0.472453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.933701, actvprof=,0.021667, id=,B05, PRDE,actvstrat=,0.623159, actvprof=,1.174461, id=,B06, PRDE,actvstrat=,-0.561626, actvprof=,1.164461, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,2.645592, id=,S04, PRDE,actvstrat=,-0.453705, actvprof=,0.004445, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.008333, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.174461, best_B_strat=,0.623159, best_S_id=,S02, best_S_prof=,2.645592, best_S_strat=,0.896587, 
t=,28800, id=,B01, PRDE,actvstrat=,0.472453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.933701, actvprof=,0.017639, id=,B05, PRDE,actvstrat=,0.623159, actvprof=,1.343065, id=,B06, PRDE,actvstrat=,-0.561626, actvprof=,1.289731, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,2.473351, id=,S04, PRDE,actvstrat=,-0.453705, actvprof=,0.002222, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.007083, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.343065, best_B_strat=,0.623159, best_S_id=,S02, best_S_prof=,2.473351, best_S_strat=,0.896587, 
t=,32400, id=,B01, PRDE,actvstrat=,0.669892, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.171821, actvprof=,0.012778, id=,B05, PRDE,actvstrat=,-0.815575, actvprof=,0.113892, id=,B06, PRDE,actvstrat=,-0.501661, actvprof=,0.893358, id=,S02, PRDE,actvstrat=,-0.624738, actvprof=,0.131393, id=,S04, PRDE,actvstrat=,-0.539505, actvprof=,0.003611, id=,S05, PRDE,actvstrat=,0.234945, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,-0.883833, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.404467, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.893358, best_B_strat=,-0.501661, best_S_id=,S02, best_S_prof=,0.131393, best_S_strat=,-0.624738, 
t=,36000, id=,B01, PRDE,actvstrat=,0.669892, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.171821, actvprof=,0.012917, id=,B05, PRDE,actvstrat=,-0.815575, actvprof=,0.123891, id=,B06, PRDE,actvstrat=,-0.501661, actvprof=,0.939457, id=,S02, PRDE,actvstrat=,-0.624738, actvprof=,0.139585, id=,S04, PRDE,actvstrat=,-0.539505, actvprof=,0.003889, id=,S05, PRDE,actvstrat=,0.234945, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.883833, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.404467, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.939457, best_B_strat=,-0.501661, best_S_id=,S02, best_S_prof=,0.139585, best_S_strat=,-0.624738, 
