t=,1, id=,B02, PRDE,actvstrat=,-0.705689, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.098746, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.721851, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.543586, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.776697, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.435466, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.366420, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.477837, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.998322, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.102514, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.705689, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.435466, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.705689, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.098746, actvprof=,0.004722, id=,B05, PRDE,actvstrat=,0.721851, actvprof=,0.229444, id=,B06, PRDE,actvstrat=,-0.543586, actvprof=,0.293333, id=,B08, PRDE,actvstrat=,0.776697, actvprof=,4.741111, id=,S02, PRDE,actvstrat=,-0.435466, actvprof=,0.429722, id=,S04, PRDE,actvstrat=,0.366420, actvprof=,0.255833, id=,S05, PRDE,actvstrat=,-0.477837, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.998322, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.102514, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.741111, best_B_strat=,0.776697, best_S_id=,S02, best_S_prof=,0.429722, best_S_strat=,-0.435466, 
t=,7200, id=,B02, PRDE,actvstrat=,0.453436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.794285, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.608233, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.314520, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.504727, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.554751, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.609629, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.914148, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.448971, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.675192, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.453436, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.554751, 
t=,10800, id=,B02, PRDE,actvstrat=,0.453436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.794285, actvprof=,0.042222, id=,B05, PRDE,actvstrat=,-0.608233, actvprof=,0.112221, id=,B06, PRDE,actvstrat=,0.314520, actvprof=,1.455258, id=,B08, PRDE,actvstrat=,0.504727, actvprof=,4.904099, id=,S02, PRDE,actvstrat=,0.554751, actvprof=,1.839974, id=,S04, PRDE,actvstrat=,-0.609629, actvprof=,0.010833, id=,S05, PRDE,actvstrat=,0.914148, actvprof=,0.050277, id=,S08, PRDE,actvstrat=,-0.448971, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.675192, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.904099, best_B_strat=,0.504727, best_S_id=,S02, best_S_prof=,1.839974, best_S_strat=,0.554751, 
t=,14400, id=,B02, PRDE,actvstrat=,0.500924, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.628845, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.934128, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.314520, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.255006, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.073695, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.933112, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.808942, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.314123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.281288, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.500924, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.073695, 
t=,18000, id=,B02, PRDE,actvstrat=,0.500924, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.628845, actvprof=,0.020000, id=,B05, PRDE,actvstrat=,0.934128, actvprof=,0.720566, id=,B06, PRDE,actvstrat=,0.314520, actvprof=,1.200572, id=,B08, PRDE,actvstrat=,-0.255006, actvprof=,2.813650, id=,S02, PRDE,actvstrat=,0.073695, actvprof=,1.105015, id=,S04, PRDE,actvstrat=,0.933112, actvprof=,0.751122, id=,S05, PRDE,actvstrat=,-0.808942, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.314123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.281288, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.813650, best_B_strat=,-0.255006, best_S_id=,S02, best_S_prof=,1.105015, best_S_strat=,0.073695, 
t=,21600, id=,B02, PRDE,actvstrat=,0.500924, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.628845, actvprof=,0.018195, id=,B05, PRDE,actvstrat=,0.934128, actvprof=,0.729727, id=,B06, PRDE,actvstrat=,0.314520, actvprof=,1.208064, id=,B08, PRDE,actvstrat=,-0.255006, actvprof=,2.906548, id=,S02, PRDE,actvstrat=,0.073695, actvprof=,1.118341, id=,S04, PRDE,actvstrat=,0.933112, actvprof=,0.728755, id=,S05, PRDE,actvstrat=,-0.808942, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.314123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.281288, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.906548, best_B_strat=,-0.255006, best_S_id=,S02, best_S_prof=,1.118341, best_S_strat=,0.073695, 
t=,25200, id=,B02, PRDE,actvstrat=,-0.158960, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.878905, actvprof=,0.030000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.382783, id=,B06, PRDE,actvstrat=,0.210874, actvprof=,0.870845, id=,B08, PRDE,actvstrat=,0.473585, actvprof=,4.429784, id=,S02, PRDE,actvstrat=,0.571773, actvprof=,2.182253, id=,S04, PRDE,actvstrat=,0.255771, actvprof=,0.158336, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.094446, id=,S08, PRDE,actvstrat=,-0.559445, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.429784, best_B_strat=,0.473585, best_S_id=,S02, best_S_prof=,2.182253, best_S_strat=,0.571773, 
t=,28800, id=,B02, PRDE,actvstrat=,-0.158960, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.878905, actvprof=,0.034028, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.392089, id=,B06, PRDE,actvstrat=,0.210874, actvprof=,0.918763, id=,B08, PRDE,actvstrat=,0.473585, actvprof=,4.420478, id=,S02, PRDE,actvstrat=,0.571773, actvprof=,2.219475, id=,S04, PRDE,actvstrat=,0.255771, actvprof=,0.146946, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.097918, id=,S08, PRDE,actvstrat=,-0.559445, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.420478, best_B_strat=,0.473585, best_S_id=,S02, best_S_prof=,2.219475, best_S_strat=,0.571773, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.258626, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.372856, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-0.170106, actvprof=,0.016390, id=,B06, PRDE,actvstrat=,0.724822, actvprof=,1.248125, id=,B08, PRDE,actvstrat=,0.863032, actvprof=,4.709428, id=,S02, PRDE,actvstrat=,-0.213812, actvprof=,0.370021, id=,S04, PRDE,actvstrat=,0.153029, actvprof=,0.193066, id=,S05, PRDE,actvstrat=,0.878277, actvprof=,0.124174, id=,S08, PRDE,actvstrat=,-0.074922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.005042, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.709428, best_B_strat=,0.863032, best_S_id=,S02, best_S_prof=,0.370021, best_S_strat=,-0.213812, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.258626, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.372856, actvprof=,0.000417, id=,B05, PRDE,actvstrat=,-0.170106, actvprof=,0.013750, id=,B06, PRDE,actvstrat=,0.724822, actvprof=,1.245035, id=,B08, PRDE,actvstrat=,0.863032, actvprof=,4.724020, id=,S02, PRDE,actvstrat=,-0.213812, actvprof=,0.416539, id=,S04, PRDE,actvstrat=,0.153029, actvprof=,0.198894, id=,S05, PRDE,actvstrat=,0.878277, actvprof=,0.122226, id=,S08, PRDE,actvstrat=,-0.074922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.005042, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.724020, best_B_strat=,0.863032, best_S_id=,S02, best_S_prof=,0.416539, best_S_strat=,-0.213812, 
