t=,1, id=,B03, PRDE,actvstrat=,-0.359481, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.303865, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.176816, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.554103, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.057528, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.197680, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.422830, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.017503, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.123391, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.407232, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,-0.359481, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.197680, 
t=,3600, id=,B03, PRDE,actvstrat=,-0.359481, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,-0.303865, actvprof=,0.234722, id=,B06, PRDE,actvstrat=,-0.176816, actvprof=,0.936389, id=,B08, PRDE,actvstrat=,0.554103, actvprof=,5.094444, id=,B09, PRDE,actvstrat=,0.057528, actvprof=,5.752778, id=,S00, PRDE,actvstrat=,0.197680, actvprof=,4.126667, id=,S01, PRDE,actvstrat=,-0.422830, actvprof=,1.683889, id=,S02, PRDE,actvstrat=,0.017503, actvprof=,1.498056, id=,S06, PRDE,actvstrat=,-0.123391, actvprof=,0.005833, id=,S07, PRDE,actvstrat=,-0.407232, actvprof=,0.004167, best_B_id=,B09, best_B_prof=,5.752778, best_B_strat=,0.057528, best_S_id=,S00, best_S_prof=,4.126667, best_S_strat=,0.197680, 
t=,7200, id=,B03, PRDE,actvstrat=,-0.031661, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.523647, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.917846, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.666532, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.378658, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.814390, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.252195, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.878726, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.818136, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.329056, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,-0.031661, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.814390, 
t=,10800, id=,B03, PRDE,actvstrat=,-0.031661, actvprof=,0.009167, id=,B05, PRDE,actvstrat=,0.523647, actvprof=,0.666935, id=,B06, PRDE,actvstrat=,0.917846, actvprof=,2.151637, id=,B08, PRDE,actvstrat=,-0.666532, actvprof=,2.873849, id=,B09, PRDE,actvstrat=,-0.378658, actvprof=,4.617991, id=,S00, PRDE,actvstrat=,-0.814390, actvprof=,1.966084, id=,S01, PRDE,actvstrat=,0.252195, actvprof=,3.221900, id=,S02, PRDE,actvstrat=,0.878726, actvprof=,3.178011, id=,S06, PRDE,actvstrat=,-0.818136, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,0.329056, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.617991, best_B_strat=,-0.378658, best_S_id=,S01, best_S_prof=,3.221900, best_S_strat=,0.252195, 
t=,14400, id=,B03, PRDE,actvstrat=,0.841081, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.523647, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.971904, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.664236, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.774444, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.065954, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.589099, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.863952, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.163739, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.573234, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,0.841081, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.065954, 
t=,18000, id=,B03, PRDE,actvstrat=,0.841081, actvprof=,0.034167, id=,B05, PRDE,actvstrat=,0.523647, actvprof=,0.240278, id=,B06, PRDE,actvstrat=,0.971904, actvprof=,1.407222, id=,B08, PRDE,actvstrat=,0.664236, actvprof=,4.217222, id=,B09, PRDE,actvstrat=,-0.774444, actvprof=,3.199167, id=,S00, PRDE,actvstrat=,0.065954, actvprof=,3.457500, id=,S01, PRDE,actvstrat=,-0.589099, actvprof=,0.967500, id=,S02, PRDE,actvstrat=,0.863952, actvprof=,3.767222, id=,S06, PRDE,actvstrat=,-0.163739, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,-0.573234, actvprof=,0.000556, best_B_id=,B08, best_B_prof=,4.217222, best_B_strat=,0.664236, best_S_id=,S02, best_S_prof=,3.767222, best_S_strat=,0.863952, 
t=,21600, id=,B03, PRDE,actvstrat=,0.841081, actvprof=,0.025694, id=,B05, PRDE,actvstrat=,0.523647, actvprof=,0.305139, id=,B06, PRDE,actvstrat=,0.971904, actvprof=,1.475556, id=,B08, PRDE,actvstrat=,0.664236, actvprof=,4.259306, id=,B09, PRDE,actvstrat=,-0.774444, actvprof=,3.185556, id=,S00, PRDE,actvstrat=,0.065954, actvprof=,3.391111, id=,S01, PRDE,actvstrat=,-0.589099, actvprof=,1.011667, id=,S02, PRDE,actvstrat=,0.863952, actvprof=,3.662917, id=,S06, PRDE,actvstrat=,-0.163739, actvprof=,0.006250, id=,S07, PRDE,actvstrat=,-0.573234, actvprof=,0.000278, best_B_id=,B08, best_B_prof=,4.259306, best_B_strat=,0.664236, best_S_id=,S02, best_S_prof=,3.662917, best_S_strat=,0.863952, 
t=,25200, id=,B03, PRDE,actvstrat=,-0.216608, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.406950, id=,B06, PRDE,actvstrat=,-0.463225, actvprof=,0.269170, id=,B08, PRDE,actvstrat=,-0.443324, actvprof=,2.475590, id=,B09, PRDE,actvstrat=,-0.802105, actvprof=,2.970319, id=,S00, PRDE,actvstrat=,-0.255215, actvprof=,1.426964, id=,S01, PRDE,actvstrat=,-0.878894, actvprof=,0.071668, id=,S02, PRDE,actvstrat=,0.006053, actvprof=,1.493632, id=,S06, PRDE,actvstrat=,0.021370, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.920804, actvprof=,0.004445, best_B_id=,B09, best_B_prof=,2.970319, best_B_strat=,-0.802105, best_S_id=,S02, best_S_prof=,1.493632, best_S_strat=,0.006053, 
t=,28800, id=,B03, PRDE,actvstrat=,-0.216608, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.385836, id=,B06, PRDE,actvstrat=,-0.463225, actvprof=,0.251946, id=,B08, PRDE,actvstrat=,-0.443324, actvprof=,2.412517, id=,B09, PRDE,actvstrat=,-0.802105, actvprof=,2.860298, id=,S00, PRDE,actvstrat=,-0.255215, actvprof=,1.642373, id=,S01, PRDE,actvstrat=,-0.878894, actvprof=,0.092362, id=,S02, PRDE,actvstrat=,0.006053, actvprof=,1.364593, id=,S06, PRDE,actvstrat=,0.021370, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.920804, actvprof=,0.002222, best_B_id=,B09, best_B_prof=,2.860298, best_B_strat=,-0.802105, best_S_id=,S00, best_S_prof=,1.642373, best_S_strat=,-0.255215, 
t=,32400, id=,B03, PRDE,actvstrat=,0.561995, actvprof=,0.011112, id=,B05, PRDE,actvstrat=,-0.290029, actvprof=,0.330847, id=,B06, PRDE,actvstrat=,-0.286439, actvprof=,1.007820, id=,B08, PRDE,actvstrat=,-0.523613, actvprof=,3.655986, id=,B09, PRDE,actvstrat=,-0.864688, actvprof=,3.699321, id=,S00, PRDE,actvstrat=,0.151259, actvprof=,2.609831, id=,S01, PRDE,actvstrat=,-0.139010, actvprof=,0.644194, id=,S02, PRDE,actvstrat=,0.863952, actvprof=,2.235649, id=,S06, PRDE,actvstrat=,-0.759299, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.784442, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.699321, best_B_strat=,-0.864688, best_S_id=,S00, best_S_prof=,2.609831, best_S_strat=,0.151259, 
t=,36000, id=,B03, PRDE,actvstrat=,0.561995, actvprof=,0.013473, id=,B05, PRDE,actvstrat=,-0.290029, actvprof=,0.353202, id=,B06, PRDE,actvstrat=,-0.286439, actvprof=,1.042938, id=,B08, PRDE,actvstrat=,-0.523613, actvprof=,3.861330, id=,B09, PRDE,actvstrat=,-0.864688, actvprof=,3.638687, id=,S00, PRDE,actvstrat=,0.151259, actvprof=,2.556442, id=,S01, PRDE,actvstrat=,-0.139010, actvprof=,0.587651, id=,S02, PRDE,actvstrat=,0.863952, actvprof=,2.260047, id=,S06, PRDE,actvstrat=,-0.759299, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.784442, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.861330, best_B_strat=,-0.523613, best_S_id=,S00, best_S_prof=,2.556442, best_S_strat=,0.151259, 
