t=,1, id=,B00, PRDE,actvstrat=,-0.031289, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.990605, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.764320, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.125877, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.284438, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.819313, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.027295, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.921935, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.213322, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.948006, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.031289, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.819313, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.031289, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.990605, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.764320, actvprof=,0.914167, id=,B07, PRDE,actvstrat=,-0.125877, actvprof=,2.547500, id=,B08, PRDE,actvstrat=,0.284438, actvprof=,4.828333, id=,S00, PRDE,actvstrat=,-0.819313, actvprof=,1.354167, id=,S05, PRDE,actvstrat=,-0.027295, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,-0.921935, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.213322, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.948006, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.828333, best_B_strat=,0.284438, best_S_id=,S00, best_S_prof=,1.354167, best_S_strat=,-0.819313, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.966571, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.258854, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.737728, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.929005, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.524531, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.848248, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.690781, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.602686, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.647034, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.183715, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.966571, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.848248, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.966571, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.258854, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.737728, actvprof=,0.353606, id=,B07, PRDE,actvstrat=,0.929005, actvprof=,3.591061, id=,B08, PRDE,actvstrat=,0.524531, actvprof=,4.696601, id=,S00, PRDE,actvstrat=,-0.848248, actvprof=,0.641936, id=,S05, PRDE,actvstrat=,-0.690781, actvprof=,0.010555, id=,S07, PRDE,actvstrat=,0.602686, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.647034, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.183715, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.696601, best_B_strat=,0.524531, best_S_id=,S00, best_S_prof=,0.641936, best_S_strat=,-0.848248, 
t=,14400, id=,B00, PRDE,actvstrat=,0.601922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.289000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.180561, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.188974, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.552474, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.816098, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.114106, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.528485, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.123954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.274660, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.601922, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.816098, 
t=,18000, id=,B00, PRDE,actvstrat=,0.601922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.289000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.180561, actvprof=,0.406389, id=,B07, PRDE,actvstrat=,-0.188974, actvprof=,2.732778, id=,B08, PRDE,actvstrat=,0.552474, actvprof=,6.160833, id=,S00, PRDE,actvstrat=,-0.816098, actvprof=,0.644167, id=,S05, PRDE,actvstrat=,0.114106, actvprof=,0.005833, id=,S07, PRDE,actvstrat=,-0.528485, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.123954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.274660, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.160833, best_B_strat=,0.552474, best_S_id=,S00, best_S_prof=,0.644167, best_S_strat=,-0.816098, 
t=,21600, id=,B00, PRDE,actvstrat=,0.601922, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.289000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.180561, actvprof=,0.347780, id=,B07, PRDE,actvstrat=,-0.188974, actvprof=,2.699185, id=,B08, PRDE,actvstrat=,0.552474, actvprof=,6.039070, id=,S00, PRDE,actvstrat=,-0.816098, actvprof=,0.565976, id=,S05, PRDE,actvstrat=,0.114106, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,-0.528485, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.123954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.274660, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.039070, best_B_strat=,0.552474, best_S_id=,S00, best_S_prof=,0.565976, best_S_strat=,-0.816098, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.165332, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.422510, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.766955, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.689496, id=,B08, PRDE,actvstrat=,0.363305, actvprof=,4.605620, id=,S00, PRDE,actvstrat=,0.533069, actvprof=,5.090071, id=,S05, PRDE,actvstrat=,0.427814, actvprof=,0.008611, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.345954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.323390, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.605620, best_B_strat=,0.363305, best_S_id=,S00, best_S_prof=,5.090071, best_S_strat=,0.533069, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.165332, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.422510, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.753205, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.658245, id=,B08, PRDE,actvstrat=,0.363305, actvprof=,4.472562, id=,S00, PRDE,actvstrat=,0.533069, actvprof=,5.307851, id=,S05, PRDE,actvstrat=,0.427814, actvprof=,0.010417, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.345954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.323390, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.472562, best_B_strat=,0.363305, best_S_id=,S00, best_S_prof=,5.307851, best_S_strat=,0.533069, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.966571, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.422510, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.383381, actvprof=,0.256677, id=,B07, PRDE,actvstrat=,0.718915, actvprof=,4.518522, id=,B08, PRDE,actvstrat=,0.911178, actvprof=,6.407767, id=,S00, PRDE,actvstrat=,-0.187714, actvprof=,1.515063, id=,S05, PRDE,actvstrat=,-0.151931, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,-0.907200, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.647034, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.614026, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.407767, best_B_strat=,0.911178, best_S_id=,S00, best_S_prof=,1.515063, best_S_strat=,-0.187714, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.966571, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.422510, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.383381, actvprof=,0.278200, id=,B07, PRDE,actvstrat=,0.718915, actvprof=,4.671903, id=,B08, PRDE,actvstrat=,0.911178, actvprof=,6.546109, id=,S00, PRDE,actvstrat=,-0.187714, actvprof=,1.457947, id=,S05, PRDE,actvstrat=,-0.151931, actvprof=,0.005833, id=,S07, PRDE,actvstrat=,-0.907200, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.647034, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.614026, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.546109, best_B_strat=,0.911178, best_S_id=,S00, best_S_prof=,1.457947, best_S_strat=,-0.187714, 
