t=,1, id=,B00, PRDE,actvstrat=,-0.389039, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.784666, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.122854, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.244907, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.555157, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.934192, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.504556, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.906493, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.753452, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.705239, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.389039, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.934192, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.389039, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.784666, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.122854, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.244907, actvprof=,1.508889, id=,B08, PRDE,actvstrat=,0.555157, actvprof=,3.435556, id=,S00, PRDE,actvstrat=,-0.934192, actvprof=,3.409167, id=,S02, PRDE,actvstrat=,-0.504556, actvprof=,2.777222, id=,S03, PRDE,actvstrat=,0.906493, actvprof=,3.116111, id=,S04, PRDE,actvstrat=,-0.753452, actvprof=,0.296389, id=,S05, PRDE,actvstrat=,-0.705239, actvprof=,0.025556, best_B_id=,B08, best_B_prof=,3.435556, best_B_strat=,0.555157, best_S_id=,S00, best_S_prof=,3.409167, best_S_strat=,-0.934192, 
t=,7200, id=,B00, PRDE,actvstrat=,0.835064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.337891, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273630, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.549755, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.574181, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.758078, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.698769, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.861308, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.608118, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.047476, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.835064, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.758078, 
t=,10800, id=,B00, PRDE,actvstrat=,0.835064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.337891, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273630, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.549755, actvprof=,0.942765, id=,B08, PRDE,actvstrat=,-0.574181, actvprof=,1.942473, id=,S00, PRDE,actvstrat=,-0.758078, actvprof=,4.866599, id=,S02, PRDE,actvstrat=,-0.698769, actvprof=,1.845808, id=,S03, PRDE,actvstrat=,-0.861308, actvprof=,0.310829, id=,S04, PRDE,actvstrat=,-0.608118, actvprof=,0.146942, id=,S05, PRDE,actvstrat=,-0.047476, actvprof=,0.017778, best_B_id=,B08, best_B_prof=,1.942473, best_B_strat=,-0.574181, best_S_id=,S00, best_S_prof=,4.866599, best_S_strat=,-0.758078, 
t=,14400, id=,B00, PRDE,actvstrat=,0.663269, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.468115, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.755488, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.719945, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.260224, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.611409, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.430254, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.401145, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.642283, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.992730, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.663269, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.611409, 
t=,18000, id=,B00, PRDE,actvstrat=,0.663269, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.468115, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.755488, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.719945, actvprof=,1.165000, id=,B08, PRDE,actvstrat=,0.260224, actvprof=,4.138333, id=,S00, PRDE,actvstrat=,-0.611409, actvprof=,4.207778, id=,S02, PRDE,actvstrat=,-0.430254, actvprof=,1.581389, id=,S03, PRDE,actvstrat=,-0.401145, actvprof=,0.494444, id=,S04, PRDE,actvstrat=,0.642283, actvprof=,0.320278, id=,S05, PRDE,actvstrat=,-0.992730, actvprof=,0.081389, best_B_id=,B08, best_B_prof=,4.138333, best_B_strat=,0.260224, best_S_id=,S00, best_S_prof=,4.207778, best_S_strat=,-0.611409, 
t=,21600, id=,B00, PRDE,actvstrat=,0.663269, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.468115, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.755488, actvprof=,0.002639, id=,B07, PRDE,actvstrat=,-0.719945, actvprof=,1.178611, id=,B08, PRDE,actvstrat=,0.260224, actvprof=,4.205972, id=,S00, PRDE,actvstrat=,-0.611409, actvprof=,4.251250, id=,S02, PRDE,actvstrat=,-0.430254, actvprof=,1.646389, id=,S03, PRDE,actvstrat=,-0.401145, actvprof=,0.487083, id=,S04, PRDE,actvstrat=,0.642283, actvprof=,0.330972, id=,S05, PRDE,actvstrat=,-0.992730, actvprof=,0.087222, best_B_id=,B08, best_B_prof=,4.205972, best_B_strat=,0.260224, best_S_id=,S00, best_S_prof=,4.251250, best_S_strat=,-0.611409, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.614547, actvprof=,0.011389, id=,B07, PRDE,actvstrat=,0.087651, actvprof=,2.005306, id=,B08, PRDE,actvstrat=,-0.365348, actvprof=,2.670593, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.902040, id=,S02, PRDE,actvstrat=,-0.309966, actvprof=,1.829748, id=,S03, PRDE,actvstrat=,0.513202, actvprof=,1.708635, id=,S04, PRDE,actvstrat=,0.553200, actvprof=,0.505285, id=,S05, PRDE,actvstrat=,-0.139842, actvprof=,0.038889, best_B_id=,B08, best_B_prof=,2.670593, best_B_strat=,-0.365348, best_S_id=,S00, best_S_prof=,6.902040, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,0.614547, actvprof=,0.015139, id=,B07, PRDE,actvstrat=,0.087651, actvprof=,1.944319, id=,B08, PRDE,actvstrat=,-0.365348, actvprof=,2.606963, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.937965, id=,S02, PRDE,actvstrat=,-0.309966, actvprof=,1.849180, id=,S03, PRDE,actvstrat=,0.513202, actvprof=,1.689595, id=,S04, PRDE,actvstrat=,0.553200, actvprof=,0.495420, id=,S05, PRDE,actvstrat=,-0.139842, actvprof=,0.028056, best_B_id=,B08, best_B_prof=,2.606963, best_B_strat=,-0.365348, best_S_id=,S00, best_S_prof=,6.937965, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.663161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.137852, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.157024, actvprof=,0.001111, id=,B07, PRDE,actvstrat=,0.087651, actvprof=,1.681158, id=,B08, PRDE,actvstrat=,-0.158179, actvprof=,2.391178, id=,S00, PRDE,actvstrat=,-0.642809, actvprof=,4.835690, id=,S02, PRDE,actvstrat=,0.054033, actvprof=,3.178699, id=,S03, PRDE,actvstrat=,-0.753198, actvprof=,0.715020, id=,S04, PRDE,actvstrat=,0.452259, actvprof=,0.670019, id=,S05, PRDE,actvstrat=,-0.300933, actvprof=,0.014445, best_B_id=,B08, best_B_prof=,2.391178, best_B_strat=,-0.158179, best_S_id=,S00, best_S_prof=,4.835690, best_S_strat=,-0.642809, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.663161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.137852, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.157024, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,0.087651, actvprof=,1.686968, id=,B08, PRDE,actvstrat=,-0.158179, actvprof=,2.397811, id=,S00, PRDE,actvstrat=,-0.642809, actvprof=,4.926180, id=,S02, PRDE,actvstrat=,0.054033, actvprof=,3.089348, id=,S03, PRDE,actvstrat=,-0.753198, actvprof=,0.706954, id=,S04, PRDE,actvstrat=,0.452259, actvprof=,0.655565, id=,S05, PRDE,actvstrat=,-0.300933, actvprof=,0.015834, best_B_id=,B08, best_B_prof=,2.397811, best_B_strat=,-0.158179, best_S_id=,S00, best_S_prof=,4.926180, best_S_strat=,-0.642809, 
