t=,1, id=,B02, PRDE,actvstrat=,0.401165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.527150, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.089196, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.793513, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.010392, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.826267, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.907477, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.225176, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.322315, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.112907, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.401165, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.826267, 
t=,3600, id=,B02, PRDE,actvstrat=,0.401165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.527150, actvprof=,0.036944, id=,B06, PRDE,actvstrat=,-0.089196, actvprof=,1.789444, id=,B07, PRDE,actvstrat=,-0.793513, actvprof=,2.038611, id=,B08, PRDE,actvstrat=,0.010392, actvprof=,5.178611, id=,S00, PRDE,actvstrat=,-0.826267, actvprof=,0.362222, id=,S01, PRDE,actvstrat=,0.907477, actvprof=,3.860278, id=,S06, PRDE,actvstrat=,-0.225176, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.322315, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.112907, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.178611, best_B_strat=,0.010392, best_S_id=,S01, best_S_prof=,3.860278, best_S_strat=,0.907477, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.124252, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.202550, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.663354, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.539600, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.997353, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.905980, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.428418, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.433361, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.674342, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.319955, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.124252, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.905980, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.124252, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,0.202550, actvprof=,0.200828, id=,B06, PRDE,actvstrat=,-0.663354, actvprof=,1.249410, id=,B07, PRDE,actvstrat=,-0.539600, actvprof=,2.735757, id=,B08, PRDE,actvstrat=,0.997353, actvprof=,6.611483, id=,S00, PRDE,actvstrat=,0.905980, actvprof=,5.195967, id=,S01, PRDE,actvstrat=,0.428418, actvprof=,1.960223, id=,S06, PRDE,actvstrat=,-0.433361, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.674342, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.319955, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.611483, best_B_strat=,0.997353, best_S_id=,S00, best_S_prof=,5.195967, best_S_strat=,0.905980, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.124252, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.119790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.757561, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.968310, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.151587, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.931149, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.914107, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.911311, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.563884, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.040895, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.124252, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.931149, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.124252, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.119790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.757561, actvprof=,0.278889, id=,B07, PRDE,actvstrat=,0.968310, actvprof=,3.805556, id=,B08, PRDE,actvstrat=,0.151587, actvprof=,4.240278, id=,S00, PRDE,actvstrat=,-0.931149, actvprof=,0.240000, id=,S01, PRDE,actvstrat=,-0.914107, actvprof=,0.146667, id=,S06, PRDE,actvstrat=,-0.911311, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.563884, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.040895, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.240278, best_B_strat=,0.151587, best_S_id=,S00, best_S_prof=,0.240000, best_S_strat=,-0.931149, 
t=,21600, id=,B02, PRDE,actvstrat=,0.146796, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.850996, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.859088, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.012176, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.704927, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.700051, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.121062, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.054046, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.146796, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B02, PRDE,actvstrat=,0.146796, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.850996, actvprof=,0.063612, id=,B06, PRDE,actvstrat=,0.859088, actvprof=,2.783928, id=,B07, PRDE,actvstrat=,-0.012176, actvprof=,2.918096, id=,B08, PRDE,actvstrat=,-0.704927, actvprof=,3.137266, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.923416, id=,S01, PRDE,actvstrat=,-0.700051, actvprof=,0.469729, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,0.121062, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.054046, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.137266, best_B_strat=,-0.704927, best_S_id=,S00, best_S_prof=,5.923416, best_S_strat=,1.000000, 
t=,28800, id=,B02, PRDE,actvstrat=,0.146796, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.850996, actvprof=,0.054861, id=,B06, PRDE,actvstrat=,0.859088, actvprof=,2.729602, id=,B07, PRDE,actvstrat=,-0.012176, actvprof=,2.882103, id=,B08, PRDE,actvstrat=,-0.704927, actvprof=,3.306690, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.051014, id=,S01, PRDE,actvstrat=,-0.700051, actvprof=,0.440836, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.007778, id=,S07, PRDE,actvstrat=,0.121062, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.054046, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.306690, best_B_strat=,-0.704927, best_S_id=,S00, best_S_prof=,6.051014, best_S_strat=,1.000000, 
t=,32400, id=,B02, PRDE,actvstrat=,0.363924, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.338391, actvprof=,0.075002, id=,B06, PRDE,actvstrat=,-0.788443, actvprof=,1.248924, id=,B07, PRDE,actvstrat=,0.095393, actvprof=,4.009278, id=,B08, PRDE,actvstrat=,-0.474197, actvprof=,4.624295, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.133476, id=,S01, PRDE,actvstrat=,0.150003, actvprof=,1.181977, id=,S06, PRDE,actvstrat=,0.514287, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.299911, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.847916, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.624295, best_B_strat=,-0.474197, best_S_id=,S00, best_S_prof=,5.133476, best_S_strat=,1.000000, 
t=,36000, id=,B02, PRDE,actvstrat=,0.363924, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.338391, actvprof=,0.072917, id=,B06, PRDE,actvstrat=,-0.788443, actvprof=,1.204314, id=,B07, PRDE,actvstrat=,0.095393, actvprof=,4.018083, id=,B08, PRDE,actvstrat=,-0.474197, actvprof=,4.453364, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.144897, id=,S01, PRDE,actvstrat=,0.150003, actvprof=,1.197231, id=,S06, PRDE,actvstrat=,0.514287, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.299911, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.847916, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.453364, best_B_strat=,-0.474197, best_S_id=,S00, best_S_prof=,5.144897, best_S_strat=,1.000000, 
